Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Malcolm Allen,Vance Badawey,David Clow,Jody Di Bartolomeo,Leanna Villella,Ron J. Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35066,"Niagara Centre/Niagara-Centre"," 106","Welland",56,79,7,0,109,2,2,255,411
35066,"Niagara Centre/Niagara-Centre"," 107","Welland",72,74,6,3,93,0,1,249,408
35066,"Niagara Centre/Niagara-Centre"," 108","Welland",87,58,4,1,59,0,1,210,366
35066,"Niagara Centre/Niagara-Centre"," 109","Welland",65,88,6,1,53,0,1,214,392
35066,"Niagara Centre/Niagara-Centre"," 110","Welland",61,82,3,3,41,0,1,191,395
35066,"Niagara Centre/Niagara-Centre"," 111","Welland",72,64,6,0,60,0,0,202,361
35066,"Niagara Centre/Niagara-Centre"," 112","Welland",79,69,6,1,52,0,0,207,392
35066,"Niagara Centre/Niagara-Centre"," 113","Welland",46,93,9,0,74,2,1,225,412
35066,"Niagara Centre/Niagara-Centre"," 114","Welland",34,36,4,0,45,1,0,120,282
35066,"Niagara Centre/Niagara-Centre"," 115","Welland",44,82,2,0,55,0,1,184,338
35066,"Niagara Centre/Niagara-Centre"," 116","Welland",47,83,3,0,94,0,3,230,415
35066,"Niagara Centre/Niagara-Centre"," 117","Welland",68,88,4,1,106,0,1,268,414
35066,"Niagara Centre/Niagara-Centre"," 118","Welland",65,69,5,4,74,0,3,220,406
35066,"Niagara Centre/Niagara-Centre"," 119","Welland",71,80,3,1,28,0,3,186,379
35066,"Niagara Centre/Niagara-Centre"," 120","Welland",53,53,6,0,35,0,1,148,355
35066,"Niagara Centre/Niagara-Centre"," 121","Welland",63,73,3,3,41,0,1,184,421
35066,"Niagara Centre/Niagara-Centre"," 122","Welland",61,56,13,0,50,0,0,180,413
35066,"Niagara Centre/Niagara-Centre"," 123","Welland",48,90,4,2,93,1,3,241,400
35066,"Niagara Centre/Niagara-Centre"," 124A","Welland",25,65,3,1,81,0,1,176,314
35066,"Niagara Centre/Niagara-Centre"," 124B","Welland",36,94,3,0,75,0,0,208,361
35066,"Niagara Centre/Niagara-Centre"," 125","Welland",62,107,7,4,115,0,0,295,491
35066,"Niagara Centre/Niagara-Centre"," 126","Welland",35,96,5,0,69,0,0,205,378
35066,"Niagara Centre/Niagara-Centre"," 127","Welland",56,87,1,0,96,0,2,242,428
35066,"Niagara Centre/Niagara-Centre"," 128","Welland",53,93,3,1,65,0,1,216,400
35066,"Niagara Centre/Niagara-Centre"," 129","Welland",66,105,8,0,84,0,1,264,459
35066,"Niagara Centre/Niagara-Centre"," 130","Welland",67,91,3,0,90,0,0,251,429
35066,"Niagara Centre/Niagara-Centre"," 131","Welland",68,91,3,4,79,0,3,248,493
35066,"Niagara Centre/Niagara-Centre"," 132","Welland",76,81,6,1,62,0,2,228,497
35066,"Niagara Centre/Niagara-Centre"," 133","Welland",71,72,10,0,50,0,0,203,429
35066,"Niagara Centre/Niagara-Centre"," 134","Welland",81,60,5,3,29,0,0,178,429
35066,"Niagara Centre/Niagara-Centre"," 135","Welland",98,79,8,0,50,0,0,235,473
35066,"Niagara Centre/Niagara-Centre"," 136","Welland",53,64,3,0,27,0,1,148,383
35066,"Niagara Centre/Niagara-Centre"," 137A","Welland",50,41,5,0,8,0,0,104,299
35066,"Niagara Centre/Niagara-Centre"," 137B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,,76
35066,"Niagara Centre/Niagara-Centre"," 138","Welland",58,41,9,4,28,0,0,140,381
35066,"Niagara Centre/Niagara-Centre"," 139","Welland",73,38,10,0,30,0,0,151,348
35066,"Niagara Centre/Niagara-Centre"," 140","Welland",46,73,11,4,34,0,1,169,388
35066,"Niagara Centre/Niagara-Centre"," 141","Welland",105,74,9,0,36,0,0,224,446
35066,"Niagara Centre/Niagara-Centre"," 142","Welland",65,63,5,0,26,0,0,159,395
35066,"Niagara Centre/Niagara-Centre"," 143","Welland",66,48,2,1,38,0,0,155,380
35066,"Niagara Centre/Niagara-Centre"," 144","Welland",100,61,9,1,31,2,1,205,423
35066,"Niagara Centre/Niagara-Centre"," 145","Welland",74,79,7,1,33,1,3,198,438
35066,"Niagara Centre/Niagara-Centre"," 146","Welland",74,64,4,0,23,0,3,168,369
35066,"Niagara Centre/Niagara-Centre"," 147","Welland",61,78,7,3,60,0,0,209,402
35066,"Niagara Centre/Niagara-Centre"," 148","Welland",58,74,4,3,47,0,0,186,385
35066,"Niagara Centre/Niagara-Centre"," 149","Welland",69,74,0,0,55,0,3,201,387
35066,"Niagara Centre/Niagara-Centre"," 150","Welland",54,92,5,1,41,0,0,193,381
35066,"Niagara Centre/Niagara-Centre"," 151","Welland",62,52,10,0,32,0,3,159,370
35066,"Niagara Centre/Niagara-Centre"," 152","Welland",67,39,8,1,19,0,0,134,347
35066,"Niagara Centre/Niagara-Centre"," 153","Welland",59,62,5,1,60,2,0,189,364
35066,"Niagara Centre/Niagara-Centre"," 154","Welland",80,57,0,1,36,0,1,175,410
35066,"Niagara Centre/Niagara-Centre"," 155","Welland",73,64,6,0,31,1,0,175,397
35066,"Niagara Centre/Niagara-Centre"," 156","Welland",63,62,3,1,59,2,1,191,395
35066,"Niagara Centre/Niagara-Centre"," 157","Welland",54,57,2,0,44,0,1,158,346
35066,"Niagara Centre/Niagara-Centre"," 158","Welland",54,71,4,0,43,0,1,173,353
35066,"Niagara Centre/Niagara-Centre"," 159","Welland",79,89,6,1,59,0,0,234,433
35066,"Niagara Centre/Niagara-Centre"," 160","Welland",84,86,2,1,74,1,2,250,469
35066,"Niagara Centre/Niagara-Centre"," 161","Welland",79,91,3,1,67,1,0,242,472
35066,"Niagara Centre/Niagara-Centre"," 162","Welland",95,91,5,1,76,0,0,268,451
35066,"Niagara Centre/Niagara-Centre"," 163","Welland",87,78,3,1,76,1,2,248,451
35066,"Niagara Centre/Niagara-Centre"," 164","Welland",58,71,5,0,41,1,1,177,378
35066,"Niagara Centre/Niagara-Centre"," 165","Welland",59,62,6,1,25,1,2,156,351
35066,"Niagara Centre/Niagara-Centre"," 166","Welland",68,80,3,2,45,0,3,201,374
35066,"Niagara Centre/Niagara-Centre"," 167","Welland",86,54,11,0,38,2,1,192,409
35066,"Niagara Centre/Niagara-Centre"," 168","Welland",62,73,4,0,38,0,0,177,348
35066,"Niagara Centre/Niagara-Centre"," 169","Port Colborne",76,83,12,1,70,0,0,242,461
35066,"Niagara Centre/Niagara-Centre"," 170","Port Colborne",61,64,2,1,81,1,0,210,378
35066,"Niagara Centre/Niagara-Centre"," 171","Port Colborne",56,75,6,0,54,0,1,192,395
35066,"Niagara Centre/Niagara-Centre"," 172","Port Colborne",50,69,5,1,63,0,0,188,325
35066,"Niagara Centre/Niagara-Centre"," 173","Port Colborne",62,75,9,3,35,0,1,185,349
35066,"Niagara Centre/Niagara-Centre"," 174","Port Colborne",55,83,2,1,68,3,1,213,418
35066,"Niagara Centre/Niagara-Centre"," 175","Port Colborne",62,56,2,1,29,0,2,152,335
35066,"Niagara Centre/Niagara-Centre"," 176","Port Colborne",78,67,1,1,53,0,2,202,393
35066,"Niagara Centre/Niagara-Centre"," 177","Port Colborne",62,74,3,0,74,2,3,218,450
35066,"Niagara Centre/Niagara-Centre"," 178","Port Colborne",50,61,4,0,49,0,0,164,351
35066,"Niagara Centre/Niagara-Centre"," 179","Port Colborne",48,105,5,0,80,0,4,242,435
35066,"Niagara Centre/Niagara-Centre"," 180","Port Colborne",70,76,4,0,44,0,0,194,436
35066,"Niagara Centre/Niagara-Centre"," 181","Port Colborne",72,74,4,0,40,0,0,190,389
35066,"Niagara Centre/Niagara-Centre"," 182","Port Colborne",80,81,9,1,48,0,2,221,432
35066,"Niagara Centre/Niagara-Centre"," 183","Port Colborne",58,78,6,3,54,2,3,204,402
35066,"Niagara Centre/Niagara-Centre"," 184","Port Colborne",62,91,5,1,52,1,4,216,398
35066,"Niagara Centre/Niagara-Centre"," 185","Port Colborne",84,74,1,0,40,0,3,202,383
35066,"Niagara Centre/Niagara-Centre"," 186","Port Colborne",76,60,4,6,40,0,0,186,386
35066,"Niagara Centre/Niagara-Centre"," 187","Port Colborne",81,55,6,0,53,0,5,200,349
35066,"Niagara Centre/Niagara-Centre"," 188","Port Colborne",87,80,7,4,28,0,2,208,422
35066,"Niagara Centre/Niagara-Centre"," 189","Port Colborne",72,66,6,2,40,1,0,187,405
35066,"Niagara Centre/Niagara-Centre"," 190","Port Colborne",73,69,8,2,63,0,3,218,378
35066,"Niagara Centre/Niagara-Centre"," 191","Port Colborne",87,79,1,1,77,0,0,245,425
35066,"Niagara Centre/Niagara-Centre"," 192","Port Colborne",44,65,5,2,22,0,1,139,295
35066,"Niagara Centre/Niagara-Centre"," 193","Port Colborne",53,35,6,2,25,1,0,122,229
35066,"Niagara Centre/Niagara-Centre"," 194","Port Colborne",30,53,2,1,82,0,0,168,377
35066,"Niagara Centre/Niagara-Centre"," 195","Port Colborne",67,28,4,1,20,0,0,120,293
35066,"Niagara Centre/Niagara-Centre"," 196","Port Colborne",56,43,4,3,16,0,2,124,289
35066,"Niagara Centre/Niagara-Centre"," 197","Port Colborne",77,90,8,1,59,1,2,238,379
35066,"Niagara Centre/Niagara-Centre"," 198","Port Colborne",80,90,11,3,49,0,0,233,435
35066,"Niagara Centre/Niagara-Centre"," 199","Port Colborne",61,73,8,4,41,0,0,187,382
35066,"Niagara Centre/Niagara-Centre"," 200","Port Colborne",47,61,4,1,28,0,1,142,391
35066,"Niagara Centre/Niagara-Centre"," 201","Port Colborne",77,91,5,1,55,0,1,230,390
35066,"Niagara Centre/Niagara-Centre"," 202","Port Colborne",78,101,3,6,84,0,3,275,475
35066,"Niagara Centre/Niagara-Centre"," 203","Port Colborne",57,89,3,2,75,0,1,227,430
35066,"Niagara Centre/Niagara-Centre"," 204","Port Colborne",47,117,5,1,80,0,0,250,434
35066,"Niagara Centre/Niagara-Centre"," 205","Port Colborne",52,125,11,5,81,0,1,275,421
35066,"Niagara Centre/Niagara-Centre"," 500","Mobile poll/Bureau itinérant",16,25,2,3,18,4,2,70,256
35066,"Niagara Centre/Niagara-Centre"," 501","Mobile poll/Bureau itinérant",48,37,0,1,27,4,1,118,161
35066,"Niagara Centre/Niagara-Centre"," 502A","Mobile poll/Bureau itinérant",34,63,1,5,75,2,5,185,266
35066,"Niagara Centre/Niagara-Centre"," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,74
35066,"Niagara Centre/Niagara-Centre"," 503","Mobile poll/Bureau itinérant",17,54,2,1,8,1,2,85,139
35066,"Niagara Centre/Niagara-Centre"," 504A","Mobile poll/Bureau itinérant",35,41,3,1,31,0,2,113,109
35066,"Niagara Centre/Niagara-Centre"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,,,115
35066,"Niagara Centre/Niagara-Centre"," 505A","Mobile poll/Bureau itinérant",26,57,4,2,37,0,1,127,119
35066,"Niagara Centre/Niagara-Centre"," 505B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,,152
35066,"Niagara Centre/Niagara-Centre"," 506","Mobile poll/Bureau itinérant",26,65,1,0,43,5,3,143,172
35066,"Niagara Centre/Niagara-Centre"," 600","St. Catharines",244,252,16,1,269,0,6,788,
35066,"Niagara Centre/Niagara-Centre"," 601","St. Catharines",216,287,15,3,344,2,3,870,
35066,"Niagara Centre/Niagara-Centre"," 602","Thorold",290,223,16,3,228,0,2,762,
35066,"Niagara Centre/Niagara-Centre"," 603","Thorold",105,76,5,2,110,0,0,298,
35066,"Niagara Centre/Niagara-Centre"," 604","Thorold",88,40,6,3,85,0,2,224,
35066,"Niagara Centre/Niagara-Centre"," 605","Welland",227,241,20,2,315,0,3,808,
35066,"Niagara Centre/Niagara-Centre"," 606","Welland",187,243,24,2,242,0,1,699,
35066,"Niagara Centre/Niagara-Centre"," 607","Welland",275,273,21,3,338,2,2,914,
35066,"Niagara Centre/Niagara-Centre"," 608","Welland",285,261,15,5,329,1,6,902,
35066,"Niagara Centre/Niagara-Centre"," 609","Welland",258,175,13,3,180,5,6,640,
35066,"Niagara Centre/Niagara-Centre"," 610","Welland",310,241,21,2,214,1,5,794,
35066,"Niagara Centre/Niagara-Centre"," 611","Port Colborne",225,207,11,5,180,1,4,633,
35066,"Niagara Centre/Niagara-Centre"," 612","Port Colborne",276,259,23,2,217,1,2,780,
35066,"Niagara Centre/Niagara-Centre"," 613","Port Colborne",233,164,11,5,175,2,5,595,
35066,"Niagara Centre/Niagara-Centre",,"Group 1/Groupe 1",20,64,5,0,34,0,9,132,78
35066,"Niagara Centre/Niagara-Centre",,"Group 2/Groupe 2",384,302,38,4,315,6,22,1071,
