Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peggy Askin,Haley Brown,Jason Kenney,Brennan Wauters,Laura Weston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48008,"Calgary Midnapore/Calgary Midnapore"," 95","Calgary",0,42,145,4,13,2,206,380
48008,"Calgary Midnapore/Calgary Midnapore"," 96","Calgary",0,57,198,7,17,0,279,497
48008,"Calgary Midnapore/Calgary Midnapore"," 97","Calgary",0,57,134,7,21,2,221,439
48008,"Calgary Midnapore/Calgary Midnapore"," 98","Calgary",0,68,80,8,16,0,172,355
48008,"Calgary Midnapore/Calgary Midnapore"," 99","Calgary",0,50,86,6,10,0,152,332
48008,"Calgary Midnapore/Calgary Midnapore"," 100","Calgary",0,59,200,5,12,1,277,474
48008,"Calgary Midnapore/Calgary Midnapore"," 101","Calgary",2,52,152,4,11,1,222,445
48008,"Calgary Midnapore/Calgary Midnapore"," 102","Calgary",2,82,169,8,16,2,279,483
48008,"Calgary Midnapore/Calgary Midnapore"," 103","Calgary",0,72,154,10,29,0,265,432
48008,"Calgary Midnapore/Calgary Midnapore"," 104","Calgary",3,61,184,3,22,0,273,484
48008,"Calgary Midnapore/Calgary Midnapore"," 105","Calgary",1,84,196,9,22,0,312,499
48008,"Calgary Midnapore/Calgary Midnapore"," 106","Calgary",1,75,188,8,14,1,287,453
48008,"Calgary Midnapore/Calgary Midnapore"," 107","Calgary",0,50,141,5,8,1,205,340
48008,"Calgary Midnapore/Calgary Midnapore"," 108","Calgary",0,53,170,11,23,0,257,447
48008,"Calgary Midnapore/Calgary Midnapore"," 109","Calgary",1,59,137,3,21,0,221,362
48008,"Calgary Midnapore/Calgary Midnapore"," 110","Calgary",0,52,146,14,27,1,240,464
48008,"Calgary Midnapore/Calgary Midnapore"," 111","Calgary",0,52,122,5,8,0,187,311
48008,"Calgary Midnapore/Calgary Midnapore"," 112","Calgary",0,31,133,2,7,0,173,308
48008,"Calgary Midnapore/Calgary Midnapore"," 113","Calgary",1,66,176,3,8,0,254,472
48008,"Calgary Midnapore/Calgary Midnapore"," 114A","Calgary",1,30,112,2,6,0,151,296
48008,"Calgary Midnapore/Calgary Midnapore"," 114B","Calgary",0,45,109,2,10,0,166,295
48008,"Calgary Midnapore/Calgary Midnapore"," 115","Calgary",0,54,183,6,21,1,265,417
48008,"Calgary Midnapore/Calgary Midnapore"," 116","Calgary",1,53,165,6,24,0,249,434
48008,"Calgary Midnapore/Calgary Midnapore"," 117","Calgary",1,67,192,8,41,1,310,453
48008,"Calgary Midnapore/Calgary Midnapore"," 118","Calgary",1,58,153,6,33,1,252,451
48008,"Calgary Midnapore/Calgary Midnapore"," 119","Calgary",0,56,155,8,17,0,236,402
48008,"Calgary Midnapore/Calgary Midnapore"," 120","Calgary",0,96,137,12,27,1,273,494
48008,"Calgary Midnapore/Calgary Midnapore"," 121","Calgary",1,60,162,8,20,0,251,470
48008,"Calgary Midnapore/Calgary Midnapore"," 122","Calgary",2,70,165,9,19,1,266,445
48008,"Calgary Midnapore/Calgary Midnapore"," 123","Calgary",0,45,164,8,12,0,229,415
48008,"Calgary Midnapore/Calgary Midnapore"," 124","Calgary",0,64,149,8,19,0,240,412
48008,"Calgary Midnapore/Calgary Midnapore"," 125","Calgary",0,71,182,9,15,3,280,448
48008,"Calgary Midnapore/Calgary Midnapore"," 126","Calgary",2,49,177,2,21,0,251,411
48008,"Calgary Midnapore/Calgary Midnapore"," 127","Calgary",0,69,178,3,17,1,268,433
48008,"Calgary Midnapore/Calgary Midnapore"," 128","Calgary",2,69,184,5,21,0,281,515
48008,"Calgary Midnapore/Calgary Midnapore"," 129","Calgary",1,48,153,7,24,1,234,509
48008,"Calgary Midnapore/Calgary Midnapore"," 130","Calgary",0,42,87,4,22,2,157,392
48008,"Calgary Midnapore/Calgary Midnapore"," 131","Calgary",0,70,197,5,22,3,297,540
48008,"Calgary Midnapore/Calgary Midnapore"," 132","Calgary",0,46,113,8,16,0,183,355
48008,"Calgary Midnapore/Calgary Midnapore"," 133","Calgary",1,62,136,6,23,1,229,401
48008,"Calgary Midnapore/Calgary Midnapore"," 134","Calgary",1,49,179,6,18,0,253,420
48008,"Calgary Midnapore/Calgary Midnapore"," 135","Calgary",1,55,165,7,11,0,239,397
48008,"Calgary Midnapore/Calgary Midnapore"," 136","Calgary",2,47,88,4,15,1,157,351
48008,"Calgary Midnapore/Calgary Midnapore"," 137A","Calgary",2,48,112,2,16,1,181,398
48008,"Calgary Midnapore/Calgary Midnapore"," 137B","Mobile poll/Bureau itinérant",2,36,197,8,8,0,251,153
48008,"Calgary Midnapore/Calgary Midnapore"," 138","Calgary",1,76,172,10,27,0,286,442
48008,"Calgary Midnapore/Calgary Midnapore"," 139","Calgary",1,54,209,6,20,0,290,466
48008,"Calgary Midnapore/Calgary Midnapore"," 140","Calgary",0,54,193,10,19,0,276,416
48008,"Calgary Midnapore/Calgary Midnapore"," 141","Calgary",0,64,168,8,15,0,255,423
48008,"Calgary Midnapore/Calgary Midnapore"," 142","Calgary",1,71,219,7,23,0,321,515
48008,"Calgary Midnapore/Calgary Midnapore"," 143","Calgary",0,56,220,4,16,1,297,477
48008,"Calgary Midnapore/Calgary Midnapore"," 144","Calgary",0,52,180,2,14,0,248,421
48008,"Calgary Midnapore/Calgary Midnapore"," 145","Calgary",1,48,173,6,13,0,241,392
48008,"Calgary Midnapore/Calgary Midnapore"," 146","Calgary",1,47,192,9,11,2,262,399
48008,"Calgary Midnapore/Calgary Midnapore"," 147","Calgary",0,64,174,8,11,0,257,400
48008,"Calgary Midnapore/Calgary Midnapore"," 148","Calgary",0,33,155,3,9,0,200,362
48008,"Calgary Midnapore/Calgary Midnapore"," 149","Calgary",1,66,227,6,14,1,315,477
48008,"Calgary Midnapore/Calgary Midnapore"," 150","Calgary",0,63,148,0,12,0,223,336
48008,"Calgary Midnapore/Calgary Midnapore"," 151","Calgary",1,64,138,5,24,1,233,413
48008,"Calgary Midnapore/Calgary Midnapore"," 152","Calgary",1,85,183,9,27,0,305,480
48008,"Calgary Midnapore/Calgary Midnapore"," 153","Calgary",1,86,186,4,21,0,298,463
48008,"Calgary Midnapore/Calgary Midnapore"," 154","Calgary",1,62,177,8,18,0,266,431
48008,"Calgary Midnapore/Calgary Midnapore"," 155","Calgary",1,75,218,11,26,0,331,482
48008,"Calgary Midnapore/Calgary Midnapore"," 156","Calgary",2,61,132,17,26,1,239,370
48008,"Calgary Midnapore/Calgary Midnapore"," 157","Calgary",0,66,228,11,38,0,343,525
48008,"Calgary Midnapore/Calgary Midnapore"," 158","Calgary",0,82,172,11,25,0,290,459
48008,"Calgary Midnapore/Calgary Midnapore"," 159","Calgary",0,54,204,8,21,0,287,454
48008,"Calgary Midnapore/Calgary Midnapore"," 160","Calgary",0,47,216,4,13,0,280,487
48008,"Calgary Midnapore/Calgary Midnapore"," 161","Calgary",2,55,135,6,16,1,215,361
48008,"Calgary Midnapore/Calgary Midnapore"," 162","Calgary",0,51,137,3,13,0,204,347
48008,"Calgary Midnapore/Calgary Midnapore"," 163","Calgary",2,46,206,6,15,1,276,407
48008,"Calgary Midnapore/Calgary Midnapore"," 164","Calgary",0,53,190,2,12,0,257,440
48008,"Calgary Midnapore/Calgary Midnapore"," 165","Calgary",0,51,232,4,19,1,307,492
48008,"Calgary Midnapore/Calgary Midnapore"," 166","Calgary",0,48,196,3,11,0,258,435
48008,"Calgary Midnapore/Calgary Midnapore"," 167","Calgary",0,72,210,4,14,0,300,446
48008,"Calgary Midnapore/Calgary Midnapore"," 168","Calgary",0,61,209,10,9,0,289,437
48008,"Calgary Midnapore/Calgary Midnapore"," 169","Calgary",0,61,244,5,14,1,325,514
48008,"Calgary Midnapore/Calgary Midnapore"," 170","Calgary",1,53,243,2,15,0,314,470
48008,"Calgary Midnapore/Calgary Midnapore"," 171","Calgary",1,45,191,2,4,0,243,370
48008,"Calgary Midnapore/Calgary Midnapore"," 172","Calgary",1,61,236,2,17,0,317,516
48008,"Calgary Midnapore/Calgary Midnapore"," 173","Calgary",0,70,228,2,14,1,315,499
48008,"Calgary Midnapore/Calgary Midnapore"," 174","Calgary",1,50,249,5,11,0,316,525
48008,"Calgary Midnapore/Calgary Midnapore"," 175","Calgary",0,56,218,2,11,1,288,441
48008,"Calgary Midnapore/Calgary Midnapore"," 176","Calgary",1,57,198,2,13,2,273,533
48008,"Calgary Midnapore/Calgary Midnapore"," 177","Calgary",0,44,96,1,8,1,150,362
48008,"Calgary Midnapore/Calgary Midnapore"," 178","Calgary",0,76,206,4,17,0,303,566
