Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sylvia Gerl,Shaun Tanaka,Peter Van Loan,Mark Viitala,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35119,"York--Simcoe/York--Simcoe"," 29","Georgina",27,84,92,12,2,217,471
35119,"York--Simcoe/York--Simcoe"," 30","Georgina",26,80,106,9,0,221,460
35119,"York--Simcoe/York--Simcoe"," 31","Georgina",18,77,98,5,1,199,474
35119,"York--Simcoe/York--Simcoe"," 32","Georgina",17,76,95,3,3,194,389
35119,"York--Simcoe/York--Simcoe"," 33","Georgina",15,60,86,4,1,166,326
35119,"York--Simcoe/York--Simcoe"," 34","Georgina",16,64,91,5,1,177,337
35119,"York--Simcoe/York--Simcoe"," 35","Georgina",26,70,106,2,1,205,422
35119,"York--Simcoe/York--Simcoe"," 36","Georgina",22,69,93,4,0,188,364
35119,"York--Simcoe/York--Simcoe"," 37","Georgina",10,72,106,6,4,198,401
35119,"York--Simcoe/York--Simcoe"," 38","Georgina",20,69,125,5,0,219,406
35119,"York--Simcoe/York--Simcoe"," 39","Georgina",13,51,80,4,1,149,362
35119,"York--Simcoe/York--Simcoe"," 40","Georgina",14,68,90,2,0,174,356
35119,"York--Simcoe/York--Simcoe"," 41","Georgina",20,54,65,6,0,145,380
35119,"York--Simcoe/York--Simcoe"," 42","Georgina",15,69,103,9,0,196,477
35119,"York--Simcoe/York--Simcoe"," 43","Georgina",15,91,100,7,2,215,460
35119,"York--Simcoe/York--Simcoe"," 44","Georgina",20,66,114,3,1,204,446
35119,"York--Simcoe/York--Simcoe"," 45","Georgina",14,65,89,0,2,170,403
35119,"York--Simcoe/York--Simcoe"," 46","Georgina",22,55,82,3,1,163,325
35119,"York--Simcoe/York--Simcoe"," 47","Georgina",24,79,113,3,0,219,432
35119,"York--Simcoe/York--Simcoe"," 48","Georgina",21,76,84,7,1,189,479
35119,"York--Simcoe/York--Simcoe"," 49","Georgina",34,61,82,4,0,181,407
35119,"York--Simcoe/York--Simcoe"," 50","Georgina",22,102,106,7,0,237,480
35119,"York--Simcoe/York--Simcoe"," 51","Georgina",29,113,130,8,1,281,510
35119,"York--Simcoe/York--Simcoe"," 52","Georgina",33,77,67,4,1,182,399
35119,"York--Simcoe/York--Simcoe"," 53","Georgina",21,80,67,2,1,171,391
35119,"York--Simcoe/York--Simcoe"," 54","Georgina",15,65,97,12,2,191,414
35119,"York--Simcoe/York--Simcoe"," 55","Georgina",15,74,113,6,0,208,487
35119,"York--Simcoe/York--Simcoe"," 56","Georgina",28,60,73,7,4,172,387
35119,"York--Simcoe/York--Simcoe"," 57","Georgina",27,49,77,2,4,159,389
35119,"York--Simcoe/York--Simcoe"," 58","Georgina",29,48,75,5,4,161,366
35119,"York--Simcoe/York--Simcoe"," 59","Georgina",26,81,82,8,0,197,439
35119,"York--Simcoe/York--Simcoe"," 60","Georgina",23,67,69,8,1,168,368
35119,"York--Simcoe/York--Simcoe"," 61","Georgina",28,68,85,4,0,185,392
35119,"York--Simcoe/York--Simcoe"," 62","Georgina",26,68,86,6,0,186,409
35119,"York--Simcoe/York--Simcoe"," 63","Georgina",22,69,88,7,0,186,362
35119,"York--Simcoe/York--Simcoe"," 64","Georgina",23,97,111,3,1,235,430
35119,"York--Simcoe/York--Simcoe"," 65","Georgina",12,80,117,5,0,214,401
35119,"York--Simcoe/York--Simcoe"," 66","Georgina",17,84,90,8,0,199,406
35119,"York--Simcoe/York--Simcoe"," 67","Georgina",20,102,104,5,0,231,448
35119,"York--Simcoe/York--Simcoe"," 68A","Georgina",15,79,91,5,0,190,334
35119,"York--Simcoe/York--Simcoe"," 68B","Georgina",12,76,69,3,1,161,300
35119,"York--Simcoe/York--Simcoe"," 69","Georgina",19,56,119,11,0,205,418
35119,"York--Simcoe/York--Simcoe"," 70","Georgina",18,54,97,4,1,174,376
35119,"York--Simcoe/York--Simcoe"," 71","Georgina",14,67,98,7,0,186,408
35119,"York--Simcoe/York--Simcoe"," 72","Georgina",22,81,113,11,1,228,449
35119,"York--Simcoe/York--Simcoe"," 73","Georgina",20,64,104,5,0,193,378
35119,"York--Simcoe/York--Simcoe"," 74","Georgina",13,65,97,6,1,182,403
35119,"York--Simcoe/York--Simcoe"," 75","Georgina",24,71,84,12,0,191,389
35119,"York--Simcoe/York--Simcoe"," 76","Georgina",22,44,126,3,0,195,376
35119,"York--Simcoe/York--Simcoe"," 77","Georgina",21,57,146,16,0,240,392
35119,"York--Simcoe/York--Simcoe"," 78","Georgina",19,76,146,12,0,253,477
35119,"York--Simcoe/York--Simcoe"," 79","Georgina",20,79,96,7,0,202,387
35119,"York--Simcoe/York--Simcoe"," 80","Georgina",26,92,107,7,1,233,414
35119,"York--Simcoe/York--Simcoe"," 81","Bradford West Gwillimbury",19,81,117,8,1,226,496
35119,"York--Simcoe/York--Simcoe"," 82","Bradford West Gwillimbury",11,80,144,12,0,247,506
35119,"York--Simcoe/York--Simcoe"," 83","Bradford West Gwillimbury",12,69,120,12,1,214,429
35119,"York--Simcoe/York--Simcoe"," 84","Bradford West Gwillimbury",15,63,89,9,0,176,376
35119,"York--Simcoe/York--Simcoe"," 85","Bradford West Gwillimbury",8,59,101,1,0,169,405
35119,"York--Simcoe/York--Simcoe"," 86","Bradford West Gwillimbury",12,84,70,3,2,171,470
35119,"York--Simcoe/York--Simcoe"," 87","Bradford West Gwillimbury",20,57,86,4,1,168,395
35119,"York--Simcoe/York--Simcoe"," 88","Bradford West Gwillimbury",9,85,94,2,0,190,454
35119,"York--Simcoe/York--Simcoe"," 89A","Bradford West Gwillimbury",9,68,47,2,0,126,306
35119,"York--Simcoe/York--Simcoe"," 89B","Bradford West Gwillimbury",9,65,47,1,1,123,314
35119,"York--Simcoe/York--Simcoe"," 90A","Bradford West Gwillimbury",5,65,61,2,1,134,376
35119,"York--Simcoe/York--Simcoe"," 90B","Bradford West Gwillimbury",16,69,85,3,0,173,405
35119,"York--Simcoe/York--Simcoe"," 91","Bradford West Gwillimbury",14,76,97,3,1,191,484
35119,"York--Simcoe/York--Simcoe"," 92A","Bradford West Gwillimbury",9,69,67,1,0,146,338
35119,"York--Simcoe/York--Simcoe"," 92B","Bradford West Gwillimbury",20,62,63,2,0,147,365
35119,"York--Simcoe/York--Simcoe"," 92C","Bradford West Gwillimbury",10,77,62,1,0,150,385
35119,"York--Simcoe/York--Simcoe"," 93A","Bradford West Gwillimbury",11,61,68,2,0,142,377
35119,"York--Simcoe/York--Simcoe"," 93B","Bradford West Gwillimbury",8,46,76,0,2,132,357
35119,"York--Simcoe/York--Simcoe"," 94","Bradford West Gwillimbury",22,101,121,6,0,250,526
35119,"York--Simcoe/York--Simcoe"," 95","Bradford West Gwillimbury",15,75,101,3,0,194,427
35119,"York--Simcoe/York--Simcoe"," 96","Bradford West Gwillimbury",15,78,78,8,1,180,456
35119,"York--Simcoe/York--Simcoe"," 97","Bradford West Gwillimbury",21,70,69,3,0,163,418
35119,"York--Simcoe/York--Simcoe"," 98","Bradford West Gwillimbury",6,72,69,7,0,154,387
35119,"York--Simcoe/York--Simcoe"," 99","Bradford West Gwillimbury",13,87,71,4,4,179,442
35119,"York--Simcoe/York--Simcoe"," 100","Bradford West Gwillimbury",23,103,79,8,2,215,506
35119,"York--Simcoe/York--Simcoe"," 101","Bradford West Gwillimbury",18,56,75,7,0,156,380
35119,"York--Simcoe/York--Simcoe"," 102","Bradford West Gwillimbury",18,81,63,3,1,166,359
35119,"York--Simcoe/York--Simcoe"," 103","Bradford West Gwillimbury",18,100,108,5,0,231,494
35119,"York--Simcoe/York--Simcoe"," 104","Bradford West Gwillimbury",17,100,131,6,3,257,520
35119,"York--Simcoe/York--Simcoe"," 105","Bradford West Gwillimbury",23,87,91,4,1,206,414
35119,"York--Simcoe/York--Simcoe"," 106","Bradford West Gwillimbury",12,45,73,5,0,135,313
35119,"York--Simcoe/York--Simcoe"," 107","Bradford West Gwillimbury",20,59,73,6,1,159,435
35119,"York--Simcoe/York--Simcoe"," 108","Bradford West Gwillimbury",22,56,56,7,0,141,435
35119,"York--Simcoe/York--Simcoe"," 109","Bradford West Gwillimbury",19,87,106,7,1,220,457
35119,"York--Simcoe/York--Simcoe"," 110","Bradford West Gwillimbury",16,74,95,2,1,188,507
35119,"York--Simcoe/York--Simcoe"," 111","Bradford West Gwillimbury",19,82,69,11,1,182,454
35119,"York--Simcoe/York--Simcoe"," 112","Bradford West Gwillimbury",18,86,79,7,3,193,426
35119,"York--Simcoe/York--Simcoe"," 113A","Bradford West Gwillimbury",14,46,46,4,0,110,319
35119,"York--Simcoe/York--Simcoe"," 113B","Bradford West Gwillimbury",8,61,55,4,0,128,345
35119,"York--Simcoe/York--Simcoe"," 114","Bradford West Gwillimbury",19,90,72,6,0,187,437
35119,"York--Simcoe/York--Simcoe"," 115","Bradford West Gwillimbury",14,85,70,5,1,175,381
35119,"York--Simcoe/York--Simcoe"," 116","Bradford West Gwillimbury",8,63,86,5,1,163,353
35119,"York--Simcoe/York--Simcoe"," 117","Bradford West Gwillimbury",13,52,78,4,0,147,346
35119,"York--Simcoe/York--Simcoe"," 118A","Bradford West Gwillimbury",7,54,63,3,3,130,295
35119,"York--Simcoe/York--Simcoe"," 118B","Bradford West Gwillimbury",7,58,55,5,0,125,296
35119,"York--Simcoe/York--Simcoe"," 119","Bradford West Gwillimbury",27,85,115,7,0,234,531
35119,"York--Simcoe/York--Simcoe"," 120","Bradford West Gwillimbury",13,92,82,8,1,196,419
35119,"York--Simcoe/York--Simcoe"," 121","Bradford West Gwillimbury",26,79,99,3,1,208,463
35119,"York--Simcoe/York--Simcoe"," 122","Bradford West Gwillimbury",21,71,108,6,1,207,452
35119,"York--Simcoe/York--Simcoe"," 123","Bradford West Gwillimbury",10,88,97,6,1,202,454
35119,"York--Simcoe/York--Simcoe"," 124","Bradford West Gwillimbury",27,81,86,7,2,203,496
35119,"York--Simcoe/York--Simcoe"," 125","Bradford West Gwillimbury",11,58,66,4,0,139,356
35119,"York--Simcoe/York--Simcoe"," 126","Bradford West Gwillimbury",10,50,119,1,1,181,389
35119,"York--Simcoe/York--Simcoe"," 127","Bradford West Gwillimbury",11,73,84,2,0,170,510
35119,"York--Simcoe/York--Simcoe"," 128A","Bradford West Gwillimbury",6,46,74,5,0,131,295
35119,"York--Simcoe/York--Simcoe"," 128B","Bradford West Gwillimbury",7,50,57,4,0,118,292
35119,"York--Simcoe/York--Simcoe"," 129","Bradford West Gwillimbury",7,69,103,9,1,189,399
35119,"York--Simcoe/York--Simcoe"," 130","Bradford West Gwillimbury",15,60,112,11,4,202,421
35119,"York--Simcoe/York--Simcoe"," 131","King",15,55,119,6,1,196,348
35119,"York--Simcoe/York--Simcoe"," 132","King",8,62,100,10,0,180,315
35119,"York--Simcoe/York--Simcoe"," 133","King",17,41,93,10,0,161,310
35119,"York--Simcoe/York--Simcoe"," 134","East Gwillimbury",19,52,81,9,1,162,333
35119,"York--Simcoe/York--Simcoe"," 135","East Gwillimbury",13,76,117,4,0,210,455
35119,"York--Simcoe/York--Simcoe"," 136","East Gwillimbury",16,85,106,7,2,216,408
35119,"York--Simcoe/York--Simcoe"," 137","East Gwillimbury",16,71,121,6,0,214,380
35119,"York--Simcoe/York--Simcoe"," 138","East Gwillimbury",17,79,131,10,0,237,445
35119,"York--Simcoe/York--Simcoe"," 139","East Gwillimbury",13,55,103,5,1,177,332
35119,"York--Simcoe/York--Simcoe"," 140","East Gwillimbury",13,40,100,8,0,161,296
35119,"York--Simcoe/York--Simcoe"," 141","East Gwillimbury",21,60,152,7,1,241,436
35119,"York--Simcoe/York--Simcoe"," 142","East Gwillimbury",17,91,154,8,3,273,487
35119,"York--Simcoe/York--Simcoe"," 143","East Gwillimbury",12,65,103,9,2,191,377
35119,"York--Simcoe/York--Simcoe"," 144","East Gwillimbury",14,123,161,5,0,303,503
35119,"York--Simcoe/York--Simcoe"," 145","East Gwillimbury",29,128,142,6,1,306,526
35119,"York--Simcoe/York--Simcoe"," 146","East Gwillimbury",13,63,128,13,0,217,409
35119,"York--Simcoe/York--Simcoe"," 147","East Gwillimbury",19,79,109,11,0,218,408
35119,"York--Simcoe/York--Simcoe"," 148","East Gwillimbury",27,98,134,8,1,268,516
35119,"York--Simcoe/York--Simcoe"," 149","East Gwillimbury",10,59,86,4,0,159,294
35119,"York--Simcoe/York--Simcoe"," 150","East Gwillimbury",14,69,70,8,2,163,330
35119,"York--Simcoe/York--Simcoe"," 151","East Gwillimbury",11,56,67,7,0,141,297
35119,"York--Simcoe/York--Simcoe"," 152","East Gwillimbury",17,80,86,4,1,188,357
35119,"York--Simcoe/York--Simcoe"," 153","East Gwillimbury",11,66,99,3,0,179,361
35119,"York--Simcoe/York--Simcoe"," 154","East Gwillimbury",15,108,105,5,4,237,431
35119,"York--Simcoe/York--Simcoe"," 155","East Gwillimbury",7,74,119,3,1,204,400
35119,"York--Simcoe/York--Simcoe"," 156","East Gwillimbury",10,73,125,0,0,208,421
35119,"York--Simcoe/York--Simcoe"," 157","East Gwillimbury",12,82,88,6,0,188,353
35119,"York--Simcoe/York--Simcoe"," 158","East Gwillimbury",6,78,119,5,1,209,448
35119,"York--Simcoe/York--Simcoe"," 159","East Gwillimbury",13,68,74,11,3,169,329
35119,"York--Simcoe/York--Simcoe"," 160","East Gwillimbury",12,67,97,7,0,183,408
35119,"York--Simcoe/York--Simcoe"," 161","East Gwillimbury",9,56,107,4,0,176,377
35119,"York--Simcoe/York--Simcoe"," 162","East Gwillimbury",13,65,114,12,0,204,403
35119,"York--Simcoe/York--Simcoe"," 163","East Gwillimbury",8,63,110,7,2,190,482
35119,"York--Simcoe/York--Simcoe"," 164","East Gwillimbury",9,76,103,14,2,204,401
35119,"York--Simcoe/York--Simcoe"," 165","East Gwillimbury",12,83,103,10,2,210,407
35119,"York--Simcoe/York--Simcoe"," 166","East Gwillimbury",27,110,153,5,0,295,574
35119,"York--Simcoe/York--Simcoe"," 167","East Gwillimbury",15,100,125,7,3,250,466
35119,"York--Simcoe/York--Simcoe"," 168","East Gwillimbury",12,98,114,10,1,235,466
35119,"York--Simcoe/York--Simcoe"," 169","East Gwillimbury",19,51,65,3,0,138,335
35119,"York--Simcoe/York--Simcoe"," 170","East Gwillimbury",16,88,77,5,0,186,388
35119,"York--Simcoe/York--Simcoe"," 171","East Gwillimbury",21,84,123,4,0,232,435
35119,"York--Simcoe/York--Simcoe"," 172","East Gwillimbury",21,130,149,8,0,308,557
35119,"York--Simcoe/York--Simcoe"," 173","East Gwillimbury",18,88,100,8,0,214,395
35119,"York--Simcoe/York--Simcoe"," 400","Georgina",14,29,59,1,1,104,144
35119,"York--Simcoe/York--Simcoe"," 401A","Georgina",2,25,57,2,1,87,124
35119,"York--Simcoe/York--Simcoe"," 401B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,25
35119,"York--Simcoe/York--Simcoe"," 402","Bradford West Gwillimbury",6,24,29,4,3,66,169
35119,"York--Simcoe/York--Simcoe"," 500","Mobile poll/Bureau itinérant",17,29,35,4,2,87,201
35119,"York--Simcoe/York--Simcoe"," 501","Mobile poll/Bureau itinérant",11,36,37,5,4,93,114
35119,"York--Simcoe/York--Simcoe"," 502","Mobile poll/Bureau itinérant",10,26,23,5,1,65,99
35119,"York--Simcoe/York--Simcoe"," 503","Mobile poll/Bureau itinérant",6,17,23,2,1,49,80
35119,"York--Simcoe/York--Simcoe"," 504","Mobile poll/Bureau itinérant",9,17,12,4,4,46,92
35119,"York--Simcoe/York--Simcoe"," 505","Mobile poll/Bureau itinérant",7,16,10,1,2,36,47
35119,"York--Simcoe/York--Simcoe"," 600","Georgina",54,197,376,24,1,652,
35119,"York--Simcoe/York--Simcoe"," 601","Georgina",75,285,379,16,1,756,
35119,"York--Simcoe/York--Simcoe"," 602","Georgina",93,284,527,27,3,934,
35119,"York--Simcoe/York--Simcoe"," 603","Georgina",72,261,404,37,1,775,
35119,"York--Simcoe/York--Simcoe"," 604","Georgina",73,272,412,24,2,783,
35119,"York--Simcoe/York--Simcoe"," 605","Georgina",59,230,339,16,1,645,
35119,"York--Simcoe/York--Simcoe"," 606","East Gwillimbury",73,428,496,33,0,1030,
35119,"York--Simcoe/York--Simcoe"," 607","East Gwillimbury",57,443,543,26,1,1070,
35119,"York--Simcoe/York--Simcoe"," 608","East Gwillimbury",49,244,352,25,4,674,
35119,"York--Simcoe/York--Simcoe"," 609","Bradford West Gwillimbury",54,384,585,16,2,1041,
35119,"York--Simcoe/York--Simcoe"," 610","Bradford West Gwillimbury",59,312,420,30,7,828,
35119,"York--Simcoe/York--Simcoe"," 611","Bradford West Gwillimbury",54,456,580,18,12,1120,
35119,"York--Simcoe/York--Simcoe"," 612","Bradford West Gwillimbury",64,332,510,42,10,958,
35119,"York--Simcoe/York--Simcoe",,"Group 1/Groupe 1",13,41,31,1,6,92,57
35119,"York--Simcoe/York--Simcoe",,"Group 2/Groupe 2",73,311,358,30,18,790,
