Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Fred DeLorey,Sean Fraser,David Hachey,Ross Landry,Alexander J. MacKenzie,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12002,"Central Nova/Nova-Centre"," 27A","Antigonish",40,138,9,21,1,6,215,225
12002,"Central Nova/Nova-Centre"," 27B","Antigonish",30,120,9,22,0,1,182,186
12002,"Central Nova/Nova-Centre"," 27C","Antigonish",54,144,12,29,0,2,241,242
12002,"Central Nova/Nova-Centre"," 28","Antigonish",31,124,9,22,0,2,188,403
12002,"Central Nova/Nova-Centre"," 29","Antigonish",24,75,3,9,0,0,111,247
12002,"Central Nova/Nova-Centre"," 30","Antigonish",36,115,7,25,0,1,184,355
12002,"Central Nova/Nova-Centre"," 31","James River",31,88,5,5,1,0,130,245
12002,"Central Nova/Nova-Centre"," 32A","Saint-Joseph",28,102,7,11,0,1,149,227
12002,"Central Nova/Nova-Centre"," 32B","Saint-Joseph",44,96,2,15,0,0,157,261
12002,"Central Nova/Nova-Centre"," 33","Kenzieville",41,102,4,12,0,2,161,260
12002,"Central Nova/Nova-Centre"," 34","Lismore",42,170,8,6,1,1,228,370
12002,"Central Nova/Nova-Centre"," 35","Arisaig",35,86,8,4,1,1,135,200
12002,"Central Nova/Nova-Centre"," 36","Little Harbour",51,92,13,10,6,0,172,390
12002,"Central Nova/Nova-Centre"," 37","Little Harbour",48,118,21,11,2,1,201,355
12002,"Central Nova/Nova-Centre"," 38","Little Harbour",54,79,3,20,3,0,159,281
12002,"Central Nova/Nova-Centre"," 39","Pictou Island",0,11,0,4,0,1,16,23
12002,"Central Nova/Nova-Centre"," 40","Caribou",78,148,22,36,1,1,286,469
12002,"Central Nova/Nova-Centre"," 41A","Pictou, Subd. A",29,75,6,19,4,0,133,219
12002,"Central Nova/Nova-Centre"," 41B","Pictou, Subd. A",43,104,11,11,2,1,172,277
12002,"Central Nova/Nova-Centre"," 42","Pictou Landing Reserve",4,118,3,63,2,1,191,193
12002,"Central Nova/Nova-Centre"," 43","Pictou Landing",43,105,9,29,32,2,220,356
12002,"Central Nova/Nova-Centre"," 44","Pictou",33,91,6,21,0,0,151,291
12002,"Central Nova/Nova-Centre"," 45","Pictou",37,87,11,21,2,0,158,306
12002,"Central Nova/Nova-Centre"," 46","Pictou",26,87,8,11,1,0,133,252
12002,"Central Nova/Nova-Centre"," 47","Pictou",29,108,8,23,4,0,172,318
12002,"Central Nova/Nova-Centre"," 48","Pictou",25,96,11,28,4,2,166,299
12002,"Central Nova/Nova-Centre"," 49","Pictou",19,73,10,11,2,1,116,222
12002,"Central Nova/Nova-Centre"," 50","Pictou",48,87,7,11,6,0,159,324
12002,"Central Nova/Nova-Centre"," 51","Pictou",31,82,8,21,1,1,144,346
12002,"Central Nova/Nova-Centre"," 52","Lyons Brook",52,67,5,14,4,0,142,261
12002,"Central Nova/Nova-Centre"," 53","Lyons Brook",61,121,10,16,2,1,211,375
12002,"Central Nova/Nova-Centre"," 54","Lyons Brook",35,66,10,9,4,0,124,216
12002,"Central Nova/Nova-Centre"," 55","Toney River",43,125,15,14,1,1,199,264
12002,"Central Nova/Nova-Centre"," 56","Cape John",66,121,16,14,2,2,221,409
12002,"Central Nova/Nova-Centre"," 57","River John",37,81,18,14,3,0,153,317
12002,"Central Nova/Nova-Centre"," 58","Welsford",41,69,15,10,4,3,142,295
12002,"Central Nova/Nova-Centre"," 59","West Branch",40,86,22,13,4,0,165,254
12002,"Central Nova/Nova-Centre"," 60","Scotsburn",69,126,13,9,1,0,218,313
12002,"Central Nova/Nova-Centre"," 61","Durham",48,174,15,24,2,0,263,444
12002,"Central Nova/Nova-Centre"," 62","Pictou, Subd. A",49,114,6,28,5,0,202,362
12002,"Central Nova/Nova-Centre"," 63","Loch Broom",48,98,7,31,5,1,190,406
12002,"Central Nova/Nova-Centre"," 64","Mount William",66,111,7,13,6,0,203,380
12002,"Central Nova/Nova-Centre"," 65","Alma",41,88,3,8,4,1,145,233
12002,"Central Nova/Nova-Centre"," 66","Abercrombie",38,79,4,17,1,1,140,216
12002,"Central Nova/Nova-Centre"," 67","Abercrombie",66,104,7,13,9,0,199,354
12002,"Central Nova/Nova-Centre"," 68","Pictou",41,87,9,22,3,1,163,319
12002,"Central Nova/Nova-Centre"," 69","Hillside",38,92,2,29,17,1,179,302
12002,"Central Nova/Nova-Centre"," 70","Trenton",43,112,3,34,8,1,201,377
12002,"Central Nova/Nova-Centre"," 71","Trenton",40,114,8,29,9,1,201,383
12002,"Central Nova/Nova-Centre"," 72","Trenton",16,54,5,12,5,0,92,212
12002,"Central Nova/Nova-Centre"," 73","Trenton",41,124,3,48,6,0,222,372
12002,"Central Nova/Nova-Centre"," 74","Trenton",40,67,4,40,7,0,158,350
12002,"Central Nova/Nova-Centre"," 75","Trenton",35,119,2,31,3,0,190,399
12002,"Central Nova/Nova-Centre"," 76","Linacy",67,139,5,16,5,0,232,358
12002,"Central Nova/Nova-Centre"," 77","Linacy",57,126,5,17,7,1,213,361
12002,"Central Nova/Nova-Centre"," 78","Pine Tree",30,67,4,3,0,0,104,190
12002,"Central Nova/Nova-Centre"," 79","Merigomish",51,179,5,16,4,0,255,431
12002,"Central Nova/Nova-Centre"," 80","French River",31,61,4,5,2,0,103,179
12002,"Central Nova/Nova-Centre"," 81","East River St. Marys",25,20,2,4,0,0,51,64
12002,"Central Nova/Nova-Centre"," 82","Blue Mountain",15,46,4,7,3,0,75,129
12002,"Central Nova/Nova-Centre"," 83","Thorburn",49,86,3,9,1,2,150,259
12002,"Central Nova/Nova-Centre"," 84","McLellan Mountain",67,131,9,11,9,3,230,403
12002,"Central Nova/Nova-Centre"," 85","Thorburn",56,122,5,18,3,1,205,399
12002,"Central Nova/Nova-Centre"," 86","New Glasgow",35,103,5,19,3,0,165,347
12002,"Central Nova/Nova-Centre"," 87","New Glasgow",36,113,23,8,1,0,181,411
12002,"Central Nova/Nova-Centre"," 88","New Glasgow",51,130,6,15,3,0,205,472
12002,"Central Nova/Nova-Centre"," 89","New Glasgow",32,64,5,23,2,0,126,305
12002,"Central Nova/Nova-Centre"," 90","New Glasgow",73,159,6,37,1,0,276,455
12002,"Central Nova/Nova-Centre"," 91","New Glasgow",64,135,14,23,5,1,242,398
12002,"Central Nova/Nova-Centre"," 92","New Glasgow",42,108,4,10,2,0,166,268
12002,"Central Nova/Nova-Centre"," 93","New Glasgow",51,112,7,26,2,1,199,301
12002,"Central Nova/Nova-Centre"," 94","New Glasgow",77,154,9,18,1,0,259,453
12002,"Central Nova/Nova-Centre"," 95","New Glasgow",48,131,4,23,3,1,210,403
12002,"Central Nova/Nova-Centre"," 96","New Glasgow",59,112,4,15,3,2,195,349
12002,"Central Nova/Nova-Centre"," 97","New Glasgow",81,115,6,9,0,1,212,353
12002,"Central Nova/Nova-Centre"," 98","New Glasgow",67,150,5,14,3,0,239,449
12002,"Central Nova/Nova-Centre"," 99","New Glasgow",54,149,7,18,3,0,231,442
12002,"Central Nova/Nova-Centre"," 100","New Glasgow",41,97,13,20,2,0,173,328
12002,"Central Nova/Nova-Centre"," 101","New Glasgow",45,78,5,11,5,0,144,339
12002,"Central Nova/Nova-Centre"," 102","New Glasgow",68,123,8,22,7,1,229,404
12002,"Central Nova/Nova-Centre"," 103","Stellarton",32,103,7,8,3,2,155,302
12002,"Central Nova/Nova-Centre"," 104","Stellarton",22,67,2,18,2,0,111,279
12002,"Central Nova/Nova-Centre"," 105","Plymouth",52,121,9,7,2,0,191,350
12002,"Central Nova/Nova-Centre"," 106","Stellarton",41,64,3,12,3,1,124,278
12002,"Central Nova/Nova-Centre"," 107","Stellarton",38,56,4,17,2,0,117,223
12002,"Central Nova/Nova-Centre"," 108","Stellarton",40,99,11,9,2,2,163,336
12002,"Central Nova/Nova-Centre"," 109","Stellarton",45,78,1,11,5,3,143,311
12002,"Central Nova/Nova-Centre"," 110","Stellarton",41,97,6,8,1,1,154,290
12002,"Central Nova/Nova-Centre"," 111","Westville",23,69,3,21,3,0,119,248
12002,"Central Nova/Nova-Centre"," 112","Westville",33,80,5,14,3,1,136,270
12002,"Central Nova/Nova-Centre"," 113","Westville",51,98,13,36,3,0,201,399
12002,"Central Nova/Nova-Centre"," 114","Westville",64,105,7,18,1,3,198,408
12002,"Central Nova/Nova-Centre"," 115","Westville",70,114,8,17,5,1,215,387
12002,"Central Nova/Nova-Centre"," 116","Westville",40,78,9,22,4,0,153,327
12002,"Central Nova/Nova-Centre"," 117","Westville",50,115,11,18,5,2,201,374
12002,"Central Nova/Nova-Centre"," 118","Westville",38,82,3,19,1,0,143,287
12002,"Central Nova/Nova-Centre"," 119","Westville",24,72,8,14,0,0,118,277
12002,"Central Nova/Nova-Centre"," 120","Stellarton",39,83,6,17,3,1,149,288
12002,"Central Nova/Nova-Centre"," 121","Stellarton",35,87,7,12,3,2,146,301
12002,"Central Nova/Nova-Centre"," 122","Stellarton",37,58,3,9,3,0,110,189
12002,"Central Nova/Nova-Centre"," 123","Stellarton",45,85,9,4,1,0,144,306
12002,"Central Nova/Nova-Centre"," 124","Stellarton",58,117,7,11,1,0,194,392
12002,"Central Nova/Nova-Centre"," 125","Riverton",67,95,1,19,3,2,187,353
12002,"Central Nova/Nova-Centre"," 126","Mountville",49,108,9,16,3,1,186,394
12002,"Central Nova/Nova-Centre"," 127","Churchville",43,77,5,11,2,3,141,259
12002,"Central Nova/Nova-Centre"," 128","McLellans Brook",79,158,6,18,2,1,264,391
12002,"Central Nova/Nova-Centre"," 129","Bridgeville",59,96,7,21,5,2,190,290
12002,"Central Nova/Nova-Centre"," 130","Eureka",59,108,10,17,8,0,202,348
12002,"Central Nova/Nova-Centre"," 131","Hopewell",65,111,5,14,6,2,203,390
12002,"Central Nova/Nova-Centre"," 132A","White Hill",41,74,13,8,4,0,140,239
12002,"Central Nova/Nova-Centre"," 132B","White Hill",55,116,9,11,7,2,200,310
12002,"Central Nova/Nova-Centre"," 133","Millbrook",48,124,9,23,6,1,211,347
12002,"Central Nova/Nova-Centre"," 134","Greenhill",73,114,20,20,2,0,229,378
12002,"Central Nova/Nova-Centre"," 135","Salt Springs",34,109,16,17,1,2,179,278
12002,"Central Nova/Nova-Centre"," 136","Elmfield",21,74,10,8,2,1,116,231
12002,"Central Nova/Nova-Centre"," 137","Mount Thom",37,89,13,22,3,4,168,286
12002,"Central Nova/Nova-Centre"," 138","Lorne",41,62,4,3,3,1,114,198
12002,"Central Nova/Nova-Centre"," 139","Sunnybrae",22,43,7,12,1,0,85,154
12002,"Central Nova/Nova-Centre"," 140","Garden of Eden",28,34,0,1,2,0,65,90
12002,"Central Nova/Nova-Centre"," 141","Caledonia",7,14,2,4,0,0,27,40
12002,"Central Nova/Nova-Centre"," 142","Goshen",78,108,9,7,0,0,202,265
12002,"Central Nova/Nova-Centre"," 143","Aspen",51,121,10,3,1,1,187,280
12002,"Central Nova/Nova-Centre"," 144","Lochaber",47,83,8,15,1,0,154,253
12002,"Central Nova/Nova-Centre"," 145","Port Bickerton",75,59,8,18,1,1,162,335
12002,"Central Nova/Nova-Centre"," 146","Port Bickerton",43,79,1,8,0,1,132,172
12002,"Central Nova/Nova-Centre"," 147","Sherbrooke",45,93,4,12,2,0,156,263
12002,"Central Nova/Nova-Centre"," 148","Liscomb",48,66,2,9,1,0,126,191
12002,"Central Nova/Nova-Centre"," 149","Ecum Secum",29,77,1,13,2,0,122,239
12002,"Central Nova/Nova-Centre"," 150","Sheet Harbour",43,114,9,19,0,4,189,423
12002,"Central Nova/Nova-Centre"," 151","Sheet Harbour",65,89,8,18,1,1,182,381
12002,"Central Nova/Nova-Centre"," 152","Dean",28,59,3,18,0,3,111,175
12002,"Central Nova/Nova-Centre"," 153","Upper Musquodoboit",86,127,8,44,1,0,266,487
12002,"Central Nova/Nova-Centre"," 154","Sheet Harbour",33,69,6,18,1,1,128,246
12002,"Central Nova/Nova-Centre"," 155","Mushaboom",20,33,2,2,0,1,58,120
12002,"Central Nova/Nova-Centre"," 156","Mooseland",6,20,5,2,1,0,34,45
12002,"Central Nova/Nova-Centre"," 157","Middle Musquodoboit",51,97,15,28,3,0,194,406
12002,"Central Nova/Nova-Centre"," 158","Chaswood",62,100,8,19,1,0,190,434
12002,"Central Nova/Nova-Centre"," 159","Elderbank",36,50,1,10,0,0,97,180
12002,"Central Nova/Nova-Centre"," 160","Cooks Brook",35,82,2,14,1,1,135,281
12002,"Central Nova/Nova-Centre"," 161","Cooks Brook",8,36,3,3,1,0,51,160
12002,"Central Nova/Nova-Centre"," 162","Carrolls Corner",67,170,6,27,2,3,275,473
12002,"Central Nova/Nova-Centre"," 163","Dutch Settlement",47,112,9,10,0,2,180,253
12002,"Central Nova/Nova-Centre"," 164","Dutch Settlement",36,138,7,18,2,1,202,324
12002,"Central Nova/Nova-Centre"," 165","Meaghers Grant",42,104,9,25,0,0,180,309
12002,"Central Nova/Nova-Centre"," 166","Head of Chezzetcook",7,40,1,6,0,0,54,121
12002,"Central Nova/Nova-Centre"," 167","Lake Charlotte",48,107,11,17,1,0,184,298
12002,"Central Nova/Nova-Centre"," 168","Clam Harbour",61,77,7,22,4,0,171,322
12002,"Central Nova/Nova-Centre"," 169","East Ship Harbour",43,83,6,27,1,0,160,234
12002,"Central Nova/Nova-Centre"," 170","Tangier--Spry Harbour",56,113,4,18,0,2,193,366
12002,"Central Nova/Nova-Centre"," 171","Ship Harbour",38,75,3,16,2,0,134,187
12002,"Central Nova/Nova-Centre"," 172","Musquodoboit Harbour",27,93,9,20,0,2,151,280
12002,"Central Nova/Nova-Centre"," 173","Musquodoboit Harbour",69,109,12,13,3,1,207,318
12002,"Central Nova/Nova-Centre"," 174","West Petpeswick",36,142,12,27,0,0,217,365
12002,"Central Nova/Nova-Centre"," 175","East Petpeswick",43,154,12,33,1,4,247,375
12002,"Central Nova/Nova-Centre"," 176","Musquodoboit Harbour",24,85,2,9,0,0,120,293
12002,"Central Nova/Nova-Centre"," 177","Head of Jeddore",32,87,4,16,4,2,145,297
12002,"Central Nova/Nova-Centre"," 178","Head of Jeddore",28,113,8,15,1,1,166,350
12002,"Central Nova/Nova-Centre"," 179","West Jeddore",47,99,8,27,3,2,186,378
12002,"Central Nova/Nova-Centre"," 180","East Jeddore",56,132,15,21,0,0,224,395
12002,"Central Nova/Nova-Centre"," 181","Gaetz Brook",20,45,6,14,0,0,85,119
12002,"Central Nova/Nova-Centre"," 182","East Chezzetcook",20,111,4,19,0,0,154,271
12002,"Central Nova/Nova-Centre"," 183","Goffs",34,85,6,16,1,0,142,373
12002,"Central Nova/Nova-Centre"," 184","Goffs",43,126,8,20,2,0,199,375
12002,"Central Nova/Nova-Centre"," 185","Moser River",28,74,5,8,0,2,117,192
12002,"Central Nova/Nova-Centre"," 186","Moser River",34,55,1,8,3,2,103,270
12002,"Central Nova/Nova-Centre"," 187","Port Dufferin--Beaver Harbour--West Quoddy",33,59,5,7,2,1,107,157
12002,"Central Nova/Nova-Centre"," 188","New Glasgow",44,100,7,19,2,0,172,378
12002,"Central Nova/Nova-Centre"," 189","New Glasgow",18,52,6,11,1,1,89,277
12002,"Central Nova/Nova-Centre"," 190","New Glasgow",44,73,1,21,5,0,144,276
12002,"Central Nova/Nova-Centre"," 191","New Glasgow",42,114,3,18,5,1,183,415
12002,"Central Nova/Nova-Centre"," 400","New Glasgow",44,31,2,15,4,2,98,189
12002,"Central Nova/Nova-Centre"," 500","Mobile poll/Bureau itinérant",2,29,0,7,1,0,39,66
12002,"Central Nova/Nova-Centre"," 501","Mobile poll/Bureau itinérant",19,50,2,8,2,0,81,154
12002,"Central Nova/Nova-Centre"," 502","Mobile poll/Bureau itinérant",25,37,1,6,3,0,72,102
12002,"Central Nova/Nova-Centre"," 503","Mobile poll/Bureau itinérant",19,28,1,8,1,2,59,93
12002,"Central Nova/Nova-Centre"," 504","Mobile poll/Bureau itinérant",33,33,6,10,0,3,85,185
12002,"Central Nova/Nova-Centre"," 505","Mobile poll/Bureau itinérant",16,20,1,3,1,1,42,67
12002,"Central Nova/Nova-Centre"," 506","Mobile poll/Bureau itinérant",7,14,2,2,3,1,29,31
12002,"Central Nova/Nova-Centre"," 600","John River",83,159,14,28,5,2,291,
12002,"Central Nova/Nova-Centre"," 601","Pictou",148,379,34,78,5,3,647,
12002,"Central Nova/Nova-Centre"," 602","Durham",137,272,23,50,7,2,491,
12002,"Central Nova/Nova-Centre"," 603","Westville",53,61,9,14,3,0,140,
12002,"Central Nova/Nova-Centre"," 604","Riverton",64,126,10,16,3,1,220,
12002,"Central Nova/Nova-Centre"," 605","Plymouth",85,157,11,21,4,1,279,
12002,"Central Nova/Nova-Centre"," 606","Stellarton",185,289,28,34,4,4,544,
12002,"Central Nova/Nova-Centre"," 607","Trenton",136,253,23,97,9,1,519,
12002,"Central Nova/Nova-Centre"," 608","New Glasgow",291,635,36,72,3,4,1041,
12002,"Central Nova/Nova-Centre"," 609","Little Harbour",73,126,9,16,2,1,227,
12002,"Central Nova/Nova-Centre"," 610","Thorburn",148,213,8,27,6,0,402,
12002,"Central Nova/Nova-Centre"," 611","North Grant",84,220,4,43,3,0,354,
12002,"Central Nova/Nova-Centre"," 612","Antigonish",219,660,29,116,3,2,1029,
12002,"Central Nova/Nova-Centre"," 613","Antigonish",47,121,16,28,0,0,212,
12002,"Central Nova/Nova-Centre"," 614","Beech Hill",287,681,26,98,4,4,1100,
12002,"Central Nova/Nova-Centre"," 615","Sherbrooke",80,107,9,25,2,1,224,
12002,"Central Nova/Nova-Centre"," 616","Halifax",98,192,15,22,2,3,332,
12002,"Central Nova/Nova-Centre"," 617","Halifax",85,195,14,41,2,2,339,
12002,"Central Nova/Nova-Centre"," 618","Halifax",39,113,12,18,0,0,182,
12002,"Central Nova/Nova-Centre"," 619","Halifax",107,280,18,54,2,1,462,
12002,"Central Nova/Nova-Centre",,"Group 1/Groupe 1",75,112,8,34,5,3,237,110
12002,"Central Nova/Nova-Centre",,"Group 2/Groupe 2",545,1198,83,316,18,29,2189,
