Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rona Ambrose,Ernest Chauvet,Guy Desforges,Travis Dueck,Brendon Greene,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 31","Morinville",128,5,22,40,13,0,208,449
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 32A","Rivière Qui Barre",171,1,20,30,5,1,228,329
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 32B","Rivière Qui Barre",189,8,10,26,8,0,241,342
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 33A","Alexis Reserve",6,1,183,35,1,0,226,400
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 33B","Alexis Reserve",4,1,151,27,1,1,185,323
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 34","Calahoo",140,2,13,11,6,0,172,272
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 35","Calahoo",110,0,18,17,4,0,149,208
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 36A","Bilby",132,1,15,24,9,1,182,378
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 36B","Bilby",130,1,17,28,7,1,184,345
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 37A","Calahoo Rural",177,3,14,27,4,2,227,331
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 37B","Calahoo Rural",152,0,19,31,6,0,208,312
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 38","Beach Corner",261,1,28,58,9,0,357,529
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 39","Parkland County",177,2,24,42,8,1,254,394
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 40","Spruce Grove",184,7,32,31,8,0,262,440
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 41","Stony Plain",200,6,17,29,11,0,263,376
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 42A","Beach Corner",156,1,18,36,14,1,226,309
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 42B","Beach Corner",147,3,13,16,9,0,188,306
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 43","Volmer",220,5,18,44,4,1,292,460
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 44","Villeneuve",221,2,19,54,13,0,309,429
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 45","Villeneuve",235,4,25,56,13,1,334,482
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 46","St. Albert Settlement",Merged with No./Fusionné avec le n°51,,,,,,,166
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 47","Sturgeon No. 90",195,0,31,48,6,1,281,433
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 48","Sturgeon No. 90",236,0,20,72,6,0,334,516
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 49","Sturgeon No. 90",253,2,7,43,6,1,312,492
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 50","St. Albert Settlement",122,0,15,22,1,0,160,254
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 51","St. Albert Settlement",185,4,18,29,3,0,239,215
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 52","St. Albert Settlement",260,0,27,83,13,2,385,276
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 53","Carbondale",208,3,16,19,3,0,249,426
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 54","Excelsior",198,1,23,38,6,0,266,481
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 55","Duagh",Merged with No./Fusionné avec le n°56,,,,,,,26
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 56","Duagh",143,3,13,28,2,0,189,277
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 57","Lancaster Park",173,3,28,43,10,0,257,583
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 58","Lancaster Park",102,3,11,43,5,1,165,424
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 59A","Coronado",131,1,9,42,7,0,190,352
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 59B","Coronado",153,7,23,30,7,0,220,351
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 60","New Lunnon",190,2,14,31,10,0,247,418
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 61","Gibbons",158,0,36,34,7,1,236,470
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 62","Gibbons",175,6,24,46,15,0,266,488
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 63","Gibbons",153,1,37,47,10,1,249,472
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 64","Gibbons",192,3,24,41,10,2,272,479
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 65","Gibbons",160,1,41,42,3,1,248,416
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 66","Gibbons",125,6,17,16,1,0,165,265
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67A","Lamoureux",141,1,33,24,3,0,202,422
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 67B","Lamoureux",Merged with No./Fusionné avec le n°52,,,,,,,362
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 68","Redwater",229,1,31,40,8,0,309,509
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 69","Redwater",133,4,32,33,7,0,209,380
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 70","Redwater",117,2,17,28,4,0,168,320
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 71","Redwater",160,2,31,37,4,2,236,398
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 72","Redwater",169,2,24,21,3,0,219,344
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 73","Amelia",139,3,8,24,6,0,180,247
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 74","Spruce Grove",156,0,12,17,2,0,187,320
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 75","Spruce Grove",144,1,7,14,5,0,171,360
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 76","Spruce Grove",70,4,7,14,6,1,102,211
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 77","Spruce Grove",195,3,21,25,3,0,247,413
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 78","Spruce Grove",149,0,12,26,6,0,193,300
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 79","Spruce Grove",141,2,15,40,7,0,205,524
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 80","Spruce Grove",113,6,17,24,9,1,170,418
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 81","Spruce Grove",112,1,15,36,7,0,171,346
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 82A","Spruce Grove",146,4,30,54,8,1,243,450
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 82B","Spruce Grove",225,1,21,48,4,2,301,485
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 83","Spruce Grove",197,1,7,26,3,0,234,417
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 84","Spruce Grove",251,3,19,53,7,0,333,605
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 85","Spruce Grove",220,1,15,32,11,0,279,495
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 86","Spruce Grove",211,1,23,59,9,0,303,569
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 87","Spruce Grove",187,2,21,25,7,1,243,459
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 88","Spruce Grove",235,0,22,53,8,0,318,570
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 89","Spruce Grove",201,2,19,56,4,0,282,497
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 90","Spruce Grove",175,4,19,49,3,0,250,458
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 91","Spruce Grove",228,3,25,53,15,0,324,613
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 92","Spruce Grove",114,5,21,49,5,1,195,452
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 93","Stony Plain",203,1,17,33,5,0,259,491
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 94","Stony Plain",156,5,22,39,8,2,232,412
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 95","Stony Plain",136,1,23,48,5,0,213,466
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 96","Stony Plain",74,2,26,33,5,1,141,402
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 97","Stony Plain",143,3,25,44,10,0,225,468
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 98","Stony Plain",122,1,20,37,9,0,189,340
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 99","Stony Plain",103,4,14,22,1,0,144,336
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 100","Stony Plain",148,0,28,28,6,0,210,496
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 101","Beach Corner",95,0,1,20,5,0,121,194
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102A","Beach Corner",178,1,17,35,4,0,235,370
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 102B","Beach Corner",178,2,25,29,9,0,243,389
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 103","Beach Corner",242,2,27,49,8,0,328,491
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 104","Parkland County",259,1,31,33,14,2,340,551
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 105","Stony Plain",128,1,19,31,5,1,185,307
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 106","Spring Lake",84,2,17,6,7,0,116,185
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 107","Carvel",142,2,32,52,10,0,238,378
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 108","Spring Lake",109,3,21,19,10,2,164,255
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 109","Stony Plain",189,3,20,23,3,1,239,515
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 110","Stony Plain",205,1,20,34,11,0,271,595
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 111","Stony Plain",201,3,16,30,1,0,251,447
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 112A","Stony Plain",108,1,8,25,2,0,144,310
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 112B","Stony Plain",111,0,13,28,0,0,152,307
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 113","Stony Plain",184,2,16,41,7,0,250,477
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 114","Stony Plain",207,1,18,25,7,0,258,513
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 115","Stony Plain",193,6,26,39,10,0,274,576
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 116A","Stony Plain",150,1,9,34,3,5,202,357
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 116B","Stony Plain",170,3,11,23,4,0,211,386
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 117","Stony Plain",193,9,18,31,8,1,260,438
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 118","Stony Plain",225,2,20,35,6,0,288,498
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 119","Stony Plain",73,0,13,4,2,0,92,185
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 120","Stony Plain",139,0,8,19,3,0,169,301
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 121","Stony Plain",199,2,15,32,5,0,253,431
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 122","Stony Plain",194,3,20,47,7,0,271,461
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 123","Stony Plain",178,3,11,27,10,0,229,463
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 124","Stony Plain",152,2,31,27,8,0,220,421
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 125","Stony Plain",133,3,17,39,12,0,204,519
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 126","Stony Plain",158,7,26,66,13,0,270,452
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 127","Stony Plain",131,4,22,19,2,1,179,412
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 128","Stony Plain",224,1,18,35,8,0,286,484
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 129","Stony Plain",152,0,21,45,9,0,227,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 130A","Acheson",146,2,27,47,6,0,228,440
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 130B","Acheson",136,2,18,40,8,1,205,462
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131A","Acheson",158,1,13,26,10,2,210,404
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 131B","Acheson",138,0,18,35,9,0,200,382
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 132","Acheson",191,1,17,34,3,0,246,546
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 133","Acheson",82,0,12,20,2,0,116,270
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 134A","Acheson",125,4,12,12,1,0,154,313
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 134B","Acheson",135,0,8,19,1,1,164,325
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 135","Spruce Grove",86,0,7,25,3,0,121,317
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 136A","Spruce Grove",108,1,22,32,1,0,164,342
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 136B","Spruce Grove",99,1,21,28,8,0,157,356
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 137","Spruce Grove",121,0,34,36,7,0,198,398
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 138","Spruce Grove",106,0,18,22,8,0,154,323
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 139","Golden Spike",102,4,17,16,4,0,143,263
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 140A","Parkland Village",149,6,27,59,6,0,247,444
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 140B","Parkland Village",137,1,33,38,7,0,216,396
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 140C","Parkland Village",132,0,29,42,11,0,214,409
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 141","Spruce Grove",143,4,21,42,6,0,216,400
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 142A","Spruce Grove",111,2,12,37,9,0,171,324
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 142B","Spruce Grove",127,5,14,52,3,3,204,350
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 143","Spruce Grove",150,1,23,52,11,0,237,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 144","Spruce Grove",185,4,30,45,4,0,268,531
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 145","Spruce Grove",139,0,20,37,12,1,209,428
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 146","Spruce Grove",145,3,11,35,6,0,200,414
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 147","Spruce Grove",121,0,18,36,4,0,179,345
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 148","Spruce Grove",124,1,20,53,8,0,206,422
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 149","Spruce Grove",107,1,13,26,6,0,153,329
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 150","Spruce Grove",171,2,20,44,6,0,243,502
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 151","Spruce Grove",159,2,20,29,5,1,216,418
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 152","Spruce Grove",109,0,14,34,6,0,163,401
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 153","Spruce Grove",136,1,26,43,6,2,214,411
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 154","Spruce Grove",152,4,27,40,3,0,226,486
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 155","Spruce Grove",138,2,23,38,7,2,210,359
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 156","Spruce Grove",180,3,31,48,17,1,280,488
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 157","Spruce Grove",119,3,19,33,0,0,174,342
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 158","Spruce Grove",104,1,20,41,5,0,171,347
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 159","Spruce Grove",195,6,20,33,7,0,261,445
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 160","Spruce Grove",154,1,36,43,3,0,237,447
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 161","Spruce Grove",138,5,25,49,23,0,240,487
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 162","Spruce Grove",156,1,28,50,15,0,250,508
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 163","Spruce Grove",156,3,22,43,14,1,239,439
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 164","Spruce Grove",174,3,13,49,14,0,253,480
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 165A","Spruce Grove",142,1,18,38,4,0,203,330
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 165B","Spruce Grove",126,1,21,40,5,0,193,343
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 166","Spruce Grove",159,6,16,40,6,0,227,390
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 167","Spruce Grove",169,2,28,61,11,0,271,406
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 168","Spruce Grove",164,2,25,34,5,1,231,436
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 169","Spruce Grove",209,3,28,77,7,0,324,595
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 170A","Stony Plain 135",3,0,103,50,0,3,159,309
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 170B","Stony Plain 135",6,0,109,80,2,18,215,316
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 170C","Stony Plain 135",3,0,102,33,3,0,141,129
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 171","Stony Plain 135",Merged with No./Fusionné avec le n°170C,,,,,,,114
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 172","Woodbend",162,5,9,38,5,0,219,351
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 173","Stony Plain 135",176,4,25,33,9,0,247,406
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 174","Golden Spike",145,4,22,33,4,0,208,348
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 175","Golden Spike",140,5,23,20,3,0,191,338
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 176","Woodbend",138,1,21,27,9,0,196,330
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 177","Woodbend",158,0,13,19,12,0,202,344
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 178","Woodbend",141,2,9,43,7,0,202,339
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 179","Woodbend",164,2,15,32,8,0,221,363
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 180","Woodbend",141,0,27,47,6,1,222,370
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 181","Woodbend",225,2,10,36,11,0,284,508
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 182","Parkland County",140,3,8,27,3,1,182,371
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 183","Golden Spike",53,0,7,7,0,0,67,137
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 184","Golden Spike",179,6,13,26,5,0,229,340
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 185","Golden Spike",166,0,19,22,6,0,213,325
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 186","Parkland County",97,2,5,27,7,0,138,264
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 187","Holborn",301,0,28,56,9,1,395,577
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 188","Morinville",200,7,39,60,19,1,326,581
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 189","Morinville",145,4,22,37,6,0,214,430
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 190","Morinville",155,4,25,39,9,1,233,405
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 191","Morinville",139,3,18,47,6,0,213,386
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 192","Morinville",177,0,14,53,6,1,251,526
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 193","Morinville",123,3,30,48,9,2,215,479
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 194","Cardiff",83,3,14,11,8,0,119,145
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 195","Cardiff",62,2,11,9,1,1,86,154
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 196","Cardiff",153,1,13,42,8,0,217,352
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 500A","Mobile poll/Bureau itinérant",52,3,6,19,2,2,84,87
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 500B","Mobile poll/Bureau itinérant",29,9,1,12,1,0,52,81
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 501","Mobile poll/Bureau itinérant",44,3,8,5,2,0,62,75
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 502","Mobile poll/Bureau itinérant",65,5,17,18,6,1,112,147
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 503","Mobile poll/Bureau itinérant",101,5,8,10,3,3,130,148
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 504","Mobile poll/Bureau itinérant",49,2,4,10,3,3,71,84
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 600","Onoway",155,0,17,28,9,0,209,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 601","Onoway",399,8,56,58,23,0,544,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 602","Morinville",137,1,29,21,5,0,193,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 603","Morinville",678,28,122,171,33,3,1035,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 604","Morinville",220,10,29,36,6,0,301,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 605","Gibbons",173,5,23,14,6,0,221,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 606","Gibbons",524,5,88,126,17,0,760,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 607","Namao",463,7,49,92,9,2,622,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 608","Stony Plain",577,4,49,76,21,0,727,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 609","Stony Plain",733,9,108,135,31,0,1016,
48033,"Sturgeon River--Parkland/Sturgeon River--Parkland"," 610","Stony Plain",919,4,83,135,37,1,1179,
