Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Érick Gauthier,Linda Lapointe,Laurin Liu,Félix Pinel,Luis Quinteros,Alec Ware,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 14","Rosemère",35,104,44,46,0,3,0,232,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 15","Rosemère",27,87,79,66,0,6,3,268,446
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 16","Rosemère",17,131,77,35,0,7,3,270,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 17","Rosemère",20,79,59,74,1,9,0,242,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 18","Rosemère",29,76,53,79,0,4,4,245,444
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 19","Rosemère",30,84,47,42,0,5,7,215,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 20","Rosemère",23,118,71,34,2,5,2,255,463
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 21","Rosemère",19,55,36,42,1,10,2,165,325
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 22","Rosemère",9,61,49,41,0,4,2,166,301
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 23","Rosemère",19,76,41,48,1,5,0,190,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 24","Rosemère",27,95,60,48,0,8,5,243,454
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25A","Rosemère",19,88,30,28,0,2,2,169,346
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,51
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 25C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,,,34
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 26","Rosemère",25,53,39,31,0,2,0,150,300
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 27","Rosemère",50,110,55,54,1,4,1,275,508
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 28","Boisbriand",19,69,66,65,0,1,5,225,434
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 29","Boisbriand",14,38,18,29,0,3,2,104,295
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 30","Boisbriand",10,38,37,47,2,6,2,142,402
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 31","Boisbriand",28,92,44,71,0,5,2,242,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 32","Boisbriand",12,37,32,51,1,3,3,139,352
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 33","Boisbriand",25,49,61,48,0,4,3,190,406
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 34","Boisbriand",11,22,39,41,1,8,2,124,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 35","Boisbriand",24,47,36,63,2,5,8,185,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 36","Boisbriand",14,45,31,38,0,1,1,130,298
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 37","Boisbriand",6,20,20,19,0,6,4,75,264
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 38","Boisbriand",24,108,85,75,3,5,4,304,502
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 39","Boisbriand",31,131,75,76,0,5,5,323,456
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 40","Boisbriand",16,71,70,83,1,9,5,255,413
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 41","Boisbriand",26,93,70,50,1,6,4,250,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 42","Boisbriand",38,71,60,68,1,9,3,250,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 43","Boisbriand",19,89,73,67,1,5,3,257,406
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 44","Boisbriand",20,79,95,54,1,7,3,259,449
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 45","Boisbriand",18,80,78,73,2,8,3,262,491
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 46","Boisbriand",28,94,33,51,1,1,0,208,443
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 47","Boisbriand",16,73,43,42,0,3,3,180,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 48","Boisbriand",13,63,53,57,0,5,2,193,328
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 49","Boisbriand",12,59,73,49,1,10,1,205,404
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 50","Boisbriand",22,68,81,70,0,9,2,252,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 51","Boisbriand",14,53,80,57,0,5,3,212,355
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 52","Boisbriand",18,64,44,80,0,3,1,210,421
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 53","Boisbriand",28,95,90,67,0,5,4,289,451
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 54","Boisbriand",18,97,84,61,2,6,3,271,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 55","Boisbriand",14,90,101,65,1,7,4,282,479
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 56","Boisbriand",20,77,63,56,2,7,4,229,402
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 57","Boisbriand",24,107,87,69,1,5,4,297,506
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 58","Boisbriand",14,53,48,72,1,4,6,198,399
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 59","Boisbriand",27,109,2,3,2,0,1,144,571
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 60","Boisbriand",22,86,0,0,0,0,0,108,510
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 61","Boisbriand",23,67,51,61,1,5,5,213,464
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 62","Boisbriand",25,121,74,77,0,8,4,309,507
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 63","Boisbriand",24,77,43,54,1,4,3,206,320
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 64","Boisbriand",41,101,72,63,2,5,2,286,447
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 65","Boisbriand",33,148,108,75,0,13,5,382,601
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 66","Boisbriand",13,107,72,56,0,12,7,267,454
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 67","Boisbriand",36,105,106,48,1,6,3,305,455
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68A","Boisbriand",21,115,52,65,0,6,3,262,444
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 68B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,45
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 69","Boisbriand",27,92,67,60,2,8,5,261,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 70","Boisbriand",20,55,75,53,0,4,2,209,383
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 71","Boisbriand",21,82,51,54,1,2,0,211,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 72","Boisbriand",32,95,56,77,1,4,3,268,428
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 73","Boisbriand",28,82,57,58,1,3,0,229,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 74","Boisbriand",37,100,96,68,0,5,8,314,437
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 75","Boisbriand",25,92,59,64,0,3,7,250,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 76","Boisbriand",18,78,50,84,1,3,4,238,430
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 77","St. Eustache",25,49,57,104,1,7,3,246,446
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 78","St. Eustache",19,76,66,101,1,5,9,277,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 79","St. Eustache",19,65,75,83,1,4,4,251,429
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 80","St. Eustache",27,72,72,57,1,5,2,236,433
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 81","St. Eustache",24,81,82,78,0,7,5,277,408
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 82","St. Eustache",16,47,62,55,0,6,3,189,380
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 83","St. Eustache",18,64,54,82,2,6,10,236,415
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 84","St. Eustache",23,64,46,69,0,7,3,212,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 85","St. Eustache",20,61,47,78,1,3,12,222,416
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 86","St. Eustache",20,60,77,57,0,5,6,225,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 87","St. Eustache",15,52,64,62,2,5,3,203,393
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 88","St. Eustache",14,87,61,58,0,3,4,227,379
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 89","St. Eustache",14,76,59,81,1,6,1,238,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 90","St. Eustache",19,66,78,60,0,0,6,229,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 91","St. Eustache",21,65,72,91,1,7,3,260,419
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 92","St. Eustache",21,77,64,69,0,4,2,237,477
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 93","St. Eustache",25,52,81,77,0,1,4,240,413
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 94","St. Eustache",24,87,82,75,0,5,6,279,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 95","St. Eustache",31,88,86,80,0,6,3,294,434
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 96","St. Eustache",23,51,76,79,1,4,5,239,407
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 97","St. Eustache",17,63,60,76,0,3,5,224,401
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 98","St. Eustache",32,63,72,61,2,2,2,234,417
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 99","St. Eustache",19,60,79,59,0,0,2,219,368
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 100","St. Eustache",29,60,61,59,0,5,5,219,428
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 101","St. Eustache",15,48,35,62,2,9,6,177,355
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 102","St. Eustache",41,56,57,54,0,3,3,214,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 103","St. Eustache",11,58,70,84,0,5,0,228,390
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 104","St. Eustache",8,38,35,51,0,1,5,138,329
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 105","St. Eustache",11,39,33,38,1,5,7,134,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 106","St. Eustache",19,77,58,75,0,3,9,241,339
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 107","St. Eustache",16,62,55,69,0,7,1,210,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 108","St. Eustache",26,57,66,61,1,7,4,222,371
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 109","St. Eustache",21,52,56,58,0,8,4,199,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 110","St. Eustache",31,70,69,54,0,1,15,240,441
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 111","St. Eustache",43,66,61,56,2,6,4,238,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 112","St. Eustache",24,81,78,82,0,3,1,269,442
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 113","St. Eustache",37,89,90,61,4,5,7,293,541
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 114","St. Eustache",29,60,67,56,0,5,1,218,425
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 115","St. Eustache",29,101,73,58,2,4,2,269,481
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 116","St. Eustache",27,71,66,55,2,3,4,228,367
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 117","St. Eustache",27,70,55,75,2,6,0,235,536
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 118","St. Eustache",23,63,63,49,0,3,3,204,432
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119A","St. Eustache",18,91,42,32,1,0,1,185,498
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 119B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,,,46
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 120","St. Eustache",25,68,64,65,0,0,1,223,408
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 121","St. Eustache",21,63,68,67,1,2,1,223,382
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 122","St. Eustache",18,72,77,56,0,4,5,232,419
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 123","St. Eustache",23,73,99,73,0,2,4,274,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 124","St. Eustache",25,62,86,42,1,8,4,228,360
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 125","St. Eustache",33,72,97,92,2,4,5,305,439
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 126","St. Eustache",19,61,63,89,1,1,1,235,346
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 127","St. Eustache",31,62,64,68,1,4,6,236,387
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 128","St. Eustache",24,57,72,70,0,6,2,231,374
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 129","St. Eustache",22,80,66,69,0,10,4,251,397
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 130","St. Eustache",54,103,89,46,2,4,4,302,440
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 131","St. Eustache",30,70,99,83,0,1,7,290,430
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 132","St. Eustache",27,51,96,90,0,2,1,267,405
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 133","St. Eustache",19,60,92,74,0,6,9,260,445
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 134","St. Eustache",23,73,54,70,0,2,4,226,327
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 135","St. Eustache",21,76,88,69,1,5,3,263,451
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 136","St. Eustache",24,66,86,48,0,2,4,230,415
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 137","St. Eustache",15,72,77,96,0,2,5,267,415
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 138","St. Eustache",18,64,75,79,0,5,6,247,389
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 139","St. Eustache",25,70,83,76,0,7,2,263,412
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 140","St. Eustache",14,49,19,17,0,1,0,100,186
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 141","St. Eustache",30,76,59,45,1,5,0,216,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 142","St. Eustache",16,70,40,45,0,4,5,180,371
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 143","St. Eustache",22,60,42,44,1,1,4,174,350
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 144","St. Eustache",15,69,89,60,0,3,2,238,428
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 145","St. Eustache",24,77,69,67,1,2,6,246,404
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 146","St. Eustache",24,72,69,43,0,1,1,210,447
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 147","St. Eustache",20,78,55,70,0,5,4,232,410
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 148","St. Eustache",15,48,46,52,0,5,2,168,373
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 149","St. Eustache",17,43,56,78,0,3,4,201,343
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 150","St. Eustache",18,39,49,40,0,2,4,152,351
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 151","St. Eustache",9,55,69,72,0,5,6,216,459
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 152","St. Eustache",17,39,53,57,0,4,9,179,358
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 153","St. Eustache",25,51,55,62,0,3,7,203,443
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 154","St. Eustache",20,59,50,70,1,6,11,217,426
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 155","St. Eustache",18,56,53,57,0,8,4,196,432
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 156","St. Eustache",13,52,43,73,0,3,7,191,432
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 157","St. Eustache",9,26,32,57,1,4,2,131,364
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158A","St. Eustache",6,21,21,35,0,0,2,85,153
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 158B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,,,286
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 159","St. Eustache",12,57,80,52,0,4,4,209,398
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 160","St. Eustache",20,51,58,76,0,2,3,210,472
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 161","St. Eustache",13,57,47,64,1,7,0,189,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162A","St. Eustache",13,23,33,46,0,0,3,118,197
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162B","St. Eustache",2,29,12,20,0,0,2,65,87
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 162C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,83
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 163","St. Eustache",10,37,39,50,1,3,3,143,374
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 164","Deux-Montagnes",17,82,85,53,3,3,7,250,458
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 165","Deux-Montagnes",16,65,53,68,1,9,6,218,449
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 166","Deux-Montagnes",13,77,98,50,0,8,7,253,452
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 167","Deux-Montagnes",8,50,82,34,1,6,4,185,354
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 168","Deux-Montagnes",23,76,103,51,1,1,2,257,409
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 169","Deux-Montagnes",17,63,59,65,0,6,2,212,395
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 170","Deux-Montagnes",13,62,57,52,0,4,0,188,378
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 171","Deux-Montagnes",22,81,73,33,1,1,2,213,384
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 172","Deux-Montagnes",34,73,60,37,1,4,0,209,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 173","Deux-Montagnes",22,83,62,49,1,6,2,225,416
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 174A","Deux-Montagnes",21,67,39,38,1,4,4,174,311
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 174B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,75
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 174C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,,68
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 175","Deux-Montagnes",14,69,63,43,1,5,5,200,403
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 176","Deux-Montagnes",15,67,71,54,0,8,7,222,391
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 177","Deux-Montagnes",8,65,75,60,0,9,6,223,422
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 178","Deux-Montagnes",7,84,67,51,0,6,5,220,418
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 179","Deux-Montagnes",12,86,86,36,1,4,1,226,436
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 180","Deux-Montagnes",16,80,58,57,0,8,0,219,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 181","Deux-Montagnes",27,67,71,52,2,4,4,227,425
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 182","Deux-Montagnes",19,73,80,69,0,5,4,250,435
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 183","Deux-Montagnes",14,80,70,63,0,9,8,244,438
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 184","Deux-Montagnes",30,73,90,59,2,7,4,265,463
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 185","Deux-Montagnes",20,65,48,62,0,3,7,205,396
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 186","Deux-Montagnes",24,71,96,63,0,3,1,258,485
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 187","Deux-Montagnes",20,62,90,69,0,4,8,253,429
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 188","Deux-Montagnes",33,66,95,51,0,8,5,258,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 189","Deux-Montagnes",9,47,65,52,0,6,3,182,376
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 190","Deux-Montagnes",8,72,54,53,1,5,4,197,364
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 191","Deux-Montagnes",14,63,56,58,0,6,2,199,351
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 192","Deux-Montagnes",28,75,73,62,0,3,2,243,448
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 193","Deux-Montagnes",14,104,55,77,2,9,4,265,520
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 194","Deux-Montagnes",14,58,60,48,1,9,5,195,358
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 195","Deux-Montagnes",24,108,74,47,0,5,1,259,423
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 196","Deux-Montagnes",18,59,51,53,1,10,1,193,357
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 500A","Mobile poll/Bureau itinérant",15,84,25,31,1,2,3,161,46
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 500B","Mobile poll/Bureau itinérant",11,34,10,14,0,1,2,72,71
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 501A","Mobile poll/Bureau itinérant",14,88,26,24,0,3,4,159,58
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 501B","Mobile poll/Bureau itinérant",8,48,12,13,1,1,5,88,196
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 600","Rosemère",210,469,302,190,2,9,6,1188,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 601","Rosemère",176,534,342,264,2,17,12,1347,
24062,"Rivière-des-Mille-Îles/Rivière-des-Mille-Îles"," 602","Boisbriand",95,317,282,190,1,11,12,908,
