Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Allen,Lorne Gershuny,Mark Jeftovic,Peggy Nash,Terry Parker,Adam Phipps,Carol Royer,Arif Virani,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35081,"Parkdale--High Park/Parkdale--High Park"," 48","Toronto",20,2,1,84,0,11,0,105,3,226,422
35081,"Parkdale--High Park/Parkdale--High Park"," 49","Toronto",29,0,1,132,1,8,0,111,3,285,490
35081,"Parkdale--High Park/Parkdale--High Park"," 50","Toronto",31,0,0,83,1,7,0,101,0,223,374
35081,"Parkdale--High Park/Parkdale--High Park"," 51","Toronto",22,0,0,101,2,12,0,112,0,249,458
35081,"Parkdale--High Park/Parkdale--High Park"," 52","Toronto",25,0,3,105,1,14,0,103,0,251,460
35081,"Parkdale--High Park/Parkdale--High Park"," 53","Toronto",36,0,2,115,0,11,1,128,1,294,538
35081,"Parkdale--High Park/Parkdale--High Park"," 54","Toronto",48,0,2,77,1,11,0,107,0,246,375
35081,"Parkdale--High Park/Parkdale--High Park"," 55","Toronto",16,0,1,87,1,10,0,92,1,208,404
35081,"Parkdale--High Park/Parkdale--High Park"," 56","Toronto",41,0,6,71,1,4,0,91,2,216,373
35081,"Parkdale--High Park/Parkdale--High Park"," 57","Toronto",33,1,4,107,4,8,1,100,4,262,413
35081,"Parkdale--High Park/Parkdale--High Park"," 58A","Toronto",Merged with No./Fusionné avec le n°57,,,,,,,,,,65
35081,"Parkdale--High Park/Parkdale--High Park"," 58B","Toronto",19,0,0,88,0,10,1,64,1,183,302
35081,"Parkdale--High Park/Parkdale--High Park"," 59","Toronto",25,1,2,91,1,3,1,84,2,210,368
35081,"Parkdale--High Park/Parkdale--High Park"," 60","Toronto",23,1,2,111,1,6,0,85,0,229,426
35081,"Parkdale--High Park/Parkdale--High Park"," 61","Toronto",22,0,2,90,0,11,0,110,0,235,376
35081,"Parkdale--High Park/Parkdale--High Park"," 62","Toronto",32,2,2,130,1,6,1,120,1,295,549
35081,"Parkdale--High Park/Parkdale--High Park"," 63","Toronto",17,1,6,78,0,5,0,89,2,198,419
35081,"Parkdale--High Park/Parkdale--High Park"," 64","Toronto",20,2,1,85,0,4,0,123,2,237,429
35081,"Parkdale--High Park/Parkdale--High Park"," 65","Toronto",16,0,1,78,2,6,0,80,2,185,323
35081,"Parkdale--High Park/Parkdale--High Park"," 66","Toronto",16,2,3,135,0,10,0,134,1,301,446
35081,"Parkdale--High Park/Parkdale--High Park"," 67","Toronto",23,0,2,115,0,5,1,104,0,250,420
35081,"Parkdale--High Park/Parkdale--High Park"," 68","Toronto",9,0,1,101,1,6,0,80,1,199,358
35081,"Parkdale--High Park/Parkdale--High Park"," 69","Toronto",17,1,0,97,0,4,0,92,0,211,392
35081,"Parkdale--High Park/Parkdale--High Park"," 70","Toronto",19,1,1,57,2,5,0,75,0,160,291
35081,"Parkdale--High Park/Parkdale--High Park"," 71","Toronto",15,0,0,96,1,16,0,119,2,249,439
35081,"Parkdale--High Park/Parkdale--High Park"," 72","Toronto",25,2,5,125,1,8,1,116,1,284,511
35081,"Parkdale--High Park/Parkdale--High Park"," 73","Toronto",17,0,3,103,0,2,0,52,3,180,359
35081,"Parkdale--High Park/Parkdale--High Park"," 74","Toronto",15,0,2,97,0,7,0,91,1,213,392
35081,"Parkdale--High Park/Parkdale--High Park"," 75","Toronto",21,0,2,81,1,11,0,82,1,199,388
35081,"Parkdale--High Park/Parkdale--High Park"," 76","Toronto",11,0,1,67,0,6,0,53,2,140,337
35081,"Parkdale--High Park/Parkdale--High Park"," 77","Toronto",11,0,3,108,1,10,0,90,0,223,432
35081,"Parkdale--High Park/Parkdale--High Park"," 78","Toronto",19,0,1,111,0,16,0,67,1,215,456
35081,"Parkdale--High Park/Parkdale--High Park"," 79","Toronto",14,0,2,59,1,7,0,37,0,120,259
35081,"Parkdale--High Park/Parkdale--High Park"," 80","Toronto",25,2,9,73,2,1,2,96,7,217,399
35081,"Parkdale--High Park/Parkdale--High Park"," 81","Toronto",44,0,5,109,0,8,1,76,4,247,531
35081,"Parkdale--High Park/Parkdale--High Park"," 82","Toronto",12,0,3,114,3,10,1,70,0,213,402
35081,"Parkdale--High Park/Parkdale--High Park"," 83","Toronto",17,1,5,108,0,4,2,113,1,251,481
35081,"Parkdale--High Park/Parkdale--High Park"," 84","Toronto",18,1,6,103,0,7,0,87,0,222,473
35081,"Parkdale--High Park/Parkdale--High Park"," 85","Toronto",19,0,3,88,3,6,0,86,3,208,440
35081,"Parkdale--High Park/Parkdale--High Park"," 86","Toronto",22,0,4,76,3,2,1,86,1,195,354
35081,"Parkdale--High Park/Parkdale--High Park"," 87","Toronto",19,0,7,70,2,2,0,96,1,197,462
35081,"Parkdale--High Park/Parkdale--High Park"," 88","Toronto",27,1,3,114,2,5,0,121,2,275,580
35081,"Parkdale--High Park/Parkdale--High Park"," 89","Toronto",38,1,6,129,0,10,0,132,2,318,694
35081,"Parkdale--High Park/Parkdale--High Park"," 90","Toronto",9,0,1,118,0,9,1,84,3,225,411
35081,"Parkdale--High Park/Parkdale--High Park"," 91","Toronto",18,0,7,149,2,11,0,108,2,297,569
35081,"Parkdale--High Park/Parkdale--High Park"," 92","Toronto",14,1,8,71,0,7,1,82,0,184,394
35081,"Parkdale--High Park/Parkdale--High Park"," 93","Toronto",23,0,2,96,2,3,0,81,2,209,358
35081,"Parkdale--High Park/Parkdale--High Park"," 94","Toronto",23,1,7,116,2,7,1,87,3,247,479
35081,"Parkdale--High Park/Parkdale--High Park"," 95","Toronto",23,0,3,126,0,3,0,92,0,247,497
35081,"Parkdale--High Park/Parkdale--High Park"," 96","Toronto",31,0,2,156,1,11,0,106,5,312,639
35081,"Parkdale--High Park/Parkdale--High Park"," 97","Toronto",15,1,5,102,2,5,0,65,2,197,401
35081,"Parkdale--High Park/Parkdale--High Park"," 98","Toronto",17,1,3,104,3,15,0,70,1,214,404
35081,"Parkdale--High Park/Parkdale--High Park"," 99","Toronto",11,0,3,87,1,4,0,47,0,153,336
35081,"Parkdale--High Park/Parkdale--High Park"," 100","Toronto",25,0,2,140,0,5,0,81,2,255,529
35081,"Parkdale--High Park/Parkdale--High Park"," 101","Toronto",24,0,3,98,1,2,0,76,1,205,444
35081,"Parkdale--High Park/Parkdale--High Park"," 102","Toronto",16,0,3,88,0,3,1,63,2,176,434
35081,"Parkdale--High Park/Parkdale--High Park"," 103","Toronto",30,0,1,75,0,13,2,56,3,180,430
35081,"Parkdale--High Park/Parkdale--High Park"," 104","Toronto",13,0,1,123,1,5,0,63,0,206,499
35081,"Parkdale--High Park/Parkdale--High Park"," 105","Toronto",18,0,2,146,1,15,2,112,1,297,517
35081,"Parkdale--High Park/Parkdale--High Park"," 106","Toronto",64,1,10,47,2,7,1,87,3,222,472
35081,"Parkdale--High Park/Parkdale--High Park"," 107","Toronto",14,0,3,160,2,7,1,82,1,270,510
35081,"Parkdale--High Park/Parkdale--High Park"," 108","Toronto",13,0,1,80,2,4,1,72,1,174,342
35081,"Parkdale--High Park/Parkdale--High Park"," 109","Toronto",14,2,1,79,4,6,0,61,0,167,324
35081,"Parkdale--High Park/Parkdale--High Park"," 110","Toronto",17,1,2,90,0,8,0,62,1,181,316
35081,"Parkdale--High Park/Parkdale--High Park"," 111","Toronto",35,0,1,119,0,11,0,99,2,267,456
35081,"Parkdale--High Park/Parkdale--High Park"," 112","Toronto",42,0,3,115,0,11,0,134,0,305,513
35081,"Parkdale--High Park/Parkdale--High Park"," 113","Toronto",32,1,0,135,0,14,0,140,0,322,527
35081,"Parkdale--High Park/Parkdale--High Park"," 114","Toronto",33,1,0,128,0,8,1,129,0,300,459
35081,"Parkdale--High Park/Parkdale--High Park"," 115","Toronto",14,0,0,122,0,4,0,90,1,231,392
35081,"Parkdale--High Park/Parkdale--High Park"," 116","Toronto",43,0,0,67,1,4,0,88,2,205,363
35081,"Parkdale--High Park/Parkdale--High Park"," 117","Toronto",38,0,3,89,0,9,1,90,0,230,507
35081,"Parkdale--High Park/Parkdale--High Park"," 118","Toronto",45,2,4,102,0,9,0,110,0,272,671
35081,"Parkdale--High Park/Parkdale--High Park"," 119A","Toronto",37,1,6,49,0,3,1,124,0,221,347
35081,"Parkdale--High Park/Parkdale--High Park"," 119B","Toronto",Merged with No./Fusionné avec le n°119-1,,,,,,,,,,40
35081,"Parkdale--High Park/Parkdale--High Park"," 119-1","Toronto",15,0,3,13,0,2,0,35,0,68,93
35081,"Parkdale--High Park/Parkdale--High Park"," 120","Toronto",36,0,3,33,1,4,0,54,1,132,211
35081,"Parkdale--High Park/Parkdale--High Park"," 121","Toronto",60,0,2,59,0,6,1,154,0,282,493
35081,"Parkdale--High Park/Parkdale--High Park"," 122","Toronto",42,1,4,79,0,12,0,123,1,262,483
35081,"Parkdale--High Park/Parkdale--High Park"," 123","Toronto",46,1,2,95,0,1,1,159,1,306,477
35081,"Parkdale--High Park/Parkdale--High Park"," 124","Toronto",48,0,2,107,0,4,0,126,0,287,466
35081,"Parkdale--High Park/Parkdale--High Park"," 125","Toronto",31,0,3,101,0,7,0,107,0,249,406
35081,"Parkdale--High Park/Parkdale--High Park"," 126","Toronto",36,0,0,83,2,5,0,131,1,258,433
35081,"Parkdale--High Park/Parkdale--High Park"," 127","Toronto",32,0,2,61,0,4,0,65,2,166,302
35081,"Parkdale--High Park/Parkdale--High Park"," 128","Toronto",28,0,0,59,0,9,0,113,2,211,349
