Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bang-Gu Jiang,Elvin Kao,Bob Saroya,Colleen Zimmerman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35056,"Markham--Unionville/Markham--Unionville"," 407","Markham",35,2,28,1,0,66,110
35056,"Markham--Unionville/Markham--Unionville"," 408","Markham",37,2,26,4,1,70,118
35056,"Markham--Unionville/Markham--Unionville"," 409","Markham",27,1,16,5,0,49,86
35056,"Markham--Unionville/Markham--Unionville"," 410","Markham",47,1,33,9,0,90,141
35056,"Markham--Unionville/Markham--Unionville"," 411","Markham",34,2,19,2,0,57,110
35056,"Markham--Unionville/Markham--Unionville"," 412","Markham",59,3,45,6,0,113,201
35056,"Markham--Unionville/Markham--Unionville"," 413","Markham",27,1,26,8,1,63,117
35056,"Markham--Unionville/Markham--Unionville"," 414","Markham",81,3,144,9,0,237,506
35056,"Markham--Unionville/Markham--Unionville"," 415","Markham",76,7,102,12,2,199,446
35056,"Markham--Unionville/Markham--Unionville"," 416","Markham",31,2,25,3,2,63,154
35056,"Markham--Unionville/Markham--Unionville"," 417","Markham",35,5,33,3,0,76,175
35056,"Markham--Unionville/Markham--Unionville"," 418","Markham",26,0,23,5,0,54,108
35056,"Markham--Unionville/Markham--Unionville"," 419","Markham",25,2,31,2,1,61,134
35056,"Markham--Unionville/Markham--Unionville"," 420","Markham",63,9,38,9,1,120,302
35056,"Markham--Unionville/Markham--Unionville"," 421","Markham",55,5,44,6,1,111,251
35056,"Markham--Unionville/Markham--Unionville"," 422","Markham",93,4,64,9,1,171,224
35056,"Markham--Unionville/Markham--Unionville"," 423","Markham",68,7,62,6,1,144,199
35056,"Markham--Unionville/Markham--Unionville"," 424","Markham",81,3,43,11,1,139,165
35056,"Markham--Unionville/Markham--Unionville"," 425","Markham",24,2,37,5,2,70,126
35056,"Markham--Unionville/Markham--Unionville"," 500","Mobile poll/Bureau itinérant",58,3,50,6,1,118,162
35056,"Markham--Unionville/Markham--Unionville"," 501","Mobile poll/Bureau itinérant",41,4,46,7,5,103,184
35056,"Markham--Unionville/Markham--Unionville"," 600","Markham",405,17,519,46,1,988,
35056,"Markham--Unionville/Markham--Unionville"," 601","Markham",419,13,498,41,1,972,
35056,"Markham--Unionville/Markham--Unionville"," 602","Markham",482,19,485,43,4,1033,
35056,"Markham--Unionville/Markham--Unionville"," 603","Markham",579,20,662,67,4,1332,
35056,"Markham--Unionville/Markham--Unionville"," 604","Markham",502,27,465,67,1,1062,
35056,"Markham--Unionville/Markham--Unionville"," 605","Markham",491,8,415,54,6,974,
35056,"Markham--Unionville/Markham--Unionville"," 606","Markham",470,22,498,70,5,1065,
35056,"Markham--Unionville/Markham--Unionville"," 607","Markham",536,25,514,55,3,1133,
35056,"Markham--Unionville/Markham--Unionville"," 608","Markham",468,31,463,56,4,1022,
35056,"Markham--Unionville/Markham--Unionville"," 609","Markham",433,16,463,44,2,958,
35056,"Markham--Unionville/Markham--Unionville"," 610","Markham",294,14,295,37,4,644,
35056,"Markham--Unionville/Markham--Unionville"," 611","Markham",266,17,312,40,6,641,
35056,"Markham--Unionville/Markham--Unionville",,"Group 1/Groupe 1",37,1,11,6,2,57,60
35056,"Markham--Unionville/Markham--Unionville",,"Group 2/Groupe 2",510,41,338,95,18,1002,
