Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Cynthia Marie Block,Claire Card,Valerie Harvey,Eric Matthew Schalm,Brad Trost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47011,"Saskatoon--University/Saskatoon--University"," 46","Saskatoon",126,116,7,3,139,3,394,709
47011,"Saskatoon--University/Saskatoon--University"," 47","Saskatoon",69,85,7,1,113,0,275,492
47011,"Saskatoon--University/Saskatoon--University"," 48","Saskatoon",65,84,4,1,69,1,224,464
47011,"Saskatoon--University/Saskatoon--University"," 49","Saskatoon",59,77,2,0,93,0,231,451
47011,"Saskatoon--University/Saskatoon--University"," 50","Saskatoon",50,93,3,0,105,0,251,441
47011,"Saskatoon--University/Saskatoon--University"," 51","Saskatoon",68,69,3,0,91,0,231,402
47011,"Saskatoon--University/Saskatoon--University"," 52","Saskatoon",50,58,6,0,60,1,175,369
47011,"Saskatoon--University/Saskatoon--University"," 53A","Saskatoon",91,70,3,0,135,1,300,465
47011,"Saskatoon--University/Saskatoon--University"," 53B","Saskatoon",69,57,3,0,131,0,260,436
47011,"Saskatoon--University/Saskatoon--University"," 53C","Saskatoon",86,73,1,0,135,0,295,474
47011,"Saskatoon--University/Saskatoon--University"," 53D","Saskatoon",77,63,4,0,137,0,281,480
47011,"Saskatoon--University/Saskatoon--University"," 54","Saskatoon",75,62,7,0,128,2,274,541
47011,"Saskatoon--University/Saskatoon--University"," 55","Saskatoon",64,50,2,0,156,0,272,487
47011,"Saskatoon--University/Saskatoon--University"," 56","Saskatoon",46,51,4,0,163,0,264,490
47011,"Saskatoon--University/Saskatoon--University"," 57","Saskatoon",61,63,2,0,150,1,277,484
47011,"Saskatoon--University/Saskatoon--University"," 58","Saskatoon",64,63,4,0,165,2,298,591
47011,"Saskatoon--University/Saskatoon--University"," 59","Saskatoon",56,52,2,0,106,0,216,421
47011,"Saskatoon--University/Saskatoon--University"," 60","Saskatoon",38,40,2,1,123,1,205,408
47011,"Saskatoon--University/Saskatoon--University"," 61","Saskatoon",44,57,2,0,112,0,215,358
47011,"Saskatoon--University/Saskatoon--University"," 62","Saskatoon",51,45,3,1,94,0,194,398
47011,"Saskatoon--University/Saskatoon--University"," 63","Saskatoon",49,40,3,0,142,0,234,432
47011,"Saskatoon--University/Saskatoon--University"," 64","Saskatoon",74,62,1,1,108,1,247,451
47011,"Saskatoon--University/Saskatoon--University"," 65A","Saskatoon",49,55,0,0,108,1,213,379
47011,"Saskatoon--University/Saskatoon--University"," 65B","Saskatoon",51,35,1,1,105,2,195,337
47011,"Saskatoon--University/Saskatoon--University"," 66","Saskatoon",78,69,2,0,109,0,258,415
47011,"Saskatoon--University/Saskatoon--University"," 67","Saskatoon",79,55,2,0,193,0,329,527
47011,"Saskatoon--University/Saskatoon--University"," 68","Saskatoon",86,52,3,0,197,0,338,528
47011,"Saskatoon--University/Saskatoon--University"," 69","Saskatoon",74,60,4,0,194,0,332,484
47011,"Saskatoon--University/Saskatoon--University"," 70","Saskatoon",74,73,4,5,120,2,278,471
47011,"Saskatoon--University/Saskatoon--University"," 71","Saskatoon",59,81,3,0,116,0,259,505
47011,"Saskatoon--University/Saskatoon--University"," 72","Saskatoon",48,82,3,0,131,2,266,437
47011,"Saskatoon--University/Saskatoon--University"," 73","Saskatoon",67,62,2,1,113,0,245,405
47011,"Saskatoon--University/Saskatoon--University"," 74","Saskatoon",51,70,6,0,116,0,243,442
47011,"Saskatoon--University/Saskatoon--University"," 75","Saskatoon",72,61,4,0,86,4,227,436
47011,"Saskatoon--University/Saskatoon--University"," 76","Saskatoon",60,99,6,1,98,0,264,478
47011,"Saskatoon--University/Saskatoon--University"," 77","Saskatoon",44,88,9,0,92,0,233,442
47011,"Saskatoon--University/Saskatoon--University"," 78","Saskatoon",58,91,6,1,91,1,248,460
47011,"Saskatoon--University/Saskatoon--University"," 79","Saskatoon",74,54,5,0,69,0,202,426
47011,"Saskatoon--University/Saskatoon--University"," 80","Saskatoon",63,77,4,1,92,0,237,391
47011,"Saskatoon--University/Saskatoon--University"," 81","Saskatoon",65,58,4,1,85,1,214,337
47011,"Saskatoon--University/Saskatoon--University"," 82","Saskatoon",50,77,5,0,65,0,197,404
47011,"Saskatoon--University/Saskatoon--University"," 83","Saskatoon",49,75,3,1,69,2,199,362
47011,"Saskatoon--University/Saskatoon--University"," 84","Saskatoon",74,70,2,0,71,0,217,423
47011,"Saskatoon--University/Saskatoon--University"," 85","Saskatoon",60,60,6,0,34,0,160,337
47011,"Saskatoon--University/Saskatoon--University"," 86","Saskatoon",79,55,5,0,113,0,252,480
47011,"Saskatoon--University/Saskatoon--University"," 87","Saskatoon",51,56,2,2,98,0,209,380
47011,"Saskatoon--University/Saskatoon--University"," 88","Saskatoon",42,48,3,3,106,0,202,410
47011,"Saskatoon--University/Saskatoon--University"," 89","Saskatoon",56,40,2,0,122,0,220,404
47011,"Saskatoon--University/Saskatoon--University"," 90","Saskatoon",47,42,1,2,130,0,222,365
47011,"Saskatoon--University/Saskatoon--University"," 91","Saskatoon",76,44,7,0,86,0,213,350
47011,"Saskatoon--University/Saskatoon--University"," 92","Saskatoon",57,14,2,0,101,0,174,322
47011,"Saskatoon--University/Saskatoon--University"," 93","Saskatoon",54,43,2,1,121,0,221,392
47011,"Saskatoon--University/Saskatoon--University"," 94","Saskatoon",70,63,3,0,108,0,244,467
47011,"Saskatoon--University/Saskatoon--University"," 95","Saskatoon",38,35,4,0,121,0,198,361
47011,"Saskatoon--University/Saskatoon--University"," 96","Saskatoon",58,69,5,0,100,0,232,443
47011,"Saskatoon--University/Saskatoon--University"," 97","Saskatoon",46,49,2,0,95,0,192,355
47011,"Saskatoon--University/Saskatoon--University"," 98","Saskatoon",50,51,1,0,124,1,227,406
47011,"Saskatoon--University/Saskatoon--University"," 99","Saskatoon",52,57,3,0,132,1,245,402
47011,"Saskatoon--University/Saskatoon--University"," 100","Saskatoon",90,70,4,0,124,0,288,541
47011,"Saskatoon--University/Saskatoon--University"," 101","Saskatoon",66,47,3,1,128,0,245,451
47011,"Saskatoon--University/Saskatoon--University"," 102","Saskatoon",61,45,2,1,130,0,239,430
47011,"Saskatoon--University/Saskatoon--University"," 103","Saskatoon",35,57,2,0,105,0,199,337
47011,"Saskatoon--University/Saskatoon--University"," 104","Saskatoon",44,93,0,1,73,3,214,358
47011,"Saskatoon--University/Saskatoon--University"," 105","Saskatoon",67,77,5,2,86,0,237,460
47011,"Saskatoon--University/Saskatoon--University"," 106","Saskatoon",46,77,5,2,65,0,195,350
47011,"Saskatoon--University/Saskatoon--University"," 107","Saskatoon",48,58,4,1,83,0,194,384
47011,"Saskatoon--University/Saskatoon--University"," 108","Saskatoon",52,78,7,0,72,1,210,401
47011,"Saskatoon--University/Saskatoon--University"," 109","Saskatoon",52,69,1,1,61,0,184,347
47011,"Saskatoon--University/Saskatoon--University"," 110","Saskatoon",66,82,3,3,60,2,216,364
47011,"Saskatoon--University/Saskatoon--University"," 111","Saskatoon",72,70,0,0,89,1,232,384
47011,"Saskatoon--University/Saskatoon--University"," 112","Saskatoon",55,88,6,1,65,0,215,431
47011,"Saskatoon--University/Saskatoon--University"," 113","Saskatoon",79,116,7,0,89,0,291,429
47011,"Saskatoon--University/Saskatoon--University"," 114","Saskatoon",92,86,6,1,76,0,261,392
47011,"Saskatoon--University/Saskatoon--University"," 115","Saskatoon",70,103,4,0,85,2,264,447
47011,"Saskatoon--University/Saskatoon--University"," 116","Saskatoon",84,116,6,0,92,0,298,442
47011,"Saskatoon--University/Saskatoon--University"," 117","Saskatoon",70,108,7,0,43,0,228,413
47011,"Saskatoon--University/Saskatoon--University"," 118","Saskatoon",48,121,8,1,38,0,216,397
47011,"Saskatoon--University/Saskatoon--University"," 119","Saskatoon",53,133,4,0,60,0,250,393
47011,"Saskatoon--University/Saskatoon--University"," 120","Saskatoon",95,163,6,1,109,1,375,553
47011,"Saskatoon--University/Saskatoon--University"," 121","Saskatoon",52,87,5,1,63,1,209,361
47011,"Saskatoon--University/Saskatoon--University"," 122","Saskatoon",74,96,5,0,62,0,237,381
47011,"Saskatoon--University/Saskatoon--University"," 123","Saskatoon",57,100,5,0,74,2,238,443
47011,"Saskatoon--University/Saskatoon--University"," 124","Saskatoon",64,107,6,1,88,2,268,346
47011,"Saskatoon--University/Saskatoon--University"," 125","Saskatoon",47,119,3,0,43,0,212,419
47011,"Saskatoon--University/Saskatoon--University"," 126","Saskatoon",56,75,4,1,45,0,181,404
47011,"Saskatoon--University/Saskatoon--University"," 127","Saskatoon",38,135,3,0,38,1,215,392
47011,"Saskatoon--University/Saskatoon--University"," 128","Saskatoon",37,83,7,0,44,0,171,379
47011,"Saskatoon--University/Saskatoon--University"," 129","Saskatoon",53,119,2,0,40,0,214,397
47011,"Saskatoon--University/Saskatoon--University"," 130","Saskatoon",35,66,4,0,53,0,158,353
47011,"Saskatoon--University/Saskatoon--University"," 131","Saskatoon",70,105,3,1,54,0,233,411
47011,"Saskatoon--University/Saskatoon--University"," 132","Saskatoon",41,96,11,0,27,0,175,367
47011,"Saskatoon--University/Saskatoon--University"," 133","Saskatoon",63,91,3,0,32,0,189,371
47011,"Saskatoon--University/Saskatoon--University"," 134","Saskatoon",66,150,3,1,41,1,262,457
47011,"Saskatoon--University/Saskatoon--University"," 135","Saskatoon",61,129,2,1,40,1,234,408
47011,"Saskatoon--University/Saskatoon--University"," 136","Saskatoon",60,131,7,0,61,0,259,478
47011,"Saskatoon--University/Saskatoon--University"," 400","Saskatoon",31,40,1,0,60,1,133,150
47011,"Saskatoon--University/Saskatoon--University"," 401","Saskatoon",22,39,4,1,24,1,91,124
47011,"Saskatoon--University/Saskatoon--University"," 402","Saskatoon",26,23,0,1,40,0,90,101
47011,"Saskatoon--University/Saskatoon--University"," 600","Saskatoon",300,294,14,3,639,1,1251,
47011,"Saskatoon--University/Saskatoon--University"," 601","Saskatoon",271,327,17,0,672,4,1291,
47011,"Saskatoon--University/Saskatoon--University"," 602","Saskatoon",184,311,13,1,305,3,817,
47011,"Saskatoon--University/Saskatoon--University"," 603","Saskatoon",272,275,14,2,554,1,1118,
47011,"Saskatoon--University/Saskatoon--University"," 604","Saskatoon",173,278,16,5,404,0,876,
47011,"Saskatoon--University/Saskatoon--University"," 605","Saskatoon",182,311,13,1,426,1,934,
47011,"Saskatoon--University/Saskatoon--University"," 606","Saskatoon",261,270,9,2,648,2,1192,
47011,"Saskatoon--University/Saskatoon--University"," 607","Saskatoon",231,804,22,3,279,2,1341,
47011,"Saskatoon--University/Saskatoon--University"," 608","Saskatoon",216,399,13,0,289,3,920,
47011,"Saskatoon--University/Saskatoon--University",,"Group 1/Groupe 1",46,44,3,1,25,12,131,115
47011,"Saskatoon--University/Saskatoon--University",,"Group 2/Groupe 2",484,939,35,3,759,32,2252,
