Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Daniel Blanchard,Najeeb Butt,Stephen Garvey,Darshan Singh Kang,Ed Reddy,Devinder Shory,Sahajvir Singh,Joseph Young,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48013,"Calgary Skyview/Calgary Skyview"," 41","Calgary",0,12,3,66,3,124,7,1,0,216,462
48013,"Calgary Skyview/Calgary Skyview"," 42A","Calgary",1,5,3,151,3,93,16,1,2,275,608
48013,"Calgary Skyview/Calgary Skyview"," 42B","Calgary",0,9,11,87,5,75,11,1,1,200,506
48013,"Calgary Skyview/Calgary Skyview"," 43","Calgary",0,14,1,163,11,146,22,1,0,358,898
48013,"Calgary Skyview/Calgary Skyview"," 44","Calgary",3,3,4,154,6,104,22,1,0,297,705
48013,"Calgary Skyview/Calgary Skyview"," 45A","Calgary",1,3,4,114,4,79,22,0,1,228,555
48013,"Calgary Skyview/Calgary Skyview"," 45B","Calgary",1,1,2,110,1,62,15,0,1,193,511
48013,"Calgary Skyview/Calgary Skyview"," 46A","Calgary",0,4,4,151,3,60,28,0,4,254,695
48013,"Calgary Skyview/Calgary Skyview"," 46B","Calgary",0,1,2,119,0,92,4,0,2,220,618
48013,"Calgary Skyview/Calgary Skyview"," 47","Calgary",0,2,1,101,1,83,13,2,4,207,598
48013,"Calgary Skyview/Calgary Skyview"," 48","Calgary",0,5,0,64,1,62,3,1,0,136,408
48013,"Calgary Skyview/Calgary Skyview"," 49","Calgary",0,4,2,105,5,46,5,1,1,169,471
48013,"Calgary Skyview/Calgary Skyview"," 50","Calgary",1,2,2,120,2,46,10,2,3,188,450
48013,"Calgary Skyview/Calgary Skyview"," 51","Calgary",2,1,2,94,1,67,10,0,2,179,405
48013,"Calgary Skyview/Calgary Skyview"," 52","Calgary",0,3,2,96,7,88,7,0,4,207,453
48013,"Calgary Skyview/Calgary Skyview"," 53","Calgary",0,2,5,95,4,71,20,1,0,198,496
48013,"Calgary Skyview/Calgary Skyview"," 54","Calgary",0,0,5,116,0,37,14,1,3,176,422
48013,"Calgary Skyview/Calgary Skyview"," 55","Calgary",0,1,1,100,0,33,15,0,3,153,384
48013,"Calgary Skyview/Calgary Skyview"," 56","Calgary",0,1,3,125,0,37,23,0,1,190,451
48013,"Calgary Skyview/Calgary Skyview"," 57","Calgary",0,4,1,115,1,36,21,0,6,184,439
48013,"Calgary Skyview/Calgary Skyview"," 58","Calgary",0,4,1,120,0,64,12,1,0,202,546
48013,"Calgary Skyview/Calgary Skyview"," 59","Calgary",0,0,2,140,2,67,12,0,4,227,521
48013,"Calgary Skyview/Calgary Skyview"," 60A","Calgary",0,0,1,121,0,39,15,1,0,177,448
48013,"Calgary Skyview/Calgary Skyview"," 60B","Calgary",0,0,0,126,1,43,11,0,4,185,471
48013,"Calgary Skyview/Calgary Skyview"," 61","Calgary",0,2,2,103,0,28,9,0,0,144,434
48013,"Calgary Skyview/Calgary Skyview"," 62","Calgary",0,4,0,100,1,60,8,1,4,178,418
48013,"Calgary Skyview/Calgary Skyview"," 63","Calgary",0,6,4,95,2,41,13,1,0,162,373
48013,"Calgary Skyview/Calgary Skyview"," 64","Calgary",0,3,7,71,1,96,8,1,1,188,462
48013,"Calgary Skyview/Calgary Skyview"," 65A","Calgary",0,2,3,132,1,34,14,0,2,188,494
48013,"Calgary Skyview/Calgary Skyview"," 65B","Calgary",0,3,6,104,3,49,13,1,1,180,486
48013,"Calgary Skyview/Calgary Skyview"," 66","Calgary",0,2,5,106,2,65,9,0,1,190,452
48013,"Calgary Skyview/Calgary Skyview"," 67","Calgary",1,3,1,136,0,71,15,0,3,230,543
48013,"Calgary Skyview/Calgary Skyview"," 68","Calgary",0,0,2,81,3,61,12,0,1,160,501
48013,"Calgary Skyview/Calgary Skyview"," 69","Calgary",1,7,5,109,1,63,9,0,2,197,493
48013,"Calgary Skyview/Calgary Skyview"," 70","Calgary",0,4,7,123,2,72,16,0,3,227,471
48013,"Calgary Skyview/Calgary Skyview"," 71","Calgary",4,4,2,132,3,65,13,0,2,225,619
48013,"Calgary Skyview/Calgary Skyview"," 72","Calgary",0,8,8,102,3,69,22,0,9,221,485
48013,"Calgary Skyview/Calgary Skyview"," 73","Calgary",0,5,1,80,3,63,20,1,3,176,414
48013,"Calgary Skyview/Calgary Skyview"," 74","Calgary",0,4,2,63,3,61,11,0,0,144,414
48013,"Calgary Skyview/Calgary Skyview"," 75","Calgary",0,5,4,86,3,51,12,4,1,166,447
48013,"Calgary Skyview/Calgary Skyview"," 76","Calgary",1,2,1,51,2,62,14,2,2,137,421
48013,"Calgary Skyview/Calgary Skyview"," 77","Calgary",1,2,4,48,3,50,19,0,0,127,366
48013,"Calgary Skyview/Calgary Skyview"," 78","Calgary",0,2,11,55,6,68,16,1,0,159,412
48013,"Calgary Skyview/Calgary Skyview"," 79","Calgary",1,0,4,86,2,70,8,2,1,174,442
48013,"Calgary Skyview/Calgary Skyview"," 80","Calgary",1,4,0,114,1,20,9,0,1,150,404
48013,"Calgary Skyview/Calgary Skyview"," 81","Calgary",1,2,9,115,1,26,7,1,1,163,443
48013,"Calgary Skyview/Calgary Skyview"," 82","Calgary",0,3,3,98,2,21,12,0,2,141,408
48013,"Calgary Skyview/Calgary Skyview"," 83","Calgary",1,1,3,102,0,36,6,0,1,150,500
48013,"Calgary Skyview/Calgary Skyview"," 84","Calgary",0,1,2,111,2,42,15,0,1,174,508
48013,"Calgary Skyview/Calgary Skyview"," 85","Calgary",0,3,1,129,1,53,19,0,0,206,432
48013,"Calgary Skyview/Calgary Skyview"," 86","Calgary",0,3,6,137,0,86,20,1,0,253,508
48013,"Calgary Skyview/Calgary Skyview"," 87","Calgary",0,2,2,73,8,74,18,3,0,180,426
48013,"Calgary Skyview/Calgary Skyview"," 88","Calgary",0,4,3,111,4,74,12,0,0,208,447
48013,"Calgary Skyview/Calgary Skyview"," 89","Calgary",0,2,1,108,1,41,17,2,0,172,461
48013,"Calgary Skyview/Calgary Skyview"," 90","Calgary",1,1,10,116,4,46,6,2,0,186,423
48013,"Calgary Skyview/Calgary Skyview"," 91","Calgary",0,2,3,139,0,23,25,1,1,194,492
48013,"Calgary Skyview/Calgary Skyview"," 92","Calgary",0,1,5,151,5,47,9,0,1,219,559
48013,"Calgary Skyview/Calgary Skyview"," 93","Calgary",0,1,6,104,2,63,12,0,0,188,409
48013,"Calgary Skyview/Calgary Skyview"," 94","Calgary",1,6,4,114,2,79,28,1,0,235,500
48013,"Calgary Skyview/Calgary Skyview"," 95","Calgary",0,9,6,158,2,95,43,1,1,315,697
48013,"Calgary Skyview/Calgary Skyview"," 96","Calgary",0,4,1,54,6,74,21,3,1,164,433
48013,"Calgary Skyview/Calgary Skyview"," 97","Calgary",1,9,3,61,6,82,20,2,2,186,438
48013,"Calgary Skyview/Calgary Skyview"," 98","Calgary",1,3,2,70,2,69,16,1,1,165,378
48013,"Calgary Skyview/Calgary Skyview"," 99","Calgary",0,2,2,47,0,45,14,0,0,110,361
48013,"Calgary Skyview/Calgary Skyview"," 100","Calgary",0,10,2,80,2,49,10,1,1,155,424
48013,"Calgary Skyview/Calgary Skyview"," 101","Calgary",0,2,2,70,4,36,23,2,6,145,423
48013,"Calgary Skyview/Calgary Skyview"," 102","Calgary",1,4,6,92,4,66,12,0,0,185,426
48013,"Calgary Skyview/Calgary Skyview"," 103","Calgary",0,2,5,73,2,54,19,1,1,157,404
48013,"Calgary Skyview/Calgary Skyview"," 104","Calgary",0,7,5,106,2,65,31,1,1,218,496
48013,"Calgary Skyview/Calgary Skyview"," 105","Calgary",0,3,5,95,5,77,15,2,2,204,412
48013,"Calgary Skyview/Calgary Skyview"," 106","Calgary",2,8,1,64,4,79,22,2,2,184,434
48013,"Calgary Skyview/Calgary Skyview"," 107","Calgary",0,5,0,46,6,54,19,1,0,131,375
48013,"Calgary Skyview/Calgary Skyview"," 108","Calgary",1,1,2,92,2,48,23,0,0,169,455
48013,"Calgary Skyview/Calgary Skyview"," 109","Calgary",1,9,0,96,7,69,20,1,3,206,453
48013,"Calgary Skyview/Calgary Skyview"," 110","Calgary",1,5,7,82,2,84,28,0,3,212,428
48013,"Calgary Skyview/Calgary Skyview"," 111","Calgary",0,5,5,82,6,81,16,0,0,195,465
48013,"Calgary Skyview/Calgary Skyview"," 112","Calgary",0,11,4,87,4,73,17,1,0,197,414
48013,"Calgary Skyview/Calgary Skyview"," 113","Calgary",0,1,5,84,5,91,14,1,4,205,374
48013,"Calgary Skyview/Calgary Skyview"," 114","Calgary",0,4,6,73,3,82,9,1,0,178,364
48013,"Calgary Skyview/Calgary Skyview"," 115","Calgary",0,6,2,80,5,78,21,1,6,199,441
48013,"Calgary Skyview/Calgary Skyview"," 116","Calgary",1,4,1,68,1,54,21,2,1,153,395
48013,"Calgary Skyview/Calgary Skyview"," 117","Calgary",1,3,0,91,4,72,11,3,0,185,416
48013,"Calgary Skyview/Calgary Skyview"," 118","Calgary",0,2,2,100,5,54,12,2,0,177,447
48013,"Calgary Skyview/Calgary Skyview"," 119","Calgary",2,1,5,64,3,84,9,0,1,169,401
48013,"Calgary Skyview/Calgary Skyview"," 120","Calgary",1,6,6,45,5,72,33,1,1,170,379
48013,"Calgary Skyview/Calgary Skyview"," 121","Calgary",0,6,0,61,4,51,10,0,1,133,365
48013,"Calgary Skyview/Calgary Skyview"," 122","Calgary",0,2,2,50,1,50,10,0,0,115,285
48013,"Calgary Skyview/Calgary Skyview"," 123","Calgary",0,7,3,55,0,60,17,1,0,143,330
48013,"Calgary Skyview/Calgary Skyview"," 124","Calgary",0,3,3,89,2,67,15,2,2,183,405
