Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Naval Bajaj,Raj Grewal,Harbaljit Singh Kahlon,Kyle Lacroix,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35009,"Brampton East/Brampton-Est"," 120","Brampton",63,115,47,4,3,232,441
35009,"Brampton East/Brampton-Est"," 121","Brampton",60,156,73,3,0,292,525
35009,"Brampton East/Brampton-Est"," 122","Brampton",32,145,48,1,0,226,390
35009,"Brampton East/Brampton-Est"," 123","Brampton",64,157,51,2,0,274,503
35009,"Brampton East/Brampton-Est"," 124A","Brampton",31,69,24,2,0,126,252
35009,"Brampton East/Brampton-Est"," 124B","Brampton",32,61,35,0,0,128,248
35009,"Brampton East/Brampton-Est"," 125","Brampton",43,142,46,1,0,232,438
35009,"Brampton East/Brampton-Est"," 126","Brampton",36,112,31,0,4,183,349
35009,"Brampton East/Brampton-Est"," 127","Brampton",41,99,66,1,0,207,381
35009,"Brampton East/Brampton-Est"," 128","Brampton",26,93,58,2,2,181,352
35009,"Brampton East/Brampton-Est"," 129","Brampton",38,116,40,2,1,197,414
35009,"Brampton East/Brampton-Est"," 130","Brampton",62,138,60,6,2,268,458
35009,"Brampton East/Brampton-Est"," 131","Brampton",19,95,33,3,1,151,320
35009,"Brampton East/Brampton-Est"," 132","Brampton",48,116,44,2,0,210,444
35009,"Brampton East/Brampton-Est"," 133","Brampton",36,131,41,1,0,209,559
35009,"Brampton East/Brampton-Est"," 134","Brampton",38,108,33,4,0,183,495
35009,"Brampton East/Brampton-Est"," 135A","Brampton",13,47,18,2,0,80,227
35009,"Brampton East/Brampton-Est"," 135B","Brampton",27,59,24,1,3,114,280
35009,"Brampton East/Brampton-Est"," 136","Brampton",30,90,30,1,2,153,483
35009,"Brampton East/Brampton-Est"," 137","Brampton",45,100,45,6,1,197,442
35009,"Brampton East/Brampton-Est"," 138","Brampton",55,126,46,3,1,231,445
35009,"Brampton East/Brampton-Est"," 139","Brampton",24,139,56,2,7,228,490
35009,"Brampton East/Brampton-Est"," 140","Brampton",36,79,24,2,0,141,303
35009,"Brampton East/Brampton-Est"," 141","Brampton",43,133,51,6,2,235,498
35009,"Brampton East/Brampton-Est"," 142","Brampton",48,97,46,1,0,192,476
35009,"Brampton East/Brampton-Est"," 143","Brampton",52,144,22,3,0,221,530
35009,"Brampton East/Brampton-Est"," 144A","Brampton",70,123,15,8,0,216,336
35009,"Brampton East/Brampton-Est"," 144B","Brampton",66,81,27,6,1,181,303
35009,"Brampton East/Brampton-Est"," 500","Mobile poll/Bureau itinérant",20,64,11,4,2,101,207
35009,"Brampton East/Brampton-Est"," 600","Brampton",497,651,368,14,10,1540,
35009,"Brampton East/Brampton-Est"," 601","Brampton",140,464,233,7,4,848,
35009,"Brampton East/Brampton-Est"," 602","Brampton",144,426,199,6,4,779,
35009,"Brampton East/Brampton-Est"," 603","Brampton",139,315,242,2,7,705,
35009,"Brampton East/Brampton-Est"," 604","Brampton",113,417,292,5,6,833,
35009,"Brampton East/Brampton-Est"," 605","Brampton",248,417,314,9,7,995,
35009,"Brampton East/Brampton-Est"," 606","Brampton",210,550,317,5,4,1086,
35009,"Brampton East/Brampton-Est"," 607","Brampton",414,635,509,5,15,1578,
35009,"Brampton East/Brampton-Est"," 608","Brampton",414,496,455,9,4,1378,
35009,"Brampton East/Brampton-Est"," 609","Brampton",497,651,368,14,10,1540,
35009,"Brampton East/Brampton-Est",,"Group 1/Groupe 1",10,34,5,0,5,54,45
35009,"Brampton East/Brampton-Est",,"Group 2/Groupe 2",434,919,656,18,18,2045,
