Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Élise Gauthier,Denis Lemieux,Dany Morin,Caroline Ste-Marie,Dany St-Gelais,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 86","Saguenay",59,60,72,48,6,2,247,401
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 87","Saguenay",53,82,93,40,5,7,280,421
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 88","Saguenay",38,82,72,33,2,11,238,375
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 89","Saguenay",18,34,35,36,2,7,132,242
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 90","Saguenay",39,71,58,38,4,0,210,423
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 91","Saguenay",42,74,65,39,5,2,227,418
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 92","Saguenay",27,58,55,34,4,1,179,352
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 93","Saguenay",32,60,76,25,7,9,209,382
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 94","Saguenay",41,47,45,34,8,2,177,370
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 95","Saguenay",57,56,42,30,6,7,198,421
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 96","Saguenay",35,72,42,27,6,8,190,424
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 97","Saguenay",32,53,33,18,7,8,151,330
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 98","Saguenay",33,55,53,29,1,3,174,342
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 99","Saguenay",46,54,64,59,8,5,236,428
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 100","Saguenay",34,65,64,51,3,2,219,388
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 101","Saguenay",36,55,44,23,9,3,170,373
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 102","Saguenay",26,60,41,21,2,5,155,331
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 103","Saguenay",39,41,44,23,4,4,155,381
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 104","Saguenay",48,70,51,30,2,1,202,408
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 105","Saguenay",33,58,53,29,2,4,179,419
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 106","Saguenay",32,59,56,23,4,3,177,382
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 107","Saguenay",48,72,70,39,2,5,236,416
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 108","Saguenay",33,52,58,25,4,5,177,415
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 109","Saguenay",76,46,55,21,3,1,202,374
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 110","Saguenay",60,69,91,28,6,2,256,484
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 111","Saguenay",51,50,50,36,2,6,195,391
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 112","Saguenay",35,71,52,33,3,3,197,388
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 113","Saguenay",43,77,82,45,3,9,259,443
24022,"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 114","Saguenay",71,61,84,32,2,6,256,503
