Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Réjean Bellemare,Johnathan Cloutier,Adriana Dudas,Yoland Gilbert,Jonathan Lefebvre,Monique Pauzé,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24060,"Repentigny/Repentigny"," 28","L'Assomption",32,4,29,3,3,50,3,124,318
24060,"Repentigny/Repentigny"," 29","L'Assomption",41,3,45,4,13,88,5,199,409
24060,"Repentigny/Repentigny"," 30","L'Assomption",53,5,61,5,25,88,7,244,439
24060,"Repentigny/Repentigny"," 31","L'Assomption",37,5,51,3,22,99,1,218,452
24060,"Repentigny/Repentigny"," 32","L'Assomption",49,5,70,6,16,79,0,225,438
24060,"Repentigny/Repentigny"," 33","L'Assomption",59,9,59,7,19,62,6,221,440
24060,"Repentigny/Repentigny"," 34","Saint-Sulpice",42,5,42,4,26,50,2,171,306
24060,"Repentigny/Repentigny"," 35","Saint-Sulpice",33,4,52,4,19,83,4,199,318
24060,"Repentigny/Repentigny"," 36","Saint-Sulpice",42,3,40,2,13,52,6,158,258
24060,"Repentigny/Repentigny"," 37","Saint-Sulpice",35,6,30,2,17,52,2,144,259
24060,"Repentigny/Repentigny"," 38","Saint-Sulpice",36,5,27,3,20,68,3,162,293
24060,"Repentigny/Repentigny"," 39","Saint-Sulpice",27,6,31,4,14,65,3,150,292
24060,"Repentigny/Repentigny"," 40","Saint-Sulpice",29,2,46,2,14,79,3,175,324
24060,"Repentigny/Repentigny"," 41","Saint-Sulpice",37,4,32,4,19,59,8,163,319
24060,"Repentigny/Repentigny"," 42","Saint-Sulpice",35,5,69,2,21,85,2,219,420
24060,"Repentigny/Repentigny"," 43","Repentigny",49,8,90,5,23,78,0,253,446
24060,"Repentigny/Repentigny"," 44","Repentigny",72,5,101,6,23,85,6,298,462
24060,"Repentigny/Repentigny"," 45","Repentigny",43,11,83,4,24,94,4,263,432
24060,"Repentigny/Repentigny"," 46","Repentigny",52,12,74,7,45,96,2,288,500
24060,"Repentigny/Repentigny"," 47","Repentigny",44,8,78,9,37,79,6,261,436
24060,"Repentigny/Repentigny"," 48","Repentigny",49,5,77,6,22,72,7,238,405
24060,"Repentigny/Repentigny"," 49","Repentigny",73,1,56,3,7,58,1,199,393
24060,"Repentigny/Repentigny"," 50","Repentigny",54,9,52,6,44,104,4,273,407
24060,"Repentigny/Repentigny"," 51","Repentigny",58,3,57,5,23,81,4,231,359
24060,"Repentigny/Repentigny"," 52","Repentigny",53,7,77,4,10,112,7,270,455
24060,"Repentigny/Repentigny"," 53","Repentigny",69,6,85,9,15,104,2,290,458
24060,"Repentigny/Repentigny"," 54","Repentigny",75,6,83,8,16,74,5,267,461
24060,"Repentigny/Repentigny"," 55","Repentigny",39,0,58,7,31,54,0,189,328
24060,"Repentigny/Repentigny"," 56","Repentigny",51,2,74,3,33,75,4,242,466
24060,"Repentigny/Repentigny"," 57","Repentigny",43,4,73,6,26,89,7,248,394
24060,"Repentigny/Repentigny"," 58","Repentigny",74,7,105,5,24,96,3,314,513
24060,"Repentigny/Repentigny"," 59","Repentigny",67,6,68,6,20,77,3,247,409
24060,"Repentigny/Repentigny"," 60","Repentigny",44,4,69,3,18,76,4,218,385
24060,"Repentigny/Repentigny"," 61","Repentigny",59,1,49,4,12,71,2,198,344
24060,"Repentigny/Repentigny"," 62","Repentigny",30,2,48,1,15,64,2,162,366
24060,"Repentigny/Repentigny"," 63","Repentigny",70,5,55,4,18,79,3,234,397
24060,"Repentigny/Repentigny"," 64","Repentigny",45,3,81,4,20,88,3,244,420
24060,"Repentigny/Repentigny"," 65","Repentigny",59,5,74,1,15,86,3,243,401
24060,"Repentigny/Repentigny"," 66","Repentigny",61,9,79,5,21,83,4,262,429
24060,"Repentigny/Repentigny"," 67","Repentigny",57,11,81,2,33,88,7,279,443
24060,"Repentigny/Repentigny"," 68","Repentigny",46,2,75,2,42,67,1,235,389
24060,"Repentigny/Repentigny"," 69","Repentigny",46,5,78,2,35,109,7,282,412
24060,"Repentigny/Repentigny"," 70","Repentigny",52,5,54,8,14,79,1,213,373
24060,"Repentigny/Repentigny"," 71","Repentigny",43,5,43,4,18,54,5,172,295
24060,"Repentigny/Repentigny"," 72","Repentigny",43,2,75,5,14,80,3,222,357
24060,"Repentigny/Repentigny"," 73A","Repentigny",20,2,57,2,13,17,0,111,233
24060,"Repentigny/Repentigny"," 73B","Repentigny",29,3,72,1,21,43,3,172,338
24060,"Repentigny/Repentigny"," 74","Repentigny",74,3,120,4,47,75,3,326,526
24060,"Repentigny/Repentigny"," 75","Repentigny",46,2,91,4,39,54,3,239,465
24060,"Repentigny/Repentigny"," 76","Repentigny",45,2,73,2,32,86,6,246,456
24060,"Repentigny/Repentigny"," 77","Repentigny",60,2,84,4,44,59,2,255,454
24060,"Repentigny/Repentigny"," 78","Repentigny",79,7,87,6,61,106,4,350,557
24060,"Repentigny/Repentigny"," 79","Repentigny",35,2,80,0,32,47,6,202,327
24060,"Repentigny/Repentigny"," 80","Repentigny",73,3,77,4,44,73,3,277,479
24060,"Repentigny/Repentigny"," 81","Repentigny",61,6,97,4,29,89,3,289,458
24060,"Repentigny/Repentigny"," 82","Repentigny",58,1,81,1,36,78,5,260,492
24060,"Repentigny/Repentigny"," 83","Repentigny",54,5,67,4,30,59,6,225,454
24060,"Repentigny/Repentigny"," 84","Repentigny",39,4,40,10,10,51,0,154,269
24060,"Repentigny/Repentigny"," 85","Repentigny",48,5,40,4,19,89,1,206,336
24060,"Repentigny/Repentigny"," 86","Repentigny",47,3,53,5,20,74,3,205,406
24060,"Repentigny/Repentigny"," 87","Repentigny",41,3,48,6,16,67,4,185,341
24060,"Repentigny/Repentigny"," 88","Repentigny",50,6,47,8,16,64,5,196,359
24060,"Repentigny/Repentigny"," 89","Repentigny",53,6,70,2,16,87,7,241,437
24060,"Repentigny/Repentigny"," 90","Repentigny",40,11,41,2,19,62,0,175,389
24060,"Repentigny/Repentigny"," 91","Repentigny",65,9,76,5,28,78,3,264,471
24060,"Repentigny/Repentigny"," 92","Repentigny",47,1,63,7,10,81,4,213,416
24060,"Repentigny/Repentigny"," 93","Repentigny",45,1,85,4,36,71,0,242,397
24060,"Repentigny/Repentigny"," 94","Repentigny",49,5,86,3,28,111,3,285,499
24060,"Repentigny/Repentigny"," 95","Repentigny",38,2,80,6,33,71,3,233,437
24060,"Repentigny/Repentigny"," 96","Repentigny",32,6,33,6,20,68,4,169,334
24060,"Repentigny/Repentigny"," 97","Repentigny",38,0,69,1,13,57,4,182,321
24060,"Repentigny/Repentigny"," 98","Repentigny",39,7,48,3,40,58,3,198,372
24060,"Repentigny/Repentigny"," 99","Repentigny",42,5,53,3,15,72,7,197,316
24060,"Repentigny/Repentigny"," 100","Repentigny",35,1,51,3,11,63,3,167,293
24060,"Repentigny/Repentigny"," 101","Repentigny",44,4,55,4,11,49,4,171,298
24060,"Repentigny/Repentigny"," 102","Repentigny",60,4,66,3,16,67,5,221,406
24060,"Repentigny/Repentigny"," 103","Repentigny",58,4,64,2,24,90,1,243,468
24060,"Repentigny/Repentigny"," 104","Repentigny",22,2,32,1,11,53,2,123,257
24060,"Repentigny/Repentigny"," 105","Repentigny",55,7,63,7,31,113,14,290,425
24060,"Repentigny/Repentigny"," 106","Repentigny",40,6,43,2,15,68,4,178,327
24060,"Repentigny/Repentigny"," 107","Repentigny",44,4,49,7,27,82,1,214,358
24060,"Repentigny/Repentigny"," 108","Repentigny",54,7,55,4,27,78,6,231,377
24060,"Repentigny/Repentigny"," 109","Repentigny",40,4,45,3,10,70,0,172,410
24060,"Repentigny/Repentigny"," 110","Repentigny",56,8,48,3,28,95,3,241,362
24060,"Repentigny/Repentigny"," 111","Repentigny",14,0,36,2,5,60,5,122,336
24060,"Repentigny/Repentigny"," 112","Repentigny",39,4,42,8,21,75,4,193,493
24060,"Repentigny/Repentigny"," 113","Repentigny",25,2,36,2,14,59,3,141,336
24060,"Repentigny/Repentigny"," 114","Repentigny",35,1,44,5,13,60,3,161,371
24060,"Repentigny/Repentigny"," 115","Repentigny",28,8,49,5,9,72,4,175,439
24060,"Repentigny/Repentigny"," 116","Repentigny",20,1,53,4,14,53,8,153,390
24060,"Repentigny/Repentigny"," 117","Repentigny",53,2,72,4,15,85,4,235,490
24060,"Repentigny/Repentigny"," 118","Repentigny",57,5,81,5,36,68,1,253,440
24060,"Repentigny/Repentigny"," 119","Repentigny",56,6,85,2,28,55,2,234,401
24060,"Repentigny/Repentigny"," 120","Repentigny",46,3,108,7,23,72,0,259,415
24060,"Repentigny/Repentigny"," 121","Repentigny",69,8,80,6,33,80,2,278,426
24060,"Repentigny/Repentigny"," 122","Repentigny",59,4,65,10,43,77,1,259,389
24060,"Repentigny/Repentigny"," 123","Repentigny",67,2,89,5,25,85,3,276,379
24060,"Repentigny/Repentigny"," 124","Repentigny",47,8,72,5,25,67,1,225,369
24060,"Repentigny/Repentigny"," 125","Repentigny",67,7,67,8,38,85,5,277,440
24060,"Repentigny/Repentigny"," 126","Repentigny",37,5,65,3,20,75,3,208,368
24060,"Repentigny/Repentigny"," 127","Repentigny",64,3,73,3,23,63,5,234,390
24060,"Repentigny/Repentigny"," 128","Repentigny",59,4,77,7,26,76,4,253,388
24060,"Repentigny/Repentigny"," 129","Repentigny",64,7,79,5,22,96,1,274,377
24060,"Repentigny/Repentigny"," 130","Repentigny",68,9,47,2,22,92,5,245,420
24060,"Repentigny/Repentigny"," 131","Repentigny",71,7,82,0,23,85,7,275,465
24060,"Repentigny/Repentigny"," 132","Repentigny",60,9,70,3,38,90,6,276,444
24060,"Repentigny/Repentigny"," 133","Repentigny",61,5,65,8,16,81,6,242,441
24060,"Repentigny/Repentigny"," 134","Repentigny",79,6,68,9,21,94,7,284,446
24060,"Repentigny/Repentigny"," 135","Repentigny",63,4,55,5,27,76,4,234,481
24060,"Repentigny/Repentigny"," 136A","Repentigny",35,7,53,4,21,50,3,173,287
24060,"Repentigny/Repentigny"," 136B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,,,106
24060,"Repentigny/Repentigny"," 137","Repentigny",53,7,72,7,22,73,9,243,399
24060,"Repentigny/Repentigny"," 138","Repentigny",57,3,41,1,37,99,7,245,466
24060,"Repentigny/Repentigny"," 139","Repentigny",54,8,52,1,20,79,4,218,443
24060,"Repentigny/Repentigny"," 140","Repentigny",54,6,60,3,19,83,2,227,402
24060,"Repentigny/Repentigny"," 141","Repentigny",47,7,56,2,8,93,9,222,433
24060,"Repentigny/Repentigny"," 142","Repentigny",54,5,61,6,18,131,8,283,542
24060,"Repentigny/Repentigny"," 143","Repentigny",52,2,62,2,14,94,4,230,410
24060,"Repentigny/Repentigny"," 144","Repentigny",79,7,74,13,18,96,8,295,484
24060,"Repentigny/Repentigny"," 145","Repentigny",81,3,84,8,21,110,5,312,466
24060,"Repentigny/Repentigny"," 146","Repentigny",76,8,64,4,29,114,1,296,521
24060,"Repentigny/Repentigny"," 147","Repentigny",39,2,54,0,21,58,3,177,331
24060,"Repentigny/Repentigny"," 148","Repentigny",45,3,62,1,16,66,4,197,341
24060,"Repentigny/Repentigny"," 149","Repentigny",50,6,61,5,19,61,7,209,326
24060,"Repentigny/Repentigny"," 150","Repentigny",76,8,68,4,31,120,4,311,523
24060,"Repentigny/Repentigny"," 151","Repentigny",48,3,67,6,21,100,5,250,437
24060,"Repentigny/Repentigny"," 152","Repentigny",46,5,56,6,33,92,1,239,443
24060,"Repentigny/Repentigny"," 153","Repentigny",57,8,63,4,16,70,5,223,422
24060,"Repentigny/Repentigny"," 154","Repentigny",50,1,78,7,8,99,3,246,441
24060,"Repentigny/Repentigny"," 155","Repentigny",54,0,42,1,13,79,3,192,399
24060,"Repentigny/Repentigny"," 156","Repentigny",40,3,55,5,21,61,3,188,396
24060,"Repentigny/Repentigny"," 157","Repentigny",50,3,67,2,28,82,6,238,455
24060,"Repentigny/Repentigny"," 158","Repentigny",32,5,49,5,15,88,4,198,422
24060,"Repentigny/Repentigny"," 159","Repentigny",51,5,67,7,18,85,0,233,474
24060,"Repentigny/Repentigny"," 160","Repentigny",59,5,69,9,23,77,8,250,418
24060,"Repentigny/Repentigny"," 161","Repentigny",44,4,39,5,19,98,1,210,422
24060,"Repentigny/Repentigny"," 162","Repentigny",48,3,68,5,22,78,7,231,451
24060,"Repentigny/Repentigny"," 163","Repentigny",50,6,45,2,33,81,5,222,411
24060,"Repentigny/Repentigny"," 164A","Repentigny",41,3,41,4,13,37,2,141,305
24060,"Repentigny/Repentigny"," 164B","Repentigny",33,2,32,2,19,71,6,165,354
24060,"Repentigny/Repentigny"," 165","Charlemagne",41,5,43,7,27,76,4,203,422
24060,"Repentigny/Repentigny"," 166","Charlemagne",54,0,102,1,17,56,3,233,515
24060,"Repentigny/Repentigny"," 167","Charlemagne",53,4,56,8,22,94,3,240,406
24060,"Repentigny/Repentigny"," 168","Charlemagne",43,10,69,9,25,101,2,259,469
24060,"Repentigny/Repentigny"," 169","Charlemagne",41,3,63,5,20,97,7,236,486
24060,"Repentigny/Repentigny"," 170","Charlemagne",36,5,51,0,13,67,4,176,368
24060,"Repentigny/Repentigny"," 171","Repentigny",40,6,47,0,24,82,4,203,364
24060,"Repentigny/Repentigny"," 172","Repentigny",49,3,66,8,27,99,8,260,440
24060,"Repentigny/Repentigny"," 173","Repentigny",38,5,69,8,25,88,7,240,399
24060,"Repentigny/Repentigny"," 174","Repentigny",61,9,87,3,18,89,3,270,390
24060,"Repentigny/Repentigny"," 175","Repentigny",60,4,60,7,14,82,5,232,363
24060,"Repentigny/Repentigny"," 176","Repentigny",54,4,50,6,16,68,3,201,339
24060,"Repentigny/Repentigny"," 177","Repentigny",54,5,67,4,15,88,5,238,415
24060,"Repentigny/Repentigny"," 178","Repentigny",43,3,61,7,23,105,5,247,459
24060,"Repentigny/Repentigny"," 179","Repentigny",53,5,70,7,23,90,4,252,478
24060,"Repentigny/Repentigny"," 180","Repentigny",51,1,52,4,21,91,1,221,341
24060,"Repentigny/Repentigny"," 181","Repentigny",33,5,65,2,24,76,0,205,413
24060,"Repentigny/Repentigny"," 182","Repentigny",59,3,49,1,26,65,5,208,336
24060,"Repentigny/Repentigny"," 183","Repentigny",33,6,65,4,10,71,6,195,339
24060,"Repentigny/Repentigny"," 184","Repentigny",48,8,50,9,23,68,5,211,394
24060,"Repentigny/Repentigny"," 185","Repentigny",42,5,63,2,25,71,1,209,381
24060,"Repentigny/Repentigny"," 186","Repentigny",64,9,80,5,26,77,3,264,441
24060,"Repentigny/Repentigny"," 187","Repentigny",80,9,66,4,20,85,0,264,448
24060,"Repentigny/Repentigny"," 188","Repentigny",49,6,49,3,36,94,3,240,363
24060,"Repentigny/Repentigny"," 189","Repentigny",63,5,53,6,21,72,4,224,442
24060,"Repentigny/Repentigny"," 190","Repentigny",53,4,70,4,27,101,0,259,501
24060,"Repentigny/Repentigny"," 191","Repentigny",36,5,50,6,21,57,4,179,297
24060,"Repentigny/Repentigny"," 192","Repentigny",48,6,45,5,16,72,4,196,310
24060,"Repentigny/Repentigny"," 193","Repentigny",46,2,73,3,16,74,5,219,437
24060,"Repentigny/Repentigny"," 194","Repentigny",21,2,42,3,17,62,2,149,318
24060,"Repentigny/Repentigny"," 195","Repentigny",29,0,68,2,28,57,1,185,387
24060,"Repentigny/Repentigny"," 196","Repentigny",42,1,72,1,40,33,1,190,382
24060,"Repentigny/Repentigny"," 197","Repentigny",24,7,46,2,9,59,3,150,332
24060,"Repentigny/Repentigny"," 198","Repentigny",38,2,60,3,28,85,2,218,444
24060,"Repentigny/Repentigny"," 199","Repentigny",75,3,64,9,25,95,10,281,487
24060,"Repentigny/Repentigny"," 200","Repentigny",54,7,60,5,24,74,6,230,440
24060,"Repentigny/Repentigny"," 201","Repentigny",61,13,59,4,17,64,2,220,405
24060,"Repentigny/Repentigny"," 202","Repentigny",44,5,77,1,36,109,1,273,431
24060,"Repentigny/Repentigny"," 203","Repentigny",55,11,74,6,22,84,0,252,429
24060,"Repentigny/Repentigny"," 204","Repentigny",23,16,57,2,10,76,2,186,307
24060,"Repentigny/Repentigny"," 205","Repentigny",27,5,49,6,24,60,4,175,336
24060,"Repentigny/Repentigny"," 206","Repentigny",40,1,73,2,21,48,1,186,404
24060,"Repentigny/Repentigny"," 207A","Repentigny",25,11,38,3,11,70,3,161,370
24060,"Repentigny/Repentigny"," 207B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,32
24060,"Repentigny/Repentigny"," 208","Charlemagne",36,3,50,4,13,95,4,205,414
24060,"Repentigny/Repentigny"," 209","Charlemagne",39,3,62,2,10,72,6,194,471
24060,"Repentigny/Repentigny"," 210","Charlemagne",28,6,36,6,7,48,6,137,287
24060,"Repentigny/Repentigny"," 211","Charlemagne",32,2,64,5,27,68,3,201,404
24060,"Repentigny/Repentigny"," 212","Charlemagne",55,2,48,3,14,111,5,238,513
24060,"Repentigny/Repentigny"," 213","Charlemagne",26,5,32,1,7,52,2,125,346
24060,"Repentigny/Repentigny"," 214","L'Assomption",74,1,56,3,5,88,3,230,412
24060,"Repentigny/Repentigny"," 215","L'Assomption",30,0,29,6,12,63,7,147,417
24060,"Repentigny/Repentigny"," 216","L'Assomption",18,2,35,3,6,56,4,124,363
24060,"Repentigny/Repentigny"," 217","L'Assomption",21,1,42,3,6,48,0,121,387
24060,"Repentigny/Repentigny"," 218","L'Assomption",27,4,40,6,26,71,5,179,346
24060,"Repentigny/Repentigny"," 219","L'Assomption",60,2,66,6,36,92,1,263,453
24060,"Repentigny/Repentigny"," 220","L'Assomption",30,0,37,2,21,45,3,138,288
24060,"Repentigny/Repentigny"," 400","Repentigny",41,4,131,4,21,63,5,269,317
24060,"Repentigny/Repentigny"," 401","Montréal",61,5,220,7,52,98,3,446,521
24060,"Repentigny/Repentigny"," 402","Repentigny",24,3,58,4,18,32,6,145,164
24060,"Repentigny/Repentigny"," 500A","Mobile poll/Bureau itinérant",14,2,19,3,2,20,1,61,86
24060,"Repentigny/Repentigny"," 500B","Mobile poll/Bureau itinérant",8,0,21,1,1,8,4,43,97
24060,"Repentigny/Repentigny"," 501","Mobile poll/Bureau itinérant",28,7,75,3,15,43,3,174,209
24060,"Repentigny/Repentigny"," 502","Mobile poll/Bureau itinérant",18,5,60,0,9,19,6,117,167
24060,"Repentigny/Repentigny"," 503","Mobile poll/Bureau itinérant",25,2,61,2,20,23,2,135,145
24060,"Repentigny/Repentigny"," 504","Mobile poll/Bureau itinérant",16,1,39,1,8,20,3,88,127
24060,"Repentigny/Repentigny"," 505A","Mobile poll/Bureau itinérant",11,0,16,2,2,10,1,42,105
24060,"Repentigny/Repentigny"," 505B","Mobile poll/Bureau itinérant",38,3,58,3,16,33,4,155,122
24060,"Repentigny/Repentigny"," 506","Mobile poll/Bureau itinérant",5,3,20,1,6,9,3,47,73
24060,"Repentigny/Repentigny"," 600","L'Assomption",178,9,155,14,104,199,17,676,
24060,"Repentigny/Repentigny"," 601","L'Assomption",245,10,170,11,109,326,9,880,
24060,"Repentigny/Repentigny"," 602","L'Assomption",253,12,195,14,99,348,17,938,
24060,"Repentigny/Repentigny"," 603","Saint-Sulpice",91,12,93,9,67,155,11,438,
24060,"Repentigny/Repentigny"," 604","Repentigny",199,8,166,13,96,236,8,726,
24060,"Repentigny/Repentigny"," 605","Repentigny",201,8,226,8,123,167,9,742,
24060,"Repentigny/Repentigny"," 606","Repentigny",199,16,143,9,90,238,12,707,
24060,"Repentigny/Repentigny"," 607","Repentigny",204,16,189,7,107,229,9,761,
24060,"Repentigny/Repentigny"," 608","Repentigny",253,19,191,18,78,253,19,831,
24060,"Repentigny/Repentigny"," 609","Repentigny",249,12,150,16,75,272,18,792,
24060,"Repentigny/Repentigny"," 610","Repentigny",150,8,154,13,77,180,14,596,
24060,"Repentigny/Repentigny"," 611","Repentigny",197,15,166,7,99,221,9,714,
24060,"Repentigny/Repentigny"," 612","Repentigny",247,12,215,11,130,293,16,924,
24060,"Repentigny/Repentigny"," 613","Repentigny",184,6,148,11,74,184,11,618,
24060,"Repentigny/Repentigny"," 614","Repentigny",282,15,176,14,166,363,19,1035,
24060,"Repentigny/Repentigny"," 615","Repentigny",303,21,268,22,141,440,31,1226,
24060,"Repentigny/Repentigny"," 616","Repentigny",260,13,348,13,192,376,17,1219,
24060,"Repentigny/Repentigny",,"Group 1/Groupe 1",17,0,55,1,35,12,6,126,77
24060,"Repentigny/Repentigny",,"Group 2/Groupe 2",383,23,255,22,146,378,21,1228,
