Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kevin Brandt,Rob Ferguson,Marc Laferriere,Phil McColeman,Danielle Takacs,The Engineer Turmel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35013,"Brantford--Brant/Brantford--Brant"," 92","Brantford",1,0,8,24,18,0,0,51,86
35013,"Brantford--Brant/Brantford--Brant"," 93","Brant",14,1,39,147,86,0,3,290,507
35013,"Brantford--Brant/Brantford--Brant"," 94","Brant",7,3,32,121,59,0,2,224,471
35013,"Brantford--Brant/Brantford--Brant"," 95","Brantford",3,3,53,104,89,1,1,254,580
35013,"Brantford--Brant/Brantford--Brant"," 96","Brantford",4,2,42,95,68,0,1,212,460
35013,"Brantford--Brant/Brantford--Brant"," 97","Brantford",5,1,58,62,65,0,2,193,469
35013,"Brantford--Brant/Brantford--Brant"," 98","Brantford",6,3,69,85,82,0,1,246,510
35013,"Brantford--Brant/Brantford--Brant"," 99","Brantford",6,2,93,91,91,4,2,289,529
35013,"Brantford--Brant/Brantford--Brant"," 100","Brantford",2,0,52,92,63,1,1,211,427
35013,"Brantford--Brant/Brantford--Brant"," 101","Brantford",3,3,38,86,90,0,1,221,465
35013,"Brantford--Brant/Brantford--Brant"," 102","Brantford",7,6,41,121,79,1,1,256,400
35013,"Brantford--Brant/Brantford--Brant"," 103","Brantford",1,2,53,99,69,0,0,224,359
35013,"Brantford--Brant/Brantford--Brant"," 104","Brantford",3,1,43,94,56,1,0,198,349
35013,"Brantford--Brant/Brantford--Brant"," 105","Brantford",5,2,71,82,66,1,6,233,424
35013,"Brantford--Brant/Brantford--Brant"," 106","Brantford",3,4,45,28,40,0,0,120,302
35013,"Brantford--Brant/Brantford--Brant"," 107","Brantford",2,4,62,79,63,1,1,212,423
35013,"Brantford--Brant/Brantford--Brant"," 108","Brantford",8,1,52,64,56,1,1,183,409
35013,"Brantford--Brant/Brantford--Brant"," 109","Brantford",4,1,69,74,75,1,4,228,420
35013,"Brantford--Brant/Brantford--Brant"," 110","Brantford",2,1,45,116,81,0,1,246,446
35013,"Brantford--Brant/Brantford--Brant"," 111","Brantford",4,1,45,142,97,0,2,291,520
35013,"Brantford--Brant/Brantford--Brant"," 112","Brantford",7,2,70,118,112,2,0,311,624
35013,"Brantford--Brant/Brantford--Brant"," 113","Brantford",6,2,58,89,51,0,0,206,382
35013,"Brantford--Brant/Brantford--Brant"," 114","Brantford",6,1,53,92,70,0,0,222,364
35013,"Brantford--Brant/Brantford--Brant"," 115","Brantford",3,0,41,94,59,0,0,197,351
35013,"Brantford--Brant/Brantford--Brant"," 116","Brantford",2,0,61,53,42,0,0,158,369
35013,"Brantford--Brant/Brantford--Brant"," 117","Brantford",9,3,81,88,62,1,0,244,429
35013,"Brantford--Brant/Brantford--Brant"," 118","Brantford",7,4,47,108,93,0,1,260,437
35013,"Brantford--Brant/Brantford--Brant"," 119","Brantford",7,0,55,116,103,0,0,281,444
35013,"Brantford--Brant/Brantford--Brant"," 120","Brantford",3,0,57,100,93,1,1,255,398
35013,"Brantford--Brant/Brantford--Brant"," 121","Brantford",3,0,63,78,80,1,0,225,450
35013,"Brantford--Brant/Brantford--Brant"," 122","Brantford",3,0,62,96,79,0,0,240,405
35013,"Brantford--Brant/Brantford--Brant"," 123","Brantford",4,0,47,74,71,2,0,198,302
35013,"Brantford--Brant/Brantford--Brant"," 124","Brantford",5,0,75,62,60,0,2,204,425
35013,"Brantford--Brant/Brantford--Brant"," 125","Brantford",1,0,47,57,44,0,1,150,315
35013,"Brantford--Brant/Brantford--Brant"," 126","Brantford",6,1,81,72,56,0,1,217,423
35013,"Brantford--Brant/Brantford--Brant"," 127","Brantford",14,2,58,70,71,0,1,216,441
35013,"Brantford--Brant/Brantford--Brant"," 128","Brantford",9,0,64,60,64,0,0,197,436
35013,"Brantford--Brant/Brantford--Brant"," 129","Brantford",3,1,49,65,60,0,2,180,361
35013,"Brantford--Brant/Brantford--Brant"," 130","Brantford",5,4,50,23,37,0,0,119,273
35013,"Brantford--Brant/Brantford--Brant"," 131","Brantford",2,2,68,56,56,1,0,185,397
35013,"Brantford--Brant/Brantford--Brant"," 132","Brantford",6,2,47,50,45,0,0,150,360
35013,"Brantford--Brant/Brantford--Brant"," 133","Brantford",7,3,86,52,54,1,0,203,450
35013,"Brantford--Brant/Brantford--Brant"," 134","Brantford",8,1,70,49,49,0,0,177,378
35013,"Brantford--Brant/Brantford--Brant"," 135","Brantford",5,1,63,54,35,0,1,159,364
35013,"Brantford--Brant/Brantford--Brant"," 136","Brantford",2,1,56,55,42,1,1,158,352
35013,"Brantford--Brant/Brantford--Brant"," 137","Brantford",5,2,60,50,38,0,0,155,347
35013,"Brantford--Brant/Brantford--Brant"," 138","Brantford",4,4,52,41,32,0,0,133,340
35013,"Brantford--Brant/Brantford--Brant"," 139","Brantford",5,1,36,79,57,0,4,182,338
35013,"Brantford--Brant/Brantford--Brant"," 140","Brantford",8,3,42,39,44,1,0,137,378
35013,"Brantford--Brant/Brantford--Brant"," 141","Brantford",7,2,61,76,74,1,1,222,371
35013,"Brantford--Brant/Brantford--Brant"," 142","Brantford",0,3,38,91,45,0,0,177,363
35013,"Brantford--Brant/Brantford--Brant"," 143","Brantford",3,0,38,74,53,0,2,170,356
35013,"Brantford--Brant/Brantford--Brant"," 144","Brantford",11,2,52,128,96,0,3,292,468
35013,"Brantford--Brant/Brantford--Brant"," 145","Brantford",7,1,72,86,78,0,1,245,548
35013,"Brantford--Brant/Brantford--Brant"," 146","Brantford",4,1,66,60,66,1,2,200,435
35013,"Brantford--Brant/Brantford--Brant"," 147","Brantford",7,2,68,59,49,1,0,186,463
35013,"Brantford--Brant/Brantford--Brant"," 148","Brantford",7,2,77,42,58,0,1,187,448
35013,"Brantford--Brant/Brantford--Brant"," 149","Brantford",3,2,49,46,33,1,1,135,345
35013,"Brantford--Brant/Brantford--Brant"," 150","Brantford",6,1,45,50,57,2,0,161,370
35013,"Brantford--Brant/Brantford--Brant"," 151","Brantford",10,4,68,41,69,0,1,193,404
35013,"Brantford--Brant/Brantford--Brant"," 152","Brantford",4,0,53,24,16,0,0,97,276
35013,"Brantford--Brant/Brantford--Brant"," 153","Brantford",8,5,64,50,51,0,1,179,411
35013,"Brantford--Brant/Brantford--Brant"," 154","Brantford",4,1,62,53,28,1,2,151,371
35013,"Brantford--Brant/Brantford--Brant"," 155","Brantford",6,3,47,25,69,0,4,154,382
35013,"Brantford--Brant/Brantford--Brant"," 156","Brantford",3,1,32,18,61,0,0,115,276
35013,"Brantford--Brant/Brantford--Brant"," 157","Brantford",3,5,80,39,62,0,1,190,419
35013,"Brantford--Brant/Brantford--Brant"," 158","Brantford",15,2,71,56,61,1,0,206,427
35013,"Brantford--Brant/Brantford--Brant"," 159","Brantford",5,2,67,37,56,0,0,167,420
35013,"Brantford--Brant/Brantford--Brant"," 160","Brantford",7,4,80,70,66,1,0,228,429
35013,"Brantford--Brant/Brantford--Brant"," 161","Brantford",6,0,64,41,55,1,2,169,455
35013,"Brantford--Brant/Brantford--Brant"," 162","Brantford",3,3,33,14,37,0,0,90,236
35013,"Brantford--Brant/Brantford--Brant"," 163","Brantford",11,4,91,44,100,2,0,252,514
35013,"Brantford--Brant/Brantford--Brant"," 164","Brantford",4,3,49,33,38,0,3,130,392
35013,"Brantford--Brant/Brantford--Brant"," 165","Brantford",7,1,81,39,50,0,0,178,450
35013,"Brantford--Brant/Brantford--Brant"," 166","Brantford",9,4,98,72,89,0,0,272,470
35013,"Brantford--Brant/Brantford--Brant"," 167","Brantford",4,3,89,54,60,0,0,210,455
