Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rachel Bendayan,Amara Diallo,Roger Galland Barou,Rodolphe Husny,Tom Mulcair,Francis Pouliot,Adrien Welsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24054,"Outremont/Outremont"," 50","Montréal",60,10,18,10,132,0,0,3,233,407
24054,"Outremont/Outremont"," 51","Montréal",59,13,11,5,152,0,3,1,244,439
24054,"Outremont/Outremont"," 52","Montréal",79,15,11,9,124,5,3,3,249,437
24054,"Outremont/Outremont"," 53","Montréal",72,15,28,4,138,0,2,4,263,454
24054,"Outremont/Outremont"," 54","Montréal",61,7,18,4,130,1,0,4,225,443
24054,"Outremont/Outremont"," 55","Montréal",83,14,11,12,101,1,2,3,227,522
24054,"Outremont/Outremont"," 56","Montréal",35,10,15,9,97,0,3,1,170,367
24054,"Outremont/Outremont"," 57","Montréal",34,4,4,11,65,0,0,0,118,310
24054,"Outremont/Outremont"," 58","Montréal",43,2,3,16,39,0,0,1,104,297
24054,"Outremont/Outremont"," 59","Montréal",46,13,12,12,87,0,2,1,173,326
24054,"Outremont/Outremont"," 60","Outremont",47,10,7,29,48,0,0,0,141,409
24054,"Outremont/Outremont"," 61","Outremont",55,9,20,24,95,0,3,2,208,457
24054,"Outremont/Outremont"," 62","Outremont",40,1,6,23,51,0,2,0,123,340
24054,"Outremont/Outremont"," 63","Outremont",53,8,26,13,95,0,2,1,198,402
24054,"Outremont/Outremont"," 64","Outremont",61,4,17,9,83,0,1,2,177,306
24054,"Outremont/Outremont"," 65","Outremont",71,7,19,13,165,0,5,2,282,501
24054,"Outremont/Outremont"," 66","Outremont",48,4,24,9,112,0,0,0,197,371
24054,"Outremont/Outremont"," 67","Outremont",66,7,26,12,107,1,1,4,224,376
24054,"Outremont/Outremont"," 68","Outremont",53,7,29,4,108,0,1,3,205,375
24054,"Outremont/Outremont"," 69","Outremont",54,9,9,26,63,2,1,0,164,473
24054,"Outremont/Outremont"," 70","Outremont",59,1,2,13,35,0,0,0,110,357
24054,"Outremont/Outremont"," 71","Outremont",79,11,17,22,96,0,2,3,230,577
24054,"Outremont/Outremont"," 72","Outremont",57,2,10,16,40,1,0,1,127,427
24054,"Outremont/Outremont"," 73","Outremont",32,4,9,14,84,0,0,0,143,353
24054,"Outremont/Outremont"," 74","Outremont",41,9,19,10,85,1,1,1,167,314
24054,"Outremont/Outremont"," 75","Outremont",55,5,15,10,70,0,0,0,155,355
24054,"Outremont/Outremont"," 76","Outremont",57,5,18,19,97,1,0,0,197,383
24054,"Outremont/Outremont"," 77","Outremont",46,5,13,14,71,1,0,1,151,370
24054,"Outremont/Outremont"," 78","Outremont",56,7,17,12,85,0,0,0,177,393
24054,"Outremont/Outremont"," 79","Outremont",92,9,30,20,128,0,2,2,283,450
24054,"Outremont/Outremont"," 80","Outremont",41,3,14,6,46,1,0,0,111,190
24054,"Outremont/Outremont"," 81","Outremont",79,11,30,24,72,1,0,3,220,380
24054,"Outremont/Outremont"," 82","Outremont",82,10,36,15,104,0,0,2,249,416
24054,"Outremont/Outremont"," 83","Outremont",72,5,22,30,78,0,4,0,211,402
24054,"Outremont/Outremont"," 84","Outremont",65,6,20,17,79,0,0,0,187,381
24054,"Outremont/Outremont"," 85","Outremont",46,6,27,22,96,0,1,2,200,378
24054,"Outremont/Outremont"," 86","Outremont",101,5,9,23,78,0,0,0,216,425
24054,"Outremont/Outremont"," 87","Outremont",80,5,20,24,93,1,0,0,223,370
24054,"Outremont/Outremont"," 88","Outremont",105,3,17,36,69,1,0,1,232,431
24054,"Outremont/Outremont"," 89","Outremont",63,5,22,9,102,0,1,2,204,389
24054,"Outremont/Outremont"," 90","Outremont",53,6,17,12,125,1,0,1,215,417
24054,"Outremont/Outremont"," 91","Outremont",59,10,13,14,121,1,1,5,224,424
24054,"Outremont/Outremont"," 92","Outremont",101,5,25,20,120,0,2,2,275,513
24054,"Outremont/Outremont"," 93","Outremont",85,5,24,27,136,1,0,2,280,452
24054,"Outremont/Outremont"," 94","Outremont",88,4,30,14,120,0,0,1,257,456
24054,"Outremont/Outremont"," 95","Outremont",51,9,16,14,109,0,0,3,202,375
24054,"Outremont/Outremont"," 96","Outremont",74,2,23,16,107,1,0,1,224,385
24054,"Outremont/Outremont"," 97","Outremont",49,4,27,39,108,1,1,0,229,438
24054,"Outremont/Outremont"," 98","Outremont",52,2,15,43,83,0,0,2,197,439
24054,"Outremont/Outremont"," 99","Outremont",70,2,19,28,83,0,0,2,204,391
24054,"Outremont/Outremont"," 100","Outremont",70,6,15,26,87,0,2,2,208,357
24054,"Outremont/Outremont"," 101","Outremont",64,6,15,17,75,0,0,0,177,392
24054,"Outremont/Outremont"," 102","Montréal",66,6,20,20,101,0,2,1,216,419
24054,"Outremont/Outremont"," 103","Montréal",16,1,1,42,14,0,0,1,75,296
24054,"Outremont/Outremont"," 104","Montréal",54,1,4,63,31,1,0,2,156,465
24054,"Outremont/Outremont"," 105","Montréal",38,2,6,45,22,0,0,0,113,254
24054,"Outremont/Outremont"," 106","Montréal",13,3,2,53,19,0,1,1,92,330
24054,"Outremont/Outremont"," 107","Montréal",47,3,4,78,22,0,0,0,154,402
24054,"Outremont/Outremont"," 108","Montréal",53,2,5,70,24,0,0,2,156,387
24054,"Outremont/Outremont"," 109","Montréal",80,3,10,17,70,0,0,2,182,431
24054,"Outremont/Outremont"," 110","Montréal",77,2,9,19,69,0,1,4,181,386
24054,"Outremont/Outremont"," 111","Montréal",70,6,4,16,48,2,2,3,151,350
24054,"Outremont/Outremont"," 112","Montréal",56,1,4,41,52,1,0,1,156,396
24054,"Outremont/Outremont"," 113","Montréal",50,1,1,44,32,0,0,0,128,270
24054,"Outremont/Outremont"," 114","Montréal",38,4,3,15,34,3,0,1,98,229
24054,"Outremont/Outremont"," 115","Montréal",50,3,2,38,52,0,0,1,146,314
24054,"Outremont/Outremont"," 116","Montréal",89,7,9,18,93,4,1,8,229,461
24054,"Outremont/Outremont"," 117","Montréal",82,1,16,35,35,0,0,1,170,454
24054,"Outremont/Outremont"," 118","Montréal",78,9,14,32,52,1,0,3,189,475
24054,"Outremont/Outremont"," 119","Montréal",107,3,13,41,55,0,1,3,223,550
24054,"Outremont/Outremont"," 120","Montréal",37,7,6,14,46,1,1,1,113,348
24054,"Outremont/Outremont"," 121","Montréal",85,5,9,29,67,0,0,2,197,517
24054,"Outremont/Outremont"," 122","Montréal",35,6,15,6,58,1,1,0,122,297
24054,"Outremont/Outremont"," 123","Montréal",39,13,11,6,57,0,2,0,128,383
24054,"Outremont/Outremont"," 124","Montréal",64,5,19,9,109,0,1,1,208,414
24054,"Outremont/Outremont"," 125","Montréal",62,4,22,44,97,0,0,0,229,402
24054,"Outremont/Outremont"," 126","Montréal",63,3,16,22,80,0,0,1,185,456
24054,"Outremont/Outremont"," 127","Montréal",63,5,10,10,54,1,0,2,145,376
24054,"Outremont/Outremont"," 128","Montréal",39,4,14,14,58,2,1,0,132,300
24054,"Outremont/Outremont"," 129","Montréal",59,7,15,13,80,1,1,0,176,320
24054,"Outremont/Outremont"," 130","Montréal",47,4,14,19,46,1,0,2,133,332
24054,"Outremont/Outremont"," 131","Montréal",38,3,10,5,50,0,0,1,107,274
24054,"Outremont/Outremont"," 132","Montréal",47,6,14,9,51,0,1,0,128,320
24054,"Outremont/Outremont"," 133","Montréal",44,4,23,10,55,1,1,2,140,312
24054,"Outremont/Outremont"," 134","Montréal",52,6,20,7,60,1,1,0,147,356
24054,"Outremont/Outremont"," 135","Montréal",60,5,13,30,38,0,1,0,147,405
24054,"Outremont/Outremont"," 136","Montréal",67,1,16,13,55,0,1,0,153,379
24054,"Outremont/Outremont"," 137","Montréal",146,6,9,23,71,4,1,4,264,502
24054,"Outremont/Outremont"," 138","Montréal",82,3,7,54,42,3,0,3,194,465
24054,"Outremont/Outremont"," 139","Montréal",121,3,7,25,54,5,0,5,220,467
24054,"Outremont/Outremont"," 140","Montréal",80,6,12,12,44,4,0,6,164,389
24054,"Outremont/Outremont"," 141","Montréal",112,1,7,20,50,2,3,2,197,446
24054,"Outremont/Outremont"," 142","Montréal",105,3,7,20,51,4,1,7,198,481
24054,"Outremont/Outremont"," 143","Montréal",177,5,4,37,53,4,0,6,286,534
24054,"Outremont/Outremont"," 144","Montréal",69,4,2,18,44,3,1,1,142,358
24054,"Outremont/Outremont"," 145","Montréal",94,4,9,22,65,2,1,0,197,477
24054,"Outremont/Outremont"," 146","Montréal",62,10,12,12,81,0,3,1,181,470
24054,"Outremont/Outremont"," 147","Montréal",56,3,10,7,63,0,0,5,144,381
24054,"Outremont/Outremont"," 148","Montréal",45,3,5,12,42,1,1,0,109,339
24054,"Outremont/Outremont"," 149","Montréal",97,7,8,26,52,0,1,0,191,435
24054,"Outremont/Outremont"," 150","Montréal",76,3,4,11,45,2,0,1,142,407
24054,"Outremont/Outremont"," 151","Montréal",50,0,1,9,39,1,0,2,102,284
24054,"Outremont/Outremont"," 152","Montréal",59,8,13,16,71,1,0,0,168,423
24054,"Outremont/Outremont"," 153","Montréal",75,10,17,21,82,0,0,6,211,505
24054,"Outremont/Outremont"," 154","Montréal",103,8,10,29,75,1,4,7,237,477
24054,"Outremont/Outremont"," 155","Montréal",91,9,11,13,73,0,2,0,199,443
24054,"Outremont/Outremont"," 156","Montréal",92,6,12,15,55,3,0,3,186,421
24054,"Outremont/Outremont"," 157","Montréal",68,9,11,13,82,1,0,0,184,433
24054,"Outremont/Outremont"," 158","Montréal",99,1,3,25,59,4,0,4,195,441
24054,"Outremont/Outremont"," 159","Montréal",71,3,17,22,76,0,2,1,192,452
24054,"Outremont/Outremont"," 160","Montréal",82,4,22,24,57,2,0,2,193,477
24054,"Outremont/Outremont"," 161","Montréal",67,5,10,10,52,1,0,1,146,348
24054,"Outremont/Outremont"," 162","Montréal",82,7,8,48,67,1,0,4,217,526
24054,"Outremont/Outremont"," 163","Montréal",52,8,3,13,50,0,1,1,128,325
24054,"Outremont/Outremont"," 164","Montréal",61,4,1,7,44,2,0,0,119,314
24054,"Outremont/Outremont"," 165","Montréal",59,3,8,21,52,0,0,0,143,339
24054,"Outremont/Outremont"," 166A","Montréal",70,11,19,41,70,0,2,0,213,455
24054,"Outremont/Outremont"," 166B","Montréal",86,13,12,19,90,2,1,4,227,460
24054,"Outremont/Outremont"," 167","Montréal",49,4,11,7,27,0,0,1,99,245
24054,"Outremont/Outremont"," 168","Montréal",59,4,15,14,75,1,1,1,170,344
24054,"Outremont/Outremont"," 169A","Montréal",80,2,12,26,52,1,0,4,177,379
24054,"Outremont/Outremont"," 169B","Montréal",94,4,11,37,47,0,0,4,197,405
24054,"Outremont/Outremont"," 170","Montréal",60,8,11,17,50,0,0,0,146,341
24054,"Outremont/Outremont"," 171","Montréal",68,5,8,18,53,0,0,0,152,324
24054,"Outremont/Outremont"," 172","Montréal",61,10,5,12,57,1,0,0,146,308
24054,"Outremont/Outremont"," 400","Outremont",55,3,26,7,27,1,0,1,120,168
24054,"Outremont/Outremont"," 401","Outremont",80,3,29,15,74,0,0,5,206,319
24054,"Outremont/Outremont"," 500","Mobile poll/Bureau itinérant",17,1,4,6,9,1,1,0,39,83
24054,"Outremont/Outremont"," 501","Mobile poll/Bureau itinérant",26,1,1,2,9,1,0,4,44,165
24054,"Outremont/Outremont"," 502","Mobile poll/Bureau itinérant",27,0,4,8,11,2,0,1,53,99
24054,"Outremont/Outremont"," 503","Mobile poll/Bureau itinérant",31,0,5,3,10,1,1,2,53,135
24054,"Outremont/Outremont"," 600","Montréal",230,25,151,49,489,7,3,13,967,
24054,"Outremont/Outremont"," 601","Montréal",150,33,51,25,376,2,4,3,644,
24054,"Outremont/Outremont"," 602","Montréal",155,38,58,28,386,1,2,1,669,
24054,"Outremont/Outremont"," 603","Montréal",151,49,59,45,471,4,2,2,783,
24054,"Outremont/Outremont"," 604","Montréal",167,17,68,64,390,0,4,1,711,
24054,"Outremont/Outremont"," 605","Outremont",203,20,75,52,321,2,1,3,677,
24054,"Outremont/Outremont"," 606","Outremont",258,11,85,129,408,0,0,5,896,
24054,"Outremont/Outremont"," 607","Montréal",120,5,19,204,166,3,0,3,520,
24054,"Outremont/Outremont"," 608","Montréal",165,13,29,66,199,1,0,8,481,
24054,"Outremont/Outremont"," 609","Montréal",225,23,68,66,264,0,1,5,652,
24054,"Outremont/Outremont"," 610","Montréal",401,22,105,186,336,2,1,9,1062,
24054,"Outremont/Outremont"," 611","Montréal",263,28,60,132,301,4,3,4,795,
24054,"Outremont/Outremont",,"Group 1/Groupe 1",53,3,5,8,95,0,0,11,175,196
24054,"Outremont/Outremont",,"Group 2/Groupe 2",486,64,124,118,1072,9,8,55,1936,
