Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Barker,Alastair Haythornthwaite,Fran Hunt-Jinnouchi,Luke Krayenhoff,Alistair MacGregor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 115","Cliffside",39,0,46,43,51,0,179,312
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 116","Shawnigan Lake",33,1,24,44,36,0,138,257
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 117","Shawnigan",16,2,29,43,52,1,143,292
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 118","Mill Bay",43,0,29,42,36,0,150,295
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 119","Cliffside",35,1,58,48,54,0,196,371
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 120","Shawnigan Lake",18,0,43,54,46,0,161,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 121","Shawnigan",34,2,61,59,63,0,219,444
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 122","Shawnigan Lake",37,1,41,57,60,0,196,458
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 123","Cobble Hill",43,1,31,45,73,1,194,331
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 124","Hatch Point 12",26,2,38,51,65,1,183,374
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 125","Hatch Point 12",42,0,20,45,50,0,157,332
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 126","Hatch Point 12",48,1,25,47,59,0,180,334
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 127","Cobble Hill",51,0,46,59,67,1,224,420
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 128","Cobble Hill",60,2,46,54,76,1,239,413
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 129","Cobble Hill",33,1,40,31,60,0,165,307
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 130","Mill Bay",43,0,35,44,41,0,163,304
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 131","Cobble Hill",56,1,36,58,62,0,213,401
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 132","Hatch Point 12",79,0,21,31,27,0,158,260
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 133","Hatch Point 12",105,2,22,47,30,0,206,321
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 134","Hatch Point 12",150,2,35,65,49,0,301,470
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 135","Cobble Hill",38,0,47,46,59,0,190,404
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 136","Cobble Hill",64,1,53,58,48,0,224,391
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 137","Mill Bay",60,0,44,64,60,0,228,508
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 138","Mill Bay",53,1,23,49,38,0,164,327
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 139","Mill Bay",19,0,20,16,24,0,79,216
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 140","Hatch Point 12",36,1,25,22,51,0,135,268
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 141","Mill Bay",59,54,47,56,52,1,269,435
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 142","Mill Bay",53,0,37,47,59,0,196,343
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 143","Mill Bay",97,0,47,73,47,0,264,463
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 144","Mill Bay",42,0,16,59,30,0,147,283
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford"," 145","Malahat",31,1,60,54,65,0,211,470
