Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harvey Edward Anstey,Brent Allan Bouteiller,Michael Chong,Anne Gajerski-Cauley,Don Trant,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 60B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,109
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 61","Centre Wellington",0,14,98,14,63,0,189,390
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 62","Centre Wellington",1,10,78,21,83,0,193,326
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 63","Centre Wellington",0,7,86,17,91,0,201,401
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 64","Centre Wellington",0,12,54,16,60,0,142,295
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 65","Centre Wellington",0,6,71,15,78,1,171,309
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 66","Centre Wellington",3,16,81,13,71,1,185,348
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 67","Centre Wellington",0,15,32,20,75,0,142,299
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 68","Centre Wellington",1,4,97,17,85,2,206,320
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 69","Centre Wellington",0,4,59,5,40,0,108,330
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 70","Centre Wellington",4,11,195,16,126,0,352,561
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 71","Centre Wellington",1,18,153,18,72,2,264,517
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 72","Guelph--Eramosa",0,7,70,7,37,0,121,234
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 73","Guelph--Eramosa",0,19,84,18,48,0,169,275
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 74","Guelph--Eramosa",1,11,118,19,68,0,217,383
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 75","Guelph--Eramosa",1,7,101,7,66,2,184,322
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 76","Erin",1,10,134,20,74,0,239,449
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 77","Erin",2,18,136,23,78,0,257,469
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 78","Erin",0,14,156,27,77,0,274,507
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 79A","Erin",1,5,74,11,61,0,152,310
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 79B","Erin",0,10,93,14,49,0,166,311
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 80","Erin",0,12,119,20,64,0,215,381
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 81","Halton Hills",0,5,125,11,75,0,216,418
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 82","Halton Hills",0,2,143,11,84,0,240,439
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 83","Erin",0,7,134,17,54,0,212,395
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 84","Halton Hills",0,2,139,24,78,0,243,475
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 85","Halton Hills",2,9,100,8,93,0,212,399
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 86","Halton Hills",0,8,109,14,62,0,193,321
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 87","Halton Hills",2,4,109,7,51,0,173,308
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 88","Halton Hills",0,8,88,16,78,1,191,370
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 89","Halton Hills",0,4,107,30,62,0,203,374
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 90","Halton Hills",0,12,104,12,74,2,204,374
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 91","Halton Hills",3,1,110,7,87,1,209,362
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 92","Halton Hills",0,5,90,23,76,1,195,350
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 93","Halton Hills",0,14,135,17,70,0,236,401
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 94","Halton Hills",5,8,147,35,109,0,304,438
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 95","Halton Hills",2,1,49,4,30,1,87,398
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 96A","Halton Hills",0,3,73,27,58,0,161,321
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 96B","Halton Hills",0,5,73,12,55,0,145,286
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 97","Halton Hills",3,13,93,18,84,1,212,439
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 98","Halton Hills",0,9,113,24,67,3,216,404
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 99","Halton Hills",0,8,75,30,65,1,179,385
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 100","Halton Hills",1,5,131,24,84,3,248,486
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 101","Halton Hills",1,10,81,26,90,0,208,438
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 102","Halton Hills",0,7,107,21,100,0,235,432
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 103","Halton Hills",0,9,118,23,71,0,221,401
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 104","Halton Hills",0,11,101,42,59,1,214,416
35113,"Wellington--Halton Hills/Wellington--Halton Hills"," 105","Halton Hills",1,6,92,24,85,0,208,394
