Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Banigan,Jacob Kearey-Moreland,Liz Riley,Bruce Stanton,Peter Stubbins,Scott Whittaker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35100,"Simcoe North/Simcoe-Nord"," 46","Orillia",24,6,86,51,4,3,1,175,338
35100,"Simcoe North/Simcoe-Nord"," 47","Orillia",30,3,115,144,14,0,1,307,626
35100,"Simcoe North/Simcoe-Nord"," 48","Oro-Medonte",17,2,69,124,7,1,1,221,469
35100,"Simcoe North/Simcoe-Nord"," 49","Oro-Medonte",23,4,94,161,15,3,0,300,271
35100,"Simcoe North/Simcoe-Nord"," 50","Severn",12,0,29,85,12,1,1,140,331
35100,"Simcoe North/Simcoe-Nord"," 51","Severn",16,2,58,92,4,2,0,174,340
35100,"Simcoe North/Simcoe-Nord"," 52","Severn",10,3,53,102,8,2,0,178,317
35100,"Simcoe North/Simcoe-Nord"," 53","Severn",17,4,69,110,6,0,1,207,365
35100,"Simcoe North/Simcoe-Nord"," 54","Severn",9,1,71,87,5,2,0,175,324
35100,"Simcoe North/Simcoe-Nord"," 55","Severn",18,4,73,102,4,0,0,201,307
35100,"Simcoe North/Simcoe-Nord"," 56","Severn",13,6,53,87,3,1,1,164,294
35100,"Simcoe North/Simcoe-Nord"," 57","Tay",14,0,59,62,10,0,1,146,351
35100,"Simcoe North/Simcoe-Nord"," 58","Tay",19,4,54,59,20,0,0,156,356
35100,"Simcoe North/Simcoe-Nord"," 59","Tay",6,0,52,66,7,1,1,133,358
35100,"Simcoe North/Simcoe-Nord"," 60","Tay",34,2,78,103,12,4,0,233,487
35100,"Simcoe North/Simcoe-Nord"," 61","Tay",25,1,62,60,8,0,0,156,303
35100,"Simcoe North/Simcoe-Nord"," 62","Tay",16,0,45,52,4,2,0,119,247
35100,"Simcoe North/Simcoe-Nord"," 63","Tay",27,1,86,86,8,0,0,208,442
35100,"Simcoe North/Simcoe-Nord"," 64","Tay",25,1,65,78,9,0,1,179,362
35100,"Simcoe North/Simcoe-Nord"," 65","Tay",17,0,65,66,15,2,0,165,318
35100,"Simcoe North/Simcoe-Nord"," 66","Tay",45,0,86,61,12,0,1,205,413
35100,"Simcoe North/Simcoe-Nord"," 67","Midland",20,0,90,62,6,1,0,179,406
35100,"Simcoe North/Simcoe-Nord"," 68","Midland",16,0,70,64,7,0,0,157,389
35100,"Simcoe North/Simcoe-Nord"," 69","Midland",36,1,139,68,13,1,1,259,336
35100,"Simcoe North/Simcoe-Nord"," 70","Midland",Merged with No./Fusionné avec le n°69,,,,,,,,272
35100,"Simcoe North/Simcoe-Nord"," 71","Midland",10,1,83,48,7,0,0,149,344
35100,"Simcoe North/Simcoe-Nord"," 72","Midland",16,1,69,77,3,0,1,167,516
35100,"Simcoe North/Simcoe-Nord"," 73","Penetanguishene",15,0,73,55,11,1,0,155,298
35100,"Simcoe North/Simcoe-Nord"," 74","Penetanguishene",6,0,74,56,2,0,0,138,273
