Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert George McFadzean,Danielle Montgomery,Garry Parenteau,Shannon Stubbs,Duane Zaraska,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48025,"Lakeland/Lakeland"," 104","Bonnyville",4,5,37,117,9,0,172,360
48025,"Lakeland/Lakeland"," 105","Bonnyville",3,7,44,125,10,2,191,477
48025,"Lakeland/Lakeland"," 106","Bonnyville",1,4,43,146,16,0,210,448
48025,"Lakeland/Lakeland"," 107","Bonnyville",5,7,30,243,12,0,297,524
48025,"Lakeland/Lakeland"," 108","Bonnyville",3,5,23,113,13,0,157,411
48025,"Lakeland/Lakeland"," 109","Muriel Lake",2,4,28,172,10,0,216,442
48025,"Lakeland/Lakeland"," 110","Muriel Lake",0,1,15,233,4,0,253,475
48025,"Lakeland/Lakeland"," 111","Bonnyville",1,3,41,200,7,1,253,430
48025,"Lakeland/Lakeland"," 112","Bonnyville",2,3,26,211,4,0,246,457
48025,"Lakeland/Lakeland"," 113","Bonnyville Beach",1,2,7,135,7,1,153,256
48025,"Lakeland/Lakeland"," 114","Muriel Lake",3,2,36,229,10,0,280,536
48025,"Lakeland/Lakeland"," 115","Kehiwin 123",4,3,73,21,217,1,319,588
48025,"Lakeland/Lakeland"," 116","Elk Point",6,7,18,203,29,1,264,423
48025,"Lakeland/Lakeland"," 117","Lindbergh",3,5,7,97,15,5,132,232
48025,"Lakeland/Lakeland"," 118","Elk Point",1,7,33,262,24,4,331,623
48025,"Lakeland/Lakeland"," 119","Elk Point East",1,6,34,175,20,1,237,474
48025,"Lakeland/Lakeland"," 120","Beaverdam",0,5,78,91,36,1,211,328
48025,"Lakeland/Lakeland"," 121","Fishing Lake Metis Settlement",3,2,155,11,36,3,210,291
48025,"Lakeland/Lakeland"," 122","Frog Lake",2,0,50,6,178,2,238,607
48025,"Lakeland/Lakeland"," 123","Heinsburg",0,2,9,90,17,0,118,252
48025,"Lakeland/Lakeland"," 124","Clandonald",3,1,4,187,9,0,204,404
48025,"Lakeland/Lakeland"," 125","Clandonald",1,3,8,128,8,0,148,235
48025,"Lakeland/Lakeland"," 126","Myrnam",1,6,11,110,16,1,145,231
48025,"Lakeland/Lakeland"," 127","Beauvallon",2,3,27,194,12,0,238,450
48025,"Lakeland/Lakeland"," 128","Lake Eliza",2,10,27,166,25,0,230,332
48025,"Lakeland/Lakeland"," 129","Derwent",5,4,14,159,17,0,199,271
48025,"Lakeland/Lakeland"," 130","Vermilion",5,5,27,203,9,0,249,361
48025,"Lakeland/Lakeland"," 131","Borradaile",3,8,20,234,10,0,275,403
48025,"Lakeland/Lakeland"," 132","Vermilion",6,8,26,151,11,0,202,353
48025,"Lakeland/Lakeland"," 133","Vermilion",0,6,32,181,23,0,242,376
48025,"Lakeland/Lakeland"," 134","Vermilion",7,3,18,215,11,0,254,437
48025,"Lakeland/Lakeland"," 135","Vermilion",4,7,25,132,20,1,189,359
48025,"Lakeland/Lakeland"," 136","Vermilion",5,6,22,188,12,0,233,388
48025,"Lakeland/Lakeland"," 137","Vermilion",6,6,22,146,15,0,195,342
48025,"Lakeland/Lakeland"," 138","Vermilion",4,5,27,156,18,1,211,412
48025,"Lakeland/Lakeland"," 139","Vermilion",1,2,10,56,5,0,74,127
48025,"Lakeland/Lakeland"," 140","Vermilion",2,2,17,203,19,0,243,399
48025,"Lakeland/Lakeland"," 141","Vermilion",5,2,25,224,9,0,265,367
48025,"Lakeland/Lakeland"," 142","Mannville",0,5,12,196,9,0,222,381
48025,"Lakeland/Lakeland"," 143","Mannville",4,13,21,141,10,2,191,344
48025,"Lakeland/Lakeland"," 144","Mannville",5,3,12,148,3,0,171,334
48025,"Lakeland/Lakeland"," 145","Minburn",4,4,14,98,13,0,133,279
48025,"Lakeland/Lakeland"," 146","Innisfree",1,5,14,94,11,0,125,194
48025,"Lakeland/Lakeland"," 147","Innisfree",0,10,21,152,10,0,193,290
48025,"Lakeland/Lakeland"," 148","Ranfurly",3,5,20,105,5,0,138,169
48025,"Lakeland/Lakeland"," 149","Lavoy",1,4,20,158,13,1,197,370
48025,"Lakeland/Lakeland"," 150","Islay",2,4,33,202,17,0,258,367
48025,"Lakeland/Lakeland"," 151","Lea Park",0,2,5,132,10,0,149,276
48025,"Lakeland/Lakeland"," 152","Dewberry",3,4,16,149,8,0,180,319
48025,"Lakeland/Lakeland"," 153","Tulliby Lake",4,1,15,108,9,0,137,198
48025,"Lakeland/Lakeland"," 154","Streamstown",5,8,19,256,5,0,293,442
48025,"Lakeland/Lakeland"," 155","Marwayne",2,10,24,270,18,1,325,475
48025,"Lakeland/Lakeland"," 156","Marwayne",4,1,17,178,2,0,202,270
48025,"Lakeland/Lakeland"," 157","Kitscoty",4,6,44,282,17,0,353,610
48025,"Lakeland/Lakeland"," 158","Kitscoty",2,3,15,245,4,0,269,432
48025,"Lakeland/Lakeland"," 159","Blackfoot",2,6,21,306,9,0,344,607
48025,"Lakeland/Lakeland"," 160","Kitscoty",3,8,20,240,6,0,277,423
48025,"Lakeland/Lakeland"," 161","Lloydminster (Part)",0,3,18,74,9,0,104,308
48025,"Lakeland/Lakeland"," 162","Lloydminster (Part)",2,2,23,147,5,0,179,356
48025,"Lakeland/Lakeland"," 163","Lloydminster (Part)",3,3,28,141,13,0,188,361
48025,"Lakeland/Lakeland"," 164","Lloydminster (Part)",3,2,28,86,11,0,130,396
48025,"Lakeland/Lakeland"," 165","Lloydminster (Part)",1,7,16,132,16,0,172,384
48025,"Lakeland/Lakeland"," 166","Lloydminster (Part)",2,6,21,124,15,0,168,363
48025,"Lakeland/Lakeland"," 167","Lloydminster (Part)",2,6,29,130,12,0,179,374
48025,"Lakeland/Lakeland"," 168","Lloydminster (Part)",3,1,30,97,4,0,135,323
48025,"Lakeland/Lakeland"," 169","Lloydminster (Part)",3,1,23,121,7,0,155,341
48025,"Lakeland/Lakeland"," 170","Lloydminster (Part)",2,6,31,134,11,1,185,356
48025,"Lakeland/Lakeland"," 171","Lloydminster (Part)",3,0,24,70,10,0,107,335
48025,"Lakeland/Lakeland"," 172","Lloydminster (Part)",2,5,30,153,16,1,207,377
48025,"Lakeland/Lakeland"," 173","Lloydminster (Part)",1,0,26,82,13,0,122,350
48025,"Lakeland/Lakeland"," 174","Lloydminster (Part)",1,5,25,150,15,0,196,384
48025,"Lakeland/Lakeland"," 175","Lloydminster (Part)",3,1,15,163,14,0,196,347
48025,"Lakeland/Lakeland"," 176","Lloydminster (Part)",2,4,35,175,8,0,224,385
48025,"Lakeland/Lakeland"," 177","Lloydminster (Part)",2,8,26,145,9,0,190,413
48025,"Lakeland/Lakeland"," 178","Lloydminster (Part)",4,3,47,277,16,0,347,618
48025,"Lakeland/Lakeland"," 179","Lloydminster (Part)",2,2,27,188,13,0,232,429
48025,"Lakeland/Lakeland"," 180","Lloydminster (Part)",1,0,16,198,7,0,222,440
48025,"Lakeland/Lakeland"," 181","Lloydminster (Part)",3,0,35,197,6,0,241,387
48025,"Lakeland/Lakeland"," 182","Lloydminster (Part)",3,0,20,202,9,0,234,375
48025,"Lakeland/Lakeland"," 183","Lloydminster (Part)",2,3,40,323,11,0,379,553
48025,"Lakeland/Lakeland"," 184","Lloydminster (Part)",1,2,32,113,19,0,167,389
48025,"Lakeland/Lakeland"," 185","Lloydminster (Part)",4,2,36,152,14,0,208,382
48025,"Lakeland/Lakeland"," 186","Lloydminster (Part)",4,2,26,203,9,0,244,388
48025,"Lakeland/Lakeland"," 187","Lloydminster (Part)",0,3,38,301,18,1,361,514
48025,"Lakeland/Lakeland"," 188","Lloydminster (Part)",1,3,27,194,6,0,231,392
48025,"Lakeland/Lakeland"," 189","Lloydminster (Part)",4,3,35,381,12,0,435,677
48025,"Lakeland/Lakeland"," 190","Lloydminster (Part)",2,5,44,347,9,0,407,659
48025,"Lakeland/Lakeland"," 191","Lloydminster (Part)",2,6,38,365,9,0,420,644
48025,"Lakeland/Lakeland"," 192","Blackfoot",1,3,4,197,2,0,207,507
48025,"Lakeland/Lakeland"," 193","Paradise Valley",2,6,19,242,14,0,283,408
48025,"Lakeland/Lakeland"," 194","McLaughlin",1,0,5,177,6,0,189,253
48025,"Lakeland/Lakeland"," 195","Vegreville",6,7,34,96,28,0,171,395
48025,"Lakeland/Lakeland"," 196","Vegreville",6,11,39,131,36,1,224,549
48025,"Lakeland/Lakeland"," 197","Vegreville",3,8,31,144,15,1,202,411
48025,"Lakeland/Lakeland"," 198","Vegreville",6,4,44,161,23,1,239,453
48025,"Lakeland/Lakeland"," 199","Vegreville",3,5,45,124,21,1,199,380
48025,"Lakeland/Lakeland"," 500","Mobile poll/Bureau itinérant",3,0,19,55,12,0,89,87
48025,"Lakeland/Lakeland"," 501","Mobile poll/Bureau itinérant",0,0,8,18,4,0,30,42
48025,"Lakeland/Lakeland"," 502","Mobile poll/Bureau itinérant",2,2,4,26,3,1,38,62
48025,"Lakeland/Lakeland"," 503","Mobile poll/Bureau itinérant",3,4,22,73,10,0,112,146
48025,"Lakeland/Lakeland"," 504","Mobile poll/Bureau itinérant",3,1,7,12,4,1,28,38
48025,"Lakeland/Lakeland"," 505","Mobile poll/Bureau itinérant",8,10,50,78,18,1,165,187
48025,"Lakeland/Lakeland"," 506","Mobile poll/Bureau itinérant",1,7,24,67,12,0,111,119
48025,"Lakeland/Lakeland"," 507A","Mobile poll/Bureau itinérant",0,3,11,31,9,0,54,70
48025,"Lakeland/Lakeland"," 507B","Myrnam",Merged with No./Fusionné avec le n°126,,,,,,,18
48025,"Lakeland/Lakeland"," 508","Mobile poll/Bureau itinérant",3,3,7,72,7,1,93,98
48025,"Lakeland/Lakeland"," 509","Mobile poll/Bureau itinérant",2,3,13,108,13,0,139,221
48025,"Lakeland/Lakeland"," 510","Mobile poll/Bureau itinérant",1,2,11,121,19,1,155,175
48025,"Lakeland/Lakeland"," 511","Mobile poll/Bureau itinérant",2,2,14,40,7,0,65,65
48025,"Lakeland/Lakeland"," 512","Mobile poll/Bureau itinérant",1,0,14,36,3,1,55,55
48025,"Lakeland/Lakeland"," 513","Mobile poll/Bureau itinérant",0,6,11,49,9,1,76,68
48025,"Lakeland/Lakeland"," 514","Mobile poll/Bureau itinérant",3,4,11,45,16,1,80,97
48025,"Lakeland/Lakeland"," 515","Mobile poll/Bureau itinérant",1,2,11,46,11,0,71,83
48025,"Lakeland/Lakeland"," 600","Boyle",3,10,44,311,49,1,418,
48025,"Lakeland/Lakeland"," 601","Athabasca",10,34,156,900,139,2,1241,
48025,"Lakeland/Lakeland"," 602","Thorhild",6,11,45,248,47,0,357,
48025,"Lakeland/Lakeland"," 603","Smoky Lake",3,12,36,227,45,1,324,
48025,"Lakeland/Lakeland"," 604","Vilna",1,3,29,181,55,0,269,
48025,"Lakeland/Lakeland"," 605","Saint-Paul",3,20,84,441,48,3,599,
48025,"Lakeland/Lakeland"," 606","Saint-Paul",4,10,89,318,55,2,478,
48025,"Lakeland/Lakeland"," 607","Bonnyville",5,13,67,523,33,2,643,
48025,"Lakeland/Lakeland"," 608","Bonnyville",1,6,62,251,22,1,343,
48025,"Lakeland/Lakeland"," 609","Elk Point",5,3,52,205,31,1,297,
48025,"Lakeland/Lakeland"," 610","Lamont County",4,17,67,400,78,2,568,
48025,"Lakeland/Lakeland"," 611","Two Hills County",3,16,60,303,44,0,426,
48025,"Lakeland/Lakeland"," 612","Minburn County--Vegreville",7,10,49,336,53,0,455,
48025,"Lakeland/Lakeland"," 613","Vegreville",2,15,69,365,80,4,535,
48025,"Lakeland/Lakeland"," 614","Vermilion County -- Vermilion",8,10,62,575,51,1,707,
48025,"Lakeland/Lakeland"," 615","Vermilion County -- Kitscoty",6,16,46,646,20,1,735,
48025,"Lakeland/Lakeland"," 616","Lloydminster",16,16,132,724,50,1,939,
48025,"Lakeland/Lakeland"," 617","Lloydminster",6,11,77,835,26,1,956,
48025,"Lakeland/Lakeland",,"Group 1/Groupe 1",1,5,69,54,30,12,171,116
48025,"Lakeland/Lakeland",,"Group 2/Groupe 2",8,21,109,474,84,27,723,
