Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Abdul Abdi,Mark Brooks,Sam Heaton,Marlene Rivier,Rod Taylor,Anita Vandenbeld,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 20","Ottawa",39,6,0,29,3,117,0,194,470
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 21","Ottawa",88,9,2,15,2,130,2,248,435
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 22","Ottawa",58,11,0,29,1,144,1,244,378
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 23","Ottawa",58,8,0,30,4,115,1,216,314
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 24","Ottawa",94,6,0,18,3,155,1,277,430
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 25","Ottawa",89,3,1,13,4,120,1,231,463
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 26","Ottawa",67,8,0,9,3,111,3,201,436
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 27","Ottawa",45,6,0,19,1,144,1,216,427
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 28","Ottawa",103,13,1,18,1,167,1,304,463
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 29","Ottawa",70,8,0,23,3,155,0,259,451
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 30","Ottawa",90,12,0,29,1,161,3,296,456
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 31","Ottawa",91,4,0,25,3,160,1,284,518
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 32","Ottawa",51,10,0,30,1,124,1,217,399
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 33","Ottawa",33,6,0,27,7,134,0,207,348
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 34","Ottawa",48,10,0,18,2,138,0,216,357
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 35","Ottawa",44,6,0,30,2,106,0,188,201
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 36","Ottawa",84,5,0,24,2,80,2,197,243
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37A","Ottawa",Merged with No./Fusionné avec le n°35,,,,,,,,124
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 37B","Ottawa",Merged with No./Fusionné avec le n°408,,,,,,,,188
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 38","Ottawa",Merged with No./Fusionné avec le n°35,,,,,,,,30
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 39","Ottawa",Merged with No./Fusionné avec le n°35,,,,,,,,38
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 40","Ottawa",52,7,0,20,5,128,1,213,384
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 41","Ottawa",37,11,0,20,0,132,0,200,347
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 42","Ottawa",54,9,0,16,1,157,2,239,443
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 43","Ottawa",92,7,1,34,5,153,2,294,632
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 44","Ottawa",46,1,0,13,2,116,0,178,284
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 45","Ottawa",113,6,0,18,2,168,0,307,469
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 46","Ottawa",92,5,0,19,2,128,0,246,512
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 47","Ottawa",97,16,2,16,2,183,0,316,431
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 48","Ottawa",86,9,0,20,4,126,0,245,432
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 49","Ottawa",46,10,1,30,2,144,0,233,508
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 50","Ottawa",47,5,0,28,4,117,1,202,393
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 51","Ottawa",56,8,0,36,7,96,2,205,392
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 52","Ottawa",70,4,1,21,1,130,0,227,381
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 53","Ottawa",59,6,1,21,4,137,0,228,395
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 54","Ottawa",55,8,0,17,0,130,1,211,336
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 55","Ottawa",77,9,0,25,2,174,0,287,396
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 56","Ottawa",58,3,0,20,2,121,1,205,378
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 57","Ottawa",71,8,1,20,2,164,3,269,446
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 58","Nepean",76,6,0,20,0,120,0,222,378
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 59","Nepean",83,10,0,20,4,99,0,216,391
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 60","Nepean",46,6,0,20,4,77,2,155,376
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 61","Nepean",72,7,0,23,1,135,1,239,434
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 62","Nepean",70,1,0,15,3,114,2,205,437
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 63","Nepean",60,5,0,24,5,102,0,196,341
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 64A","Nepean",60,2,0,21,1,137,1,222,380
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 64B","Nepean",20,2,0,16,0,68,2,108,269
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 64C","Nepean",10,5,0,16,1,74,2,108,283
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 65","Nepean",76,4,1,22,1,152,2,258,516
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 66","Nepean",40,5,0,34,0,169,2,250,552
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 67","Nepean",37,6,0,33,2,92,1,171,318
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 68","Nepean",57,10,0,34,4,120,1,226,476
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 69","Nepean",71,5,2,25,2,115,2,222,445
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 70","Nepean",37,6,0,36,2,95,1,177,406
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 71","Nepean",60,4,0,20,5,95,0,184,393
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 72","Nepean",47,11,0,21,0,133,0,212,367
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 73","Nepean",100,4,0,22,9,114,0,249,414
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 74","Nepean",62,6,0,5,3,117,0,193,396
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 75","Nepean",74,12,0,12,9,110,2,219,414
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 76","Nepean",68,7,0,21,2,129,2,229,449
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 77","Nepean",98,6,0,21,11,154,0,290,434
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 78","Nepean",99,4,0,23,4,129,1,260,447
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 79","Nepean",75,10,0,6,5,113,1,210,442
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 80","Nepean",63,12,2,17,3,103,0,200,351
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 81","Nepean",47,3,2,32,2,114,0,200,400
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 82","Nepean",94,6,0,22,3,97,2,224,444
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 83","Nepean",87,6,1,9,6,132,0,241,423
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 84","Nepean",104,15,1,22,6,169,1,318,473
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 85","Nepean",92,6,1,32,4,125,2,262,409
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 86","Nepean",63,1,1,12,6,104,0,187,301
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean"," 87","Nepean",92,14,2,16,3,160,1,288,462
