Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Devon Babstock,Terry Cormier,Gudie Hutchings,Wayne Ruth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10005,"Long Range Mountains/Long Range Mountains"," 108","Corner Brook",34,6,175,30,0,245,454
10005,"Long Range Mountains/Long Range Mountains"," 109","Corner Brook",26,5,177,43,0,251,451
10005,"Long Range Mountains/Long Range Mountains"," 110","Corner Brook",32,10,200,30,2,274,513
10005,"Long Range Mountains/Long Range Mountains"," 111","Corner Brook",25,7,110,8,0,150,341
10005,"Long Range Mountains/Long Range Mountains"," 112A","Corner Brook",24,10,83,17,0,134,259
10005,"Long Range Mountains/Long Range Mountains"," 112B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°94C,,,,,,24
10005,"Long Range Mountains/Long Range Mountains"," 113","Corner Brook",13,5,85,7,1,111,331
10005,"Long Range Mountains/Long Range Mountains"," 114","Corner Brook",12,5,65,11,0,93,285
10005,"Long Range Mountains/Long Range Mountains"," 115","Corner Brook",20,8,103,17,2,150,262
10005,"Long Range Mountains/Long Range Mountains"," 116","Corner Brook",25,8,124,16,0,173,385
10005,"Long Range Mountains/Long Range Mountains"," 117","Corner Brook",16,3,93,18,0,130,269
10005,"Long Range Mountains/Long Range Mountains"," 118","Corner Brook",26,15,121,17,0,179,398
10005,"Long Range Mountains/Long Range Mountains"," 119","Corner Brook",12,2,56,8,1,79,226
10005,"Long Range Mountains/Long Range Mountains"," 120","Corner Brook",33,1,104,8,0,146,325
10005,"Long Range Mountains/Long Range Mountains"," 121A","Corner Brook",21,3,108,21,0,153,316
10005,"Long Range Mountains/Long Range Mountains"," 121B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503A,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 122","Corner Brook",25,11,132,14,1,183,402
10005,"Long Range Mountains/Long Range Mountains"," 123","Mount Moriah",5,5,116,10,0,136,268
10005,"Long Range Mountains/Long Range Mountains"," 124","Mount Moriah",23,6,146,17,0,192,348
10005,"Long Range Mountains/Long Range Mountains"," 125","Meadows",19,8,205,29,0,261,433
10005,"Long Range Mountains/Long Range Mountains"," 126","Gillams",23,3,128,26,1,181,375
10005,"Long Range Mountains/Long Range Mountains"," 127","McIver's",47,3,171,28,0,249,380
10005,"Long Range Mountains/Long Range Mountains"," 128","Humber Arm South",7,0,61,11,0,79,184
10005,"Long Range Mountains/Long Range Mountains"," 129","York Harbour",14,3,161,14,0,192,288
10005,"Long Range Mountains/Long Range Mountains"," 130","Lark Harbour",6,3,105,11,0,125,180
10005,"Long Range Mountains/Long Range Mountains"," 131","Lark Harbour",12,4,134,18,0,168,289
10005,"Long Range Mountains/Long Range Mountains"," 132","Humber Arm South",18,6,159,18,0,201,325
10005,"Long Range Mountains/Long Range Mountains"," 133A","Benoit's Cove",26,1,126,11,0,164,330
10005,"Long Range Mountains/Long Range Mountains"," 133B","Benoit's Cove",31,1,104,16,0,152,332
10005,"Long Range Mountains/Long Range Mountains"," 134","Humber Arm South",22,2,74,9,0,107,195
10005,"Long Range Mountains/Long Range Mountains"," 135","Summerside",29,4,201,41,0,275,410
10005,"Long Range Mountains/Long Range Mountains"," 136","Gallants--Georges Lake",5,5,38,9,0,57,171
10005,"Long Range Mountains/Long Range Mountains"," 137","Stephenville Crossing",7,1,22,2,0,32,169
10005,"Long Range Mountains/Long Range Mountains"," 138","Stephenville Crossing",4,0,10,3,0,17,62
10005,"Long Range Mountains/Long Range Mountains"," 139","Stephenville Crossing",26,5,115,18,0,164,392
10005,"Long Range Mountains/Long Range Mountains"," 140A","Stephenville Crossing",7,3,55,11,0,76,208
10005,"Long Range Mountains/Long Range Mountains"," 140B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,15
10005,"Long Range Mountains/Long Range Mountains"," 141","Stephenville Crossing",26,10,142,19,2,199,428
10005,"Long Range Mountains/Long Range Mountains"," 142","Stephenville Crossing",28,5,83,27,1,144,384
10005,"Long Range Mountains/Long Range Mountains"," 143","Black Duck Siding",5,1,29,7,0,42,69
10005,"Long Range Mountains/Long Range Mountains"," 144","Noels Pond--Cold Brook",13,4,147,14,2,180,280
10005,"Long Range Mountains/Long Range Mountains"," 145","Fox Island River--Point au Mal",12,3,72,3,0,90,140
10005,"Long Range Mountains/Long Range Mountains"," 146","Black Duck Brook",6,2,35,6,0,49,49
10005,"Long Range Mountains/Long Range Mountains"," 147A","Lourdes",18,1,89,9,0,117,330
10005,"Long Range Mountains/Long Range Mountains"," 147B","Lourdes",10,4,105,13,0,132,362
10005,"Long Range Mountains/Long Range Mountains"," 148","West Bay Centre",19,3,50,20,0,92,167
10005,"Long Range Mountains/Long Range Mountains"," 149","Three Rock Cove",8,2,44,6,0,60,84
10005,"Long Range Mountains/Long Range Mountains"," 150","Mainland",18,3,110,9,0,140,216
10005,"Long Range Mountains/Long Range Mountains"," 151","Sheaves Cove",3,0,49,3,0,55,67
10005,"Long Range Mountains/Long Range Mountains"," 152","Piccadilly",26,8,104,18,2,158,295
10005,"Long Range Mountains/Long Range Mountains"," 153","Piccadilly",16,5,51,11,0,83,201
10005,"Long Range Mountains/Long Range Mountains"," 154","Port au Port West",22,3,84,9,1,119,269
10005,"Long Range Mountains/Long Range Mountains"," 155","Port au Port West",30,5,159,25,0,219,412
10005,"Long Range Mountains/Long Range Mountains"," 156","Stephenville",8,2,102,16,1,129,356
10005,"Long Range Mountains/Long Range Mountains"," 157","Stephenville",26,4,140,18,0,188,382
10005,"Long Range Mountains/Long Range Mountains"," 158","Stephenville",23,4,126,21,0,174,434
10005,"Long Range Mountains/Long Range Mountains"," 159","Stephenville",14,1,107,12,1,135,384
10005,"Long Range Mountains/Long Range Mountains"," 160","Stephenville",30,3,155,27,0,215,424
10005,"Long Range Mountains/Long Range Mountains"," 161","Stephenville",22,6,156,35,0,219,390
10005,"Long Range Mountains/Long Range Mountains"," 162","Stephenville",16,3,114,26,1,160,343
10005,"Long Range Mountains/Long Range Mountains"," 163","Stephenville",11,2,109,17,0,139,362
10005,"Long Range Mountains/Long Range Mountains"," 164","Stephenville",19,5,120,22,1,167,344
10005,"Long Range Mountains/Long Range Mountains"," 165","Stephenville",31,8,83,26,1,149,366
10005,"Long Range Mountains/Long Range Mountains"," 166","Stephenville",20,3,139,13,0,175,413
10005,"Long Range Mountains/Long Range Mountains"," 167","Stephenville",25,4,137,18,0,184,414
10005,"Long Range Mountains/Long Range Mountains"," 168","Stephenville",23,6,105,28,1,163,372
10005,"Long Range Mountains/Long Range Mountains"," 169","Stephenville",14,4,115,23,0,156,370
10005,"Long Range Mountains/Long Range Mountains"," 170","Kippens",24,5,154,30,1,214,404
10005,"Long Range Mountains/Long Range Mountains"," 171","Kippens",17,4,114,37,0,172,348
10005,"Long Range Mountains/Long Range Mountains"," 172","Kippens",27,4,142,39,0,212,402
10005,"Long Range Mountains/Long Range Mountains"," 173","Kippens",18,11,154,34,0,217,421
10005,"Long Range Mountains/Long Range Mountains"," 174","Port au Port East",22,5,97,18,0,142,318
10005,"Long Range Mountains/Long Range Mountains"," 175","Saint-Georges",18,5,95,18,0,136,277
10005,"Long Range Mountains/Long Range Mountains"," 176","Saint-Georges",24,3,104,16,1,148,301
10005,"Long Range Mountains/Long Range Mountains"," 177","Saint-Georges",31,7,180,22,0,240,476
10005,"Long Range Mountains/Long Range Mountains"," 178","Barachois Brook",6,1,51,3,0,61,101
10005,"Long Range Mountains/Long Range Mountains"," 179","St. Teresas-Flat Bay",18,5,129,8,0,160,258
10005,"Long Range Mountains/Long Range Mountains"," 180","Campbells Creek",9,0,28,8,0,45,105
10005,"Long Range Mountains/Long Range Mountains"," 181","Heatherton",17,3,59,15,0,94,172
10005,"Long Range Mountains/Long Range Mountains"," 182A","Cape St. George -- Red Brook -- Marches Point",32,6,122,18,2,180,395
10005,"Long Range Mountains/Long Range Mountains"," 182B","Cape St. George -- Red Brook -- Marches Point",14,4,145,10,0,173,351
10005,"Long Range Mountains/Long Range Mountains"," 183","Robinsons-McKays",10,2,75,17,0,104,213
10005,"Long Range Mountains/Long Range Mountains"," 184","Jeffreys-Cartyville",12,6,114,20,0,152,280
10005,"Long Range Mountains/Long Range Mountains"," 185","St. David's-St. Fintan's",25,5,113,13,3,159,333
10005,"Long Range Mountains/Long Range Mountains"," 186","La Poile",1,1,48,3,0,53,76
10005,"Long Range Mountains/Long Range Mountains"," 187","Burgeo",7,1,89,2,0,99,210
10005,"Long Range Mountains/Long Range Mountains"," 188","Burgeo",10,0,158,16,0,184,394
10005,"Long Range Mountains/Long Range Mountains"," 189","Burgeo",5,0,149,4,0,158,278
10005,"Long Range Mountains/Long Range Mountains"," 190","Burgeo",17,4,159,7,0,187,377
10005,"Long Range Mountains/Long Range Mountains"," 191","Francois",0,1,36,8,0,45,79
10005,"Long Range Mountains/Long Range Mountains"," 192","François",Void/Supprimé,,,,,,
10005,"Long Range Mountains/Long Range Mountains"," 193","Grey River",0,0,41,1,0,42,102
10005,"Long Range Mountains/Long Range Mountains"," 194","Ramea",11,2,64,7,0,84,200
10005,"Long Range Mountains/Long Range Mountains"," 195","Ramea",12,2,91,8,1,114,232
10005,"Long Range Mountains/Long Range Mountains"," 196","Highlands",6,2,29,5,0,42,63
10005,"Long Range Mountains/Long Range Mountains"," 197","Coal Brook--South Branch",13,6,97,18,0,134,218
10005,"Long Range Mountains/Long Range Mountains"," 198","Codroy-Doyles-Upper Ferry",12,1,72,19,0,104,194
10005,"Long Range Mountains/Long Range Mountains"," 199","Codroy-Doyles-Upper Ferry",23,5,168,15,0,211,459
10005,"Long Range Mountains/Long Range Mountains"," 200","Codroy",6,1,148,13,0,168,276
10005,"Long Range Mountains/Long Range Mountains"," 201","Saint Andrews",15,8,111,21,2,157,211
10005,"Long Range Mountains/Long Range Mountains"," 202","Isle aux Morts",5,2,115,6,0,128,276
10005,"Long Range Mountains/Long Range Mountains"," 203","Isle aux Morts",13,3,127,14,1,158,306
10005,"Long Range Mountains/Long Range Mountains"," 204","Burnt Islands",10,1,144,4,0,159,375
10005,"Long Range Mountains/Long Range Mountains"," 205","Burnt Islands",4,1,82,3,1,91,168
10005,"Long Range Mountains/Long Range Mountains"," 206","Rose Blanche-Harbour le Cou",5,1,147,12,2,167,444
10005,"Long Range Mountains/Long Range Mountains"," 207","Cape Ray",17,3,138,10,0,168,290
10005,"Long Range Mountains/Long Range Mountains"," 208","Channel-Port aux Basques",18,1,129,12,0,160,431
10005,"Long Range Mountains/Long Range Mountains"," 209","Channel-Port aux Basques",6,1,184,12,0,203,398
10005,"Long Range Mountains/Long Range Mountains"," 210","Channel-Port aux Basques",4,2,146,10,0,162,400
10005,"Long Range Mountains/Long Range Mountains"," 211","Channel-Port aux Basques",16,3,159,14,1,193,403
10005,"Long Range Mountains/Long Range Mountains"," 212","Channel-Port aux Basques",14,4,204,21,2,245,526
10005,"Long Range Mountains/Long Range Mountains"," 213","Channel-Port aux Basques",10,1,154,21,0,186,323
10005,"Long Range Mountains/Long Range Mountains"," 214","Channel-Port aux Basques",9,2,210,17,1,239,495
10005,"Long Range Mountains/Long Range Mountains"," 215","Channel-Port aux Basques",7,1,138,14,0,160,352
10005,"Long Range Mountains/Long Range Mountains"," 216","Channel-Port aux Basques",11,1,138,10,0,160,366
10005,"Long Range Mountains/Long Range Mountains"," 217","Fox Roost-Margaree",5,1,130,9,0,145,245
10005,"Long Range Mountains/Long Range Mountains"," 218","Port au Choix",10,0,119,10,0,139,287
10005,"Long Range Mountains/Long Range Mountains"," 219","Port au Choix",9,3,153,23,0,188,410
10005,"Long Range Mountains/Long Range Mountains"," 500","Mobile poll/Bureau itinérant",3,0,57,4,0,64,95
10005,"Long Range Mountains/Long Range Mountains"," 501","Mobile poll/Bureau itinérant",3,2,36,2,0,43,39
10005,"Long Range Mountains/Long Range Mountains"," 502","Mobile poll/Bureau itinérant",3,2,43,8,0,56,87
10005,"Long Range Mountains/Long Range Mountains"," 503A","Mobile poll/Bureau itinérant",3,2,26,4,0,35,43
10005,"Long Range Mountains/Long Range Mountains"," 503B","Cornerbrook",Merged with No./Fusionné avec le n°112A,,,,,,2
10005,"Long Range Mountains/Long Range Mountains"," 504","Mobile poll/Bureau itinérant",4,2,27,11,1,45,61
10005,"Long Range Mountains/Long Range Mountains"," 505","Mobile poll/Bureau itinérant",12,13,54,28,1,108,145
10005,"Long Range Mountains/Long Range Mountains"," 600","St. Anthony",14,1,111,15,0,141,
10005,"Long Range Mountains/Long Range Mountains"," 601","Flower's Cove",1,0,20,4,0,25,
10005,"Long Range Mountains/Long Range Mountains"," 602","Roddickton",0,0,28,4,0,32,
10005,"Long Range Mountains/Long Range Mountains"," 603","Plum Point",3,0,22,1,0,26,
10005,"Long Range Mountains/Long Range Mountains"," 604","Port au Choix",3,4,54,10,0,71,
10005,"Long Range Mountains/Long Range Mountains"," 605","Parson's Pond",7,0,26,5,0,38,
10005,"Long Range Mountains/Long Range Mountains"," 606","Sop's Arm",0,1,10,0,0,11,
10005,"Long Range Mountains/Long Range Mountains"," 607","Woody Point",14,0,24,3,0,41,
10005,"Long Range Mountains/Long Range Mountains"," 608","Rocky Harbour",10,1,58,9,0,78,
10005,"Long Range Mountains/Long Range Mountains"," 609","Deer Lake",74,13,355,84,0,526,
10005,"Long Range Mountains/Long Range Mountains"," 610","Pasadena",30,10,272,45,2,359,
10005,"Long Range Mountains/Long Range Mountains"," 611","Benoit's Cove",12,0,92,9,0,113,
10005,"Long Range Mountains/Long Range Mountains"," 612","Corner Brook",56,20,378,61,0,515,
10005,"Long Range Mountains/Long Range Mountains"," 613","Corner Brook",85,20,337,99,2,543,
10005,"Long Range Mountains/Long Range Mountains"," 614","Corner Brook",81,24,282,61,0,448,
10005,"Long Range Mountains/Long Range Mountains"," 615","Meadows",9,0,63,7,0,79,
10005,"Long Range Mountains/Long Range Mountains"," 616","Piccadilly",17,1,65,17,0,100,
10005,"Long Range Mountains/Long Range Mountains"," 617","Kippens",26,8,116,61,0,211,
10005,"Long Range Mountains/Long Range Mountains"," 618","Stephenville",55,13,329,60,1,458,
10005,"Long Range Mountains/Long Range Mountains"," 619","Stephenville Crossing",31,5,91,29,0,156,
10005,"Long Range Mountains/Long Range Mountains"," 620","St. Fintan's",9,1,67,15,0,92,
10005,"Long Range Mountains/Long Range Mountains"," 621","Port aux Basques",19,2,184,13,0,218,
10005,"Long Range Mountains/Long Range Mountains"," 622","Burnt Islands",0,0,29,6,0,35,
10005,"Long Range Mountains/Long Range Mountains"," 623","Burgeo",3,0,115,7,1,126,
10005,"Long Range Mountains/Long Range Mountains",,"Group 1/Groupe 1",22,11,142,91,8,274,67
10005,"Long Range Mountains/Long Range Mountains",,"Group 2/Groupe 2",123,61,625,139,10,958,
