Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Thana Boonlert,Joan Crockatt,Kent Hehr,Yogi Henderson,Jillian Ratti,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48004,"Calgary Centre/Calgary-Centre"," 57","Calgary",3,49,152,2,18,0,224,251
48004,"Calgary Centre/Calgary-Centre"," 58","Calgary",3,100,125,2,16,0,246,520
48004,"Calgary Centre/Calgary-Centre"," 59","Calgary",5,164,149,3,13,0,334,557
48004,"Calgary Centre/Calgary-Centre"," 60","Calgary",9,78,201,0,23,2,313,543
48004,"Calgary Centre/Calgary-Centre"," 61","Calgary",5,55,116,0,21,1,198,389
48004,"Calgary Centre/Calgary-Centre"," 62","Calgary",3,61,147,1,9,0,221,381
48004,"Calgary Centre/Calgary-Centre"," 63","Calgary",7,66,142,1,17,2,235,449
48004,"Calgary Centre/Calgary-Centre"," 64","Calgary",7,47,124,1,18,2,199,378
48004,"Calgary Centre/Calgary-Centre"," 65","Calgary",4,83,107,0,19,0,213,452
48004,"Calgary Centre/Calgary-Centre"," 66","Calgary",8,71,87,1,14,0,181,428
48004,"Calgary Centre/Calgary-Centre"," 67","Calgary",4,68,114,2,9,1,198,381
48004,"Calgary Centre/Calgary-Centre"," 68","Calgary",9,70,144,2,17,0,242,420
48004,"Calgary Centre/Calgary-Centre"," 69","Calgary",4,67,92,1,9,1,174,406
48004,"Calgary Centre/Calgary-Centre"," 70","Calgary",6,76,123,0,11,0,216,419
48004,"Calgary Centre/Calgary-Centre"," 71","Calgary",6,137,90,0,1,0,234,395
48004,"Calgary Centre/Calgary-Centre"," 72","Calgary",4,74,119,1,12,4,214,457
48004,"Calgary Centre/Calgary-Centre"," 73","Calgary",7,100,161,1,8,0,277,506
48004,"Calgary Centre/Calgary-Centre"," 74","Calgary",6,82,125,0,10,1,224,402
48004,"Calgary Centre/Calgary-Centre"," 75","Calgary",6,133,96,0,5,1,241,417
48004,"Calgary Centre/Calgary-Centre"," 76","Calgary",1,173,93,1,1,1,270,456
48004,"Calgary Centre/Calgary-Centre"," 77","Calgary",2,174,68,0,2,0,246,408
48004,"Calgary Centre/Calgary-Centre"," 78","Calgary",4,168,102,2,3,0,279,432
48004,"Calgary Centre/Calgary-Centre"," 79","Calgary",5,58,147,0,18,1,229,473
48004,"Calgary Centre/Calgary-Centre"," 80","Calgary",8,89,155,0,18,0,270,504
48004,"Calgary Centre/Calgary-Centre"," 81","Calgary",9,50,139,0,21,1,220,461
48004,"Calgary Centre/Calgary-Centre"," 82","Calgary",6,70,128,2,12,0,218,429
48004,"Calgary Centre/Calgary-Centre"," 83","Calgary",10,60,140,0,18,0,228,466
48004,"Calgary Centre/Calgary-Centre"," 84","Calgary",7,85,120,1,18,0,231,433
48004,"Calgary Centre/Calgary-Centre"," 85","Calgary",7,60,122,1,11,1,202,434
48004,"Calgary Centre/Calgary-Centre"," 86","Calgary",3,94,111,0,14,3,225,423
48004,"Calgary Centre/Calgary-Centre"," 87","Calgary",12,99,154,4,15,0,284,484
48004,"Calgary Centre/Calgary-Centre"," 88","Calgary",6,89,120,1,11,0,227,440
48004,"Calgary Centre/Calgary-Centre"," 89","Calgary",11,119,109,0,16,2,257,452
48004,"Calgary Centre/Calgary-Centre"," 90","Calgary",2,144,133,1,18,0,298,440
48004,"Calgary Centre/Calgary-Centre"," 91","Calgary",9,180,108,1,6,1,305,476
48004,"Calgary Centre/Calgary-Centre"," 92","Calgary",6,92,107,3,8,1,217,432
48004,"Calgary Centre/Calgary-Centre"," 93","Calgary",5,136,119,0,11,3,274,491
48004,"Calgary Centre/Calgary-Centre"," 94","Calgary",12,125,127,1,12,1,278,473
48004,"Calgary Centre/Calgary-Centre"," 95","Calgary",5,77,133,1,18,1,235,502
48004,"Calgary Centre/Calgary-Centre"," 96","Calgary",7,111,101,2,9,1,231,469
48004,"Calgary Centre/Calgary-Centre"," 97","Calgary",6,117,119,1,13,0,256,465
48004,"Calgary Centre/Calgary-Centre"," 98","Calgary",2,112,111,0,7,0,232,446
48004,"Calgary Centre/Calgary-Centre"," 99","Calgary",2,133,127,0,7,0,269,474
48004,"Calgary Centre/Calgary-Centre"," 100","Calgary",5,110,117,2,8,1,243,467
48004,"Calgary Centre/Calgary-Centre"," 101","Calgary",4,122,114,1,20,0,261,442
48004,"Calgary Centre/Calgary-Centre"," 102","Calgary",4,154,95,1,14,1,269,445
48004,"Calgary Centre/Calgary-Centre"," 103","Calgary",3,190,110,1,8,0,312,556
48004,"Calgary Centre/Calgary-Centre"," 104","Calgary",2,177,93,0,3,0,275,458
48004,"Calgary Centre/Calgary-Centre"," 105","Calgary",2,169,98,0,5,0,274,476
48004,"Calgary Centre/Calgary-Centre"," 106","Calgary",9,127,137,1,5,0,279,472
48004,"Calgary Centre/Calgary-Centre"," 107","Calgary",15,115,124,1,12,1,268,453
48004,"Calgary Centre/Calgary-Centre"," 108","Calgary",15,126,123,0,30,0,294,481
48004,"Calgary Centre/Calgary-Centre"," 109","Calgary",5,184,129,1,11,2,332,563
48004,"Calgary Centre/Calgary-Centre"," 110","Calgary",14,175,105,0,21,0,315,467
48004,"Calgary Centre/Calgary-Centre"," 111","Calgary",3,106,88,1,12,0,210,399
48004,"Calgary Centre/Calgary-Centre"," 112","Calgary",10,162,153,1,33,2,361,638
48004,"Calgary Centre/Calgary-Centre"," 113","Calgary",2,71,63,0,12,0,148,346
48004,"Calgary Centre/Calgary-Centre"," 114","Calgary",5,128,71,0,4,0,208,395
48004,"Calgary Centre/Calgary-Centre"," 115","Calgary",2,93,74,0,7,1,177,346
48004,"Calgary Centre/Calgary-Centre"," 116","Calgary",3,156,71,0,4,0,234,430
48004,"Calgary Centre/Calgary-Centre"," 117","Calgary",13,145,99,1,4,1,263,471
48004,"Calgary Centre/Calgary-Centre"," 118","Calgary",7,171,99,0,7,0,284,480
48004,"Calgary Centre/Calgary-Centre"," 119","Calgary",6,152,82,2,9,0,251,413
48004,"Calgary Centre/Calgary-Centre"," 120","Calgary",2,175,84,1,8,0,270,423
48004,"Calgary Centre/Calgary-Centre"," 121","Calgary",1,165,88,3,6,0,263,441
48004,"Calgary Centre/Calgary-Centre"," 122","Calgary",10,122,96,1,13,0,242,471
48004,"Calgary Centre/Calgary-Centre"," 123","Calgary",3,141,87,0,11,0,242,451
48004,"Calgary Centre/Calgary-Centre"," 124","Calgary",4,167,93,3,11,1,279,463
48004,"Calgary Centre/Calgary-Centre"," 125","Calgary",7,189,101,1,6,0,304,485
48004,"Calgary Centre/Calgary-Centre"," 126","Calgary",2,164,123,1,1,1,292,416
48004,"Calgary Centre/Calgary-Centre"," 127","Calgary",5,193,96,0,5,0,299,443
48004,"Calgary Centre/Calgary-Centre"," 128","Calgary",0,199,83,0,2,0,284,466
48004,"Calgary Centre/Calgary-Centre"," 129","Calgary",5,169,57,0,1,0,232,421
48004,"Calgary Centre/Calgary-Centre"," 130","Calgary",5,130,146,0,13,1,295,554
48004,"Calgary Centre/Calgary-Centre"," 131","Calgary",4,68,118,2,17,1,210,380
48004,"Calgary Centre/Calgary-Centre"," 132","Calgary",11,76,146,1,19,1,254,492
48004,"Calgary Centre/Calgary-Centre"," 133","Calgary",6,71,139,2,13,2,233,448
48004,"Calgary Centre/Calgary-Centre"," 134","Calgary",2,82,46,0,4,0,134,333
48004,"Calgary Centre/Calgary-Centre"," 135","Calgary",0,146,77,0,5,0,228,430
48004,"Calgary Centre/Calgary-Centre"," 136","Calgary",3,155,87,0,2,0,247,418
48004,"Calgary Centre/Calgary-Centre"," 137","Calgary",10,161,113,1,6,0,291,485
48004,"Calgary Centre/Calgary-Centre"," 138","Calgary",4,100,121,0,15,1,241,478
48004,"Calgary Centre/Calgary-Centre"," 139","Calgary",9,88,128,0,10,1,236,450
48004,"Calgary Centre/Calgary-Centre"," 140","Calgary",6,81,109,0,16,0,212,379
48004,"Calgary Centre/Calgary-Centre"," 141","Calgary",10,103,138,1,16,1,269,516
48004,"Calgary Centre/Calgary-Centre"," 142","Calgary",10,66,164,0,17,0,257,457
48004,"Calgary Centre/Calgary-Centre"," 143A","Calgary",14,63,91,1,12,0,181,377
48004,"Calgary Centre/Calgary-Centre"," 143B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505,,,,,,,2
48004,"Calgary Centre/Calgary-Centre"," 144","Calgary",1,105,68,0,2,0,176,422
48004,"Calgary Centre/Calgary-Centre"," 145","Calgary",2,85,50,2,3,0,142,341
48004,"Calgary Centre/Calgary-Centre"," 146","Calgary",2,80,131,1,6,1,221,429
48004,"Calgary Centre/Calgary-Centre"," 147","Calgary",5,80,95,0,13,1,194,444
48004,"Calgary Centre/Calgary-Centre"," 148","Calgary",7,96,116,1,17,0,237,472
48004,"Calgary Centre/Calgary-Centre"," 149","Calgary",4,94,110,0,8,1,217,495
48004,"Calgary Centre/Calgary-Centre"," 150","Calgary",4,112,105,0,13,0,234,385
48004,"Calgary Centre/Calgary-Centre"," 151","Calgary",6,83,156,0,26,1,272,566
48004,"Calgary Centre/Calgary-Centre"," 152","Calgary",6,163,154,0,33,1,357,782
48004,"Calgary Centre/Calgary-Centre"," 153","Calgary",8,186,143,0,11,2,350,675
48004,"Calgary Centre/Calgary-Centre"," 154","Calgary",3,40,86,0,14,1,144,272
48004,"Calgary Centre/Calgary-Centre"," 155","Calgary",5,99,102,1,5,0,212,441
48004,"Calgary Centre/Calgary-Centre"," 156","Calgary",5,110,111,2,16,1,245,517
48004,"Calgary Centre/Calgary-Centre"," 157","Calgary",9,60,105,2,21,2,199,445
48004,"Calgary Centre/Calgary-Centre"," 158","Calgary",7,86,106,0,13,2,214,407
48004,"Calgary Centre/Calgary-Centre"," 159","Calgary",1,82,54,0,6,0,143,406
48004,"Calgary Centre/Calgary-Centre"," 160","Calgary",2,60,38,0,4,1,105,254
48004,"Calgary Centre/Calgary-Centre"," 161A","Calgary",5,43,60,8,15,2,133,389
48004,"Calgary Centre/Calgary-Centre"," 161B","Calgary",8,35,56,5,12,4,120,338
48004,"Calgary Centre/Calgary-Centre"," 162","Calgary",Merged with No./Fusionné avec le n°163,,,,,,,40
48004,"Calgary Centre/Calgary-Centre"," 163","Calgary",0,30,27,1,2,0,60,141
48004,"Calgary Centre/Calgary-Centre"," 164","Calgary",4,102,120,2,29,0,257,410
48004,"Calgary Centre/Calgary-Centre"," 165","Calgary",2,99,105,1,25,3,235,428
48004,"Calgary Centre/Calgary-Centre"," 166","Calgary",13,127,172,3,24,0,339,568
48004,"Calgary Centre/Calgary-Centre"," 167","Calgary",8,143,171,1,16,1,340,552
48004,"Calgary Centre/Calgary-Centre"," 168","Calgary",7,179,169,0,19,0,374,625
48004,"Calgary Centre/Calgary-Centre"," 169","Calgary",13,86,113,1,13,0,226,325
48004,"Calgary Centre/Calgary-Centre"," 170","Calgary",15,67,117,5,21,0,225,408
48004,"Calgary Centre/Calgary-Centre"," 171","Calgary",9,95,159,3,25,2,293,464
48004,"Calgary Centre/Calgary-Centre"," 172","Calgary",9,75,81,1,20,1,187,341
48004,"Calgary Centre/Calgary-Centre"," 173","Calgary",13,73,158,2,27,1,274,467
48004,"Calgary Centre/Calgary-Centre"," 174","Calgary",Merged with No./Fusionné avec le n°175,,,,,,,109
48004,"Calgary Centre/Calgary-Centre"," 175","Calgary",5,102,126,0,27,4,264,351
48004,"Calgary Centre/Calgary-Centre"," 176","Calgary",11,66,131,0,30,0,238,427
48004,"Calgary Centre/Calgary-Centre"," 177","Calgary",10,104,135,3,21,1,274,438
48004,"Calgary Centre/Calgary-Centre"," 178","Calgary",7,136,107,0,14,0,264,391
48004,"Calgary Centre/Calgary-Centre"," 179","Calgary",6,174,55,1,8,0,244,421
48004,"Calgary Centre/Calgary-Centre"," 180","Calgary",12,124,105,0,15,0,256,400
48004,"Calgary Centre/Calgary-Centre"," 181","Calgary",7,126,90,2,9,1,235,426
48004,"Calgary Centre/Calgary-Centre"," 182","Calgary",2,74,73,1,10,1,161,325
48004,"Calgary Centre/Calgary-Centre"," 183","Calgary",7,77,98,0,31,2,215,498
48004,"Calgary Centre/Calgary-Centre"," 184","Calgary",4,89,74,0,27,0,194,409
48004,"Calgary Centre/Calgary-Centre"," 185","Calgary",7,115,83,3,27,1,236,439
48004,"Calgary Centre/Calgary-Centre"," 186","Calgary",6,172,108,1,4,0,291,487
48004,"Calgary Centre/Calgary-Centre"," 187","Calgary",5,199,81,0,1,0,286,465
48004,"Calgary Centre/Calgary-Centre"," 188","Calgary",1,194,52,0,5,0,252,443
48004,"Calgary Centre/Calgary-Centre"," 189","Calgary",2,206,105,0,7,1,321,470
48004,"Calgary Centre/Calgary-Centre"," 190","Calgary",6,211,80,1,5,0,303,474
48004,"Calgary Centre/Calgary-Centre"," 191A","Calgary",3,178,98,3,13,0,295,452
48004,"Calgary Centre/Calgary-Centre"," 191B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507,,,,,,,26
48004,"Calgary Centre/Calgary-Centre"," 192","Calgary",3,108,98,1,14,0,224,421
48004,"Calgary Centre/Calgary-Centre"," 193","Calgary",6,127,97,3,13,0,246,403
48004,"Calgary Centre/Calgary-Centre"," 400","Calgary",2,93,40,0,7,0,142,160
48004,"Calgary Centre/Calgary-Centre"," 401","Calgary",0,90,23,0,2,1,116,144
48004,"Calgary Centre/Calgary-Centre"," 500","Mobile poll/Bureau itinérant",3,79,32,4,9,1,128,171
48004,"Calgary Centre/Calgary-Centre"," 501","Mobile poll/Bureau itinérant",1,57,27,0,10,2,97,140
48004,"Calgary Centre/Calgary-Centre"," 502","Mobile poll/Bureau itinérant",3,106,71,2,13,0,195,295
48004,"Calgary Centre/Calgary-Centre"," 503","Mobile poll/Bureau itinérant",2,63,74,1,11,1,152,252
48004,"Calgary Centre/Calgary-Centre"," 504","Mobile poll/Bureau itinérant",3,67,41,0,7,3,121,165
48004,"Calgary Centre/Calgary-Centre"," 505","Mobile poll/Bureau itinérant",3,58,59,2,6,3,131,141
48004,"Calgary Centre/Calgary-Centre"," 506","Mobile poll/Bureau itinérant",4,127,44,2,12,0,189,234
48004,"Calgary Centre/Calgary-Centre"," 507","Mobile poll/Bureau itinérant",3,36,25,1,8,4,77,112
48004,"Calgary Centre/Calgary-Centre"," 508","Mobile poll/Bureau itinérant",6,116,41,1,5,0,169,204
48004,"Calgary Centre/Calgary-Centre"," 600","Calgary",18,378,410,2,43,1,852,
48004,"Calgary Centre/Calgary-Centre"," 601","Calgary",14,127,373,1,36,0,551,
48004,"Calgary Centre/Calgary-Centre"," 602","Calgary",11,407,445,1,53,1,918,
48004,"Calgary Centre/Calgary-Centre"," 603","Calgary",18,237,499,2,48,1,805,
48004,"Calgary Centre/Calgary-Centre"," 604","Calgary",17,268,457,2,68,3,815,
48004,"Calgary Centre/Calgary-Centre"," 605","Calgary",17,420,495,1,72,0,1005,
48004,"Calgary Centre/Calgary-Centre"," 606","Calgary",14,159,352,2,55,2,584,
48004,"Calgary Centre/Calgary-Centre"," 607","Calgary",12,500,342,1,25,0,880,
48004,"Calgary Centre/Calgary-Centre"," 608","Calgary",6,363,394,2,48,1,814,
48004,"Calgary Centre/Calgary-Centre"," 609","Calgary",12,404,459,4,33,1,913,
48004,"Calgary Centre/Calgary-Centre"," 610","Calgary",10,399,323,2,40,0,774,
48004,"Calgary Centre/Calgary-Centre"," 611","Calgary",10,520,442,0,36,1,1009,
48004,"Calgary Centre/Calgary-Centre"," 612","Calgary",5,309,225,3,27,0,569,
48004,"Calgary Centre/Calgary-Centre",,"Group 1/Groupe 1",3,47,153,5,27,11,246,270
48004,"Calgary Centre/Calgary-Centre",,"Group 2/Groupe 2",59,1295,1809,5,238,48,3454,
