Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Harold Albrecht,Richard Hodgson,Bob Jonkman,Tim Louis,James Villeneuve,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 45","Breslau",79,2,5,83,26,1,196,349
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 46","Breslau",95,5,4,113,29,1,247,405
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 47","Woolwich",60,4,2,66,18,1,151,268
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 48","St. Jacobs",102,5,9,84,25,0,225,384
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 49","St. Jacobs",66,1,12,71,20,0,170,272
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 50","St. Jacobs",124,2,7,92,13,1,239,380
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 51","Wellesley",117,4,5,38,13,0,177,446
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 52","Woolwich",127,1,9,74,19,0,230,463
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 53","Wellesley",132,2,6,117,24,1,282,437
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 54","Wellesley",124,4,13,87,21,1,250,474
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 55","Linwood",71,1,3,44,11,1,131,299
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 56","Linwood",102,2,4,82,12,0,202,356
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 57","Wellesley",16,0,1,14,2,0,33,329
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 58","Wellesley",37,2,2,33,4,0,78,368
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 59","Wellesley",107,3,5,73,23,4,215,348
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 60","St. Clements",97,3,7,59,19,0,185,282
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 61","Wellesley",89,3,7,54,26,0,179,301
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 62","Wellesley",69,1,5,26,7,0,108,351
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 63","Wellesley",78,4,5,68,12,0,167,299
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 64","Wellesley",66,1,5,15,6,0,93,308
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 65","Wellesley",88,2,7,78,17,0,192,319
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 66","Wellesley",88,3,7,64,17,0,179,270
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 67","Wellesley",84,1,10,56,14,0,165,293
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 68","Wellesley",84,2,4,64,11,1,166,271
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 69","Wellesley",101,3,7,107,11,1,230,425
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 70","Wellesley",90,0,3,73,30,1,197,320
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 71","Wellesley",137,2,8,97,22,0,266,427
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 72","Wilmot",98,2,7,46,11,2,166,292
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 73","Wilmot",74,1,9,59,18,1,162,305
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 74","Wilmot",128,1,7,111,20,3,270,404
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 75","Wilmot",97,1,4,100,46,3,251,389
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 76","Wilmot",159,4,1,133,18,1,316,516
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 77","Wilmot",123,4,5,101,16,1,250,450
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 78","Wilmot",108,0,5,72,6,0,191,309
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 79","St. Agatha",91,3,10,46,21,0,171,303
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 80","Wilmot",111,1,9,65,22,1,209,361
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 81","Kitchener",67,3,7,126,24,1,228,417
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 82A","Kitchener",40,0,4,90,17,0,151,272
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 82B","Kitchener",51,3,2,85,10,1,152,271
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 83","Kitchener",88,3,1,130,27,4,253,468
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 84","Kitchener",59,3,2,157,20,4,245,521
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 85","Kitchener",49,5,3,98,21,1,177,372
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 86","Kitchener",69,5,10,103,18,1,206,354
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 87","Kitchener",101,2,5,120,10,1,239,416
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 88","Kitchener",52,4,2,141,21,1,221,518
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 89","Kitchener",57,3,7,119,36,0,222,432
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 90","Kitchener",58,1,5,85,19,0,168,326
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 91","Kitchener",77,4,6,106,15,1,209,351
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 92","Kitchener",80,2,12,135,28,0,257,438
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 93","Kitchener",149,2,3,119,21,0,294,442
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 94","Kitchener",80,8,6,151,23,1,269,470
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 95","Kitchener",87,5,5,119,13,1,230,452
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 96","Kitchener",95,2,7,173,29,0,306,529
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 97","Kitchener",68,6,1,115,22,2,214,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 98","Kitchener",66,1,4,101,18,2,192,373
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 99","Kitchener",68,6,7,138,45,1,265,533
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 100","Kitchener",74,5,6,97,23,3,208,368
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 101","Kitchener",77,2,3,95,26,3,206,415
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 102","Kitchener",79,4,0,90,14,0,187,383
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 103","Kitchener",49,4,6,110,25,0,194,375
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 104","Kitchener",82,10,5,134,44,0,275,531
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 105","Kitchener",74,6,4,107,27,1,219,432
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 106","Kitchener",69,4,11,131,31,3,249,403
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 107","Kitchener",115,6,6,131,27,0,285,431
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 108","Kitchener",83,7,5,129,31,1,256,372
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 109","Kitchener",83,5,3,173,22,1,287,439
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 110","Kitchener",155,2,6,126,27,1,317,507
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 111","Kitchener",59,5,3,98,28,1,194,397
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 112","Kitchener",64,6,0,93,25,3,191,342
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 113","Kitchener",95,8,10,160,45,3,321,523
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 114","Kitchener",104,9,6,144,19,2,284,486
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 115","Kitchener",93,6,8,138,42,1,288,447
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 116A","Kitchener",39,1,6,67,11,1,125,174
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 116B","Kitchener",Merged with No./Fusionné avec le n°402,,,,,,,73
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 117","Kitchener",56,1,9,81,28,0,175,356
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 118","Kitchener",98,5,6,132,15,0,256,454
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 119","Kitchener",75,2,11,74,21,0,183,355
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 120","Kitchener",94,3,4,115,29,0,245,445
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 121","Kitchener",93,4,7,127,38,0,269,462
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 122","Kitchener",93,6,13,158,28,2,300,465
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 123","Kitchener",112,8,7,171,32,1,331,516
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 124","Kitchener",98,2,10,133,44,1,288,455
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 125","Kitchener",84,0,9,130,23,1,247,414
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 126","Kitchener",58,4,4,89,23,2,180,438
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 127","Kitchener",74,9,2,101,25,2,213,393
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 128","Kitchener",39,0,1,85,20,2,147,280
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 129","Kitchener",91,5,4,65,22,0,187,360
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 130","Kitchener",62,5,8,90,25,0,190,401
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 131","Kitchener",71,7,6,117,32,0,233,475
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 132","Kitchener",72,4,4,104,25,5,214,413
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 133","Kitchener",38,4,2,72,9,0,125,236
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 134","Kitchener",54,5,4,65,30,3,161,317
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 135","Kitchener",74,5,11,151,17,5,263,480
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 136","Kitchener",73,6,6,148,24,2,259,475
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 137","Kitchener",66,6,4,124,24,4,228,460
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 138","Kitchener",91,7,1,121,29,1,250,451
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 139","Kitchener",83,6,2,109,20,1,221,379
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 140","Kitchener",75,10,5,156,20,1,267,500
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 141","Kitchener",71,5,7,158,27,2,270,528
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 142","Kitchener",59,6,6,102,20,0,193,345
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 143","Kitchener",57,3,0,104,24,3,191,391
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 144","Kitchener",51,1,3,88,18,0,161,334
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 145","Kitchener",60,7,1,119,24,1,212,408
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 146A","Kitchener",94,6,14,122,24,0,260,501
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 146B","Kitchener",97,2,7,123,36,0,265,524
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 147A","Kitchener",39,0,2,81,22,2,146,281
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 147B","Kitchener",43,0,1,61,8,0,113,266
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 148A","Kitchener",53,4,3,102,10,0,172,321
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 148B","Kitchener",52,2,3,91,11,1,160,305
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 149","Mannheim",105,5,2,93,14,2,221,403
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 150A","Wilmot",82,1,7,51,7,1,149,282
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 150B","Wilmot",66,2,5,50,9,0,132,251
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 151","Baden",91,1,10,49,14,0,165,302
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 152","Baden",83,2,4,81,23,0,193,293
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 153","Baden",80,3,3,68,8,1,163,280
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 154","Baden",120,4,6,105,33,1,269,424
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 155","Baden",128,2,8,80,35,0,253,421
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 156","Baden",121,3,8,111,24,0,267,442
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 157","Wilmot",132,1,7,92,12,2,246,412
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 158","Kitchener",96,4,3,91,16,1,211,311
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 159","New Dundee",131,2,6,80,23,0,242,362
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 160","New Dundee",100,1,3,80,33,0,217,316
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 161","Wilmot",157,3,17,100,20,0,297,449
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 162A","Haysville",67,0,2,46,8,0,123,268
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 162B","Haysville",61,1,1,37,6,0,106,296
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 163","New Hamburg",124,4,7,79,18,1,233,405
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 164","New Hamburg",109,4,2,86,18,2,221,358
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 165","New Hamburg",98,2,9,67,9,1,186,350
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 166","New Hamburg",130,7,7,95,21,0,260,446
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 167","New Hamburg",91,3,8,69,21,3,195,325
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 168","New Hamburg",55,0,10,45,30,3,143,291
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 169","New Hamburg",59,3,5,59,12,0,138,241
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 170","New Hamburg",52,1,8,47,23,0,131,252
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 171","New Hamburg",111,5,3,75,31,0,225,449
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 172","New Hamburg",109,9,9,135,30,0,292,465
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 173","New Hamburg",109,3,13,80,30,0,235,435
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 174","New Hamburg",82,0,8,84,34,0,208,376
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 175","New Hamburg",31,1,6,41,5,0,84,130
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 176","New Hamburg",66,1,4,68,21,1,161,278
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 177","New Hamburg",119,5,8,74,24,1,231,405
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 178","New Hamburg",94,1,4,73,17,1,190,257
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 179","New Hamburg",125,3,2,99,10,1,240,351
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 180","Haysville",84,5,2,56,5,2,154,330
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 181","Wilmot",155,2,9,127,12,0,305,400
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 400","Kitchener",23,2,2,27,9,0,63,80
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 401","St. Jacobs",56,3,0,7,0,0,66,93
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 402","Kitchener",36,7,1,33,8,0,85,86
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 403","Kitchener",14,4,3,14,7,1,43,52
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 404","Kitchener",6,0,0,9,2,0,17,72
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 405","Kitchener",20,6,1,23,10,3,63,110
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 500","Mobile poll/Bureau itinérant",43,0,5,23,8,2,81,171
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 501","Mobile poll/Bureau itinérant",25,2,1,14,5,1,48,96
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 600","Woolwich",179,0,9,107,20,0,315,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 601","Woolwich",255,2,5,112,25,0,399,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 602","Elmira",298,3,16,163,39,1,520,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 603","Elmira",332,6,16,205,60,0,619,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 604","Woolwich",254,0,8,166,35,1,464,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 605","Wellesley",136,3,9,78,17,2,245,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 606","Wellesley",220,7,13,155,34,0,429,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 607","Baden",263,4,12,207,52,4,542,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 608","New Hamburg",250,2,19,212,66,1,550,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 609","New Hamburg",383,3,13,247,41,1,688,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 610","Haysville",269,4,16,175,29,1,494,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 611","Kitchener",193,8,12,366,67,1,647,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 612","Kitchener",279,10,21,352,87,11,760,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 613","Kitchener",204,6,17,273,62,1,563,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 614","Kitchener",172,0,10,263,46,1,492,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 615","Kitchener",155,9,10,185,46,2,407,
35046,"Kitchener--Conestoga/Kitchener--Conestoga"," 616","Kitchener",229,3,14,323,85,3,657,
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,"Group 1/Groupe 1",24,6,2,43,14,6,95,69
35046,"Kitchener--Conestoga/Kitchener--Conestoga",,"Group 2/Groupe 2",328,12,35,352,98,19,844,
