Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Berthiaume,Luc Berthold,Jean-François Delisle,Justin Gervais,Virginie Provost,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 95","Saint-Ferdinand",47,58,32,2,17,2,158,312
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 96","Saint-Ferdinand",35,64,61,2,20,7,189,353
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 97","Saint-Pierre-Baptiste",43,86,58,2,53,6,248,439
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 98","Plessisville",68,82,40,6,27,5,228,479
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 99","Plessisville",70,62,38,5,19,8,202,399
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 100","Plessisville",66,94,41,3,16,4,224,391
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 101","Plessisville",62,84,40,3,28,8,225,429
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 102","Plessisville",59,75,33,4,15,8,194,366
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 103","Plessisville",79,61,13,7,19,6,185,384
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 104","Plessisville",53,63,23,3,24,1,167,366
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 105","Plessisville",42,47,23,5,32,3,152,384
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 106","Plessisville",50,59,45,6,32,9,201,413
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 107","Plessisville",44,51,27,3,36,4,165,380
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 108","Plessisville",69,63,45,1,28,6,212,410
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 109","Plessisville",56,72,46,13,34,6,227,383
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 110","Plessisville",44,38,33,8,15,2,140,380
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 111","Plessisville",42,37,31,8,12,4,134,374
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 112","Plessisville",54,36,36,5,24,2,157,386
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 113","Notre-Dame-de-Lourdes",51,68,26,4,20,3,172,289
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 114","Notre-Dame-de-Lourdes",42,61,30,3,20,5,161,270
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 115","Villeroy",71,98,35,2,44,7,257,378
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 116","Princeville",63,111,32,7,41,10,264,538
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 117","Princeville",30,37,36,2,11,3,119,227
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 118","Princeville",56,47,34,3,27,8,175,395
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 119","Princeville",61,44,29,2,36,4,176,384
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 120","Princeville",50,63,29,9,19,9,179,398
24047,"Mégantic--L'Érable/Mégantic--L'Érable"," 121","Princeville",47,86,46,10,34,8,231,482
