Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laverne M. Lewycky,Inky Mark,Ray Piché,Robert Sopuck,Kate Storey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 13","Big Woody",26,5,18,55,7,0,111,229
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 14","Swan River",15,7,43,110,6,0,181,298
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 15","Swan River",11,6,37,112,6,0,172,305
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 16","Swan River",13,3,34,85,6,0,141,242
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 17A","Swan River",11,4,23,58,3,0,99,260
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 17B","Swan River",9,4,32,59,5,0,109,258
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 18","Swan River",16,6,40,91,4,0,157,324
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 19A","Swan River",22,7,51,96,8,0,184,324
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 19B","Swan River",12,10,35,78,8,0,143,262
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 20","Swan River",16,9,36,115,3,0,179,363
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 21","Swan River",13,3,49,80,6,1,152,281
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 22","Swan River",20,8,64,88,8,0,188,333
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 23","Swan River",16,1,37,85,1,0,140,273
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 24","Kenville",3,7,39,116,4,1,170,376
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 25","Benito",9,6,17,56,11,0,99,183
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 26A","Benito",11,7,57,91,5,1,172,304
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 26B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,,7
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 27","Durban",7,7,25,67,3,2,111,220
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 28","Pine River",6,9,27,44,7,0,93,197
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 29A","Camperville",11,1,77,4,2,0,95,277
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 29B","Camperville",22,0,59,3,0,0,84,230
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 30A","Pine Creek 66A",10,0,55,1,1,0,67,99
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 30B","Pine Creek 66A",12,0,80,0,0,1,93,162
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 31","Winnipegosis",13,10,31,75,5,0,134,225
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 32","Winnipegosis",18,7,64,50,2,0,141,216
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 33","Winnipegosis",22,6,45,49,3,1,126,221
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 34","Fork River",15,21,45,62,3,0,146,288
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 35","Mallard",13,7,45,29,1,0,95,219
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 36","Waterhen 45",80,2,101,2,5,0,190,345
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 37","Toutes Aides",14,8,21,50,3,0,96,143
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 38","Rorketon",23,17,24,42,4,0,110,183
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 39A","Crane River 51",16,6,49,1,1,0,73,165
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 39B","Crane River 51",19,2,68,3,1,0,93,198
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 40","Sainte-Rose",11,5,67,93,11,0,187,351
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 41","Ste. Rose du Lac",10,8,43,36,4,0,101,205
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 42","Ste. Rose du Lac",11,2,30,32,2,2,79,136
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 43","Ste. Rose du Lac",22,5,61,92,3,2,185,392
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 44","Sifton",36,22,28,72,3,1,162,272
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 45A","Mink Creek",33,9,23,71,8,1,145,229
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 45B","Mink Creek",24,12,41,73,4,0,154,248
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 46","San Clara",13,14,78,57,7,0,169,250
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 47","Zelena",12,16,46,126,8,1,209,410
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 48","Roblin",12,13,29,70,3,2,129,258
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 49","Roblin",22,12,34,81,10,1,160,376
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 50","Roblin",6,6,21,38,2,0,73,151
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 51","Roblin",25,16,55,140,9,1,246,423
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 52","Shell Valley",11,20,38,149,8,0,226,431
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 53","Bield",12,12,13,60,2,0,99,248
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 54","Valley River 63A",54,3,38,7,2,0,104,211
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 55","Grandview",24,24,52,73,14,0,187,324
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 56","Grandview",9,25,32,48,13,0,127,201
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 57","Grandview",18,32,65,65,13,0,193,362
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 58","Grandview",20,26,37,34,10,0,127,271
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 59","Gilbert Plains",12,28,31,51,10,0,132,271
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 60","Gilbert Plains",21,36,69,72,7,0,205,358
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 61","Gilbert Plains",18,27,36,40,7,0,128,212
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 62","Ashville",13,32,27,68,8,1,149,249
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 63","Dauphin",13,12,44,66,7,0,142,283
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 64A","Dauphin",15,5,44,57,1,0,122,264
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 64B","Dauphin",15,10,31,75,6,0,137,250
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 65","Dauphin",37,15,48,104,14,0,218,458
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 66","Dauphin",30,19,59,49,8,0,165,376
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 67","Dauphin",19,11,79,86,13,2,210,399
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 68","Dauphin",34,14,77,86,6,0,217,430
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 69A","Dauphin",8,15,47,87,5,1,163,348
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 69B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508,,,,,,,30
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 70","Dauphin",12,20,34,63,3,0,132,231
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 71","Dauphin",37,28,78,96,8,1,248,473
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 72","Dauphin",17,11,57,71,5,0,161,297
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 73A","Dauphin",9,12,45,31,6,3,106,226
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 73B","Dauphin",15,11,36,39,5,1,107,243
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 74","Dauphin",31,13,74,58,4,2,182,397
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 75","Dauphin",27,13,52,61,4,1,158,394
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 76A","Dauphin",29,13,51,26,3,1,123,269
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 76B","Dauphin",26,16,42,52,0,0,136,257
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 77A","Dauphin",18,13,41,35,2,1,110,264
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 77B","Dauphin",21,18,46,35,8,0,128,274
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 78","Dauphin",13,16,47,74,7,0,157,296
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 79","Dauphin",15,15,55,105,4,0,194,315
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 80","Spruce Bluff",5,24,40,116,9,0,194,340
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 81A","Ochre River",6,15,41,87,0,0,149,273
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 81B","Ochre River",16,10,38,57,7,0,128,239
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 82","Makinak",3,7,11,53,8,0,82,173
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 83","Laurier",22,16,57,75,7,0,177,347
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 84","Eddystone",8,6,34,49,2,0,99,193
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 85","Ebb and Flow 52",299,5,251,4,7,5,571,893
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 86","Alonsa",14,1,38,29,3,0,85,114
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 87","Alonsa",19,12,28,96,4,0,159,275
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 88A","McCreary",9,5,50,82,6,0,152,250
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 88B","McCreary",7,9,24,66,7,0,113,254
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 89","McCreary",10,11,29,76,8,0,134,260
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 90A","Onanole",7,16,97,83,25,1,229,361
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 90B","Onanole",27,28,92,78,7,0,232,374
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 91A","Sandy Lake",9,23,51,80,2,1,166,254
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 91B","Sandy Lake",9,20,36,89,2,0,156,247
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 92","Rossburn",19,40,37,81,12,0,189,360
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 93","Rossburn",15,25,36,84,9,0,169,345
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 94","Angusville",7,20,30,92,4,0,153,308
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 95A","Shellmouth--Boulton",11,20,53,103,9,0,196,300
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 95B","Shellmouth--Boulton",6,19,31,95,6,0,157,250
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 96","Russell",5,16,44,92,6,0,163,265
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 97A","Russell",10,10,35,71,3,1,130,263
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 97B","Russell",7,21,30,80,2,0,140,272
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 98","Russell",8,10,23,85,4,0,130,231
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 99","Russell",12,20,46,140,7,4,229,395
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 100A","Binscarth",11,4,20,7,0,0,42,47
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 100B","Binscarth",4,17,14,62,2,0,99,183
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 101","Binscarth",10,34,48,114,6,0,212,316
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 102","Foxwarren",10,38,23,86,6,0,163,272
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 103","Saint-Lazare",5,21,94,101,10,1,232,361
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 104A","Solsgirth",7,25,39,66,1,0,138,244
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 104B","Solsgirth",9,20,23,67,5,0,124,239
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 105","Birtle",6,19,35,61,4,1,126,224
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 106","Shoal Lake",8,18,36,90,2,1,155,263
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 107","Shoal Lake",15,15,32,87,2,1,152,262
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 108","Shoal Lake",15,24,21,67,7,0,134,204
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 109","Oakburn",15,26,50,81,2,1,175,308
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 110A","Keeseekoowenin--Elphinstone",18,2,41,2,1,0,64,210
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 110B","Keeseekoowenin--Elphinstone",16,4,34,21,2,0,77,198
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 111","Strathclair",8,53,58,140,14,1,274,428
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 112","Newdale",8,19,60,88,13,0,188,317
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 113","Rolling River 67",67,3,94,3,6,1,174,278
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 114","Erickson",19,25,100,76,11,0,231,356
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 115","Erickson",28,26,66,90,16,0,226,327
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 116","Riding Mountain",6,8,21,36,9,0,80,164
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 117","Riding Mountain",5,9,21,69,5,0,109,253
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 118","Birnie",2,6,15,70,3,0,96,283
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 119","Eden",7,14,46,88,8,0,163,360
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 120","Glenella",10,8,26,147,4,0,195,309
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 121","Amaranth",34,3,32,51,5,0,125,282
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 122A","Sandy Bay 5",73,1,12,2,1,1,90,378
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 122B","Sandy Bay 5",58,1,10,2,0,1,72,357
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 122C","Sandy Bay 5",61,1,19,2,0,1,84,346
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 123","Sandy Bay 5",114,0,23,3,1,1,142,383
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 124","Langruth",24,11,34,84,6,2,161,231
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 125","Plumas",8,8,36,164,8,2,226,344
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 126","Arden",7,9,32,107,3,1,159,251
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 127","Neepawa",7,13,54,164,8,1,247,453
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 128A","Neepawa",4,3,48,107,4,0,166,280
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 128B","Neepawa",6,10,51,87,5,1,160,287
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 129","Neepawa",11,6,79,77,7,0,180,342
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 130","Neepawa",10,13,54,89,10,0,176,334
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 131","Neepawa",13,6,36,56,6,0,117,285
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 132","Neepawa",4,2,12,21,6,0,45,129
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 133","Neepawa",13,15,61,131,9,0,229,399
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 134","Neepawa",2,5,39,64,8,1,119,210
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 135","Mekiwin",13,12,63,150,9,0,247,454
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 136","Minnedosa--Clanwilliam",7,16,60,109,14,1,207,381
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 137","Minnedosa--Minto",13,13,67,84,9,0,186,315
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 138","Minnedosa",12,10,72,88,13,1,196,345
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 139","Minnedosa",10,10,63,45,12,0,140,269
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 140","Minnedosa",14,10,59,66,7,0,156,259
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 141","Minnedosa",7,13,64,68,5,0,157,262
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 142","Minnedosa",13,8,70,67,6,1,165,343
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 143","Minnedosa",19,7,56,63,7,0,152,260
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 144","Minnedosa--Moore Park",16,11,60,100,4,1,192,345
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 145","Rapid City",24,28,57,85,10,2,206,300
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 146","Rapid City",17,14,108,80,8,5,232,363
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 147","Oak River",13,36,64,116,16,0,245,405
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 148","Hamiota",5,36,26,89,10,0,166,280
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 149","Hamiota",8,31,68,62,5,1,175,267
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 150","Hamiota",10,37,48,85,6,0,186,301
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 151","Miniota",3,19,13,94,3,0,132,266
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 152","Miniota",10,46,27,104,7,0,194,287
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 153A","Beulah",59,1,73,1,2,1,137,192
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 153B","Beulah",6,20,18,15,2,0,61,134
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 154","McAuley",6,21,39,94,3,0,163,239
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 155","Kenton",6,29,48,114,12,1,210,293
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 156","Maskawata",9,23,20,122,1,0,175,253
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 157","Virden",0,3,7,27,2,1,40,71
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 158","Rivers",6,8,105,96,17,1,233,381
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 159","Rivers",22,10,105,82,20,2,241,419
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 160","Bradwardine",10,13,55,99,12,0,189,359
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 161","Rivers",11,11,64,90,8,0,184,325
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 162","Justice",26,22,112,105,12,2,279,434
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 163","Forrest",10,6,55,79,10,0,160,258
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 164","Brookdale",6,3,33,88,10,0,140,283
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 165","Wellwood",8,5,25,101,9,0,148,274
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 166","Sidney",8,1,23,183,7,0,222,364
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 167","Gladstone",3,9,25,150,2,0,189,403
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 168","Gladstone",7,6,33,103,11,0,160,334
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 169","Gladstone",14,7,33,72,4,0,130,241
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 170","Gladstone",1,5,13,101,4,0,124,266
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 171","Westbourne",2,0,15,79,2,0,98,267
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 172","MacGregor",4,8,26,149,5,1,193,270
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 173","MacGregor",3,11,25,164,6,0,209,319
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 174","MacGregor",9,1,46,133,8,1,198,292
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 175","MacGregor",5,5,43,172,7,0,232,408
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 176","Austin",6,1,7,165,4,1,184,273
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 177","Austin",7,6,21,219,5,0,258,392
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 178","Lavenham",6,6,19,100,4,0,135,362
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 179","Carberry",14,9,55,105,7,2,192,382
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 180A","Carberry",8,17,47,59,7,1,139,249
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 180B","Carberry",12,7,37,80,12,0,148,245
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 181","Carberry",11,14,74,124,10,0,233,404
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 182","Carberry",11,7,65,89,13,1,186,386
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 183","Carberry",10,7,28,88,5,0,138,291
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa"," 184","Douglas",6,8,50,95,6,0,165,298
