Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Charlie Angus,John P. Curley,Max Kennedy,Todd Lever,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35107,"Timmins--James Bay/Timmins--Baie James"," 37","Timmins",36,41,3,88,1,169,343
35107,"Timmins--James Bay/Timmins--Baie James"," 38","Timmins",65,26,4,85,2,182,444
35107,"Timmins--James Bay/Timmins--Baie James"," 39","Timmins",90,49,3,72,3,217,497
35107,"Timmins--James Bay/Timmins--Baie James"," 40","Timmins",32,46,3,68,1,150,286
35107,"Timmins--James Bay/Timmins--Baie James"," 41","Timmins",56,52,4,99,0,211,406
35107,"Timmins--James Bay/Timmins--Baie James"," 42","Timmins",69,61,6,128,0,264,494
35107,"Timmins--James Bay/Timmins--Baie James"," 43","Timmins",50,38,2,92,2,184,406
35107,"Timmins--James Bay/Timmins--Baie James"," 44","Timmins",50,23,0,94,0,167,356
35107,"Timmins--James Bay/Timmins--Baie James"," 45","Timmins",67,32,2,91,1,193,444
35107,"Timmins--James Bay/Timmins--Baie James"," 46","Timmins",51,49,0,85,0,185,401
35107,"Timmins--James Bay/Timmins--Baie James"," 47","Timmins",43,37,1,106,0,187,319
35107,"Timmins--James Bay/Timmins--Baie James"," 48","Timmins",50,34,2,87,1,174,298
35107,"Timmins--James Bay/Timmins--Baie James"," 49","Timmins",78,62,6,110,1,257,573
35107,"Timmins--James Bay/Timmins--Baie James"," 50","Timmins",58,34,0,81,0,173,305
35107,"Timmins--James Bay/Timmins--Baie James"," 51","Timmins",63,45,3,112,1,224,425
35107,"Timmins--James Bay/Timmins--Baie James"," 52","Timmins",69,35,5,93,0,202,402
35107,"Timmins--James Bay/Timmins--Baie James"," 53","Timmins",68,22,2,60,0,152,403
35107,"Timmins--James Bay/Timmins--Baie James"," 54","Timmins",73,27,4,94,0,198,465
35107,"Timmins--James Bay/Timmins--Baie James"," 55","Timmins",67,39,4,106,0,216,422
35107,"Timmins--James Bay/Timmins--Baie James"," 56","Timmins",70,36,1,91,2,200,399
35107,"Timmins--James Bay/Timmins--Baie James"," 57","Timmins",51,54,2,95,0,202,366
35107,"Timmins--James Bay/Timmins--Baie James"," 58","Timmins",73,46,4,94,2,219,445
35107,"Timmins--James Bay/Timmins--Baie James"," 59","Timmins",87,26,1,131,0,245,444
35107,"Timmins--James Bay/Timmins--Baie James"," 60","Timmins",51,27,4,74,0,156,325
35107,"Timmins--James Bay/Timmins--Baie James"," 61","Timmins",34,22,3,42,0,101,318
35107,"Timmins--James Bay/Timmins--Baie James"," 62","Timmins",44,19,6,58,0,127,277
35107,"Timmins--James Bay/Timmins--Baie James"," 63","Timmins",46,60,3,82,1,192,381
35107,"Timmins--James Bay/Timmins--Baie James"," 64","Timmins",54,6,4,54,0,118,337
35107,"Timmins--James Bay/Timmins--Baie James"," 65","Timmins",71,65,4,122,1,263,439
35107,"Timmins--James Bay/Timmins--Baie James"," 66","Timmins",53,49,4,117,0,223,413
35107,"Timmins--James Bay/Timmins--Baie James"," 67","Timmins",47,38,1,70,2,158,330
