Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ziad Aboultaif,Sukhdev Aujla,Mebreate Deres,Aaron Paquette,André Vachon,Chris Vallee,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48016,"Edmonton Manning/Edmonton Manning"," 41","Edmonton",40,38,4,41,0,1,0,124,328
48016,"Edmonton Manning/Edmonton Manning"," 42","Edmonton",26,58,1,57,0,5,2,149,440
48016,"Edmonton Manning/Edmonton Manning"," 43","Edmonton",92,49,1,65,1,10,0,218,506
48016,"Edmonton Manning/Edmonton Manning"," 44","Edmonton",91,54,0,57,1,4,2,209,415
48016,"Edmonton Manning/Edmonton Manning"," 45","Edmonton",84,33,1,39,2,2,0,161,334
48016,"Edmonton Manning/Edmonton Manning"," 46","Edmonton",96,62,2,54,1,5,0,220,457
48016,"Edmonton Manning/Edmonton Manning"," 47","Edmonton",99,36,1,69,1,7,0,213,443
48016,"Edmonton Manning/Edmonton Manning"," 48","Edmonton",79,54,2,54,0,7,3,199,536
48016,"Edmonton Manning/Edmonton Manning"," 49","Edmonton",97,52,1,72,1,2,1,226,465
48016,"Edmonton Manning/Edmonton Manning"," 50","Edmonton",103,56,2,36,0,2,1,200,401
48016,"Edmonton Manning/Edmonton Manning"," 51","Edmonton",38,46,6,55,2,3,0,150,455
48016,"Edmonton Manning/Edmonton Manning"," 52","Edmonton",138,38,7,96,0,4,0,283,484
48016,"Edmonton Manning/Edmonton Manning"," 53","Edmonton",105,68,2,50,0,6,1,232,410
48016,"Edmonton Manning/Edmonton Manning"," 54","Edmonton",29,70,4,48,1,3,1,156,434
48016,"Edmonton Manning/Edmonton Manning"," 55","Edmonton",90,68,7,69,1,8,1,244,472
48016,"Edmonton Manning/Edmonton Manning"," 56","Edmonton",25,39,0,34,0,8,0,106,353
48016,"Edmonton Manning/Edmonton Manning"," 57","Edmonton",99,45,2,59,0,8,0,213,438
48016,"Edmonton Manning/Edmonton Manning"," 58","Edmonton",57,44,1,68,1,5,1,177,504
48016,"Edmonton Manning/Edmonton Manning"," 59","Edmonton",101,55,3,79,0,9,0,247,453
48016,"Edmonton Manning/Edmonton Manning"," 60","Edmonton",75,47,2,57,0,6,3,190,450
48016,"Edmonton Manning/Edmonton Manning"," 61","Edmonton",115,54,1,57,2,3,0,232,492
48016,"Edmonton Manning/Edmonton Manning"," 62","Edmonton",66,56,1,82,1,2,3,211,390
48016,"Edmonton Manning/Edmonton Manning"," 63","Edmonton",37,49,2,63,2,5,0,158,425
48016,"Edmonton Manning/Edmonton Manning"," 64","Edmonton",82,52,1,39,0,2,1,177,404
48016,"Edmonton Manning/Edmonton Manning"," 65","Edmonton",131,59,4,84,0,8,0,286,478
48016,"Edmonton Manning/Edmonton Manning"," 66","Edmonton",87,38,1,55,0,8,0,189,359
48016,"Edmonton Manning/Edmonton Manning"," 67","Edmonton",165,68,11,109,0,10,0,363,351
48016,"Edmonton Manning/Edmonton Manning"," 68","Edmonton",Merged with No./Fusionné avec le n°67,,,,,,,,321
48016,"Edmonton Manning/Edmonton Manning"," 69","Edmonton",91,49,2,54,3,8,0,207,472
48016,"Edmonton Manning/Edmonton Manning"," 70","Edmonton",53,63,1,77,0,5,2,201,411
48016,"Edmonton Manning/Edmonton Manning"," 71","Edmonton",Merged with No./Fusionné avec le n°72,,,,,,,,275
48016,"Edmonton Manning/Edmonton Manning"," 72","Edmonton",170,67,0,75,2,10,0,324,466
48016,"Edmonton Manning/Edmonton Manning"," 73","Edmonton",127,38,5,44,0,5,0,219,449
48016,"Edmonton Manning/Edmonton Manning"," 74","Edmonton",82,36,0,40,0,7,0,165,366
48016,"Edmonton Manning/Edmonton Manning"," 75","Edmonton",130,55,1,40,1,3,0,230,474
48016,"Edmonton Manning/Edmonton Manning"," 76","Edmonton",113,54,3,51,1,5,0,227,457
48016,"Edmonton Manning/Edmonton Manning"," 77","Edmonton",77,53,1,62,1,8,0,202,488
48016,"Edmonton Manning/Edmonton Manning"," 78","Edmonton",89,51,0,36,0,3,0,179,417
48016,"Edmonton Manning/Edmonton Manning"," 79","Edmonton",67,71,0,51,1,6,0,196,543
48016,"Edmonton Manning/Edmonton Manning"," 80","Edmonton",76,51,3,77,1,9,2,219,463
48016,"Edmonton Manning/Edmonton Manning"," 81","Edmonton",132,73,6,67,1,6,2,287,597
48016,"Edmonton Manning/Edmonton Manning"," 82","Edmonton",95,79,2,55,0,5,2,238,518
48016,"Edmonton Manning/Edmonton Manning"," 83","Edmonton",112,98,1,62,0,2,1,276,525
48016,"Edmonton Manning/Edmonton Manning"," 84","Edmonton",132,70,3,65,1,3,0,274,550
48016,"Edmonton Manning/Edmonton Manning"," 85","Edmonton",90,67,6,42,0,3,0,208,486
48016,"Edmonton Manning/Edmonton Manning"," 86","Edmonton",91,61,0,53,0,5,0,210,421
48016,"Edmonton Manning/Edmonton Manning"," 87","Edmonton",110,63,2,62,0,10,1,248,588
48016,"Edmonton Manning/Edmonton Manning"," 88","Edmonton",126,74,2,48,1,7,2,260,537
48016,"Edmonton Manning/Edmonton Manning"," 89","Edmonton",75,75,0,57,0,7,1,215,473
48016,"Edmonton Manning/Edmonton Manning"," 90","Edmonton",99,75,1,40,0,5,0,220,507
48016,"Edmonton Manning/Edmonton Manning"," 91","Edmonton",186,100,1,73,0,12,4,376,884
48016,"Edmonton Manning/Edmonton Manning"," 92","Edmonton",138,121,3,68,0,10,0,340,745
48016,"Edmonton Manning/Edmonton Manning"," 93","Edmonton",104,64,4,29,1,7,1,210,399
48016,"Edmonton Manning/Edmonton Manning"," 94","Edmonton",83,72,1,46,0,7,1,210,415
48016,"Edmonton Manning/Edmonton Manning"," 95","Edmonton",137,85,2,46,0,9,0,279,683
48016,"Edmonton Manning/Edmonton Manning"," 96","Edmonton",97,54,2,35,0,2,0,190,420
48016,"Edmonton Manning/Edmonton Manning"," 97","Edmonton",121,91,2,25,3,4,1,247,506
48016,"Edmonton Manning/Edmonton Manning"," 98","Edmonton",67,57,3,30,0,1,0,158,352
48016,"Edmonton Manning/Edmonton Manning"," 99","Edmonton",117,44,2,25,0,4,1,193,451
48016,"Edmonton Manning/Edmonton Manning"," 100","Edmonton",112,80,1,49,0,3,0,245,467
48016,"Edmonton Manning/Edmonton Manning"," 101","Edmonton",90,55,0,32,1,3,0,181,403
48016,"Edmonton Manning/Edmonton Manning"," 102","Edmonton",133,91,3,56,1,4,3,291,630
48016,"Edmonton Manning/Edmonton Manning"," 103","Edmonton",67,73,2,34,0,1,0,177,495
48016,"Edmonton Manning/Edmonton Manning"," 104","Edmonton",87,68,1,34,0,4,1,195,506
48016,"Edmonton Manning/Edmonton Manning"," 105","Edmonton",132,82,3,43,0,6,3,269,574
48016,"Edmonton Manning/Edmonton Manning"," 106","Edmonton",85,62,3,40,0,5,3,198,476
48016,"Edmonton Manning/Edmonton Manning"," 107","Edmonton",89,78,33,3,2,4,0,209,475
48016,"Edmonton Manning/Edmonton Manning"," 108","Edmonton",75,47,2,37,1,2,0,164,443
48016,"Edmonton Manning/Edmonton Manning"," 109","Edmonton",102,64,0,17,1,2,0,186,432
48016,"Edmonton Manning/Edmonton Manning"," 110","Edmonton",86,68,1,25,2,1,1,184,467
48016,"Edmonton Manning/Edmonton Manning"," 111","Edmonton",88,60,0,22,0,0,0,170,495
48016,"Edmonton Manning/Edmonton Manning"," 112","Edmonton",100,101,3,26,3,4,2,239,507
48016,"Edmonton Manning/Edmonton Manning"," 113","Edmonton",86,71,0,48,0,4,0,209,428
48016,"Edmonton Manning/Edmonton Manning"," 114","Edmonton",119,71,2,35,0,4,0,231,468
48016,"Edmonton Manning/Edmonton Manning"," 115","Edmonton",89,84,8,37,0,2,0,220,507
48016,"Edmonton Manning/Edmonton Manning"," 116","Edmonton",163,83,3,46,0,10,3,308,367
48016,"Edmonton Manning/Edmonton Manning"," 117","Edmonton",84,79,2,30,1,4,0,200,411
48016,"Edmonton Manning/Edmonton Manning"," 118","Edmonton",Merged with No./Fusionné avec le n°116,,,,,,,,253
48016,"Edmonton Manning/Edmonton Manning"," 119","Edmonton",101,61,0,27,1,2,0,192,424
48016,"Edmonton Manning/Edmonton Manning"," 120","Edmonton",117,63,4,30,1,1,1,217,494
48016,"Edmonton Manning/Edmonton Manning"," 121","Edmonton",60,58,5,32,1,2,0,158,373
48016,"Edmonton Manning/Edmonton Manning"," 122","Edmonton",64,46,1,47,0,4,0,162,364
48016,"Edmonton Manning/Edmonton Manning"," 123","Edmonton",106,44,4,61,1,9,3,228,460
48016,"Edmonton Manning/Edmonton Manning"," 124","Edmonton",91,72,1,31,0,1,1,197,401
48016,"Edmonton Manning/Edmonton Manning"," 125","Edmonton",94,65,1,16,0,2,0,178,361
48016,"Edmonton Manning/Edmonton Manning"," 126","Edmonton",101,96,0,28,1,6,1,233,485
48016,"Edmonton Manning/Edmonton Manning"," 127","Edmonton",109,72,3,29,0,4,3,220,397
48016,"Edmonton Manning/Edmonton Manning"," 128","Edmonton",95,72,0,46,0,6,1,220,415
48016,"Edmonton Manning/Edmonton Manning"," 129","Edmonton",102,58,5,28,0,3,2,198,506
48016,"Edmonton Manning/Edmonton Manning"," 130","Edmonton",82,61,3,33,0,6,0,185,442
48016,"Edmonton Manning/Edmonton Manning"," 131","Edmonton",89,72,1,20,1,2,1,186,406
48016,"Edmonton Manning/Edmonton Manning"," 132","Edmonton",99,91,2,59,0,2,0,253,525
48016,"Edmonton Manning/Edmonton Manning"," 133","Edmonton",96,60,2,55,0,2,1,216,437
48016,"Edmonton Manning/Edmonton Manning"," 134","Edmonton",72,63,0,39,1,0,1,176,346
48016,"Edmonton Manning/Edmonton Manning"," 135","Edmonton",68,50,2,45,0,5,1,171,397
48016,"Edmonton Manning/Edmonton Manning"," 136","Edmonton",93,81,2,68,0,7,1,252,536
48016,"Edmonton Manning/Edmonton Manning"," 137","Edmonton",118,28,0,30,0,1,0,177,409
48016,"Edmonton Manning/Edmonton Manning"," 138","Edmonton",169,97,5,88,0,5,0,364,677
48016,"Edmonton Manning/Edmonton Manning"," 139","Edmonton",95,81,2,34,0,4,2,218,428
48016,"Edmonton Manning/Edmonton Manning"," 140","Edmonton",88,61,1,74,1,8,1,234,448
48016,"Edmonton Manning/Edmonton Manning"," 141","Edmonton",102,98,6,86,0,3,2,297,360
48016,"Edmonton Manning/Edmonton Manning"," 142","Edmonton",84,46,0,50,1,4,1,186,429
48016,"Edmonton Manning/Edmonton Manning"," 143","Edmonton",70,70,2,64,0,9,0,215,468
48016,"Edmonton Manning/Edmonton Manning"," 144","Edmonton",Merged with No./Fusionné avec le n°141,,,,,,,,279
48016,"Edmonton Manning/Edmonton Manning"," 145","Edmonton",64,56,0,41,0,3,1,165,377
48016,"Edmonton Manning/Edmonton Manning"," 146","Edmonton",83,72,3,60,1,4,0,223,446
48016,"Edmonton Manning/Edmonton Manning"," 147","Edmonton",72,62,7,63,1,2,1,208,444
48016,"Edmonton Manning/Edmonton Manning"," 148","Edmonton",115,55,3,52,0,6,4,235,452
48016,"Edmonton Manning/Edmonton Manning"," 149","Edmonton",87,50,1,36,3,3,1,181,333
48016,"Edmonton Manning/Edmonton Manning"," 150","Edmonton",102,61,0,43,0,5,0,211,435
48016,"Edmonton Manning/Edmonton Manning"," 151","Edmonton",110,53,2,24,0,3,0,192,412
48016,"Edmonton Manning/Edmonton Manning"," 152","Edmonton",110,45,1,38,2,3,0,199,421
48016,"Edmonton Manning/Edmonton Manning"," 153","Edmonton",104,53,1,24,0,5,1,188,363
48016,"Edmonton Manning/Edmonton Manning"," 154","Edmonton",89,60,4,28,0,5,0,186,404
48016,"Edmonton Manning/Edmonton Manning"," 155","Edmonton",102,49,6,29,1,11,0,198,419
48016,"Edmonton Manning/Edmonton Manning"," 156","Edmonton",89,47,4,44,0,0,2,186,354
48016,"Edmonton Manning/Edmonton Manning"," 157","Edmonton",120,60,0,35,0,7,0,222,461
48016,"Edmonton Manning/Edmonton Manning"," 158","Edmonton",126,45,3,45,1,7,1,228,396
48016,"Edmonton Manning/Edmonton Manning"," 159","Edmonton",95,59,1,34,0,3,0,192,454
48016,"Edmonton Manning/Edmonton Manning"," 160","Edmonton",135,73,3,67,0,3,0,281,579
48016,"Edmonton Manning/Edmonton Manning"," 161","Edmonton",128,75,3,35,0,6,0,247,454
48016,"Edmonton Manning/Edmonton Manning"," 162","Edmonton",114,65,3,53,0,6,1,242,465
48016,"Edmonton Manning/Edmonton Manning"," 163","Edmonton",154,72,3,56,0,5,1,291,569
48016,"Edmonton Manning/Edmonton Manning"," 164","Edmonton",108,107,3,42,1,2,0,263,622
48016,"Edmonton Manning/Edmonton Manning"," 165","Edmonton",61,77,0,29,0,2,0,169,333
48016,"Edmonton Manning/Edmonton Manning"," 166","Edmonton",72,67,4,16,0,0,2,161,423
48016,"Edmonton Manning/Edmonton Manning"," 167","Edmonton",175,133,2,71,0,7,0,388,813
48016,"Edmonton Manning/Edmonton Manning"," 168","Edmonton",83,66,4,42,0,4,0,199,544
48016,"Edmonton Manning/Edmonton Manning"," 169","Edmonton",133,78,3,47,0,8,2,271,357
48016,"Edmonton Manning/Edmonton Manning"," 170","Edmonton",Merged with No./Fusionné avec le n°169,,,,,,,,271
48016,"Edmonton Manning/Edmonton Manning"," 171","Edmonton",115,71,2,51,1,5,1,246,464
48016,"Edmonton Manning/Edmonton Manning"," 172A","Edmonton",91,82,6,45,0,3,0,227,516
48016,"Edmonton Manning/Edmonton Manning"," 172B","Mobile poll/Bureau itinérant",87,71,1,46,0,2,0,207,535
48016,"Edmonton Manning/Edmonton Manning"," 172C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°400,,,,,,,,25
48016,"Edmonton Manning/Edmonton Manning"," 173","Edmonton",33,60,2,37,1,2,0,135,367
48016,"Edmonton Manning/Edmonton Manning"," 400","Mobile poll/Bureau itinérant",31,59,3,37,3,11,3,147,150
48016,"Edmonton Manning/Edmonton Manning"," 500","Mobile poll/Bureau itinérant",47,19,2,17,1,2,2,90,126
48016,"Edmonton Manning/Edmonton Manning"," 501","Mobile poll/Bureau itinérant",60,20,3,20,0,5,0,108,147
48016,"Edmonton Manning/Edmonton Manning"," 502","Mobile poll/Bureau itinérant",113,18,3,22,0,2,0,158,190
48016,"Edmonton Manning/Edmonton Manning"," 600","Edmonton",442,207,14,198,0,18,0,879,
48016,"Edmonton Manning/Edmonton Manning"," 601","Edmonton",293,154,4,165,1,12,1,630,
48016,"Edmonton Manning/Edmonton Manning"," 602","Edmonton",518,251,8,234,3,11,2,1027,
48016,"Edmonton Manning/Edmonton Manning"," 603","Edmonton",475,276,12,161,2,15,2,943,
48016,"Edmonton Manning/Edmonton Manning"," 604","Edmonton",566,244,9,247,2,24,2,1094,
48016,"Edmonton Manning/Edmonton Manning"," 605","Edmonton",406,208,6,286,2,16,2,926,
48016,"Edmonton Manning/Edmonton Manning"," 606","Edmonton",244,107,8,202,1,10,0,572,
48016,"Edmonton Manning/Edmonton Manning"," 607","Edmonton",485,309,9,241,3,17,1,1065,
48016,"Edmonton Manning/Edmonton Manning"," 608","Edmonton",278,91,4,135,3,20,1,532,
48016,"Edmonton Manning/Edmonton Manning"," 609","Edmonton",334,135,7,214,1,10,1,702,
48016,"Edmonton Manning/Edmonton Manning"," 610","Edmonton",240,121,3,192,2,16,0,574,
48016,"Edmonton Manning/Edmonton Manning"," 611","Edmonton",328,122,3,213,3,13,1,683,
48016,"Edmonton Manning/Edmonton Manning",,"Group 1/Groupe 1",138,95,0,48,1,8,15,305,125
48016,"Edmonton Manning/Edmonton Manning",,"Group 2/Groupe 2",337,260,12,327,1,23,19,979,
