Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Bebbington,Bob Deptuck,Robert Gordon Kitchen,Vicky O'Dell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 88","Bengough",21,8,219,14,0,262,466
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 89","Coronach",37,12,118,44,0,211,299
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 90","Coronach",37,12,118,44,2,213,402
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 91","Big Beaver",9,0,79,1,1,90,130
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 92","Minton",17,2,113,5,0,137,200
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 93","Lake Alma",7,2,130,14,0,153,205
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 94","Radville",35,6,163,22,1,227,387
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 95","Radville",13,2,88,18,0,121,187
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 96","Radville",8,3,120,7,0,138,204
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 97","Goodwater",9,3,116,17,1,146,230
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 98","Halbrite",22,1,198,13,0,234,334
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 99","Midale",38,8,260,32,2,340,498
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 100","Benson",19,4,159,13,0,195,328
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 101","Lampman",27,7,215,14,1,264,417
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 102","Browning",25,4,229,12,0,270,395
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 103","Alameda",29,13,207,24,2,275,411
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 104","Alida",17,4,199,12,0,232,354
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 105","Storthoaks",9,1,102,3,2,117,173
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 106","Carievale",16,2,187,6,0,211,321
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 107","Gainsborough",17,8,175,7,0,207,290
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 108","Carnduff",35,10,288,31,1,365,571
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 109","Carnduff",8,5,110,4,0,127,198
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 110","Carnduff",8,2,95,13,0,118,220
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 111","Oxbow",18,4,145,12,0,179,313
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 112","Oxbow",24,2,175,18,1,220,414
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 113","Oxbow",8,1,83,8,1,101,199
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 114","Glen Ewen",21,1,184,12,0,218,365
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 115","Frobisher",27,3,127,17,0,174,279
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 116","Bienfait",29,7,240,21,0,297,513
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 117","Bienfait",19,5,152,25,0,201,320
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 118","Hitchcock",19,3,177,22,1,222,383
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 119","Estevan",23,1,187,30,0,241,398
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 119-1","Estevan",25,0,110,12,0,147,239
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 120","Estevan",14,1,149,18,2,184,341
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 121","Estevan",20,6,103,14,1,144,275
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 122","Estevan",34,5,205,24,1,269,435
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 123","Shand",19,6,271,31,0,327,533
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 124","Shand",27,3,71,24,0,125,337
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 125","Macoun",21,4,166,11,0,202,279
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 126","Torquay",26,6,201,13,0,246,352
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 127","Oungre",3,0,139,15,0,157,215
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 128","Estevan",30,2,189,25,0,246,431
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 129","Estevan",44,7,135,16,1,203,435
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 130","Estevan",39,4,160,42,0,245,477
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 131A","Estevan",10,2,142,25,0,179,333
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 131B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°508A,,,,,,23
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 132","Estevan",32,12,219,22,1,286,482
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 133","Estevan",29,3,257,18,0,307,536
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 134","Estevan",27,8,129,27,0,191,411
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 135","Estevan",40,10,160,26,0,236,435
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 136","Estevan",25,5,123,25,1,179,349
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 137","Estevan",25,4,137,20,2,188,392
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 138","Estevan",32,3,117,24,1,177,330
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 139","Estevan",43,5,146,24,1,219,430
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 140","Estevan",26,7,177,27,0,237,338
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 141","Estevan",25,3,124,30,0,182,329
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 142","North Portal",19,5,71,11,0,106,165
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 143","Weyburn",22,1,119,22,0,164,262
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 144","Weyburn",28,4,158,31,0,221,399
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 145","Weyburn",27,7,180,33,0,247,367
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 146","Weyburn",24,7,223,17,1,272,409
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 147","Weyburn",23,4,164,35,0,226,397
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 148","Weyburn",23,6,188,40,3,260,400
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 149","Weyburn",15,6,171,37,1,230,354
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 150","Weyburn",26,4,146,49,2,227,392
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 151","Carry the Kettle Nakoda First Nation 76-15",82,2,1,111,0,196,409
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 500A","Mobile poll/Bureau itinérant",10,3,15,7,0,35,43
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,29
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 500C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,26
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 501A","Mobile poll/Bureau itinérant",8,2,18,9,2,39,48
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 501B","Mobile poll/Bureau itinérant",8,1,11,7,0,27,14
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 501C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,33
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 501D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501E,,,,,,34
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 501E","Mobile poll/Bureau itinérant",19,1,11,16,0,47,20
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 502A","Mobile poll/Bureau itinérant",7,2,17,7,2,35,24
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 502B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,24
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 502C","Moosomin",Merged with No./Fusionné avec le n°19,,,,,,29
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 503A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,21
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501B,,,,,,0
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 503C","Mobile poll/Bureau itinérant",8,1,43,12,1,65,91
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 503D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507A,,,,,,17
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 503E","Maryfield",Merged with No./Fusionné avec le n°51,,,,,,4
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 504A","Mobile poll/Bureau itinérant",13,3,28,24,2,70,85
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 504B","Mobile poll/Bureau itinérant",3,4,13,0,2,22,27
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 504C","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 505A","Mobile poll/Bureau itinérant",26,2,69,38,2,137,88
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 505B","Mobile poll/Bureau itinérant",6,2,44,29,0,81,68
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 505C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,74
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 505D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,21
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 506A","Mobile poll/Bureau itinérant",9,2,32,9,0,52,61
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 506B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,17
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 506C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,11
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 506D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502A,,,,,,5
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 507A","Mobile poll/Bureau itinérant",15,3,33,11,2,64,54
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 507B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°507C,,,,,,22
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 507C","Mobile poll/Bureau itinérant",8,2,15,12,0,37,33
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 507D","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501E,,,,,,11
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 508A","Mobile poll/Bureau itinérant",13,1,17,10,0,41,50
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 508B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506A,,,,,,31
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 508C","Mobile poll/Bureau itinérant",17,1,50,16,8,92,152
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 600","Lajord",24,7,52,28,0,111,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 601","Vibank--Odessa--Sedley--Francis",34,5,68,23,0,130,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 602","Kendal--Montmartre",17,4,58,10,0,89,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 603","Carry the Kettle Nakoda First Nation 76-15",21,0,2,69,0,92,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 604","Grenfell",38,4,172,37,2,253,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 605","Whitewood",33,7,180,43,0,263,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 606","Moosomin",43,23,296,48,0,410,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 607","Bengough",15,1,107,12,1,136,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 608","Coronach",14,2,49,21,0,86,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 609","Radville",19,3,106,29,0,157,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 610","Weyburn",31,4,208,27,0,270,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 611","Weyburn",111,21,620,180,5,937,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 612","Lampman",37,6,185,24,0,252,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 613","Wawota",12,4,82,14,1,113,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 614","Redvers",21,4,126,12,0,163,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 615","Estevan",19,4,168,18,0,209,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 616","Estevan",114,25,668,105,3,915,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 617","Oxbow",18,1,92,25,2,138,
47013,"Souris--Moose Mountain /Souris--Moose Mountain "," 618","Carnduff",15,5,170,12,1,203,
47013,"Souris--Moose Mountain /Souris--Moose Mountain ",,"Group 1/Groupe 1",40,4,25,17,5,91,79
47013,"Souris--Moose Mountain /Souris--Moose Mountain ",,"Group 2/Groupe 2",89,21,433,147,16,706,
