Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bob Bratina,Diane Bubanko,Erin Davis,Wendell Fields,Bob Mann,Wayne Marston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 68","Stoney Creek",88,69,10,1,1,74,1,244,389
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 69","Stoney Creek",117,41,4,0,0,59,2,223,343
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 70","Stoney Creek",105,52,6,0,1,40,1,205,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 71","Stoney Creek",141,51,1,0,0,62,3,258,392
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 72","Stoney Creek",108,78,1,0,1,39,0,227,349
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 73","Stoney Creek",57,79,5,1,0,35,0,177,332
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 74","Stoney Creek",54,69,0,1,0,11,0,135,275
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 75","Stoney Creek",113,96,3,0,0,38,0,250,502
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 76","Stoney Creek",84,59,2,0,0,33,1,179,388
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 77","Stoney Creek",131,91,1,0,1,46,2,272,505
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 78","Stoney Creek",82,67,8,0,0,63,1,221,424
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 79","Stoney Creek",95,78,3,2,3,58,4,243,460
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 80","Stoney Creek",124,66,6,0,0,38,0,234,426
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 81","Stoney Creek",112,48,1,0,2,45,1,209,378
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 82","Stoney Creek",131,46,1,0,1,55,0,234,441
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 83","Stoney Creek",92,86,5,0,0,31,3,217,413
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 84","Stoney Creek",103,78,5,0,0,32,3,221,402
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 85","Stoney Creek",105,80,7,0,0,42,1,235,418
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 86","Stoney Creek",96,65,13,0,1,39,1,215,373
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 87","Stoney Creek",80,67,8,0,0,27,0,182,364
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 88","Stoney Creek",105,99,2,0,0,45,0,251,453
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 89","Stoney Creek",114,84,5,0,0,36,1,240,429
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 90","Stoney Creek",82,66,4,0,0,37,1,190,403
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 91","Stoney Creek",126,87,10,0,0,43,0,266,492
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 92A","Stoney Creek",74,54,5,1,2,47,2,185,367
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 92B","Stoney Creek",57,51,6,0,0,45,2,161,344
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 93","Stoney Creek",107,99,4,0,1,38,1,250,432
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 94","Stoney Creek",81,103,4,1,0,34,0,223,402
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 95","Stoney Creek",148,106,5,0,1,49,0,309,530
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 96","Stoney Creek",88,103,6,0,1,42,1,241,438
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 97","Stoney Creek",114,53,6,0,0,54,3,230,414
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 98","Stoney Creek",122,84,5,0,0,71,2,284,434
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 99","Stoney Creek",136,74,6,0,2,52,2,272,423
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 100","Stoney Creek",81,72,6,0,0,51,0,210,425
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 101","Stoney Creek",112,52,4,0,1,63,2,234,488
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 102","Stoney Creek",128,101,4,0,0,61,6,300,556
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 103","Stoney Creek",89,65,11,0,1,53,1,220,408
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 104","Stoney Creek",97,58,4,0,2,66,0,227,471
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 105","Stoney Creek",125,40,5,1,2,77,1,251,489
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 106","Stoney Creek",128,69,3,1,0,71,6,278,527
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 107","Stoney Creek",112,46,3,0,0,61,0,222,458
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 108","Stoney Creek",109,84,1,0,1,41,1,237,376
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 109","Stoney Creek",116,91,5,0,1,51,4,268,439
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 110","Stoney Creek",90,58,2,0,2,27,1,180,296
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 111","Stoney Creek",123,67,4,0,1,50,1,246,410
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 112","Stoney Creek",160,60,10,1,1,63,4,299,464
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 113","Stoney Creek",117,72,7,0,0,72,2,270,442
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek"," 114","Stoney Creek",86,60,8,0,0,85,0,239,446
