Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Allan Bezanson,Irvine Carvery,Andy Fillmore,Megan Leslie,Thomas Trappenberg,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12005,"Halifax/Halifax"," 411","Halifax",1,8,31,39,4,1,84,128
12005,"Halifax/Halifax"," 500A","Mobile poll/Bureau itinérant",1,18,40,23,2,2,86,65
12005,"Halifax/Halifax"," 500B","Mobile poll/Bureau itinérant",0,31,84,44,3,0,162,81
12005,"Halifax/Halifax"," 501A","Mobile poll/Bureau itinérant",2,39,92,29,6,1,169,136
12005,"Halifax/Halifax"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500A,,,,,,,37
12005,"Halifax/Halifax"," 600","Halifax",2,68,519,505,36,7,1137,
12005,"Halifax/Halifax"," 601","Halifax",3,54,423,472,21,1,974,
12005,"Halifax/Halifax"," 602","Halifax",0,75,497,392,31,3,998,
12005,"Halifax/Halifax"," 603","Halifax",1,28,238,469,37,1,774,
12005,"Halifax/Halifax"," 604","Halifax",2,45,334,299,22,0,702,
12005,"Halifax/Halifax"," 605","Halifax",2,132,711,419,32,3,1299,
12005,"Halifax/Halifax"," 606","Halifax",1,121,628,388,28,3,1169,
12005,"Halifax/Halifax"," 607","Halifax",1,112,577,334,19,3,1046,
12005,"Halifax/Halifax"," 608","Halifax",3,98,415,339,36,3,894,
12005,"Halifax/Halifax"," 609","Halifax",0,82,460,220,18,0,780,
12005,"Halifax/Halifax"," 610","Halifax",4,85,367,223,13,1,693,
12005,"Halifax/Halifax"," 611","Harrietsfield",0,43,149,138,13,0,343,
12005,"Halifax/Halifax"," 612","Halifax",0,73,294,175,20,2,564,
12005,"Halifax/Halifax",,"Group 1/Groupe 1",0,99,260,134,26,25,544,238
12005,"Halifax/Halifax",,"Group 2/Groupe 2",4,118,1455,2327,156,31,4091,
