Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joanne Hussey,Michael McGinnis,Geoff Regan,Richard Henryk Zurawski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12006,"Halifax West/Halifax-Ouest"," 36","Bedford",7,31,71,5,0,114,270
12006,"Halifax West/Halifax-Ouest"," 37","Bedford",11,30,104,15,0,160,430
12006,"Halifax West/Halifax-Ouest"," 38","Bedford",15,32,139,5,1,192,442
12006,"Halifax West/Halifax-Ouest"," 39","Bedford",16,23,109,3,0,151,414
12006,"Halifax West/Halifax-Ouest"," 40","Bedford",17,28,106,6,1,158,364
12006,"Halifax West/Halifax-Ouest"," 41","Bedford",18,32,177,8,1,236,447
12006,"Halifax West/Halifax-Ouest"," 42","Bedford",10,18,104,3,0,135,363
12006,"Halifax West/Halifax-Ouest"," 43","Bedford",20,16,105,10,0,151,354
12006,"Halifax West/Halifax-Ouest"," 44","Bedford",4,57,138,8,1,208,466
12006,"Halifax West/Halifax-Ouest"," 45","Bedford",9,21,77,1,1,109,267
12006,"Halifax West/Halifax-Ouest"," 45-1","Halifax",10,30,89,7,0,136,284
12006,"Halifax West/Halifax-Ouest"," 46","Bedford",16,28,120,4,0,168,366
12006,"Halifax West/Halifax-Ouest"," 46-1","Halifax",14,33,118,3,1,169,459
12006,"Halifax West/Halifax-Ouest"," 47","Bedford",24,44,149,3,0,220,419
12006,"Halifax West/Halifax-Ouest"," 48A","Bedford",12,24,67,3,0,106,257
12006,"Halifax West/Halifax-Ouest"," 48B","Bedford",10,22,54,4,1,91,220
12006,"Halifax West/Halifax-Ouest"," 49","Bedford",19,45,153,5,0,222,449
12006,"Halifax West/Halifax-Ouest"," 50","Bedford",9,21,122,1,1,154,316
12006,"Halifax West/Halifax-Ouest"," 50-1","Halifax",24,39,110,9,0,182,422
12006,"Halifax West/Halifax-Ouest"," 51","Bedford",8,37,139,6,0,190,369
12006,"Halifax West/Halifax-Ouest"," 51-1","Halifax",18,34,107,7,2,168,389
12006,"Halifax West/Halifax-Ouest"," 51-2","Halifax",6,31,107,4,1,149,330
12006,"Halifax West/Halifax-Ouest"," 52A","Bedford",12,19,97,3,0,131,265
12006,"Halifax West/Halifax-Ouest"," 52B","Bedford",11,22,119,7,1,160,281
12006,"Halifax West/Halifax-Ouest"," 53A","Halifax",6,29,87,3,0,125,275
12006,"Halifax West/Halifax-Ouest"," 53B","Halifax",4,32,66,5,0,107,250
12006,"Halifax West/Halifax-Ouest"," 54A","Halifax",24,32,127,3,0,186,362
12006,"Halifax West/Halifax-Ouest"," 54B","Halifax",32,22,90,3,1,148,349
12006,"Halifax West/Halifax-Ouest"," 55","Halifax",16,9,72,3,0,100,203
12006,"Halifax West/Halifax-Ouest"," 56","Halifax",11,25,156,4,0,196,437
12006,"Halifax West/Halifax-Ouest"," 57A","Halifax",20,17,97,1,0,135,270
12006,"Halifax West/Halifax-Ouest"," 57B","Halifax",7,11,79,1,0,98,231
12006,"Halifax West/Halifax-Ouest"," 58","Halifax",28,18,144,9,1,200,415
12006,"Halifax West/Halifax-Ouest"," 59","Halifax",16,20,133,7,0,176,361
12006,"Halifax West/Halifax-Ouest"," 60A","Halifax",15,11,74,6,0,106,267
12006,"Halifax West/Halifax-Ouest"," 60B","Halifax",15,11,75,7,2,110,255
12006,"Halifax West/Halifax-Ouest"," 61A","Halifax",5,25,76,3,0,109,227
12006,"Halifax West/Halifax-Ouest"," 61B","Halifax",18,22,83,4,0,127,226
12006,"Halifax West/Halifax-Ouest"," 62A","Halifax",16,19,71,6,1,113,266
12006,"Halifax West/Halifax-Ouest"," 62B","Halifax",11,10,88,7,0,116,275
12006,"Halifax West/Halifax-Ouest"," 63","Halifax",9,36,104,6,0,155,343
12006,"Halifax West/Halifax-Ouest"," 64A","Halifax",15,9,70,2,1,97,219
12006,"Halifax West/Halifax-Ouest"," 64B","Halifax",17,11,74,1,1,104,228
12006,"Halifax West/Halifax-Ouest"," 65","Halifax",29,33,140,14,1,217,360
12006,"Halifax West/Halifax-Ouest"," 66A","Halifax",15,7,57,3,0,82,205
12006,"Halifax West/Halifax-Ouest"," 66B","Halifax",17,10,64,1,0,92,211
12006,"Halifax West/Halifax-Ouest"," 67A","Halifax",9,13,61,2,0,85,223
12006,"Halifax West/Halifax-Ouest"," 67B","Halifax",11,12,65,3,0,91,219
12006,"Halifax West/Halifax-Ouest"," 68","Halifax",22,26,136,12,0,196,337
12006,"Halifax West/Halifax-Ouest"," 69","Halifax",55,27,186,13,2,283,370
12006,"Halifax West/Halifax-Ouest"," 70A","Halifax",17,18,116,5,1,157,255
12006,"Halifax West/Halifax-Ouest"," 70B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501,,,,,,83
12006,"Halifax West/Halifax-Ouest"," 71A","Halifax",19,9,90,13,0,131,248
12006,"Halifax West/Halifax-Ouest"," 71B","Halifax",26,12,64,3,0,105,227
12006,"Halifax West/Halifax-Ouest"," 72","Halifax",28,31,145,5,0,209,406
12006,"Halifax West/Halifax-Ouest"," 73A","Halifax",16,17,69,3,1,106,228
12006,"Halifax West/Halifax-Ouest"," 73B","Halifax",15,18,78,4,0,115,225
12006,"Halifax West/Halifax-Ouest"," 74","Halifax",28,13,93,5,1,140,354
12006,"Halifax West/Halifax-Ouest"," 75","Halifax",18,23,119,8,1,169,342
12006,"Halifax West/Halifax-Ouest"," 76","Halifax",47,42,123,13,0,225,408
12006,"Halifax West/Halifax-Ouest"," 77A","Halifax",17,21,97,3,0,138,242
12006,"Halifax West/Halifax-Ouest"," 77B","Halifax",9,18,80,2,0,109,232
12006,"Halifax West/Halifax-Ouest"," 78A","Halifax",8,17,66,8,1,100,207
12006,"Halifax West/Halifax-Ouest"," 78B","Halifax",6,27,90,3,0,126,218
12006,"Halifax West/Halifax-Ouest"," 79A","Halifax",10,13,65,11,0,99,213
12006,"Halifax West/Halifax-Ouest"," 79B","Halifax",14,9,82,7,0,112,232
12006,"Halifax West/Halifax-Ouest"," 80","Halifax",29,20,107,7,2,165,360
12006,"Halifax West/Halifax-Ouest"," 81","Halifax",15,4,77,13,0,109,300
12006,"Halifax West/Halifax-Ouest"," 82","Halifax",28,12,93,10,0,143,393
12006,"Halifax West/Halifax-Ouest"," 83","Halifax",43,11,103,4,2,163,347
12006,"Halifax West/Halifax-Ouest"," 84","Halifax",35,14,108,4,0,161,425
12006,"Halifax West/Halifax-Ouest"," 85","Halifax",33,20,143,6,0,202,363
12006,"Halifax West/Halifax-Ouest"," 86","Halifax",31,15,112,7,0,165,364
12006,"Halifax West/Halifax-Ouest"," 87","Halifax",33,25,131,9,0,198,388
12006,"Halifax West/Halifax-Ouest"," 88","Halifax",23,10,112,18,0,163,348
12006,"Halifax West/Halifax-Ouest"," 89","Halifax",34,20,77,8,1,140,378
12006,"Halifax West/Halifax-Ouest"," 90","Halifax",37,23,103,6,2,171,400
12006,"Halifax West/Halifax-Ouest"," 91","Halifax",64,22,146,15,1,248,481
12006,"Halifax West/Halifax-Ouest"," 92","Halifax",30,18,138,4,0,190,369
12006,"Halifax West/Halifax-Ouest"," 93","Halifax",26,15,117,11,2,171,351
12006,"Halifax West/Halifax-Ouest"," 94","Halifax",28,17,115,10,0,170,442
12006,"Halifax West/Halifax-Ouest"," 95","Halifax",24,10,140,10,0,184,467
12006,"Halifax West/Halifax-Ouest"," 96A","Halifax",16,9,63,1,0,89,225
12006,"Halifax West/Halifax-Ouest"," 96B","Halifax",11,8,46,12,0,77,190
12006,"Halifax West/Halifax-Ouest"," 97","Halifax",39,17,170,7,0,233,527
12006,"Halifax West/Halifax-Ouest"," 98","Halifax",40,23,187,13,2,265,521
12006,"Halifax West/Halifax-Ouest"," 99","Halifax",30,25,135,5,0,195,393
12006,"Halifax West/Halifax-Ouest"," 100","Halifax",23,21,122,9,1,176,333
12006,"Halifax West/Halifax-Ouest"," 101","Halifax",26,27,142,11,1,207,387
12006,"Halifax West/Halifax-Ouest"," 102","Halifax",20,30,100,1,1,152,289
12006,"Halifax West/Halifax-Ouest"," 102-1","Halifax",17,21,126,6,0,170,327
12006,"Halifax West/Halifax-Ouest"," 103A","Halifax",22,24,147,2,0,195,364
12006,"Halifax West/Halifax-Ouest"," 103B","Halifax",19,27,108,3,0,157,332
12006,"Halifax West/Halifax-Ouest"," 104A","Halifax",6,28,102,2,0,138,268
12006,"Halifax West/Halifax-Ouest"," 104B","Halifax",9,24,89,3,2,127,273
12006,"Halifax West/Halifax-Ouest"," 104-1A","Halifax",10,20,69,2,1,102,224
12006,"Halifax West/Halifax-Ouest"," 104-1B","Halifax",15,21,67,3,0,106,244
12006,"Halifax West/Halifax-Ouest"," 105","Kearney Lake",16,24,114,4,2,160,433
12006,"Halifax West/Halifax-Ouest"," 106A","Halifax",15,21,97,2,1,136,245
12006,"Halifax West/Halifax-Ouest"," 106B","Halifax",7,14,84,5,0,110,208
12006,"Halifax West/Halifax-Ouest"," 107","Halifax",19,26,165,9,0,219,443
12006,"Halifax West/Halifax-Ouest"," 108","Halifax",32,27,160,10,1,230,369
12006,"Halifax West/Halifax-Ouest"," 109","Halifax",20,26,88,7,1,142,241
12006,"Halifax West/Halifax-Ouest"," 109-1","Halifax",18,27,120,3,1,169,330
12006,"Halifax West/Halifax-Ouest"," 110","Halifax",30,34,142,21,1,228,390
12006,"Halifax West/Halifax-Ouest"," 111","Halifax",25,23,112,6,0,166,349
12006,"Halifax West/Halifax-Ouest"," 112A","Halifax",21,22,115,6,0,164,246
12006,"Halifax West/Halifax-Ouest"," 112B","Halifax",21,15,101,11,0,148,250
12006,"Halifax West/Halifax-Ouest"," 113A","Halifax",14,16,82,1,0,113,232
12006,"Halifax West/Halifax-Ouest"," 113B","Halifax",9,10,74,2,0,95,205
12006,"Halifax West/Halifax-Ouest"," 114","Halifax",24,34,127,5,0,190,398
12006,"Halifax West/Halifax-Ouest"," 115","Halifax",30,24,110,7,0,171,380
12006,"Halifax West/Halifax-Ouest"," 116","Halifax",31,33,127,6,0,197,414
12006,"Halifax West/Halifax-Ouest"," 117A","Halifax",10,14,72,1,0,97,244
12006,"Halifax West/Halifax-Ouest"," 117B","Halifax",10,25,81,3,0,119,233
12006,"Halifax West/Halifax-Ouest"," 118","Halifax",9,36,109,12,0,166,347
12006,"Halifax West/Halifax-Ouest"," 118-1","Halifax",10,7,31,6,0,54,137
12006,"Halifax West/Halifax-Ouest"," 119","Halifax",10,14,110,8,0,142,380
12006,"Halifax West/Halifax-Ouest"," 120","Halifax",16,24,102,2,0,144,397
12006,"Halifax West/Halifax-Ouest"," 121A","Halifax",22,25,78,5,0,130,337
12006,"Halifax West/Halifax-Ouest"," 121B","Halifax",Merged with No./Fusionné avec le n°400,,,,,,95
12006,"Halifax West/Halifax-Ouest"," 122","Halifax",22,21,130,6,0,179,441
12006,"Halifax West/Halifax-Ouest"," 123","Halifax",28,14,108,5,0,155,362
12006,"Halifax West/Halifax-Ouest"," 124A","Halifax",17,25,71,2,3,118,263
12006,"Halifax West/Halifax-Ouest"," 124B","Halifax",17,23,80,8,1,129,279
12006,"Halifax West/Halifax-Ouest"," 125","Halifax",16,15,87,8,0,126,316
12006,"Halifax West/Halifax-Ouest"," 126A","Halifax",13,17,63,9,1,103,264
12006,"Halifax West/Halifax-Ouest"," 126B","Halifax",9,11,68,3,0,91,254
12006,"Halifax West/Halifax-Ouest"," 127A","Halifax",25,6,55,4,1,91,228
12006,"Halifax West/Halifax-Ouest"," 127B","Halifax",11,7,51,2,0,71,227
12006,"Halifax West/Halifax-Ouest"," 128A","Halifax",14,24,54,2,0,94,248
12006,"Halifax West/Halifax-Ouest"," 128B","Halifax",6,22,62,7,0,97,225
12006,"Halifax West/Halifax-Ouest"," 129A","Halifax",20,18,76,4,0,118,299
12006,"Halifax West/Halifax-Ouest"," 129B","Halifax",19,17,91,5,0,132,276
12006,"Halifax West/Halifax-Ouest"," 130","Halifax",11,15,117,7,0,150,326
12006,"Halifax West/Halifax-Ouest"," 131A","Halifax",9,19,82,5,0,115,243
12006,"Halifax West/Halifax-Ouest"," 131B","Halifax",6,25,71,5,1,108,227
12006,"Halifax West/Halifax-Ouest"," 132A","Halifax",10,21,54,3,0,88,238
12006,"Halifax West/Halifax-Ouest"," 132B","Halifax",15,20,80,6,0,121,221
12006,"Halifax West/Halifax-Ouest"," 133","Halifax",16,31,132,5,0,184,399
12006,"Halifax West/Halifax-Ouest"," 134","Timberlea",26,28,133,17,1,205,371
12006,"Halifax West/Halifax-Ouest"," 135","Lakeside",25,24,124,6,2,181,352
12006,"Halifax West/Halifax-Ouest"," 136","Timberlea",28,25,147,8,2,210,423
12006,"Halifax West/Halifax-Ouest"," 137","Timberlea",23,56,220,11,1,311,523
12006,"Halifax West/Halifax-Ouest"," 138","Timberlea",22,28,169,4,0,223,405
12006,"Halifax West/Halifax-Ouest"," 139","Highland Park",11,29,105,10,0,155,334
12006,"Halifax West/Halifax-Ouest"," 139-1","Highland Park",10,34,123,5,1,173,335
12006,"Halifax West/Halifax-Ouest"," 140A","Highland Park",10,23,78,8,0,119,241
12006,"Halifax West/Halifax-Ouest"," 140B","Highland Park",5,17,60,2,0,84,229
12006,"Halifax West/Halifax-Ouest"," 141","Highland Park",13,25,100,7,1,146,255
12006,"Halifax West/Halifax-Ouest"," 142","Highland Park",9,33,139,6,0,187,410
12006,"Halifax West/Halifax-Ouest"," 143","Stillwater Lake",24,17,172,10,0,223,416
12006,"Halifax West/Halifax-Ouest"," 144","Stillwater Lake",26,62,138,9,1,236,450
12006,"Halifax West/Halifax-Ouest"," 145","Upper Tantalon",22,48,159,11,0,240,441
12006,"Halifax West/Halifax-Ouest"," 146","Stillwater Lake",25,20,139,5,0,189,387
12006,"Halifax West/Halifax-Ouest"," 147","Lakeside",22,14,91,7,1,135,322
12006,"Halifax West/Halifax-Ouest"," 148A","Lakeside",13,13,94,8,1,129,233
12006,"Halifax West/Halifax-Ouest"," 148B","Lakeside",16,12,77,8,0,113,246
12006,"Halifax West/Halifax-Ouest"," 149","Lakeside",30,23,141,12,0,206,388
12006,"Halifax West/Halifax-Ouest"," 150","Beechville",30,24,178,5,0,237,432
12006,"Halifax West/Halifax-Ouest"," 151A","Beechville",19,9,78,6,0,112,240
12006,"Halifax West/Halifax-Ouest"," 151B","Beechville",11,5,97,2,0,115,218
12006,"Halifax West/Halifax-Ouest"," 152A","Timberlea",31,18,94,8,0,151,286
12006,"Halifax West/Halifax-Ouest"," 152B","Timberlea",26,13,94,5,0,138,243
12006,"Halifax West/Halifax-Ouest"," 153A","Timberlea",16,11,88,3,0,118,222
12006,"Halifax West/Halifax-Ouest"," 153B","Timberlea",15,17,90,4,0,126,222
12006,"Halifax West/Halifax-Ouest"," 154","Timberlea",32,20,172,11,0,235,480
12006,"Halifax West/Halifax-Ouest"," 155A","Timberlea",12,19,81,4,0,116,214
12006,"Halifax West/Halifax-Ouest"," 155B","Timberlea",12,16,67,7,0,102,212
12006,"Halifax West/Halifax-Ouest"," 156","Timberlea",26,22,148,10,0,206,407
12006,"Halifax West/Halifax-Ouest"," 157","Lakeside",27,21,156,7,0,211,397
12006,"Halifax West/Halifax-Ouest"," 158","Lakeside",19,40,169,2,1,231,415
12006,"Halifax West/Halifax-Ouest"," 400","Halifax",12,40,110,5,2,169,41
12006,"Halifax West/Halifax-Ouest"," 401","Halifax",8,15,45,1,0,69,192
12006,"Halifax West/Halifax-Ouest"," 402","Sandy Lake ",11,20,46,0,2,79,164
12006,"Halifax West/Halifax-Ouest"," 500","Mobile poll/Bureau itinérant",14,12,36,2,1,65,100
12006,"Halifax West/Halifax-Ouest"," 501","Mobile poll/Bureau itinérant",14,17,96,7,2,136,99
12006,"Halifax West/Halifax-Ouest"," 502","Mobile poll/Bureau itinérant",13,6,29,2,2,52,111
12006,"Halifax West/Halifax-Ouest"," 600","Pockwock",88,183,559,27,2,859,
12006,"Halifax West/Halifax-Ouest"," 601","Halifax",93,139,513,24,0,769,
12006,"Halifax West/Halifax-Ouest"," 602","Halifax",83,228,743,45,7,1106,
12006,"Halifax West/Halifax-Ouest"," 603","Halifax",105,240,986,55,3,1389,
12006,"Halifax West/Halifax-Ouest"," 604","Halifax",112,253,1033,61,4,1463,
12006,"Halifax West/Halifax-Ouest"," 605","Halifax",153,317,1108,35,6,1619,
12006,"Halifax West/Halifax-Ouest"," 606","Halifax",152,173,786,36,6,1153,
12006,"Halifax West/Halifax-Ouest"," 607","Halifax",159,129,775,35,2,1100,
12006,"Halifax West/Halifax-Ouest"," 608","Halifax",211,167,640,53,3,1074,
12006,"Halifax West/Halifax-Ouest"," 609","Halifax",177,112,603,56,3,951,
12006,"Halifax West/Halifax-Ouest"," 610","Halifax",166,215,864,41,10,1296,
12006,"Halifax West/Halifax-Ouest"," 611","Halifax",167,158,904,49,3,1281,
12006,"Halifax West/Halifax-Ouest",,"Group 1/Groupe 1",41,110,263,17,15,446,122
12006,"Halifax West/Halifax-Ouest",,"Group 2/Groupe 2",337,252,1266,74,22,1951,
