Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pamela Leslie Bryan,Alexander Dussault,Karen Leibovici,Heather MacKenzie,Kelly McCauley,Peggy Morton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48020,"Edmonton West/Edmonton-Ouest"," 65","Edmonton",5,1,90,31,95,0,1,223,421
48020,"Edmonton West/Edmonton-Ouest"," 66","Edmonton",2,0,84,15,111,0,0,212,347
48020,"Edmonton West/Edmonton-Ouest"," 67","Edmonton",0,0,49,24,96,0,0,169,283
48020,"Edmonton West/Edmonton-Ouest"," 68","Edmonton",4,1,72,34,98,0,0,209,428
48020,"Edmonton West/Edmonton-Ouest"," 69","Edmonton",2,0,45,16,78,0,0,141,286
48020,"Edmonton West/Edmonton-Ouest"," 70","Edmonton",5,2,76,34,79,1,0,197,523
48020,"Edmonton West/Edmonton-Ouest"," 71","Edmonton",3,0,76,16,83,0,2,180,337
48020,"Edmonton West/Edmonton-Ouest"," 72","Edmonton",5,6,99,23,76,1,0,210,378
48020,"Edmonton West/Edmonton-Ouest"," 73","Edmonton",5,2,74,31,66,0,0,178,359
48020,"Edmonton West/Edmonton-Ouest"," 74A","Edmonton",11,1,64,39,54,0,0,169,345
48020,"Edmonton West/Edmonton-Ouest"," 74B","Edmonton",9,1,60,45,50,0,0,165,347
48020,"Edmonton West/Edmonton-Ouest"," 75","Edmonton",4,0,70,49,56,2,3,184,399
48020,"Edmonton West/Edmonton-Ouest"," 76","Edmonton",9,3,84,33,93,0,1,223,403
48020,"Edmonton West/Edmonton-Ouest"," 77","Edmonton",6,2,69,44,140,1,0,262,416
48020,"Edmonton West/Edmonton-Ouest"," 78","Edmonton",6,2,76,37,85,0,2,208,444
48020,"Edmonton West/Edmonton-Ouest"," 79","Edmonton",6,4,55,28,96,1,0,190,387
48020,"Edmonton West/Edmonton-Ouest"," 80","Edmonton",5,3,68,44,76,0,0,196,399
48020,"Edmonton West/Edmonton-Ouest"," 81","Edmonton",1,1,85,62,86,1,1,237,412
48020,"Edmonton West/Edmonton-Ouest"," 82","Edmonton",9,0,87,45,131,2,0,274,431
