Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Kelly Block,Lynn Wesley Oliphant,Alexander Slusar,Glenn Wright,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 129B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500B,,,,,,22
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 130","Biggar",78,0,23,43,0,144,355
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 131","Biggar",132,6,34,47,1,220,528
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 132","Springwater",135,0,9,20,0,164,299
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 133","Kinley",133,12,27,39,2,213,327
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 134","Kinley",170,5,27,46,2,250,417
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 135","Vade",121,9,8,51,0,189,340
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 136","Delisle",172,11,18,70,0,271,548
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 137","Delisle",80,2,24,39,2,147,292
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 138","Waldheim",58,3,25,37,0,123,208
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 139","Vanscoy",195,16,56,92,0,359,595
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 140","Vanscoy No. 345",76,5,26,28,0,135,209
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 141","Cedar Villa Estates",81,5,18,31,1,136,355
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 142","Pike Lake",97,4,13,39,0,153,217
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 143","Pike Lake",205,6,57,112,0,380,561
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 144","Donovan",96,2,12,24,1,135,238
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 145","Harris",136,3,20,75,0,234,366
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 146","Marriott",80,6,8,9,0,103,240
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 147","Sovereign",126,3,16,20,0,165,300
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 148","Rosetown",117,3,19,28,0,167,290
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 149A","Rosetown",98,2,27,27,0,154,316
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 149B","Mobile poll/Bureau itinérant",29,2,5,10,0,46,26
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 150","Rosetown",131,3,21,29,0,184,333
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 151A","Rosetown",175,5,27,41,0,248,425
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 151B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149B,,,,,,20
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 152","Carlton",155,7,26,24,0,212,493
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 153","Herschel",95,1,11,22,0,129,235
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 154","McGee",134,2,11,16,1,164,309
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 155","Milden",137,5,22,19,0,183,304
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 156","Conquest",129,6,24,33,0,192,295
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 157","Dinsmore",151,5,20,21,0,197,321
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 158A","Dinsmore",Merged with No./Fusionné avec le n°157,,,,,,53
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 158B","Macrorie",88,3,16,18,0,125,183
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 158C","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°149B,,,,,,14
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 500A","Mobile poll/Bureau itinérant",8,0,3,3,0,14,18
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 500B","Mobile poll/Bureau itinérant",19,0,7,13,0,39,18
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 501","Mobile poll/Bureau itinérant",57,5,20,11,0,93,101
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 502","Mobile poll/Bureau itinérant",23,1,13,15,0,52,79
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 503","Mobile poll/Bureau itinérant",32,1,6,4,0,43,58
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 504A","Mobile poll/Bureau itinérant",26,2,22,12,0,62,47
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 504B","Humboldt",Merged with No./Fusionné avec le n°97,,,,,,0
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 600","Blaine Lake",171,1,26,41,0,239,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 601","Rosthern",292,11,56,96,0,455,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 602","Wakaw",134,2,42,52,1,231,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 603","Middle Lake",143,6,23,34,1,207,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 604","Hafford",127,6,21,49,1,204,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 605","Dalmeny",318,10,34,81,0,443,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 606","Warman",1021,25,165,200,2,1413,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 607","Martensville",605,19,138,186,1,949,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 608","Saskatoon-District",206,8,35,90,0,339,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 609","Aberdeen",162,9,34,55,0,260,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 610","Humboldt",547,17,130,202,1,897,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 611","Biggar",326,8,43,144,0,521,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 612","Delisle",331,9,70,161,1,572,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 613","Rosetown",446,11,44,72,2,575,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek"," 614","Dinsmore",96,1,16,19,0,132,
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,"Group 1/Groupe 1",17,6,34,18,4,79,60
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",,"Group 2/Groupe 2",394,18,111,145,17,685,
