Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Sean Burton,Jack Harris,David Anthony Peters,Deanne Stapleton,Nick Whalen,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10006,"St. John's East /St. John's-Est"," 45","St. John's",0,85,5,17,113,1,221,397
10006,"St. John's East /St. John's-Est"," 46","St. John's",2,77,7,13,158,1,258,499
10006,"St. John's East /St. John's-Est"," 47","St. John's",1,97,1,4,82,1,186,356
10006,"St. John's East /St. John's-Est"," 48","St. John's",1,100,1,18,90,0,210,399
10006,"St. John's East /St. John's-Est"," 49","St. John's",0,60,0,10,94,0,164,422
10006,"St. John's East /St. John's-Est"," 50","St. John's",0,127,1,12,104,1,245,434
10006,"St. John's East /St. John's-Est"," 51A","St. John's",2,79,2,8,89,0,180,327
10006,"St. John's East /St. John's-Est"," 51B","St. John's",0,74,1,8,95,0,178,311
10006,"St. John's East /St. John's-Est"," 52","St. John's",1,83,0,2,71,0,157,382
10006,"St. John's East /St. John's-Est"," 53A","St. John's",2,77,1,9,98,0,187,345
10006,"St. John's East /St. John's-Est"," 53B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,,210
10006,"St. John's East /St. John's-Est"," 54","St. John's",0,64,2,6,52,0,124,288
10006,"St. John's East /St. John's-Est"," 55","St. John's",2,117,2,7,61,1,190,341
10006,"St. John's East /St. John's-Est"," 56","St. John's",0,92,3,1,67,0,163,290
10006,"St. John's East /St. John's-Est"," 57","St. John's",0,86,2,20,92,1,201,363
10006,"St. John's East /St. John's-Est"," 58","St. John's",0,81,0,6,75,0,162,315
10006,"St. John's East /St. John's-Est"," 59","St. John's",0,99,1,12,102,0,214,434
10006,"St. John's East /St. John's-Est"," 60","St. John's",1,77,0,9,135,0,222,422
10006,"St. John's East /St. John's-Est"," 61","St. John's",0,105,1,14,114,1,235,369
10006,"St. John's East /St. John's-Est"," 62","St. John's",0,94,3,28,109,0,234,447
10006,"St. John's East /St. John's-Est"," 63","St. John's",0,72,0,15,99,1,187,358
10006,"St. John's East /St. John's-Est"," 64","St. John's",0,52,9,14,82,0,157,264
10006,"St. John's East /St. John's-Est"," 65","St. John's",1,75,0,12,107,3,198,349
10006,"St. John's East /St. John's-Est"," 66","St. John's",0,58,0,7,84,0,149,290
10006,"St. John's East /St. John's-Est"," 67","St. John's",1,104,3,17,110,1,236,408
10006,"St. John's East /St. John's-Est"," 68","St. John's",0,92,2,23,154,0,271,424
10006,"St. John's East /St. John's-Est"," 69","St. John's",0,104,0,19,129,0,252,448
10006,"St. John's East /St. John's-Est"," 70","St. John's",0,86,0,16,114,0,216,387
10006,"St. John's East /St. John's-Est"," 71","St. John's",0,82,0,15,89,0,186,331
10006,"St. John's East /St. John's-Est"," 72","St. John's",1,86,3,13,149,1,253,434
10006,"St. John's East /St. John's-Est"," 73","St. John's",2,116,4,12,132,0,266,466
10006,"St. John's East /St. John's-Est"," 74","St. John's",0,95,1,25,110,2,233,430
10006,"St. John's East /St. John's-Est"," 75","St. John's",0,145,1,13,120,0,279,455
10006,"St. John's East /St. John's-Est"," 76","St. John's",0,45,1,12,66,0,124,307
10006,"St. John's East /St. John's-Est"," 77","St. John's",1,63,3,17,91,0,175,334
10006,"St. John's East /St. John's-Est"," 78","St. John's",0,84,3,23,108,1,219,357
10006,"St. John's East /St. John's-Est"," 79","St. John's",0,59,1,12,79,0,151,357
10006,"St. John's East /St. John's-Est"," 80","St. John's",0,51,0,7,76,2,136,301
10006,"St. John's East /St. John's-Est"," 81","St. John's",1,115,4,23,155,0,298,502
10006,"St. John's East /St. John's-Est"," 82","St. John's",4,117,2,15,96,1,235,434
10006,"St. John's East /St. John's-Est"," 83","St. John's",1,111,3,5,72,1,193,320
10006,"St. John's East /St. John's-Est"," 84","St. John's",0,142,2,9,104,1,258,516
10006,"St. John's East /St. John's-Est"," 85","St. John's",3,119,5,12,114,0,253,447
10006,"St. John's East /St. John's-Est"," 86","St. John's",1,88,2,7,66,2,166,316
10006,"St. John's East /St. John's-Est"," 87","St. John's",3,96,2,24,109,1,235,491
10006,"St. John's East /St. John's-Est"," 88","St. John's",0,55,2,15,110,0,182,323
10006,"St. John's East /St. John's-Est"," 89","St. John's",1,68,1,11,99,1,181,471
10006,"St. John's East /St. John's-Est"," 90","St. John's",0,73,2,20,138,3,236,423
10006,"St. John's East /St. John's-Est"," 91","St. John's",1,98,3,18,146,0,266,456
10006,"St. John's East /St. John's-Est"," 92","St. John's",1,91,3,16,134,0,245,434
10006,"St. John's East /St. John's-Est"," 93","St. John's",1,123,9,14,87,0,234,384
10006,"St. John's East /St. John's-Est"," 94","St. John's",0,102,5,19,124,0,250,402
10006,"St. John's East /St. John's-Est"," 95","St. John's",2,134,3,17,111,0,267,452
10006,"St. John's East /St. John's-Est"," 96","St. John's",1,82,3,19,116,0,221,377
10006,"St. John's East /St. John's-Est"," 97","St. John's",1,80,5,11,79,0,176,337
10006,"St. John's East /St. John's-Est"," 98","St. John's",2,99,5,9,69,0,184,381
10006,"St. John's East /St. John's-Est"," 99","St. John's",1,92,2,4,45,2,146,327
10006,"St. John's East /St. John's-Est"," 100","St. John's",0,77,3,6,68,0,154,399
10006,"St. John's East /St. John's-Est"," 101","St. John's",4,105,5,4,60,0,178,370
10006,"St. John's East /St. John's-Est"," 102","St. John's",1,84,4,18,87,3,197,385
10006,"St. John's East /St. John's-Est"," 103","Portugal Cove-St. Philips",0,114,2,26,125,1,268,488
10006,"St. John's East /St. John's-Est"," 104","Portugal Cove-St. Philips",3,129,1,13,113,0,259,466
10006,"St. John's East /St. John's-Est"," 105","Portugal Cove-St. Philips",0,130,2,14,114,0,260,453
10006,"St. John's East /St. John's-Est"," 106","Portugal Cove-St. Philips",1,116,0,20,116,0,253,396
10006,"St. John's East /St. John's-Est"," 107A","Portugal Cove-St. Philips",1,91,1,10,88,0,191,349
10006,"St. John's East /St. John's-Est"," 107B","Portugal Cove-St. Philips",0,46,0,9,67,0,122,228
10006,"St. John's East /St. John's-Est"," 108","St. John's",3,69,5,6,63,0,146,391
10006,"St. John's East /St. John's-Est"," 109","St. John's",0,104,8,11,98,1,222,422
10006,"St. John's East /St. John's-Est"," 110","St. John's",1,82,9,4,47,1,144,395
10006,"St. John's East /St. John's-Est"," 111","St. John's",3,128,2,7,72,1,213,370
10006,"St. John's East /St. John's-Est"," 112","St. John's",2,100,2,6,76,0,186,395
10006,"St. John's East /St. John's-Est"," 113","St. John's",0,86,2,13,83,1,185,381
10006,"St. John's East /St. John's-Est"," 114","St. John's",1,121,10,16,130,0,278,491
10006,"St. John's East /St. John's-Est"," 115","St. John's",2,66,3,7,49,0,127,258
10006,"St. John's East /St. John's-Est"," 116","St. John's",0,97,4,6,95,0,202,447
10006,"St. John's East /St. John's-Est"," 117","St. John's",1,82,2,5,63,1,154,346
10006,"St. John's East /St. John's-Est"," 118","St. John's",1,107,6,4,62,2,182,431
10006,"St. John's East /St. John's-Est"," 119","St. John's",0,80,1,2,40,1,124,352
10006,"St. John's East /St. John's-Est"," 120","St. John's",0,84,1,17,81,0,183,377
10006,"St. John's East /St. John's-Est"," 121A","St. John's",0,87,10,12,96,1,206,425
10006,"St. John's East /St. John's-Est"," 121B","St. John's",1,32,5,22,163,0,223,232
10006,"St. John's East /St. John's-Est"," 122","St. John's",0,110,1,21,114,0,246,429
10006,"St. John's East /St. John's-Est"," 123","St. John's",0,93,2,16,124,2,237,419
10006,"St. John's East /St. John's-Est"," 124","St. John's",0,85,6,22,133,0,246,404
10006,"St. John's East /St. John's-Est"," 125","St. John's",0,77,4,12,97,1,191,386
10006,"St. John's East /St. John's-Est"," 126","Wabana",1,63,0,6,39,0,109,267
10006,"St. John's East /St. John's-Est"," 127","Wabana",0,56,2,14,38,1,111,300
10006,"St. John's East /St. John's-Est"," 128","Wabana",0,51,0,5,27,0,83,302
10006,"St. John's East /St. John's-Est"," 129","Wabana",0,52,2,12,49,0,115,339
10006,"St. John's East /St. John's-Est"," 130","St. John's",0,64,0,10,88,1,163,349
10006,"St. John's East /St. John's-Est"," 130-1","St. John's",Merged with No./Fusionné avec le n°130,,,,,,,20
10006,"St. John's East /St. John's-Est"," 131","St. John's",0,95,0,16,89,0,200,401
10006,"St. John's East /St. John's-Est"," 132A","St. John's",0,59,1,8,119,0,187,340
10006,"St. John's East /St. John's-Est"," 132B","St. John's",1,47,1,21,124,2,196,384
10006,"St. John's East /St. John's-Est"," 133A","St. John's",0,57,1,10,125,0,193,370
10006,"St. John's East /St. John's-Est"," 133B","St. John's",0,58,1,11,127,0,197,375
10006,"St. John's East /St. John's-Est"," 134","St. John's",0,80,1,10,162,0,253,502
10006,"St. John's East /St. John's-Est"," 135","St. John's",1,78,0,11,103,0,193,448
10006,"St. John's East /St. John's-Est"," 136","St. John's",0,74,2,21,134,0,231,460
10006,"St. John's East /St. John's-Est"," 137","Freshwater",0,67,0,9,48,0,124,347
10006,"St. John's East /St. John's-Est"," 138","Wabana",0,64,0,9,42,0,115,299
10006,"St. John's East /St. John's-Est"," 139","Wabana",1,56,1,9,49,2,118,303
10006,"St. John's East /St. John's-Est"," 140A","Portugal Cove-St. Philips",0,68,2,20,120,0,210,341
10006,"St. John's East /St. John's-Est"," 140B","Portugal Cove-St. Philips",0,68,1,11,81,0,161,308
10006,"St. John's East /St. John's-Est"," 141","Portugal Cove-St. Philips",0,98,3,12,98,1,212,407
10006,"St. John's East /St. John's-Est"," 142","Portugal Cove-St. Philips",0,84,2,24,115,0,225,449
10006,"St. John's East /St. John's-Est"," 143","Portugal Cove-St. Philips",0,88,5,14,84,0,191,325
10006,"St. John's East /St. John's-Est"," 144","Portugal Cove-St. Philips",0,97,1,7,93,0,198,375
10006,"St. John's East /St. John's-Est"," 145","Portugal Cove-St. Philips",0,124,3,16,137,0,280,458
10006,"St. John's East /St. John's-Est"," 146","Portugal Cove-St. Philips",1,125,0,22,125,0,273,501
10006,"St. John's East /St. John's-Est"," 147","Paradise",0,56,1,9,90,0,156,266
10006,"St. John's East /St. John's-Est"," 148","Paradise",0,61,0,15,127,0,203,370
10006,"St. John's East /St. John's-Est"," 149","Paradise",0,112,1,32,152,0,297,544
10006,"St. John's East /St. John's-Est"," 150","Paradise",0,85,2,4,89,0,180,328
10006,"St. John's East /St. John's-Est"," 151","Paradise",0,82,0,13,105,0,200,330
10006,"St. John's East /St. John's-Est"," 152","Paradise",1,73,0,23,137,0,234,424
10006,"St. John's East /St. John's-Est"," 153","Paradise",1,78,1,16,98,1,195,364
10006,"St. John's East /St. John's-Est"," 154","Paradise",1,90,2,16,113,0,222,437
10006,"St. John's East /St. John's-Est"," 155","Paradise",0,97,3,13,138,0,251,458
10006,"St. John's East /St. John's-Est"," 156","Paradise",0,60,0,13,100,0,173,293
10006,"St. John's East /St. John's-Est"," 157","Paradise",0,66,0,0,92,0,158,283
10006,"St. John's East /St. John's-Est"," 158","Paradise",1,87,1,7,124,0,220,359
10006,"St. John's East /St. John's-Est"," 159","Paradise",0,88,3,15,77,0,183,338
10006,"St. John's East /St. John's-Est"," 160","St. John's",0,77,0,12,95,0,184,317
10006,"St. John's East /St. John's-Est"," 500","Mobile poll/Bureau itinérant",3,26,0,2,17,2,50,91
10006,"St. John's East /St. John's-Est"," 501","Mobile poll/Bureau itinérant",2,47,3,11,41,1,105,255
10006,"St. John's East /St. John's-Est"," 502","Mobile poll/Bureau itinérant",1,54,3,8,35,2,103,155
10006,"St. John's East /St. John's-Est"," 503","Mobile poll/Bureau itinérant",2,73,4,20,76,1,176,275
10006,"St. John's East /St. John's-Est"," 504A","Mobile poll/Bureau itinérant",0,22,1,6,22,0,51,2
10006,"St. John's East /St. John's-Est"," 504B","St. John's",Merged with No./Fusionné avec le n°57,,,,,,,4
10006,"St. John's East /St. John's-Est"," 600","Pouch Cove",0,72,0,11,31,0,114,
10006,"St. John's East /St. John's-Est"," 601","Torbay",3,398,7,54,289,3,754,
10006,"St. John's East /St. John's-Est"," 602","Logy Bay—Middle Cove—Outer Cove—Flatrock",0,156,5,20,92,0,273,
10006,"St. John's East /St. John's-Est"," 603","St. John's",1,354,6,39,311,0,711,
10006,"St. John's East /St. John's-Est"," 604","St. John's",2,372,12,75,413,1,875,
10006,"St. John's East /St. John's-Est"," 605","St. John's",0,257,9,54,265,2,587,
10006,"St. John's East /St. John's-Est"," 606","St. John's",3,419,11,62,384,5,884,
10006,"St. John's East /St. John's-Est"," 607","St. John's",5,302,14,35,271,0,627,
10006,"St. John's East /St. John's-Est"," 608","St. John's",8,548,16,35,220,1,828,
10006,"St. John's East /St. John's-Est"," 609","St. John's",0,221,2,44,182,1,450,
10006,"St. John's East /St. John's-Est"," 610","St. John's",0,187,5,38,176,0,406,
10006,"St. John's East /St. John's-Est"," 611","Portugal Cove-St. Philips",1,309,8,40,226,1,585,
10006,"St. John's East /St. John's-Est"," 612","Wabana",0,129,0,24,51,1,205,
10006,"St. John's East /St. John's-Est",,"Group 1/Groupe 1",0,63,4,36,76,7,186,102
10006,"St. John's East /St. John's-Est",,"Group 2/Groupe 2",12,1092,43,132,805,3,2087,
