Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dean Allison,Allan de Roo,Sid Frere,Harold Jonker,Nameer Rahman,Phil Rose,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35068,"Niagara West/Niagara-Ouest"," 38","Grimsby",96,1,13,1,47,77,3,238,478
35068,"Niagara West/Niagara-Ouest"," 39","Grimsby",39,9,9,0,30,69,0,156,301
35068,"Niagara West/Niagara-Ouest"," 40","Grimsby",66,1,1,3,10,83,0,164,314
35068,"Niagara West/Niagara-Ouest"," 41","Grimsby",93,5,8,2,31,102,0,241,405
35068,"Niagara West/Niagara-Ouest"," 42","Grimsby",54,1,3,7,26,65,3,159,374
35068,"Niagara West/Niagara-Ouest"," 43","Grimsby",67,2,12,2,25,87,0,195,382
35068,"Niagara West/Niagara-Ouest"," 44","Grimsby",88,6,5,2,33,79,0,213,405
35068,"Niagara West/Niagara-Ouest"," 45","Grimsby",135,1,11,3,19,72,0,241,393
35068,"Niagara West/Niagara-Ouest"," 46","Grimsby",105,5,3,1,37,48,1,200,356
35068,"Niagara West/Niagara-Ouest"," 47","Grimsby",100,4,8,2,49,90,1,254,443
35068,"Niagara West/Niagara-Ouest"," 48","Grimsby",182,3,12,2,37,114,0,350,539
35068,"Niagara West/Niagara-Ouest"," 49","Grimsby",98,2,5,3,23,109,1,241,391
35068,"Niagara West/Niagara-Ouest"," 50","Grimsby",67,0,3,0,14,79,0,163,279
35068,"Niagara West/Niagara-Ouest"," 51","Grimsby",55,2,7,1,14,53,0,132,230
35068,"Niagara West/Niagara-Ouest"," 52","Grimsby",115,5,2,1,24,73,1,221,366
35068,"Niagara West/Niagara-Ouest"," 53","Grimsby",121,9,8,0,37,102,3,280,427
35068,"Niagara West/Niagara-Ouest"," 54","Grimsby",113,2,4,3,16,104,1,243,429
35068,"Niagara West/Niagara-Ouest"," 55","Grimsby",157,7,9,2,35,115,0,325,504
35068,"Niagara West/Niagara-Ouest"," 56","Grimsby",113,2,6,2,37,104,0,264,405
35068,"Niagara West/Niagara-Ouest"," 57","Grimsby",150,3,9,1,31,82,1,277,447
35068,"Niagara West/Niagara-Ouest"," 58","Grimsby",110,1,13,3,17,134,2,280,471
35068,"Niagara West/Niagara-Ouest"," 59","Lincoln",118,1,8,3,15,44,0,189,326
35068,"Niagara West/Niagara-Ouest"," 60","Lincoln",105,0,13,9,15,73,1,216,372
35068,"Niagara West/Niagara-Ouest"," 61","Lincoln",97,6,8,2,30,63,0,206,438
35068,"Niagara West/Niagara-Ouest"," 62","Lincoln",126,4,10,6,31,117,5,299,536
35068,"Niagara West/Niagara-Ouest"," 63","Lincoln",98,5,3,5,32,72,1,216,400
35068,"Niagara West/Niagara-Ouest"," 64","Lincoln",97,4,2,3,27,91,3,227,377
35068,"Niagara West/Niagara-Ouest"," 65","Lincoln",104,4,5,6,21,73,1,214,423
35068,"Niagara West/Niagara-Ouest"," 66","Lincoln",92,3,2,4,32,70,5,208,415
35068,"Niagara West/Niagara-Ouest"," 67","Lincoln",91,4,11,12,26,83,1,228,415
35068,"Niagara West/Niagara-Ouest"," 68","Lincoln",92,3,11,7,49,106,0,268,439
35068,"Niagara West/Niagara-Ouest"," 69","Lincoln",176,2,11,11,28,83,3,314,496
35068,"Niagara West/Niagara-Ouest"," 70","Lincoln",128,4,9,9,64,103,2,319,539
35068,"Niagara West/Niagara-Ouest"," 71","Lincoln",192,6,6,7,32,116,3,362,539
35068,"Niagara West/Niagara-Ouest"," 72","Lincoln",168,3,8,5,17,107,2,310,490
35068,"Niagara West/Niagara-Ouest"," 73","Lincoln",168,1,3,9,13,52,0,246,379
35068,"Niagara West/Niagara-Ouest"," 74","Lincoln",132,4,11,8,13,94,0,262,441
35068,"Niagara West/Niagara-Ouest"," 75","Lincoln",194,3,6,11,33,58,4,309,459
35068,"Niagara West/Niagara-Ouest"," 76","Lincoln",151,5,9,14,20,75,1,275,477
35068,"Niagara West/Niagara-Ouest"," 77","Lincoln",75,4,8,1,10,59,0,157,320
35068,"Niagara West/Niagara-Ouest"," 78","Lincoln",73,4,1,1,13,58,0,150,313
35068,"Niagara West/Niagara-Ouest"," 79","Lincoln",138,6,12,25,39,81,1,302,460
35068,"Niagara West/Niagara-Ouest"," 80","Lincoln",179,1,13,34,21,62,1,311,530
35068,"Niagara West/Niagara-Ouest"," 81","Lincoln",91,3,3,12,22,73,0,204,406
35068,"Niagara West/Niagara-Ouest"," 82","Lincoln",82,1,7,8,28,97,1,224,382
35068,"Niagara West/Niagara-Ouest"," 83","Lincoln",75,3,5,4,18,69,0,174,303
35068,"Niagara West/Niagara-Ouest"," 84","Lincoln",144,10,9,5,33,129,0,330,571
35068,"Niagara West/Niagara-Ouest"," 85","Lincoln",104,1,6,4,36,69,0,220,425
35068,"Niagara West/Niagara-Ouest"," 86","Lincoln",127,3,9,3,30,71,0,243,447
35068,"Niagara West/Niagara-Ouest"," 87","Lincoln",147,5,7,3,20,99,1,282,467
35068,"Niagara West/Niagara-Ouest"," 88","Grimsby",93,1,3,10,19,70,0,196,355
35068,"Niagara West/Niagara-Ouest"," 89","Grimsby",130,3,12,2,20,85,2,254,387
35068,"Niagara West/Niagara-Ouest"," 90","Grimsby",120,10,2,3,31,64,2,232,388
35068,"Niagara West/Niagara-Ouest"," 91","Grimsby",119,3,14,15,22,86,1,260,439
35068,"Niagara West/Niagara-Ouest"," 92","West Lincoln",98,5,4,9,25,63,2,206,357
35068,"Niagara West/Niagara-Ouest"," 93","West Lincoln",73,3,6,11,11,41,1,146,271
35068,"Niagara West/Niagara-Ouest"," 94","West Lincoln",120,7,7,11,24,51,3,223,409
35068,"Niagara West/Niagara-Ouest"," 95","West Lincoln",100,5,10,8,38,67,1,229,457
35068,"Niagara West/Niagara-Ouest"," 96","West Lincoln",100,1,6,12,21,25,1,166,294
35068,"Niagara West/Niagara-Ouest"," 97","West Lincoln",107,2,8,9,25,55,0,206,434
35068,"Niagara West/Niagara-Ouest"," 98","Fulton",116,4,5,10,16,43,1,195,327
35068,"Niagara West/Niagara-Ouest"," 99","West Lincoln",118,3,2,18,15,69,2,227,349
35068,"Niagara West/Niagara-Ouest"," 100","West Lincoln",208,8,5,2,28,108,1,360,575
35068,"Niagara West/Niagara-Ouest"," 101","West Lincoln",158,5,5,8,28,49,0,253,449
35068,"Niagara West/Niagara-Ouest"," 102","West Lincoln",136,8,7,14,23,44,0,232,372
35068,"Niagara West/Niagara-Ouest"," 103","West Lincoln",87,1,3,9,26,37,0,163,287
35068,"Niagara West/Niagara-Ouest"," 104","West Lincoln",111,3,1,20,22,21,1,179,324
35068,"Niagara West/Niagara-Ouest"," 105","West Lincoln",120,2,7,17,18,49,2,215,332
35068,"Niagara West/Niagara-Ouest"," 106","Smithville",104,2,8,8,35,59,0,216,435
35068,"Niagara West/Niagara-Ouest"," 107A","West Lincoln",122,6,10,17,25,60,0,240,477
35068,"Niagara West/Niagara-Ouest"," 107B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,,,30
35068,"Niagara West/Niagara-Ouest"," 108","West Lincoln",86,1,5,21,6,23,0,142,241
35068,"Niagara West/Niagara-Ouest"," 109","St. Anns",150,4,7,34,34,41,0,270,443
35068,"Niagara West/Niagara-Ouest"," 110","West Lincoln",83,2,7,12,14,30,0,148,249
35068,"Niagara West/Niagara-Ouest"," 111","Pelham",100,3,9,2,28,69,2,213,363
35068,"Niagara West/Niagara-Ouest"," 112","Pelham",140,2,8,0,28,61,1,240,386
35068,"Niagara West/Niagara-Ouest"," 113","Pelham",100,6,14,5,25,52,0,202,357
35068,"Niagara West/Niagara-Ouest"," 114","Pelham",100,2,5,1,19,51,0,178,335
35068,"Niagara West/Niagara-Ouest"," 115","Thorold",118,2,7,3,20,73,1,224,378
35068,"Niagara West/Niagara-Ouest"," 116","Pelham",113,3,6,4,39,73,3,241,384
35068,"Niagara West/Niagara-Ouest"," 117","Pelham",103,7,7,1,39,76,2,235,470
35068,"Niagara West/Niagara-Ouest"," 118","Pelham",77,6,10,1,52,78,2,226,368
35068,"Niagara West/Niagara-Ouest"," 119","Pelham",96,3,9,4,29,94,0,235,411
35068,"Niagara West/Niagara-Ouest"," 120","Pelham",90,7,8,0,25,97,2,229,400
35068,"Niagara West/Niagara-Ouest"," 121","Pelham",125,2,5,1,18,68,0,219,408
35068,"Niagara West/Niagara-Ouest"," 122","Pelham",105,2,5,1,31,101,3,248,408
35068,"Niagara West/Niagara-Ouest"," 123","Pelham",88,5,9,1,37,86,1,227,378
35068,"Niagara West/Niagara-Ouest"," 124","Pelham",100,7,6,1,38,104,0,256,424
35068,"Niagara West/Niagara-Ouest"," 125","Pelham",171,5,11,1,24,133,1,346,647
35068,"Niagara West/Niagara-Ouest"," 126","Pelham",79,2,5,2,18,82,1,189,287
35068,"Niagara West/Niagara-Ouest"," 127","Pelham",67,3,5,3,22,77,0,177,351
35068,"Niagara West/Niagara-Ouest"," 128","Pelham",101,5,11,2,30,99,1,249,450
35068,"Niagara West/Niagara-Ouest"," 129","Pelham",125,4,5,4,27,98,1,264,495
35068,"Niagara West/Niagara-Ouest"," 130","Pelham",116,6,4,3,29,74,0,232,402
35068,"Niagara West/Niagara-Ouest"," 131","Pelham",126,8,9,3,29,131,1,307,524
35068,"Niagara West/Niagara-Ouest"," 132","Pelham",90,4,4,1,20,124,0,243,424
35068,"Niagara West/Niagara-Ouest"," 133","Pelham",108,3,12,2,23,68,0,216,382
35068,"Niagara West/Niagara-Ouest"," 134","Pelham",139,1,6,3,18,59,0,226,418
35068,"Niagara West/Niagara-Ouest"," 135","Pelham",102,4,12,5,28,92,1,244,397
35068,"Niagara West/Niagara-Ouest"," 136","Pelham",109,6,4,1,26,79,1,226,387
35068,"Niagara West/Niagara-Ouest"," 137","Pelham",119,5,9,2,33,86,0,254,414
35068,"Niagara West/Niagara-Ouest"," 138","Wellandport",104,2,3,15,17,49,0,190,359
35068,"Niagara West/Niagara-Ouest"," 139","Boyle",155,2,6,19,20,34,0,236,387
35068,"Niagara West/Niagara-Ouest"," 140","Elcho",113,2,3,10,11,20,1,160,290
35068,"Niagara West/Niagara-Ouest"," 141","West Lincoln",116,4,7,5,25,36,4,197,338
35068,"Niagara West/Niagara-Ouest"," 142","West Lincoln",118,3,8,14,27,43,0,213,393
35068,"Niagara West/Niagara-Ouest"," 143","West Lincoln",81,5,10,5,29,43,1,174,319
35068,"Niagara West/Niagara-Ouest"," 144","West Lincoln",118,4,4,6,35,38,4,209,376
35068,"Niagara West/Niagara-Ouest"," 145","West Lincoln",73,3,2,12,22,37,0,149,306
35068,"Niagara West/Niagara-Ouest"," 146","Vaughan",115,0,9,30,20,22,0,196,359
35068,"Niagara West/Niagara-Ouest"," 147","Caistorville",123,5,10,0,35,79,4,256,397
35068,"Niagara West/Niagara-Ouest"," 148","Wainfleet",106,3,5,12,25,41,2,194,343
35068,"Niagara West/Niagara-Ouest"," 149","Wainfleet",152,4,8,34,19,44,2,263,403
35068,"Niagara West/Niagara-Ouest"," 150","Wainfleet",124,3,14,6,28,28,1,204,364
35068,"Niagara West/Niagara-Ouest"," 151","Wainfleet",144,6,6,18,34,32,1,241,397
35068,"Niagara West/Niagara-Ouest"," 152","Wainfleet",98,1,7,4,21,38,0,169,301
35068,"Niagara West/Niagara-Ouest"," 153","Wainfleet",100,2,7,6,37,34,2,188,307
35068,"Niagara West/Niagara-Ouest"," 154","Pelham",121,1,13,2,21,66,0,224,369
35068,"Niagara West/Niagara-Ouest"," 155","Pelham",132,3,5,5,27,40,1,213,410
35068,"Niagara West/Niagara-Ouest"," 156","Pelham",121,10,9,4,24,66,1,235,451
35068,"Niagara West/Niagara-Ouest"," 157","Pelham",86,4,4,1,17,65,1,178,305
35068,"Niagara West/Niagara-Ouest"," 158","Pelham",82,7,4,0,15,77,0,185,340
35068,"Niagara West/Niagara-Ouest"," 159","Pelham",81,4,1,2,22,90,1,201,363
35068,"Niagara West/Niagara-Ouest"," 160","Wainfleet",116,5,7,4,39,61,2,234,425
35068,"Niagara West/Niagara-Ouest"," 161","Wainfleet",71,2,2,2,22,42,1,142,273
35068,"Niagara West/Niagara-Ouest"," 162","Wainfleet",95,4,4,3,25,34,0,165,292
35068,"Niagara West/Niagara-Ouest"," 163","Wainfleet",108,6,3,3,37,67,0,224,432
35068,"Niagara West/Niagara-Ouest"," 164","Wainfleet",81,4,3,2,35,59,2,186,328
35068,"Niagara West/Niagara-Ouest"," 165","Wainfleet",81,1,4,1,49,60,0,196,335
35068,"Niagara West/Niagara-Ouest"," 166","Wainfleet",106,3,3,0,41,41,4,198,344
35068,"Niagara West/Niagara-Ouest"," 167","Wainfleet",80,3,7,0,29,69,2,190,369
35068,"Niagara West/Niagara-Ouest"," 500","Mobile poll/Bureau itinérant",39,3,1,2,6,16,0,67,111
35068,"Niagara West/Niagara-Ouest"," 501","Mobile poll/Bureau itinérant",65,2,4,5,11,30,9,126,188
35068,"Niagara West/Niagara-Ouest"," 502","Mobile poll/Bureau itinérant",73,4,2,1,10,48,0,138,151
35068,"Niagara West/Niagara-Ouest"," 503","Mobile poll/Bureau itinérant",43,1,2,4,8,25,0,83,75
35068,"Niagara West/Niagara-Ouest"," 504","Mobile poll/Bureau itinérant",135,3,2,35,6,12,1,194,319
35068,"Niagara West/Niagara-Ouest"," 505","Mobile poll/Bureau itinérant",46,5,5,3,6,31,1,97,183
35068,"Niagara West/Niagara-Ouest"," 600","Grimsby",337,4,32,11,92,371,2,849,
35068,"Niagara West/Niagara-Ouest"," 601","Grimsby",337,10,28,2,108,449,4,938,
35068,"Niagara West/Niagara-Ouest"," 602","Grimsby",474,7,16,14,91,352,3,957,
35068,"Niagara West/Niagara-Ouest"," 603","West Lincoln",298,4,16,24,64,196,1,603,
35068,"Niagara West/Niagara-Ouest"," 604","Lincoln",444,6,33,13,64,209,5,774,
35068,"Niagara West/Niagara-Ouest"," 605","Lincoln",415,15,21,14,83,305,2,855,
35068,"Niagara West/Niagara-Ouest"," 606","Lincoln",315,4,13,10,77,124,3,546,
35068,"Niagara West/Niagara-Ouest"," 607","Stoney Creek",259,4,19,15,32,122,4,455,
35068,"Niagara West/Niagara-Ouest"," 608","Smithville",160,4,10,5,35,91,0,305,
35068,"Niagara West/Niagara-Ouest"," 609","St. Anns",235,2,15,25,20,94,0,391,
35068,"Niagara West/Niagara-Ouest"," 610","Pelham",506,17,37,6,102,354,3,1025,
35068,"Niagara West/Niagara-Ouest"," 611","Pelham",585,14,37,4,149,418,2,1209,
35068,"Niagara West/Niagara-Ouest"," 612","Wainfleet",325,9,21,14,107,152,5,633,
35068,"Niagara West/Niagara-Ouest",,"Group 1/Groupe 1",27,5,8,0,15,30,1,86,43
35068,"Niagara West/Niagara-Ouest",,"Group 2/Groupe 2",476,12,38,39,131,446,14,1156,
