Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Maxime Bernier,Céline Brown MacDonald,Daniel Royer,Stéphane Trudel,Adam Veilleux,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24007,"Beauce/Beauce"," 175","Saint-Georges",160,4,29,19,79,3,294,584
24007,"Beauce/Beauce"," 176","Saint-Georges",97,5,19,8,31,0,160,396
24007,"Beauce/Beauce"," 177","Saint-Georges",87,4,6,23,34,1,155,394
24007,"Beauce/Beauce"," 178","Saint-Georges",101,7,3,14,45,4,174,377
24007,"Beauce/Beauce"," 179","Saint-Georges",125,6,21,15,65,0,232,505
24007,"Beauce/Beauce"," 180","Saint-Georges",127,4,17,15,38,2,203,489
24007,"Beauce/Beauce"," 181","Saint-Georges",95,0,20,14,57,3,189,360
24007,"Beauce/Beauce"," 182","Saint-Georges",111,9,28,29,56,0,233,508
24007,"Beauce/Beauce"," 183","Saint-Georges",76,2,15,16,58,3,170,525
24007,"Beauce/Beauce"," 184","Saint-Georges",72,4,16,16,40,2,150,391
24007,"Beauce/Beauce"," 185","Saint-Georges",81,3,13,8,37,0,142,392
24007,"Beauce/Beauce"," 186","Saint-Georges",84,4,19,13,45,1,166,369
24007,"Beauce/Beauce"," 187","Saint-Georges",102,8,19,11,47,2,189,428
24007,"Beauce/Beauce"," 188","Saint-Georges",62,1,17,9,48,0,137,358
24007,"Beauce/Beauce"," 189","Saint-Georges",92,6,18,24,58,2,200,472
24007,"Beauce/Beauce"," 190","Saint-Georges",79,5,24,17,44,4,173,425
24007,"Beauce/Beauce"," 191","Saint-Georges",105,1,23,14,46,3,192,393
24007,"Beauce/Beauce"," 192","Saint-Georges",102,2,14,21,47,2,188,415
24007,"Beauce/Beauce"," 193","Saint-Georges",81,3,26,16,51,3,180,400
24007,"Beauce/Beauce"," 194","Saint-Georges",100,1,16,15,36,0,168,301
24007,"Beauce/Beauce"," 195","Saint-Georges",107,1,18,14,42,5,187,323
24007,"Beauce/Beauce"," 196","Saint-Martin",85,4,11,9,33,3,145,317
24007,"Beauce/Beauce"," 197","Saint-Martin",70,3,8,12,25,2,120,285
24007,"Beauce/Beauce"," 198","Saint-Martin",56,1,10,9,23,1,100,283
24007,"Beauce/Beauce"," 199","Saint-Martin",78,3,6,7,26,0,120,269
24007,"Beauce/Beauce"," 200","Saint-Martin",93,3,11,12,29,3,151,370
24007,"Beauce/Beauce"," 201","Saint-Martin",109,2,17,17,35,1,181,403
24007,"Beauce/Beauce"," 202","Saint-René",99,2,14,20,46,2,183,321
24007,"Beauce/Beauce"," 203","Saint-René",96,1,3,9,34,6,149,246
24007,"Beauce/Beauce"," 204","Saint-Théophile",103,2,16,14,34,1,170,271
24007,"Beauce/Beauce"," 205","Saint-Théophile",126,3,14,10,38,2,193,296
24007,"Beauce/Beauce"," 206","Saint-Gédéon",85,3,15,10,63,4,180,379
24007,"Beauce/Beauce"," 207","Saint-Gédéon",97,2,16,22,49,2,188,396
24007,"Beauce/Beauce"," 208","Saint-Gédéon",69,4,8,7,28,0,116,285
24007,"Beauce/Beauce"," 209","Saint-Gédéon",124,6,13,7,42,3,195,351
24007,"Beauce/Beauce"," 210","Saint-Gédéon",75,2,15,10,38,0,140,321
24007,"Beauce/Beauce"," 211","Saint-Hilaire-de-Dorset",20,3,7,14,23,0,67,84
24007,"Beauce/Beauce"," 212","Saint-Honoré",74,0,12,14,58,2,160,290
24007,"Beauce/Beauce"," 213","Shenley",105,0,9,9,37,4,164,250
24007,"Beauce/Beauce"," 214","Saint-Honoré",127,4,9,11,45,1,197,310
24007,"Beauce/Beauce"," 215","Saint-Éphrem-de-Beauce",134,1,15,11,50,7,218,379
24007,"Beauce/Beauce"," 216","Saint-Éphrem-de-Beauce",138,2,23,23,53,3,242,372
24007,"Beauce/Beauce"," 217","Saint-Éphrem-de-Beauce",96,3,15,11,35,4,164,274
24007,"Beauce/Beauce"," 218","Saint-Éphrem-de-Beauce",90,3,14,14,51,3,175,281
24007,"Beauce/Beauce"," 219","Saint-Éphrem-de-Beauce",117,3,14,13,30,1,178,293
24007,"Beauce/Beauce"," 220","Saint-Éphrem-de-Beauce",109,1,16,9,25,4,164,279
24007,"Beauce/Beauce"," 221","La Guadeloupe",136,3,13,14,59,1,226,338
24007,"Beauce/Beauce"," 222","La Guadeloupe",144,0,13,23,41,4,225,368
24007,"Beauce/Beauce"," 223","La Guadeloupe",112,3,27,12,38,7,199,332
24007,"Beauce/Beauce"," 224","La Guadeloupe",75,0,20,8,35,0,138,276
24007,"Beauce/Beauce"," 225","Saint-Évariste-de-Forsyth",51,0,16,14,40,7,128,222
24007,"Beauce/Beauce"," 226","Saint-Évariste-de-Forsyth",71,1,11,14,41,3,141,232
24007,"Beauce/Beauce"," 227","Shenley",111,3,11,17,52,3,197,311
24007,"Beauce/Beauce"," 400","Saint-Georges",84,0,10,7,74,1,176,209
24007,"Beauce/Beauce"," 401","Notre-Dame-des-Pins",53,1,3,2,31,0,90,126
24007,"Beauce/Beauce"," 402","Saint-Georges",74,2,8,4,24,3,115,69
24007,"Beauce/Beauce"," 403","Saint-Georges",129,4,14,24,88,5,264,369
24007,"Beauce/Beauce"," 404","Saint-Georges",60,1,7,6,37,6,117,169
24007,"Beauce/Beauce"," 405","Sainte-Marie",122,4,16,15,86,2,245,297
24007,"Beauce/Beauce"," 500","Mobile poll/Bureau itinérant",28,1,1,1,19,4,54,130
24007,"Beauce/Beauce"," 501","Mobile poll/Bureau itinérant",37,1,10,5,19,0,72,94
24007,"Beauce/Beauce"," 502","Mobile poll/Bureau itinérant",50,4,5,4,25,2,90,127
24007,"Beauce/Beauce"," 503","Mobile poll/Bureau itinérant",50,0,7,8,24,3,92,85
24007,"Beauce/Beauce"," 504","Mobile poll/Bureau itinérant",42,2,3,0,10,3,60,113
24007,"Beauce/Beauce"," 505","Mobile poll/Bureau itinérant",58,0,7,7,60,6,138,264
24007,"Beauce/Beauce"," 506","Mobile poll/Bureau itinérant",37,1,4,4,22,1,69,126
24007,"Beauce/Beauce"," 507","Mobile poll/Bureau itinérant",52,2,1,2,17,0,74,168
24007,"Beauce/Beauce"," 508","Mobile poll/Bureau itinérant",40,0,5,1,11,0,57,81
24007,"Beauce/Beauce"," 509","Mobile poll/Bureau itinérant",15,0,1,1,12,0,29,53
24007,"Beauce/Beauce"," 510","Mobile poll/Bureau itinérant",40,1,4,5,14,0,64,88
24007,"Beauce/Beauce"," 600","St. Isidore",141,3,36,16,37,4,237,
24007,"Beauce/Beauce"," 601","Frampton",104,4,25,11,30,2,176,
24007,"Beauce/Beauce"," 602","Saint-Benjamin",276,7,60,30,101,2,476,
24007,"Beauce/Beauce"," 603","Saint-Zacharie",242,3,45,27,62,3,382,
24007,"Beauce/Beauce"," 604","Saint-Gédéon",365,7,57,37,84,13,563,
24007,"Beauce/Beauce"," 605","Saint-Côme-Linière",269,6,43,18,61,7,404,
24007,"Beauce/Beauce"," 606","Saint-Georges",740,10,130,78,273,13,1244,
24007,"Beauce/Beauce"," 607","Saint-Georges",576,15,110,68,287,19,1075,
24007,"Beauce/Beauce"," 608","Saint-Georges",630,22,125,77,234,10,1098,
24007,"Beauce/Beauce"," 609","Saint-Simon-les-Mines",598,11,137,81,229,4,1060,
24007,"Beauce/Beauce"," 610","Beauceville",619,9,118,79,220,14,1059,
24007,"Beauce/Beauce"," 611","Saint-Joseph-de-Beauce",539,10,84,55,115,6,809,
24007,"Beauce/Beauce"," 612","Saint-Frédéric",155,7,21,10,26,1,220,
24007,"Beauce/Beauce"," 613","Sainte-Marie",736,10,140,57,169,13,1125,
24007,"Beauce/Beauce"," 614","Sainte-Marie",766,10,102,66,144,10,1098,
24007,"Beauce/Beauce"," 615","Saint-Bernard",280,4,55,14,70,1,424,
24007,"Beauce/Beauce"," 616","Saint-Victor-Station",315,5,60,34,112,5,531,
24007,"Beauce/Beauce"," 617","Saint-Georges",638,13,113,55,188,12,1019,
24007,"Beauce/Beauce"," 618","Saint-Martin",105,2,25,13,29,0,174,
24007,"Beauce/Beauce",,"Group 1/Groupe 1",47,0,10,4,43,7,111,72
24007,"Beauce/Beauce",,"Group 2/Groupe 2",271,18,92,52,122,13,568,
