Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tariq Chaudary,Brian Fleck,Matt Jeneroux,Valerie Kennedy,Steven Lack,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48018,"Edmonton Riverbend/Edmonton Riverbend"," 97","Edmonton",93,10,145,2,0,1,251,532
48018,"Edmonton Riverbend/Edmonton Riverbend"," 98","Edmonton",67,46,85,4,0,1,203,397
48018,"Edmonton Riverbend/Edmonton Riverbend"," 99","Edmonton",78,30,104,6,2,1,221,416
48018,"Edmonton Riverbend/Edmonton Riverbend"," 100","Edmonton",97,36,162,7,1,0,303,620
48018,"Edmonton Riverbend/Edmonton Riverbend"," 101A","Edmonton",110,19,173,5,1,0,308,686
48018,"Edmonton Riverbend/Edmonton Riverbend"," 101B","Edmonton",99,20,227,0,3,1,350,748
48018,"Edmonton Riverbend/Edmonton Riverbend"," 102A","Edmonton",53,21,146,2,0,1,223,514
48018,"Edmonton Riverbend/Edmonton Riverbend"," 102B","Edmonton",82,15,149,2,2,2,252,517
48018,"Edmonton Riverbend/Edmonton Riverbend"," 103","Edmonton",102,42,180,1,1,0,326,686
48018,"Edmonton Riverbend/Edmonton Riverbend"," 104A","Edmonton",54,21,95,2,2,0,174,366
48018,"Edmonton Riverbend/Edmonton Riverbend"," 104B","Edmonton",48,21,73,2,0,0,144,319
48018,"Edmonton Riverbend/Edmonton Riverbend"," 105A","Edmonton",63,25,121,1,2,1,213,440
48018,"Edmonton Riverbend/Edmonton Riverbend"," 105B","Edmonton",70,13,97,1,0,0,181,387
48018,"Edmonton Riverbend/Edmonton Riverbend"," 106","Edmonton",69,25,127,5,3,2,231,485
48018,"Edmonton Riverbend/Edmonton Riverbend"," 107A","Edmonton",53,26,85,9,2,0,175,348
48018,"Edmonton Riverbend/Edmonton Riverbend"," 107B","Edmonton",56,19,84,4,0,1,164,361
48018,"Edmonton Riverbend/Edmonton Riverbend"," 108","Edmonton",76,25,108,9,1,1,220,503
48018,"Edmonton Riverbend/Edmonton Riverbend"," 109","Edmonton",93,25,119,0,3,0,240,573
48018,"Edmonton Riverbend/Edmonton Riverbend"," 110","Edmonton",50,29,112,0,0,0,191,400
48018,"Edmonton Riverbend/Edmonton Riverbend"," 111","Edmonton",89,45,155,4,4,2,299,590
48018,"Edmonton Riverbend/Edmonton Riverbend"," 112","Edmonton",104,37,92,0,3,0,236,499
48018,"Edmonton Riverbend/Edmonton Riverbend"," 113","Edmonton",66,11,122,2,1,0,202,462
48018,"Edmonton Riverbend/Edmonton Riverbend"," 114","Edmonton",68,15,105,1,1,0,190,460
48018,"Edmonton Riverbend/Edmonton Riverbend"," 115","Edmonton",57,11,164,3,1,1,237,496
48018,"Edmonton Riverbend/Edmonton Riverbend"," 116A","Edmonton",50,17,100,1,2,0,170,426
48018,"Edmonton Riverbend/Edmonton Riverbend"," 116B","Edmonton",55,11,109,1,0,0,176,393
48018,"Edmonton Riverbend/Edmonton Riverbend"," 117","Edmonton",80,23,169,4,2,0,278,647
48018,"Edmonton Riverbend/Edmonton Riverbend"," 118","Edmonton",92,23,128,3,2,2,250,567
48018,"Edmonton Riverbend/Edmonton Riverbend"," 119","Edmonton",65,33,95,3,0,0,196,363
48018,"Edmonton Riverbend/Edmonton Riverbend"," 120","Edmonton",60,25,95,13,0,0,193,324
48018,"Edmonton Riverbend/Edmonton Riverbend"," 121","Edmonton",69,34,85,12,3,0,203,390
48018,"Edmonton Riverbend/Edmonton Riverbend"," 122","Edmonton",74,62,111,10,5,1,263,459
