Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matthew Ian Clark,Patrick Colford,Pat Finnigan,Tilly O'Neill-Gordon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 65","Maple Glen",4,18,16,37,0,75,254
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 66","Miramichi",2,29,68,90,0,189,455
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 67","Miramichi",1,17,82,87,0,187,387
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 68","Miramichi",4,28,75,64,4,175,346
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 69","Miramichi",2,25,78,94,0,199,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 70","Miramichi",4,22,72,54,1,153,388
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 71","Miramichi",3,22,72,65,0,162,366
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 72","Eel Ground",5,68,202,7,3,285,423
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 73","Whitney",2,22,72,80,1,177,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 74","Whitney",3,27,54,85,0,169,351
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 75","Exmoor",4,15,66,54,6,145,293
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 76","Boom Road",4,19,51,78,1,153,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 77","Millerton",5,33,70,113,1,222,342
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 78","Williamstown",8,52,77,129,2,268,408
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 79","Williamstown",3,40,56,94,1,194,393
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 80","Williamstown",5,39,69,74,4,191,360
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 81","Miramichi",6,30,66,83,1,186,298
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 82","Miramichi",6,41,68,108,3,226,376
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 83","Miramichi",8,35,65,95,0,203,347
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 84","Nelson",4,21,42,54,1,122,221
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 85","Barnaby River",8,31,66,65,2,172,251
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 86","Barnaby River",5,27,56,42,2,132,246
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 87","East Collette",8,9,102,17,0,136,191
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 88","Collette",4,15,88,15,1,123,207
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 89","Rogersville",7,9,76,6,0,98,245
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 90","Rogersville",9,11,125,17,0,162,335
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 91","Rogersville",0,13,129,11,1,154,321
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 92","Rogersville",4,7,92,15,1,119,276
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 93","Rogersville",9,13,109,13,3,147,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 94","Acadieville",9,32,126,14,3,184,280
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 95","Acadieville",9,16,125,7,1,158,330
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 96","Kouchibouguac",8,15,93,45,1,162,213
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 97","Bass River",9,13,129,35,0,186,301
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 98","Elsipogtog",2,87,91,2,0,182,465
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 99","Elsipogtog",0,37,38,0,0,75,288
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 100","Elsipogtog",2,42,51,2,0,97,222
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 101","Elsipogtog",3,52,80,1,0,136,442
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 102","South Branch--West Branch",12,20,91,37,2,162,245
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 103","South Branch--West Branch",17,16,100,23,1,157,246
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 104","Beersville",16,24,111,44,1,196,311
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 105","Harcourt",14,33,111,47,0,205,313
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 106","Blackville",4,19,43,92,2,160,337
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 107","Blackville",3,34,59,108,0,204,374
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 108","Blackville",2,40,62,74,4,182,375
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 109","Upper Blackville",2,37,59,70,0,168,306
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 110","White Rapids",3,35,82,97,2,219,371
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 111","Renous",0,30,66,69,2,167,347
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 112","Renous",9,50,138,4,1,202,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 113","Warwick Settlement",3,26,51,42,1,123,218
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 114","Warwick Settlement",1,27,79,27,0,134,248
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 115","Red Bank 4",5,11,111,80,0,207,319
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 116","Matthews",7,17,64,102,0,190,321
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 117","Blissfield",3,35,67,117,0,222,383
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 118","Storeytown",2,14,51,78,1,146,349
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 119","Blissfield",5,23,67,74,1,170,374
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 120","Holtville",15,21,56,108,1,201,385
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 121","Bloomfield Ridge",19,29,59,143,0,250,379
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 122","Parker Ridge",13,34,101,109,0,257,426
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 123","Ludlow",3,14,69,100,2,188,335
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 124","Ludlow",4,18,70,69,0,161,287
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 125","Chipman",5,13,44,49,7,118,257
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 126","Chipman",7,17,47,59,0,130,292
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 127","Chipman",7,24,55,46,3,135,368
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 128","Chipman",6,19,58,39,0,122,310
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 129","Chipman",1,11,38,45,0,95,262
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 130","Northfield",6,14,54,37,0,111,312
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 131","Chipman",4,17,47,43,1,112,294
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 132","Minto",10,14,61,35,1,121,275
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 133","Minto",12,27,65,26,1,131,299
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 134","Minto",13,18,46,22,3,102,264
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 135","Minto",13,13,44,44,2,116,263
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 136","Minto",10,24,53,41,0,128,305
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 137","Northfield",11,13,59,47,0,130,252
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 138","Minto",14,9,58,26,0,107,273
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 139","Minto",8,22,53,39,0,122,296
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 140","Newcastle Creek",15,24,83,38,0,160,335
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 500","Mobile poll/Bureau itinérant",5,4,51,14,0,74,94
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 501","Mobile poll/Bureau itinérant",1,7,17,14,1,40,132
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 502","Mobile poll/Bureau itinérant",3,9,32,40,2,86,121
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 503A","Mobile poll/Bureau itinérant",1,9,44,9,0,63,108
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 503B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°504A,,,,,,30
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504A","Mobile poll/Bureau itinérant",7,5,23,22,0,57,57
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504B","Minto",Merged with No./Fusionné avec le n°134,,,,,,10
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504C","Chipman",Merged with No./Fusionné avec le n°126,,,,,,9
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 504D","Chipman",Merged with No./Fusionné avec le n°127,,,,,,19
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 600","Sunny Corner--Red Bank",14,100,225,371,0,710,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 601","Miramichi",9,31,71,75,0,186,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 602","Miramichi",13,92,267,421,2,795,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 603","Neguac",3,68,251,93,2,417,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 604","Neguac",16,99,423,94,4,636,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 605","Baie-Sainte-Anne",3,35,364,110,6,518,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 606","Miramichi",27,132,437,610,7,1213,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 607","Miramichi",32,127,416,552,5,1132,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 608","Miramichi",13,64,171,187,1,436,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 609","Rogersville",16,64,580,52,9,721,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 610","Blackville",13,91,196,279,5,584,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 611","Rexton",12,207,219,21,1,460,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 612","Deaktown",8,43,123,220,9,403,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 613","Chipman",36,75,264,267,2,644,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake"," 614","Minto",50,75,287,218,7,637,
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,"Group 1/Groupe 1",5,11,74,42,10,142,66
13006,"Miramichi--Grand Lake/Miramichi--Grand Lake",,"Group 2/Groupe 2",46,186,674,618,29,1553,
