Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean-Serge Brisson,Francis Drouin,Normand Laurin,Pierre Lemieux,Genevieve Malouin-Diraddo,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 28","Hawkesbury",0,66,13,32,3,0,114,374
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 29","Chute-à-Blondeau",1,124,15,75,3,0,218,343
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 30","Stardale",0,113,21,96,8,2,240,433
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 31","Stardale",1,79,18,60,4,1,163,305
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 32","La Renouche",3,85,14,66,5,2,175,368
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 33","Green Lane",0,95,22,62,2,4,185,392
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 34","Pleasant Corners",1,103,30,78,5,1,218,389
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 35","Vankleek Hill Station",0,92,26,90,5,1,214,425
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 36","Vankleek Hill Station",2,103,18,107,2,0,232,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 37","Cassburn",1,72,17,49,6,1,146,246
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 38","Cassburn",0,61,26,58,1,4,150,283
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 39","Alfred and Plantagenet",2,136,28,73,2,0,241,396
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 40","Coins Gratton",3,126,32,62,1,0,224,405
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 41","Alfred",1,143,18,45,2,1,210,418
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 42","Alfred",0,138,24,34,7,0,203,345
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 43","Coins Gratton",1,116,24,53,3,7,204,378
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 44","Alfred Station",0,29,5,13,1,0,48,135
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 45","Lefaivre",1,105,22,65,12,2,207,374
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 46","Coins Gratton",1,116,24,47,2,4,194,316
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 47","Coins Gratton",0,98,10,72,8,1,189,299
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 48","Treadwell",1,78,9,37,2,0,127,216
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 49","Alfred and Plantagenet",0,118,9,46,4,1,178,305
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 50","Wendover",0,99,14,54,1,1,169,278
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 51","Wendover",1,210,14,67,3,1,296,440
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 52","Alfred and Plantagenet",2,149,12,46,6,0,215,336
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 53","Alfred and Plantagenet",2,131,14,61,8,0,216,322
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 54","Wendover",0,113,14,43,2,1,173,268
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 55","Plantagenet Station",0,120,10,50,5,0,185,359
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 56","Centrefield",3,111,25,60,7,1,207,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 57","Plantagenet Station",3,92,16,59,1,0,171,383
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 58","Centrefield",0,81,14,48,2,0,145,401
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 59","Clarence-Rockland",0,104,18,88,2,0,212,402
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 60","Clarence-Rockland",2,117,8,73,4,4,208,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 61","Clarence-Rockland",0,158,14,77,4,1,254,480
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 62","Clarence-Rockland",1,136,17,58,4,5,221,439
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 63","Clarence-Rockland",0,140,19,80,13,2,254,498
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 64","Clarence-Rockland",0,109,9,64,2,2,186,428
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 65","Clarence-Rockland",2,153,20,87,2,2,266,489
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 66","Clarence-Rockland",0,92,10,32,3,1,138,361
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 67","Clarence-Rockland",1,119,26,83,6,0,235,509
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 68","Clarence-Rockland",0,127,18,54,3,1,203,458
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 69","Clarence-Rockland",0,134,12,62,7,0,215,450
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 70","Clarence-Rockland",1,150,16,60,4,0,231,445
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 71","Clarence-Rockland",0,139,17,56,5,0,217,431
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 72","Clarence-Rockland",0,139,17,63,5,0,224,408
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73A","Clarence-Rockland",1,104,19,44,2,0,170,341
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 73B","Clarence-Rockland",1,150,5,71,5,0,232,421
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 74","Clarence-Rockland",3,132,13,64,2,3,217,461
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 75","Clarence-Rockland",0,92,17,42,4,2,157,337
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 76","Clarence-Rockland",2,107,16,79,4,1,209,470
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 77","Clarence-Rockland",2,118,12,60,1,5,198,447
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 78","Clarence-Rockland",1,121,22,70,4,0,218,436
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 79","Clarence-Rockland",0,133,15,63,5,2,218,452
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 80","Clarence-Rockland",2,99,20,74,2,2,199,405
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 81","Clarence-Rockland",2,128,19,73,2,2,226,400
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 82","Clarence-Rockland",0,138,20,56,3,0,217,433
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 83","Clarence-Rockland",1,101,8,46,4,0,160,342
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 84","Clarence-Rockland",1,139,16,63,2,1,222,469
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 85","Clarence-Rockland",1,108,17,76,4,0,206,404
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 86","Clarence-Rockland",3,97,15,87,7,0,209,392
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 87","Clarence-Rockland",1,184,20,104,6,0,315,476
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 88","Clarence-Rockland",0,165,17,64,4,6,256,379
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 89","Clarence-Rockland",0,154,13,69,4,3,243,365
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 90","Clarence-Rockland",4,163,13,74,1,0,255,382
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 91","Clarence-Rockland",3,142,21,83,9,1,259,427
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 92","Clarence-Rockland",3,118,15,78,1,1,216,396
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 93","Clarence-Rockland",0,114,18,89,4,2,227,387
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 94","Clarence-Rockland",1,107,25,75,3,2,213,370
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 95","Clarence-Rockland",3,124,26,45,3,1,202,364
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 96","Clarence-Rockland",1,137,16,74,2,1,231,408
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 97","Curran",1,132,20,63,3,1,220,346
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 98","Alfred and Plantagenet",0,100,26,76,7,0,209,327
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 99","Riceville",2,102,26,145,1,1,277,462
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 100","Fournier",1,139,28,130,6,1,305,439
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 101","McAlpine",0,63,18,67,6,0,154,333
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 102","St-Bernardin",0,95,23,87,1,2,208,321
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 103","St-Amour",0,108,21,67,5,2,203,280
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 104","Vankleek Hill",2,73,17,73,8,0,173,402
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 105","Vankleek Hill",1,55,8,54,1,2,121,311
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 106","Vankleek Hill",0,76,11,69,4,0,160,329
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 107","Vankleek Hill",1,88,12,72,7,1,181,411
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 108","Aberdeen",1,80,26,120,4,0,231,381
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 109","Saint-Eugène",5,105,24,79,3,1,217,443
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 110","Saint-Eugène",1,134,26,88,7,0,256,451
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 111","Ste-Anne-de-Prescott",2,120,22,55,4,1,204,317
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 112","Breadalbane",0,84,19,116,10,0,229,292
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 113","Glen Sandfield",0,49,7,95,4,0,155,315
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 114","Pine Grove",2,45,16,80,2,0,145,250
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 115","Lochiel",2,50,6,68,6,1,133,215
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 116","Glen Robertson",0,103,18,77,5,3,206,345
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 117","Glen Robertson",1,78,16,39,3,2,139,242
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 118","McCormick",0,95,12,57,4,0,168,312
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 119","McCormick",2,85,11,63,5,0,166,389
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 120","Alexandria",2,92,10,43,7,2,156,378
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 121","Alexandria",1,86,11,56,3,0,157,369
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 122","North Glengarry",1,75,10,41,1,3,131,331
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 123","Alexandria",0,64,5,59,1,1,130,301
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 124","Alexandria",1,87,18,48,3,1,158,325
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 125","McCormick",1,93,6,60,1,1,162,350
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 126","North Glengarry",1,100,11,50,6,1,169,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 127","North Glengarry",4,93,15,88,1,0,201,459
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 128","Greenfield",5,106,16,123,6,0,256,500
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 129","Dunvegan",1,95,17,108,7,0,228,388
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 130","St. Elmo",0,57,25,132,4,1,219,303
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 131","Maxville",2,52,23,113,5,0,195,286
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 132","Maxville",3,65,21,116,7,2,214,299
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 133","Dominionville",1,105,22,114,2,0,244,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 134","St. Isidore",3,134,29,92,6,2,266,388
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 135","Ste-Rose-de-Prescott",3,129,19,67,6,1,225,329
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 136","Ste-Rose-de-Prescott",0,108,19,65,1,0,193,351
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 137","Cambridge",1,130,11,54,1,2,199,354
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 138","Cambridge",2,104,7,32,0,0,145,284
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 139","Casselman",1,97,14,42,5,2,161,355
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 140","Casselman",0,100,8,37,3,1,149,332
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 141","Casselman",0,121,13,71,6,0,211,354
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 142","Casselman",1,155,18,50,3,3,230,440
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 143","Casselman",0,153,14,41,8,2,218,417
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 144","Casselman",0,112,18,61,5,3,199,396
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 145","Benoit",2,94,9,46,2,0,153,302
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 146","Benoit",1,77,22,62,7,1,170,334
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 147","Casselman",1,141,16,53,9,0,220,391
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 148","The Nation / La Nation",1,162,23,76,3,0,265,361
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 149","Limoges",3,170,31,116,8,0,328,485
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 150","Limoges",2,178,15,97,4,2,298,450
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 151","Limoges",6,73,9,69,3,0,160,270
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 152","Limoges",2,110,13,68,2,2,197,324
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 153","Limoges",0,87,10,70,6,4,177,307
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 154","The Nation / La Nation",1,151,21,69,3,2,247,411
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 155","Limoges",4,144,26,95,2,2,273,398
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 156","The Nation / La Nation",2,137,18,86,4,0,247,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 157","Benoit",5,133,12,63,6,2,221,389
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 158","Forest Park",3,144,19,84,5,5,260,423
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 159","Clarence-Rockland",3,196,32,76,7,1,315,506
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 160","Clarence-Rockland",0,163,23,102,7,0,295,477
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 161","Clarence-Rockland",1,147,23,113,5,0,289,437
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 162","Clarence-Rockland",0,121,24,91,3,0,239,381
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 163","Clarence-Rockland",3,133,19,80,6,1,242,349
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 164","Cumberland",0,108,16,105,6,0,235,406
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 165","Cumberland",0,112,15,87,8,0,222,388
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 166","Cumberland",1,112,4,88,7,1,213,381
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 167","Cumberland",0,115,9,57,1,1,183,301
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 168","Cumberland",0,119,13,78,2,0,212,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 169","Cumberland",2,123,14,81,6,1,227,446
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 170","Cumberland",1,137,18,84,4,1,245,404
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 171","Cumberland",0,84,10,79,6,1,180,350
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 172","Cumberland",0,98,11,97,4,1,211,401
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 173","Cumberland",1,134,14,123,10,2,284,432
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 174","Cumberland",1,114,15,116,4,4,254,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 175","Cumberland",2,100,13,98,1,1,215,370
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 176","Cumberland",2,128,19,126,5,0,280,383
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 177","Cumberland",2,136,14,94,0,0,246,382
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 178","Cumberland",0,119,18,176,8,0,321,433
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 179","Cumberland",2,146,12,131,6,0,297,413
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 180","Cumberland",0,91,18,88,4,0,201,373
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 181","Cumberland",3,111,15,123,9,2,263,440
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 182","Cumberland",2,126,17,72,4,1,222,394
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 183","Cumberland",3,79,8,83,10,0,183,347
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 184","Cumberland",1,106,16,82,4,1,210,363
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 185","Russell",3,114,13,67,5,1,203,339
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 186","Brisson",2,141,22,87,5,1,258,478
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 187","Russell",0,116,14,46,4,1,181,315
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 188","Russell",1,93,14,71,5,2,186,348
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 189","Russell",3,126,15,67,5,0,216,397
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 190","Embrun",1,90,10,67,2,1,171,316
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 191","Russell",0,111,19,66,4,0,200,378
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 192","Embrun",1,73,10,54,2,2,142,278
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 193","Russell",0,103,5,61,0,3,172,386
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 194","Embrun",1,99,14,50,4,0,168,322
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 195","Forget",1,99,8,62,0,0,170,307
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 196","Forget",3,90,11,83,3,5,195,353
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 197","Embrun",2,131,14,77,2,1,227,482
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 198","Embrun",0,89,12,30,1,2,134,278
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 199","Russell",1,85,33,72,4,1,196,337
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 200","Embrun",1,134,10,43,3,0,191,347
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 201","Russell",3,111,5,93,5,0,217,372
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 202","Mayerville",2,167,15,86,3,0,273,410
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 203","Mayerville",1,133,15,47,4,1,201,342
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 204","The Nation / La Nation",0,123,21,56,5,1,206,322
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 205","The Nation / La Nation",2,157,19,69,5,2,254,411
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 206","North Russell",0,71,12,87,6,0,176,321
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 207","Russell",3,94,22,132,4,2,257,384
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 208","Russell",0,76,12,82,4,0,174,292
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 209","Russell",2,134,31,139,7,0,313,472
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 210","Russell",1,73,10,85,4,1,174,295
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 211","Russell",0,77,15,58,2,2,154,299
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 212A","Russell",0,67,9,51,4,0,131,231
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 212B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°506,,,,,,,108
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 213","Russell",2,78,7,79,4,1,171,290
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 214","Russell",4,101,19,112,6,0,242,434
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 215","Russell",4,67,11,106,5,0,193,291
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 216","Russell",0,64,15,82,6,2,169,327
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 217","Russell",1,85,15,77,3,2,183,294
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 218","Russell",3,127,17,148,3,0,298,469
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 219","Russell",0,98,17,156,9,1,281,449
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell"," 220","Felton",1,64,16,85,4,0,170,271
