Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Claude Brunelle,Maxime Charron,Julie Demers,Emmanuel Dubourg,Dolmine Laguerre,Gilles Léveillé,Jean-Marie Floriant Ndzana,Jason Potasso-Justino,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24015,"Bourassa/Bourassa"," 65","Montréal-Nord",0,4,5,109,34,53,0,13,3,221,444
24015,"Bourassa/Bourassa"," 66","Montréal-Nord",2,3,6,54,30,62,0,21,4,182,443
24015,"Bourassa/Bourassa"," 67","Montréal-Nord",0,3,2,69,22,16,0,20,1,133,306
24015,"Bourassa/Bourassa"," 68","Montréal-Nord",0,3,4,125,21,35,1,8,2,199,444
24015,"Bourassa/Bourassa"," 69","Montréal-Nord",0,5,8,138,32,37,2,19,2,243,470
24015,"Bourassa/Bourassa"," 70","Montréal-Nord",0,3,13,75,12,38,0,17,6,164,389
24015,"Bourassa/Bourassa"," 71","Montréal-Nord",0,2,2,62,20,37,0,12,2,137,390
24015,"Bourassa/Bourassa"," 72","Montréal-Nord",0,4,0,96,15,19,1,18,1,154,389
24015,"Bourassa/Bourassa"," 73","Montréal-Nord",0,4,1,91,28,23,2,19,5,173,418
24015,"Bourassa/Bourassa"," 74","Montréal-Nord",1,6,5,98,21,38,1,10,6,186,435
24015,"Bourassa/Bourassa"," 75","Montréal-Nord",2,2,1,100,20,24,1,13,3,166,394
24015,"Bourassa/Bourassa"," 76","Montréal-Nord",2,2,1,102,14,21,1,11,3,157,361
24015,"Bourassa/Bourassa"," 77","Montréal-Nord",0,4,0,141,20,20,1,22,4,212,431
24015,"Bourassa/Bourassa"," 78","Montréal-Nord",0,3,5,66,16,24,0,9,5,128,372
24015,"Bourassa/Bourassa"," 79","Montréal-Nord",0,2,2,88,14,25,2,14,1,148,275
24015,"Bourassa/Bourassa"," 80","Montréal-Nord",1,3,3,120,16,24,1,9,8,185,397
24015,"Bourassa/Bourassa"," 81","Montréal-Nord",1,5,1,85,24,27,0,18,1,162,406
24015,"Bourassa/Bourassa"," 82","Montréal-Nord",2,7,3,87,12,51,0,7,3,172,402
24015,"Bourassa/Bourassa"," 83","Montréal-Nord",1,4,2,85,12,14,0,7,2,127,326
24015,"Bourassa/Bourassa"," 84","Montréal-Nord",0,2,3,91,25,28,0,15,3,167,354
24015,"Bourassa/Bourassa"," 85","Montréal-Nord",1,8,4,113,32,42,0,29,5,234,450
24015,"Bourassa/Bourassa"," 86","Montréal-Nord",1,0,2,93,16,30,0,25,0,167,364
24015,"Bourassa/Bourassa"," 87","Montréal-Nord",3,7,2,87,15,41,0,12,2,169,393
24015,"Bourassa/Bourassa"," 88","Montréal-Nord",2,9,7,91,37,47,0,22,3,218,480
24015,"Bourassa/Bourassa"," 89","Montréal-Nord",3,7,4,101,18,52,1,22,1,209,432
24015,"Bourassa/Bourassa"," 90","Montréal-Nord",2,10,2,108,35,35,0,34,4,230,473
24015,"Bourassa/Bourassa"," 91","Montréal-Nord",1,3,7,136,23,23,1,15,1,210,446
24015,"Bourassa/Bourassa"," 92","Montréal-Nord",1,6,7,90,32,30,0,17,3,186,505
24015,"Bourassa/Bourassa"," 93","Montréal-Nord",1,2,4,100,21,18,0,4,3,153,420
24015,"Bourassa/Bourassa"," 94","Montréal-Nord",0,3,1,75,19,32,1,10,7,148,407
24015,"Bourassa/Bourassa"," 95","Montréal-Nord",2,2,3,126,28,26,1,16,9,213,438
24015,"Bourassa/Bourassa"," 96","Montréal-Nord",2,1,2,125,25,31,1,10,1,198,401
24015,"Bourassa/Bourassa"," 97","Montréal-Nord",2,3,4,126,16,28,3,17,6,205,464
24015,"Bourassa/Bourassa"," 98","Montréal-Nord",1,2,1,119,41,34,1,24,1,224,511
24015,"Bourassa/Bourassa"," 99","Montréal-Nord",0,1,0,118,24,34,1,14,3,195,355
24015,"Bourassa/Bourassa"," 100","Montréal-Nord",2,4,0,83,18,21,0,13,2,143,348
24015,"Bourassa/Bourassa"," 101","Montréal-Nord",4,6,6,101,28,46,2,23,4,220,432
24015,"Bourassa/Bourassa"," 102","Montréal-Nord",1,5,2,111,35,49,0,19,10,232,452
24015,"Bourassa/Bourassa"," 103","Montréal-Nord",3,6,4,145,33,30,0,23,2,246,504
24015,"Bourassa/Bourassa"," 104","Montréal-Nord",0,1,3,90,18,28,0,15,2,157,485
24015,"Bourassa/Bourassa"," 105","Montréal-Nord",4,4,1,112,24,25,0,19,3,192,404
24015,"Bourassa/Bourassa"," 106","Montréal-Nord",1,3,0,108,27,26,0,11,8,184,424
24015,"Bourassa/Bourassa"," 107","Montréal-Nord",0,5,1,150,20,29,0,17,2,224,460
24015,"Bourassa/Bourassa"," 108","Montréal-Nord",2,2,3,159,26,38,0,18,3,251,463
24015,"Bourassa/Bourassa"," 109","Montréal-Nord",1,4,3,95,36,26,1,21,5,192,390
24015,"Bourassa/Bourassa"," 110","Montréal-Nord",1,4,5,95,22,28,0,7,7,169,320
24015,"Bourassa/Bourassa"," 111","Montréal-Nord",1,3,3,72,36,47,1,14,0,177,364
24015,"Bourassa/Bourassa"," 112","Montréal-Nord",0,3,5,98,29,50,0,19,2,206,400
24015,"Bourassa/Bourassa"," 113","Montréal-Nord",2,3,6,105,24,46,0,18,7,211,465
24015,"Bourassa/Bourassa"," 114","Montréal-Nord",0,6,4,111,33,37,0,32,3,226,358
24015,"Bourassa/Bourassa"," 115","Montréal-Nord",2,1,5,73,17,45,0,12,0,155,349
24015,"Bourassa/Bourassa"," 116","Montréal-Nord",0,1,0,41,18,30,0,11,4,105,337
24015,"Bourassa/Bourassa"," 117","Montréal-Nord",1,1,4,98,13,30,1,20,8,176,410
24015,"Bourassa/Bourassa"," 118","Montréal-Nord",1,2,4,75,36,25,0,20,0,163,337
24015,"Bourassa/Bourassa"," 119","Montréal-Nord",1,3,6,115,26,27,1,14,3,196,400
24015,"Bourassa/Bourassa"," 120","Montréal-Nord",0,7,1,96,35,38,0,10,7,194,404
24015,"Bourassa/Bourassa"," 121","Montréal-Nord",2,3,5,106,23,23,0,14,13,189,406
24015,"Bourassa/Bourassa"," 122","Montréal-Nord",3,6,1,97,26,39,0,8,1,181,406
24015,"Bourassa/Bourassa"," 123","Montréal-Nord",3,4,4,110,22,36,2,16,2,199,396
24015,"Bourassa/Bourassa"," 124","Montréal-Nord",3,8,6,101,40,44,0,18,7,227,419
24015,"Bourassa/Bourassa"," 125","Montréal-Nord",2,10,3,62,17,34,0,23,6,157,345
24015,"Bourassa/Bourassa"," 126","Montréal-Nord",1,3,1,110,27,23,0,7,2,174,391
24015,"Bourassa/Bourassa"," 127","Montréal-Nord",1,8,0,116,22,28,2,20,5,202,422
24015,"Bourassa/Bourassa"," 128","Montréal-Nord",0,4,1,137,26,25,0,17,4,214,462
24015,"Bourassa/Bourassa"," 129","Montréal-Nord",2,5,3,135,26,14,0,8,5,198,447
24015,"Bourassa/Bourassa"," 130","Montréal-Nord",2,8,2,117,30,18,1,16,9,203,450
24015,"Bourassa/Bourassa"," 131","Montréal-Nord",0,4,2,142,32,24,0,23,4,231,506
24015,"Bourassa/Bourassa"," 132","Montréal-Nord",1,3,3,153,14,17,1,13,8,213,466
24015,"Bourassa/Bourassa"," 133","Montréal-Nord",1,3,3,151,31,18,0,10,1,218,515
24015,"Bourassa/Bourassa"," 134","Montréal-Nord",1,4,2,87,46,44,0,21,3,208,381
24015,"Bourassa/Bourassa"," 135","Montréal-Nord",1,9,1,91,23,20,0,14,2,161,362
24015,"Bourassa/Bourassa"," 136","Montréal",0,7,2,52,42,77,0,19,0,199,354
24015,"Bourassa/Bourassa"," 137","Montréal",1,5,2,119,47,56,0,19,3,252,408
24015,"Bourassa/Bourassa"," 138","Montréal",0,4,2,82,34,62,0,22,3,209,358
24015,"Bourassa/Bourassa"," 139","Montréal",2,12,1,90,35,43,1,24,3,211,382
24015,"Bourassa/Bourassa"," 140","Montréal",1,2,4,79,36,43,0,6,4,175,318
24015,"Bourassa/Bourassa"," 141","Montréal",0,14,1,79,30,36,0,24,2,186,322
24015,"Bourassa/Bourassa"," 142A","Montréal-Nord",0,5,2,121,34,47,0,19,7,235,372
24015,"Bourassa/Bourassa"," 142B","Montréal-Nord",0,1,1,118,24,37,1,17,1,200,285
24015,"Bourassa/Bourassa"," 143","Montréal",1,7,3,125,57,36,0,17,3,249,442
24015,"Bourassa/Bourassa"," 144","Montréal",2,2,4,148,27,27,3,29,5,247,426
24015,"Bourassa/Bourassa"," 145","Montréal",3,8,2,192,40,32,1,29,3,310,492
24015,"Bourassa/Bourassa"," 146","Montréal",3,8,6,121,35,43,0,21,5,242,446
24015,"Bourassa/Bourassa"," 147","Montréal",2,8,4,113,32,40,0,12,3,214,398
24015,"Bourassa/Bourassa"," 148","Montréal",1,8,4,84,55,68,2,17,3,242,431
24015,"Bourassa/Bourassa"," 149","Montréal",2,6,7,127,48,43,1,28,7,269,469
24015,"Bourassa/Bourassa"," 150","Montréal",1,8,1,123,62,51,3,17,5,271,393
24015,"Bourassa/Bourassa"," 151","Montréal",1,4,8,128,62,48,0,19,1,271,452
24015,"Bourassa/Bourassa"," 152","Montréal",0,16,1,124,48,52,3,26,3,273,431
24015,"Bourassa/Bourassa"," 153","Montréal",0,2,3,111,21,32,0,19,2,190,350
24015,"Bourassa/Bourassa"," 154","Montréal",0,8,5,75,46,32,0,14,1,181,433
24015,"Bourassa/Bourassa"," 155","Montréal",0,2,3,93,60,59,0,16,2,235,499
24015,"Bourassa/Bourassa"," 156","Montréal",2,13,4,80,65,55,0,12,0,231,452
24015,"Bourassa/Bourassa"," 157","Montréal",2,9,2,79,43,60,0,12,3,210,400
24015,"Bourassa/Bourassa"," 158","Montréal",1,11,1,84,30,36,0,11,1,175,338
24015,"Bourassa/Bourassa"," 159","Montréal",1,9,6,77,55,39,0,5,0,192,438
24015,"Bourassa/Bourassa"," 160","Montréal",0,9,3,72,42,36,0,9,2,173,329
24015,"Bourassa/Bourassa"," 161","Montréal",1,8,5,74,50,40,0,5,6,189,321
24015,"Bourassa/Bourassa"," 162","Montréal",0,4,4,75,49,40,1,10,1,184,311
24015,"Bourassa/Bourassa"," 163","Montréal",0,8,10,107,53,46,2,16,2,244,425
24015,"Bourassa/Bourassa"," 164","Montréal",1,2,1,99,41,48,1,16,5,214,354
24015,"Bourassa/Bourassa"," 165","Montréal",3,4,8,107,39,52,0,25,3,241,426
24015,"Bourassa/Bourassa"," 166","Montréal",1,3,3,111,52,29,0,12,4,215,441
24015,"Bourassa/Bourassa"," 400","Montréal-Nord",1,3,1,80,10,29,0,8,4,136,207
24015,"Bourassa/Bourassa"," 401","Montréal-Nord",4,4,4,98,29,41,1,24,4,209,289
24015,"Bourassa/Bourassa"," 402","Montréal-Nord",0,2,5,64,7,14,0,14,4,110,432
24015,"Bourassa/Bourassa"," 500","Mobile poll/Bureau itinérant",3,2,1,41,4,12,0,4,3,70,165
24015,"Bourassa/Bourassa"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,,,,,
24015,"Bourassa/Bourassa"," 502","Mobile poll/Bureau itinérant",1,3,4,25,2,7,1,1,8,52,178
24015,"Bourassa/Bourassa"," 503","Mobile poll/Bureau itinérant",4,2,1,24,9,12,0,6,6,64,129
24015,"Bourassa/Bourassa"," 600","Montréal",1,8,14,322,122,136,0,113,5,721,
24015,"Bourassa/Bourassa"," 601","Montréal",1,8,20,405,113,116,0,63,16,742,
24015,"Bourassa/Bourassa"," 602","Montréal",3,10,9,373,90,93,7,54,26,665,
24015,"Bourassa/Bourassa"," 603","Montréal",0,6,11,325,56,80,0,62,6,546,
24015,"Bourassa/Bourassa"," 604","Montréal",3,11,2,432,92,150,2,94,23,809,
24015,"Bourassa/Bourassa"," 605","Montréal",1,15,15,366,142,164,1,73,23,800,
24015,"Bourassa/Bourassa"," 606","Montréal",1,8,8,266,78,82,0,50,11,504,
24015,"Bourassa/Bourassa"," 607","Montréal",9,3,11,359,99,87,2,86,8,664,
24015,"Bourassa/Bourassa"," 608","Montréal",2,12,3,271,93,111,0,67,21,580,
24015,"Bourassa/Bourassa"," 609","Montréal",2,20,15,346,246,216,4,94,18,961,
24015,"Bourassa/Bourassa"," 610","Montréal",3,18,10,239,151,128,1,57,8,615,
24015,"Bourassa/Bourassa",,"Group 1/Groupe 1",1,4,1,90,9,13,1,15,11,145,138
24015,"Bourassa/Bourassa",,"Group 2/Groupe 2",3,13,5,304,145,112,1,61,24,668,
