Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Yvonne Jones,Peter Penashue,Edward Rudkowski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
10004,Labrador/Labrador,45,Wabush,101,6,26,0,133,245
10004,Labrador/Labrador,46,Wabush,86,13,36,0,135,274
10004,Labrador/Labrador,47,Wabush,177,27,68,0,272,505
10004,Labrador/Labrador,48,Labrador City,160,38,54,0,252,404
10004,Labrador/Labrador,49,Labrador City,170,23,26,2,221,376
10004,Labrador/Labrador,50,Labrador City,168,28,47,2,245,392
10004,Labrador/Labrador,51,Labrador City,150,24,32,1,207,359
10004,Labrador/Labrador,52,Labrador City,140,13,40,2,195,377
10004,Labrador/Labrador,53,Labrador City,131,6,21,0,158,313
10004,Labrador/Labrador,54,Labrador City,122,16,36,1,175,372
10004,Labrador/Labrador,55,Labrador City,122,9,36,0,167,318
10004,Labrador/Labrador,56,Labrador City,104,15,28,0,147,318
10004,Labrador/Labrador,57,Labrador City,175,21,36,0,232,411
10004,Labrador/Labrador,58,Labrador City,163,10,47,0,220,389
10004,Labrador/Labrador,59,Labrador City,145,14,38,1,198,377
10004,Labrador/Labrador,60,Labrador City,138,7,22,2,169,390
10004,Labrador/Labrador,61,Labrador City,129,3,51,0,183,357
10004,Labrador/Labrador,62,Labrador City,138,9,26,1,174,340
10004,Labrador/Labrador,500,Mobile poll/Bureau itinérant,21,3,2,1,27,40
10004,Labrador/Labrador,501,Mobile poll/Bureau itinérant,22,5,0,0,27,43
10004,Labrador/Labrador,600,Nain,28,4,6,0,38,
10004,Labrador/Labrador,601,Natuashish,37,17,11,2,67,
10004,Labrador/Labrador,602,Hopedale,7,1,1,0,9,
10004,Labrador/Labrador,603,Postville,20,1,1,0,22,
10004,Labrador/Labrador,604,Makkovik,36,7,1,0,44,
10004,Labrador/Labrador,605,Rigolet,14,4,2,0,20,
10004,Labrador/Labrador,606,Labrador City,274,38,60,2,374,
10004,Labrador/Labrador,607,Churchill Falls,20,2,4,0,26,
10004,Labrador/Labrador,608,North West River,38,9,9,0,56,
10004,Labrador/Labrador,609,Sheshatsheits,19,25,12,0,56,
10004,Labrador/Labrador,610,Happy Valley-Goose Bay,381,99,70,0,550,
10004,Labrador/Labrador,611,Cartwright,60,3,11,0,74,
10004,Labrador/Labrador,612,Black Tickle,34,5,15,0,54,
10004,Labrador/Labrador,613,Norman's Bay,Results combined with No./Résultats combinés au n°612,,,,,
10004,Labrador/Labrador,614,Charlottetown,23,1,2,0,26,
10004,Labrador/Labrador,615,Williams Harbour,Results combined with No./Résultats combinés au n°614,,,,,
10004,Labrador/Labrador,616,Port Hope Simpson,20,1,4,0,25,
10004,Labrador/Labrador,617,Mary's Harbour,66,1,7,0,74,
10004,Labrador/Labrador,618,Red Bay,20,2,1,1,24,
10004,Labrador/Labrador,619,L'Anse-au-Loup,80,23,8,0,111,
10004,Labrador/Labrador,,Group 1/Groupe 1,64,30,12,1,107,58
10004,Labrador/Labrador,,Group 2/Groupe 2,502,62,101,8,673,
