Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jim Bell,Eduard Walter Hiebert,Suzanne Hrynyk,MaryAnn Mihychuk,David Reimer,Steven Stairs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 72","Winnipeg",66,0,24,100,0,2,2,194,437
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 73","Winnipeg",70,2,25,104,1,3,0,205,434
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 74","Winnipeg",101,1,49,129,2,2,0,284,507
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 75","Winnipeg",62,1,25,104,1,3,2,198,395
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 76","Winnipeg",104,0,25,77,0,9,1,216,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 77","Winnipeg",45,0,31,75,2,6,0,159,345
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 78","Winnipeg",75,1,28,117,1,1,5,228,462
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79A","Winnipeg",84,0,20,88,0,1,0,193,366
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 79B","Winnipeg",63,0,24,78,1,3,0,169,359
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 80","Winnipeg",38,0,15,73,4,1,0,131,255
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 81","Winnipeg",76,2,27,87,1,5,1,199,367
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 82","Winnipeg",91,0,36,85,4,10,0,226,404
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 83","Winnipeg",30,0,14,58,0,2,0,104,238
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 84","Winnipeg",23,1,21,41,2,4,0,92,162
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 85","Winnipeg",49,2,23,81,2,2,0,159,419
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 86","Winnipeg",51,1,27,82,5,4,1,171,404
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 87","Winnipeg",52,0,28,126,1,7,2,216,435
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 88","Winnipeg",62,1,50,125,3,8,0,249,439
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 89","Winnipeg",61,0,50,117,2,8,1,239,457
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 90","Winnipeg",58,2,20,82,3,4,2,171,395
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 91","Winnipeg",52,0,40,80,1,4,0,177,393
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 92","Winnipeg",40,1,15,81,4,5,4,150,394
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 93","Winnipeg",44,0,44,116,4,5,1,214,420
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 94","Winnipeg",31,0,38,90,1,3,0,163,398
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 95","Winnipeg",26,1,46,106,2,5,3,189,350
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 96","Winnipeg",59,0,35,93,0,4,0,191,392
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 97","Winnipeg",78,2,35,123,0,3,0,241,467
46006,"Kildonan--St. Paul/Kildonan--St. Paul"," 98","Winnipeg",88,0,30,108,0,12,2,240,485
