Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Shaun Chen,Aasia Khatoon,Eleni MacDonald,Ravinder Malhi,Raphael Rosch,Rathika Sitsabaiesan,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35096,"Scarborough North/Scarborough-Nord"," 114","Scarborough",114,1,0,28,1,38,0,182,356
35096,"Scarborough North/Scarborough-Nord"," 115","Scarborough",70,0,2,53,0,47,0,172,348
35096,"Scarborough North/Scarborough-Nord"," 116","Scarborough",119,2,4,69,0,45,0,239,451
35096,"Scarborough North/Scarborough-Nord"," 117","Scarborough",68,0,4,24,0,44,0,140,421
35096,"Scarborough North/Scarborough-Nord"," 118","Scarborough",76,0,3,46,1,26,0,152,363
35096,"Scarborough North/Scarborough-Nord"," 119","Scarborough",83,0,4,53,1,11,1,153,359
35096,"Scarborough North/Scarborough-Nord"," 120","Scarborough",126,0,1,45,1,32,0,205,477
35096,"Scarborough North/Scarborough-Nord"," 121","Scarborough",83,0,2,44,2,19,0,150,361
35096,"Scarborough North/Scarborough-Nord"," 122","Scarborough",45,1,1,75,0,22,2,146,522
35096,"Scarborough North/Scarborough-Nord"," 123","Scarborough",83,1,3,49,1,22,0,159,538
35096,"Scarborough North/Scarborough-Nord"," 124","Scarborough",84,0,7,56,1,13,0,161,392
35096,"Scarborough North/Scarborough-Nord"," 125","Scarborough",80,2,3,41,0,32,1,159,386
35096,"Scarborough North/Scarborough-Nord"," 126","Scarborough",102,1,1,58,0,16,1,179,456
35096,"Scarborough North/Scarborough-Nord"," 127","Scarborough",82,0,3,54,1,21,0,161,406
35096,"Scarborough North/Scarborough-Nord"," 128","Scarborough",72,0,6,45,0,37,1,161,388
35096,"Scarborough North/Scarborough-Nord"," 129","Scarborough",113,0,3,45,1,20,0,182,422
35096,"Scarborough North/Scarborough-Nord"," 130","Scarborough",89,0,4,65,0,13,0,171,370
35096,"Scarborough North/Scarborough-Nord"," 131","Scarborough",51,0,2,57,1,11,1,123,365
35096,"Scarborough North/Scarborough-Nord"," 132","Scarborough",72,1,4,58,2,12,0,149,363
35096,"Scarborough North/Scarborough-Nord"," 133","Scarborough",91,0,4,55,2,31,4,187,403
35096,"Scarborough North/Scarborough-Nord"," 134","Scarborough",77,0,9,72,2,38,3,201,383
35096,"Scarborough North/Scarborough-Nord"," 135","Scarborough",117,2,1,76,2,29,1,228,494
35096,"Scarborough North/Scarborough-Nord"," 136","Scarborough",90,0,5,73,1,25,1,195,430
35096,"Scarborough North/Scarborough-Nord"," 137","Scarborough",117,1,4,71,0,30,0,223,493
35096,"Scarborough North/Scarborough-Nord"," 138","Scarborough",127,0,3,75,0,28,2,235,465
35096,"Scarborough North/Scarborough-Nord"," 139","Scarborough",130,0,8,50,0,11,2,201,414
35096,"Scarborough North/Scarborough-Nord"," 140","Scarborough",92,2,5,96,1,9,1,206,450
35096,"Scarborough North/Scarborough-Nord"," 141","Scarborough",82,0,3,74,0,10,1,170,444
35096,"Scarborough North/Scarborough-Nord"," 142","Scarborough",120,1,3,70,2,18,4,218,538
35096,"Scarborough North/Scarborough-Nord"," 143","Scarborough",93,0,2,48,0,19,1,163,398
35096,"Scarborough North/Scarborough-Nord"," 144","Scarborough",124,0,1,63,1,20,0,209,461
35096,"Scarborough North/Scarborough-Nord"," 400","Scarborough",72,1,4,101,2,24,1,205,405
35096,"Scarborough North/Scarborough-Nord"," 401","Scarborough",72,2,5,87,1,44,1,212,426
35096,"Scarborough North/Scarborough-Nord"," 402","Scarborough",113,0,2,56,1,81,4,257,482
35096,"Scarborough North/Scarborough-Nord"," 403","Scarborough",113,2,9,118,3,33,0,278,503
35096,"Scarborough North/Scarborough-Nord"," 404","Scarborough",125,1,1,92,1,30,0,250,487
35096,"Scarborough North/Scarborough-Nord"," 405","Scarborough",93,2,4,101,2,39,5,246,461
35096,"Scarborough North/Scarborough-Nord"," 406","Scarborough",124,1,1,53,1,62,4,246,399
35096,"Scarborough North/Scarborough-Nord"," 407","Scarborough",104,1,4,100,1,45,2,257,427
35096,"Scarborough North/Scarborough-Nord"," 408","Scarborough",76,3,2,10,1,105,0,197,409
35096,"Scarborough North/Scarborough-Nord"," 409","Scarborough",161,2,1,99,0,49,1,313,543
35096,"Scarborough North/Scarborough-Nord"," 410","Scarborough",93,2,1,29,1,96,1,223,375
35096,"Scarborough North/Scarborough-Nord"," 411","Scarborough",103,2,5,27,0,50,1,188,363
35096,"Scarborough North/Scarborough-Nord"," 412","Scarborough",61,2,2,78,1,26,0,170,341
35096,"Scarborough North/Scarborough-Nord"," 413","Scarborough",76,0,7,140,2,41,0,266,503
35096,"Scarborough North/Scarborough-Nord"," 500","Mobile poll/Bureau itinérant",103,4,5,122,3,6,1,244,345
35096,"Scarborough North/Scarborough-Nord"," 501","Mobile poll/Bureau itinérant",62,0,5,82,2,16,4,171,414
35096,"Scarborough North/Scarborough-Nord"," 502","Mobile poll/Bureau itinérant",48,9,11,77,2,1,0,148,264
35096,"Scarborough North/Scarborough-Nord"," 600","Scarborough",429,2,13,230,9,516,7,1206,
35096,"Scarborough North/Scarborough-Nord"," 601","Scarborough",463,0,8,198,3,208,3,883,
35096,"Scarborough North/Scarborough-Nord"," 602","Scarborough",374,1,5,189,1,99,3,672,
35096,"Scarborough North/Scarborough-Nord"," 603","Scarborough",343,0,15,275,3,77,4,717,
35096,"Scarborough North/Scarborough-Nord"," 604","Scarborough",302,1,10,153,0,157,6,629,
35096,"Scarborough North/Scarborough-Nord"," 605","Scarborough",471,2,17,266,2,114,6,878,
35096,"Scarborough North/Scarborough-Nord"," 606","Scarborough",397,2,12,239,3,216,2,871,
35096,"Scarborough North/Scarborough-Nord"," 607","Scarborough",475,6,8,114,1,392,1,997,
35096,"Scarborough North/Scarborough-Nord"," 608","Scarborough",377,1,12,176,1,218,3,788,
35096,"Scarborough North/Scarborough-Nord"," 609","Scarborough",386,3,14,206,2,109,4,724,
35096,"Scarborough North/Scarborough-Nord",,"Group 1/Groupe 1",27,0,1,12,0,7,7,54,43
35096,"Scarborough North/Scarborough-Nord",,"Group 2/Groupe 2",641,5,21,384,7,397,12,1467,
