Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Barlow,Tanya MacPherson,Cory Morgan,Marc Slingerland,Alison Thompson,Romy S. Tittel,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,"Foothills/Foothills"," 106","High River",129,22,1,4,6,10,1,173,378
48022,"Foothills/Foothills"," 107","High River",63,26,1,3,19,6,1,119,279
48022,"Foothills/Foothills"," 108","High River",140,27,1,0,7,7,0,182,399
48022,"Foothills/Foothills"," 109","High River",174,14,2,4,18,9,1,222,452
48022,"Foothills/Foothills"," 110","High River",120,29,2,1,19,11,0,182,416
48022,"Foothills/Foothills"," 111","High River",107,31,1,0,10,9,0,158,360
48022,"Foothills/Foothills"," 112","High River",132,41,3,0,16,13,0,205,382
48022,"Foothills/Foothills"," 113","High River",152,26,3,3,9,15,0,208,361
48022,"Foothills/Foothills"," 114","High River",129,28,3,6,10,11,0,187,410
48022,"Foothills/Foothills"," 115","High River",136,33,5,1,12,12,0,199,377
48022,"Foothills/Foothills"," 116","High River",116,23,1,4,10,11,0,165,358
48022,"Foothills/Foothills"," 117","High River",132,34,1,1,7,8,0,183,353
48022,"Foothills/Foothills"," 118","High River",157,51,2,1,11,8,0,230,468
48022,"Foothills/Foothills"," 119","High River",139,41,3,0,6,6,0,195,422
48022,"Foothills/Foothills"," 120","High River",125,18,0,0,4,5,0,152,321
48022,"Foothills/Foothills"," 121","High River",162,29,1,4,7,9,1,213,403
48022,"Foothills/Foothills"," 122","High River",220,12,4,7,6,8,0,257,446
48022,"Foothills/Foothills"," 123","High River",215,22,0,3,18,12,0,270,450
48022,"Foothills/Foothills"," 124","High River",205,26,2,0,13,9,0,255,502
48022,"Foothills/Foothills"," 125","High River",220,23,2,1,7,3,1,257,512
48022,"Foothills/Foothills"," 126","High River",184,18,1,1,5,2,0,211,464
48022,"Foothills/Foothills"," 127","High River",161,21,2,0,9,8,0,201,343
48022,"Foothills/Foothills"," 128","High River",116,10,1,2,4,2,0,135,315
48022,"Foothills/Foothills"," 129","High River",137,22,1,0,5,1,1,167,320
48022,"Foothills/Foothills"," 130","High River",197,49,3,2,14,7,0,272,520
48022,"Foothills/Foothills"," 131","High River",147,19,1,1,4,3,0,175,308
48022,"Foothills/Foothills"," 132","Gladys",121,13,1,1,5,7,0,148,283
48022,"Foothills/Foothills"," 133","Gladys",170,6,0,2,1,3,0,182,278
48022,"Foothills/Foothills"," 134","Blackie",266,28,3,4,13,11,0,325,509
48022,"Foothills/Foothills"," 135","Cayley",224,20,2,2,16,8,1,273,440
48022,"Foothills/Foothills"," 136","Cayley",185,25,0,1,5,5,0,221,428
48022,"Foothills/Foothills"," 137","Nanton",141,23,2,0,16,11,1,194,394
48022,"Foothills/Foothills"," 138","Nanton",204,22,2,0,15,9,0,252,497
48022,"Foothills/Foothills"," 139","Nanton",147,28,1,0,9,12,1,198,414
48022,"Foothills/Foothills"," 140","Nanton",203,21,0,1,6,5,0,236,419
48022,"Foothills/Foothills"," 141","Nanton",247,13,0,2,10,7,0,279,426
48022,"Foothills/Foothills"," 142","Parkland",158,3,2,0,12,4,0,179,313
48022,"Foothills/Foothills"," 143","Stavely",224,12,0,1,8,5,0,250,411
48022,"Foothills/Foothills"," 144","Stavely",206,37,4,1,21,5,0,274,462
48022,"Foothills/Foothills"," 145","Claresholm",190,18,0,4,7,9,1,229,392
48022,"Foothills/Foothills"," 146","Claresholm",120,12,1,1,10,4,1,149,403
48022,"Foothills/Foothills"," 147","Claresholm",153,22,3,1,17,6,0,202,366
48022,"Foothills/Foothills"," 148","Claresholm",153,18,1,0,24,12,0,208,329
48022,"Foothills/Foothills"," 149","Claresholm",146,24,0,1,5,6,1,183,334
48022,"Foothills/Foothills"," 150","Claresholm",140,18,2,2,19,11,0,192,321
48022,"Foothills/Foothills"," 151","Claresholm",155,25,1,1,9,6,0,197,371
48022,"Foothills/Foothills"," 152","Claresholm",165,25,2,0,18,4,0,214,430
48022,"Foothills/Foothills"," 153","Claresholm",131,24,2,2,10,5,0,174,372
48022,"Foothills/Foothills"," 154","Claresholm",137,26,0,0,12,5,1,181,339
48022,"Foothills/Foothills"," 155","Lundbreck",41,6,2,0,8,5,0,62,62
48022,"Foothills/Foothills"," 156","Lundbreck",199,42,3,1,21,14,1,281,494
48022,"Foothills/Foothills"," 157","Granum",196,15,0,0,16,2,1,230,444
48022,"Foothills/Foothills"," 158","Granum",241,28,4,7,18,14,1,313,517
48022,"Foothills/Foothills"," 159","Cowley",145,33,0,2,22,8,0,210,478
48022,"Foothills/Foothills"," 160","Cowley",95,9,1,0,9,3,0,117,280
48022,"Foothills/Foothills"," 161","Fort Macleod",109,10,0,10,8,3,0,140,235
48022,"Foothills/Foothills"," 162","Fort Macleod",126,23,0,5,29,6,0,189,367
48022,"Foothills/Foothills"," 163","Fort Macleod",157,24,2,9,24,8,0,224,371
48022,"Foothills/Foothills"," 164","Fort Macleod",134,45,0,6,34,10,1,230,492
48022,"Foothills/Foothills"," 165","Fort Macleod",122,25,1,2,35,8,1,194,378
48022,"Foothills/Foothills"," 166","Fort Macleod",147,22,2,9,24,8,1,213,376
48022,"Foothills/Foothills"," 167","Fort Macleod",69,17,0,7,14,2,0,109,233
48022,"Foothills/Foothills"," 168","Fort Macleod",79,30,0,1,19,0,0,129,266
48022,"Foothills/Foothills"," 169","Fort Macleod",182,6,0,17,12,3,1,221,304
48022,"Foothills/Foothills"," 170","Fort Macleod",193,17,3,17,6,7,0,243,333
48022,"Foothills/Foothills"," 171","Fort Macleod",55,3,0,0,6,1,0,65,346
48022,"Foothills/Foothills"," 172","Peigan",11,86,1,0,102,4,0,204,401
48022,"Foothills/Foothills"," 173","Peigan",5,99,4,2,105,3,0,218,452
48022,"Foothills/Foothills"," 174","Pincher Creek",17,7,0,0,8,1,0,33,146
48022,"Foothills/Foothills"," 175","Pincher Creek",113,22,0,1,9,5,0,150,371
48022,"Foothills/Foothills"," 176","Pincher Creek",111,22,2,0,12,8,1,156,346
48022,"Foothills/Foothills"," 177","Pincher Creek",125,24,0,2,14,5,0,170,356
48022,"Foothills/Foothills"," 178","Pincher Creek",150,24,2,3,20,10,0,209,508
48022,"Foothills/Foothills"," 179","Pincher Creek",91,27,0,2,15,5,0,140,292
48022,"Foothills/Foothills"," 180","Pincher Creek",106,24,1,0,15,6,0,152,368
48022,"Foothills/Foothills"," 181","Pincher Creek",98,20,1,1,14,6,1,141,285
48022,"Foothills/Foothills"," 182","Pincher Creek",62,13,0,2,9,4,0,90,176
48022,"Foothills/Foothills"," 183","Pincher Creek",176,22,1,4,18,6,1,228,473
48022,"Foothills/Foothills"," 184","Beaver Mines",119,27,2,1,30,6,0,185,391
48022,"Foothills/Foothills"," 185","Crowsnest Pass",94,14,3,2,20,9,0,142,358
48022,"Foothills/Foothills"," 186","Crowsnest Pass",70,21,4,0,10,4,0,109,255
48022,"Foothills/Foothills"," 187","Crowsnest Pass",129,21,1,1,16,4,0,172,324
48022,"Foothills/Foothills"," 188","Crowsnest Pass",99,26,0,1,15,7,0,148,341
48022,"Foothills/Foothills"," 189","Crowsnest Pass",108,28,4,1,9,7,0,157,370
48022,"Foothills/Foothills"," 190","Crowsnest Pass",122,26,2,1,17,4,0,172,432
48022,"Foothills/Foothills"," 191","Crowsnest Pass",136,35,1,1,26,8,0,207,397
48022,"Foothills/Foothills"," 192","Crowsnest Pass",147,37,0,3,27,7,0,221,553
48022,"Foothills/Foothills"," 193","Crowsnest Pass",113,37,2,1,10,7,0,170,349
48022,"Foothills/Foothills"," 194","Crowsnest Pass",157,40,1,2,26,12,0,238,464
48022,"Foothills/Foothills"," 195","Crowsnest Pass",199,27,0,1,21,9,0,257,481
48022,"Foothills/Foothills"," 196","Crowsnest Pass",155,25,2,0,19,5,0,206,428
48022,"Foothills/Foothills"," 197","Hill Spring",122,8,0,0,2,2,0,134,284
48022,"Foothills/Foothills"," 198","Hill Spring",139,17,1,3,13,0,1,174,353
48022,"Foothills/Foothills"," 199","Glenwood",170,12,1,6,11,6,0,206,371
48022,"Foothills/Foothills"," 200","Twin Butte",100,9,1,2,19,7,0,138,172
48022,"Foothills/Foothills"," 201","Waterton Park",22,20,0,0,4,7,1,54,96
48022,"Foothills/Foothills"," 202","Eden Valley",7,135,10,1,19,0,2,174,240
48022,"Foothills/Foothills"," 500","Mobile poll/Bureau itinérant",71,13,2,0,8,0,0,94,162
48022,"Foothills/Foothills"," 501","Mobile poll/Bureau itinérant",69,15,1,1,4,2,1,93,134
48022,"Foothills/Foothills"," 502","Mobile poll/Bureau itinérant",39,4,4,0,3,2,0,52,77
48022,"Foothills/Foothills"," 503","Mobile poll/Bureau itinérant",23,2,0,0,2,1,0,28,47
48022,"Foothills/Foothills"," 504","Mobile poll/Bureau itinérant",76,10,0,2,2,1,3,94,147
48022,"Foothills/Foothills"," 505","Mobile poll/Bureau itinérant",38,4,0,0,1,1,0,44,58
48022,"Foothills/Foothills"," 506","Mobile poll/Bureau itinérant",103,18,4,3,12,0,2,142,185
48022,"Foothills/Foothills"," 507","Mobile poll/Bureau itinérant",26,7,0,0,1,1,0,35,63
48022,"Foothills/Foothills"," 508","Mobile poll/Bureau itinérant",83,10,1,0,15,2,2,113,143
48022,"Foothills/Foothills"," 509","Mobile poll/Bureau itinérant",35,8,1,1,10,0,1,56,89
48022,"Foothills/Foothills"," 600","Springbank",896,130,4,3,27,21,2,1083,
48022,"Foothills/Foothills"," 601","Bragg Creek",477,126,2,1,42,40,1,689,
48022,"Foothills/Foothills"," 602","Turner Valley",632,89,1,2,53,63,2,842,
48022,"Foothills/Foothills"," 603","De Winton",444,51,5,0,24,10,1,535,
48022,"Foothills/Foothills"," 604","Okotoks",882,121,6,4,40,21,2,1076,
48022,"Foothills/Foothills"," 605","Okotoks",1083,181,5,5,94,30,1,1399,
48022,"Foothills/Foothills"," 606","Okotoks",886,152,8,6,46,15,0,1113,
48022,"Foothills/Foothills"," 607","Highwood",723,89,3,2,27,18,2,864,
48022,"Foothills/Foothills"," 608","High River",913,129,8,1,61,36,4,1152,
48022,"Foothills/Foothills"," 609","High River",1038,122,6,3,64,24,6,1263,
48022,"Foothills/Foothills"," 610","Nanton",501,49,3,0,26,19,0,598,
48022,"Foothills/Foothills"," 611","Claresholm",509,53,6,3,41,24,0,636,
48022,"Foothills/Foothills"," 612","Blairmore",674,98,3,8,87,27,0,897,
48022,"Foothills/Foothills"," 613","Pincher Creek",379,76,2,1,54,21,1,534,
48022,"Foothills/Foothills"," 614","Fort Macleod",368,60,0,14,46,11,2,501,
48022,"Foothills/Foothills"," 615","Pincher Creek",446,65,0,2,71,15,2,601,
48022,"Foothills/Foothills",,"Group 1/Groupe 1",38,25,4,0,11,8,6,92,71
48022,"Foothills/Foothills",,"Group 2/Groupe 2",1654,251,17,10,181,78,34,2225,
