Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brad Butt,Chris Hill,Fayaz Karim,Gagan Sikand,Yegor Tarazevich,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 137","Mississauga",79,3,21,70,0,0,173,300
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 138","Mississauga",94,5,12,91,0,1,203,279
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 139","Mississauga",107,10,33,122,2,1,275,478
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 140","Mississauga",103,9,18,124,0,2,256,496
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 141","Mississauga",91,5,19,117,1,1,234,446
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 142","Mississauga",111,10,21,104,1,0,247,465
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 143","Mississauga",148,6,38,123,1,0,316,534
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 144","Mississauga",104,2,15,105,1,1,228,390
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 145","Mississauga",112,13,18,91,2,0,236,461
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 146","Mississauga",90,4,25,112,1,1,233,456
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 147","Mississauga",77,4,22,95,0,0,198,366
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 148","Mississauga",75,3,17,95,0,1,191,364
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 149","Mississauga",76,3,13,70,0,0,162,317
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 150","Mississauga",59,2,22,104,0,0,187,338
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 151","Mississauga",79,6,27,120,1,0,233,501
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 152","Mississauga",105,7,18,95,0,0,225,483
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 153","Mississauga",84,7,33,137,3,0,264,506
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 154","Mississauga",70,3,21,106,4,2,206,465
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 155","Mississauga",114,2,24,103,2,1,246,527
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 156","Mississauga",140,2,25,126,4,2,299,552
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 157","Mississauga",50,6,10,55,0,0,121,294
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 158","Mississauga",38,3,12,80,0,0,133,294
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 159","Mississauga",65,2,33,150,0,1,251,492
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 160","Mississauga",60,1,23,93,0,0,177,367
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 161","Mississauga",92,2,24,110,1,0,229,447
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 162","Mississauga",65,1,23,127,0,0,216,406
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 163","Mississauga",82,5,22,88,2,1,200,360
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 164","Mississauga",68,1,18,96,1,2,186,335
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 165","Mississauga",78,2,16,92,0,0,188,355
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 166","Mississauga",68,2,25,104,1,1,201,341
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 167","Mississauga",97,8,18,141,2,1,267,465
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 168","Mississauga",102,3,18,184,1,0,308,522
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 169","Mississauga",67,5,31,109,2,3,217,403
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 170","Mississauga",110,2,21,128,0,0,261,470
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 171","Mississauga",77,3,25,157,0,3,265,446
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 172","Mississauga",56,5,14,54,1,1,131,328
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 173","Mississauga",54,7,18,105,3,1,188,376
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 174","Mississauga",87,5,14,73,1,0,180,379
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 175","Mississauga",80,7,20,105,2,1,215,448
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 176","Mississauga",64,2,20,73,1,1,161,323
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 177","Mississauga",102,4,12,82,2,0,202,472
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 178","Mississauga",89,4,18,100,2,0,213,439
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 179","Mississauga",88,3,24,126,0,1,242,455
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 180","Mississauga",88,8,20,125,0,1,242,512
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 181","Mississauga",76,4,16,89,2,0,187,363
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 182","Mississauga",125,2,13,101,4,0,245,507
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 183","Mississauga",66,4,21,70,0,0,161,361
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 184","Mississauga",107,2,15,82,1,0,207,376
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 185","Mississauga",84,5,18,73,0,1,181,381
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 186","Mississauga",75,4,22,122,1,0,224,439
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 187","Mississauga",86,3,21,113,0,0,223,487
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 400","Mississauga",32,1,12,44,0,1,90,197
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 401","Mississauga",58,9,7,79,0,2,155,226
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 402","Mississauga",48,7,20,83,0,0,158,404
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 403","Mississauga",47,1,7,56,1,0,112,227
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 404","Mississauga",52,3,26,99,3,1,184,389
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 405","Mississauga",32,4,13,41,0,0,90,222
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 406","Mississauga",44,8,11,56,0,0,119,237
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 407","Mississauga",39,10,15,76,0,0,140,349
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 408","Mississauga",40,2,9,63,0,0,114,263
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 600","Mississauga",226,12,93,319,5,5,660,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 601","Mississauga",366,22,75,547,3,1,1014,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 602","Mississauga",470,12,124,753,3,6,1368,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 603","Mississauga",500,12,55,567,2,2,1138,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 604","Mississauga",418,22,82,502,1,2,1027,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 605","Mississauga",262,22,64,295,3,4,650,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 606","Mississauga",440,23,104,479,1,4,1051,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 607","Mississauga",307,19,59,353,3,1,742,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 608","Mississauga",318,22,82,308,3,2,735,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 609","Mississauga",398,29,90,490,1,2,1010,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 610","Mississauga",508,22,101,576,0,6,1213,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 611","Mississauga",293,7,107,459,5,2,873,
35063,"Mississauga--Streetsville/Mississauga--Streetsville"," 612","Mississauga",504,32,124,655,5,9,1329,
35063,"Mississauga--Streetsville/Mississauga--Streetsville",,"Group 1/Groupe 1",27,1,12,52,2,2,96,76
35063,"Mississauga--Streetsville/Mississauga--Streetsville",,"Group 2/Groupe 2",276,21,147,404,6,22,876,
