Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pierre-Thomas Asselin,Jean-Yves Duclos,Normand Fournier,Charles Mordret,Annick Papillon,Danielle Provost,Philippe Riboty,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24059,"Québec/Québec"," 144","Québec",66,45,0,18,32,2,6,6,175,409
24059,"Québec/Québec"," 145","Québec",51,46,0,31,51,0,1,2,182,425
24059,"Québec/Québec"," 146","Québec",55,25,0,17,36,0,2,2,137,420
24059,"Québec/Québec"," 147","Québec",69,34,0,17,34,0,2,3,159,299
24059,"Québec/Québec"," 148","Québec",106,62,0,10,50,0,2,3,233,419
24059,"Québec/Québec"," 149","Québec",78,37,1,4,36,0,2,3,161,285
24059,"Québec/Québec"," 150","Québec",92,63,0,28,36,2,3,1,225,446
24059,"Québec/Québec"," 151","Québec",44,39,0,17,24,1,3,1,129,309
24059,"Québec/Québec"," 152","Québec",72,45,0,17,36,0,5,1,176,342
24059,"Québec/Québec"," 153","Québec",71,49,0,26,34,0,0,0,180,350
24059,"Québec/Québec"," 154","Québec",94,57,1,21,60,1,2,1,237,416
24059,"Québec/Québec"," 155","Québec",101,51,0,32,55,0,6,2,247,426
24059,"Québec/Québec"," 156","Québec",95,48,1,35,57,0,6,5,247,461
24059,"Québec/Québec"," 157","Québec",99,50,1,39,22,1,5,5,222,449
24059,"Québec/Québec"," 158","Québec",67,68,0,45,58,0,3,5,246,445
24059,"Québec/Québec"," 159","Québec",74,51,0,38,57,0,6,7,233,404
24059,"Québec/Québec"," 160","Québec",43,34,1,23,33,2,1,4,141,347
24059,"Québec/Québec"," 161","Québec",34,32,0,14,34,0,4,1,119,272
24059,"Québec/Québec"," 162","Québec",60,40,1,32,34,0,8,3,178,362
24059,"Québec/Québec"," 163","Québec",41,57,1,30,46,0,15,7,197,427
24059,"Québec/Québec"," 164","Québec",78,49,0,27,25,0,3,4,186,361
24059,"Québec/Québec"," 165","Québec",39,54,2,28,44,1,4,1,173,424
24059,"Québec/Québec"," 166","Québec",44,41,0,24,26,0,2,1,138,286
24059,"Québec/Québec"," 167","Québec",96,66,0,25,28,2,3,2,222,434
24059,"Québec/Québec"," 168","Québec",73,61,1,34,43,0,1,1,214,419
24059,"Québec/Québec"," 169","Québec",68,56,1,23,39,0,6,3,196,432
24059,"Québec/Québec"," 170","Québec",75,81,0,33,68,0,2,4,263,412
24059,"Québec/Québec"," 171","Québec",63,52,1,42,47,2,7,0,214,434
24059,"Québec/Québec"," 172A","Québec",56,52,0,31,36,1,7,2,185,376
24059,"Québec/Québec"," 172B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°78B,,,,,,,,,33
24059,"Québec/Québec"," 173","Québec",64,38,0,34,39,1,3,4,183,359
24059,"Québec/Québec"," 174","Québec",69,53,0,21,33,0,3,3,182,360
24059,"Québec/Québec"," 175","Québec",84,60,0,29,35,0,5,1,214,366
24059,"Québec/Québec"," 176","Québec",67,27,0,37,40,0,4,2,177,347
24059,"Québec/Québec"," 177","Québec",89,71,0,45,49,0,7,0,261,433
24059,"Québec/Québec"," 178","Québec",95,50,0,39,47,0,6,5,242,422
24059,"Québec/Québec"," 179","Québec",80,51,0,20,29,0,3,5,188,361
24059,"Québec/Québec"," 180","Québec",73,63,1,29,44,1,4,6,221,437
24059,"Québec/Québec"," 181","Québec",92,49,0,34,45,1,6,2,229,436
24059,"Québec/Québec"," 182","Québec",14,39,1,23,37,0,6,6,126,298
24059,"Québec/Québec"," 183","Québec",21,34,0,57,79,0,11,3,205,353
24059,"Québec/Québec"," 184","Québec",29,79,0,42,65,0,4,0,219,426
24059,"Québec/Québec"," 185","Québec",23,44,0,39,37,0,4,2,149,315
24059,"Québec/Québec"," 186","Québec",13,28,0,25,37,1,6,4,114,213
24059,"Québec/Québec"," 187","Québec",24,85,0,57,66,0,6,2,240,404
24059,"Québec/Québec"," 188","Québec",21,58,0,49,53,1,9,1,192,342
24059,"Québec/Québec"," 189","Québec",23,71,0,43,70,0,6,1,214,445
24059,"Québec/Québec"," 190","Québec",24,52,0,37,52,0,8,3,176,324
24059,"Québec/Québec"," 191","Québec",18,77,0,50,80,1,7,1,234,385
24059,"Québec/Québec"," 192","Québec",12,57,0,34,56,0,5,0,164,289
24059,"Québec/Québec"," 193","Québec",32,99,0,47,97,0,6,1,282,499
24059,"Québec/Québec"," 194","Québec",58,140,0,60,90,0,5,2,355,523
24059,"Québec/Québec"," 195","Québec",63,180,1,49,56,1,6,0,356,508
24059,"Québec/Québec"," 400","Québec",44,80,2,11,14,1,1,3,156,205
24059,"Québec/Québec"," 401","Québec",18,40,1,2,4,0,0,2,67,214
24059,"Québec/Québec"," 402","Québec",19,74,0,28,12,0,0,3,136,173
24059,"Québec/Québec"," 403","Québec",20,80,0,20,13,1,0,0,134,171
24059,"Québec/Québec"," 404","Québec",52,82,3,20,19,2,3,6,187,247
24059,"Québec/Québec"," 405","Québec",49,166,2,29,31,0,2,6,285,341
24059,"Québec/Québec"," 500","Mobile poll/Bureau itinérant",17,43,0,5,11,0,0,6,82,114
24059,"Québec/Québec"," 501","Mobile poll/Bureau itinérant",40,83,6,23,26,1,0,4,183,267
24059,"Québec/Québec"," 502","Mobile poll/Bureau itinérant",19,44,0,9,11,1,1,3,88,176
24059,"Québec/Québec"," 503","Mobile poll/Bureau itinérant",11,26,2,9,9,1,1,4,63,136
24059,"Québec/Québec"," 504","Mobile poll/Bureau itinérant",11,33,4,8,15,1,1,0,73,141
24059,"Québec/Québec"," 505A","Québec",18,36,2,10,5,1,1,3,76,166
24059,"Québec/Québec"," 505B","Notre-Dame-des-Anges",25,22,1,17,12,0,1,1,79,115
24059,"Québec/Québec"," 506","Mobile poll/Bureau itinérant",19,53,2,16,18,1,2,5,116,180
24059,"Québec/Québec"," 507","Mobile poll/Bureau itinérant",12,88,0,27,25,0,5,3,160,258
24059,"Québec/Québec"," 508","Mobile poll/Bureau itinérant",7,49,1,10,10,0,1,0,78,97
24059,"Québec/Québec"," 509","Mobile poll/Bureau itinérant",12,60,1,10,12,0,2,3,100,153
24059,"Québec/Québec"," 510","Mobile poll/Bureau itinérant",6,51,1,8,10,1,1,1,79,219
24059,"Québec/Québec"," 511","Mobile poll/Bureau itinérant",9,16,0,7,6,0,2,2,42,87
24059,"Québec/Québec"," 600","Québec",452,240,2,132,272,3,12,13,1126,
24059,"Québec/Québec"," 601","Québec",393,245,3,113,243,2,21,14,1034,
24059,"Québec/Québec"," 602","Québec",320,152,3,97,155,1,5,4,737,
24059,"Québec/Québec"," 603","Québec",374,203,1,108,141,2,18,14,861,
24059,"Québec/Québec"," 604","Québec",169,155,3,156,240,3,10,9,745,
24059,"Québec/Québec"," 605","Québec",153,217,1,204,309,2,29,13,928,
24059,"Québec/Québec"," 606","Québec",178,166,5,150,235,3,25,12,774,
24059,"Québec/Québec"," 607","Québec",87,150,1,209,302,2,18,7,776,
24059,"Québec/Québec"," 608","Québec",155,286,2,251,378,2,46,17,1137,
24059,"Québec/Québec"," 609","Québec",351,531,1,312,316,1,21,6,1539,
24059,"Québec/Québec"," 610","Québec",148,204,0,188,259,3,26,6,834,
24059,"Québec/Québec"," 611","Québec",275,175,3,116,146,1,19,31,766,
24059,"Québec/Québec"," 612","Québec",168,338,1,220,317,1,20,9,1074,
24059,"Québec/Québec"," 613","Québec",132,243,3,134,239,1,11,9,772,
24059,"Québec/Québec",,"Group 1/Groupe 1",109,95,0,20,50,0,2,22,298,154
24059,"Québec/Québec",,"Group 2/Groupe 2",198,300,3,246,555,4,31,29,1366,
