Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Tanya De Mello,Ted Opitz,Shawn Rizvi,Rob Wolvin,Borys Wrzesnewskyj,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35027,"Etobicoke Centre/Etobicoke-Centre"," 152","Etobicoke",34,100,0,3,121,0,258,468
35027,"Etobicoke Centre/Etobicoke-Centre"," 153","Etobicoke",18,78,1,0,141,3,241,460
35027,"Etobicoke Centre/Etobicoke-Centre"," 154","Etobicoke",22,94,3,0,103,0,222,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 155","Etobicoke",28,74,3,1,133,0,239,518
35027,"Etobicoke Centre/Etobicoke-Centre"," 156","Etobicoke",29,75,5,1,113,0,223,420
35027,"Etobicoke Centre/Etobicoke-Centre"," 157","Etobicoke",30,83,6,1,134,2,256,447
35027,"Etobicoke Centre/Etobicoke-Centre"," 158","Etobicoke",15,74,2,0,118,3,212,394
35027,"Etobicoke Centre/Etobicoke-Centre"," 159","Etobicoke",19,97,1,0,146,0,263,463
35027,"Etobicoke Centre/Etobicoke-Centre"," 160","Etobicoke",25,74,1,2,132,5,239,450
35027,"Etobicoke Centre/Etobicoke-Centre"," 161","Etobicoke",9,55,1,1,76,0,142,291
35027,"Etobicoke Centre/Etobicoke-Centre"," 162","Etobicoke",17,63,4,0,102,1,187,390
35027,"Etobicoke Centre/Etobicoke-Centre"," 163","Etobicoke",35,122,1,1,149,2,310,340
35027,"Etobicoke Centre/Etobicoke-Centre"," 164","Etobicoke",11,64,5,1,105,0,186,325
35027,"Etobicoke Centre/Etobicoke-Centre"," 165","Etobicoke",15,66,1,1,114,0,197,365
35027,"Etobicoke Centre/Etobicoke-Centre"," 166","Etobicoke",38,85,4,3,106,1,237,396
35027,"Etobicoke Centre/Etobicoke-Centre"," 167","Etobicoke",23,92,6,1,148,1,271,409
35027,"Etobicoke Centre/Etobicoke-Centre"," 168","Etobicoke",14,118,2,2,130,1,267,479
35027,"Etobicoke Centre/Etobicoke-Centre"," 169","Etobicoke",20,97,2,0,106,1,226,476
35027,"Etobicoke Centre/Etobicoke-Centre"," 170","Etobicoke",12,101,3,1,126,0,243,424
35027,"Etobicoke Centre/Etobicoke-Centre"," 171","Etobicoke",29,80,2,2,122,1,236,525
35027,"Etobicoke Centre/Etobicoke-Centre"," 172","Etobicoke",24,90,4,1,173,2,294,438
35027,"Etobicoke Centre/Etobicoke-Centre"," 173","Etobicoke",13,155,1,2,103,2,276,485
35027,"Etobicoke Centre/Etobicoke-Centre"," 174","Etobicoke",14,56,0,0,84,1,155,290
35027,"Etobicoke Centre/Etobicoke-Centre"," 175","Etobicoke",19,76,2,1,76,0,174,336
35027,"Etobicoke Centre/Etobicoke-Centre"," 176","Etobicoke",21,81,2,3,99,0,206,435
35027,"Etobicoke Centre/Etobicoke-Centre"," 177","Etobicoke",15,101,1,0,117,0,234,457
35027,"Etobicoke Centre/Etobicoke-Centre"," 178","Etobicoke",18,126,7,0,102,0,253,464
35027,"Etobicoke Centre/Etobicoke-Centre"," 179","Etobicoke",31,74,2,1,104,0,212,465
35027,"Etobicoke Centre/Etobicoke-Centre"," 180","Etobicoke",14,51,2,0,85,3,155,369
35027,"Etobicoke Centre/Etobicoke-Centre"," 181A","Etobicoke",Merged with No./Fusionné avec le n°16,,,,,,,87
35027,"Etobicoke Centre/Etobicoke-Centre"," 181B","Etobicoke",19,44,7,1,70,1,142,236
35027,"Etobicoke Centre/Etobicoke-Centre"," 400","Etobicoke",14,11,0,0,146,0,171,266
35027,"Etobicoke Centre/Etobicoke-Centre"," 401","Etobicoke",14,63,9,9,94,6,195,398
35027,"Etobicoke Centre/Etobicoke-Centre"," 402","Etobicoke",41,75,8,2,192,3,321,459
35027,"Etobicoke Centre/Etobicoke-Centre"," 403","Etobicoke",25,111,4,1,166,0,307,426
35027,"Etobicoke Centre/Etobicoke-Centre"," 404","Etobicoke",10,82,1,1,93,1,188,285
35027,"Etobicoke Centre/Etobicoke-Centre"," 405","Etobicoke",32,77,3,2,135,1,250,414
35027,"Etobicoke Centre/Etobicoke-Centre"," 406","Etobicoke",3,93,0,0,80,5,181,245
35027,"Etobicoke Centre/Etobicoke-Centre"," 407","Etobicoke",12,22,2,2,44,1,83,214
35027,"Etobicoke Centre/Etobicoke-Centre"," 408","Etobicoke",16,54,4,1,78,2,155,198
35027,"Etobicoke Centre/Etobicoke-Centre"," 409","Etobicoke",42,97,3,5,174,1,322,495
35027,"Etobicoke Centre/Etobicoke-Centre"," 410","Etobicoke",40,85,9,4,196,0,334,513
35027,"Etobicoke Centre/Etobicoke-Centre"," 411","Etobicoke",31,99,6,2,188,2,328,495
35027,"Etobicoke Centre/Etobicoke-Centre"," 412","Etobicoke",41,108,6,6,143,4,308,488
35027,"Etobicoke Centre/Etobicoke-Centre"," 413","Etobicoke",23,55,5,1,142,0,226,482
35027,"Etobicoke Centre/Etobicoke-Centre"," 414","Etobicoke",31,68,8,3,132,2,244,419
35027,"Etobicoke Centre/Etobicoke-Centre"," 415","Etobicoke",30,67,0,1,133,1,232,411
35027,"Etobicoke Centre/Etobicoke-Centre"," 416","Etobicoke",32,72,4,0,184,0,292,494
35027,"Etobicoke Centre/Etobicoke-Centre"," 417","Etobicoke",29,89,1,3,121,0,243,362
35027,"Etobicoke Centre/Etobicoke-Centre"," 418","Etobicoke",36,61,6,1,178,1,283,436
35027,"Etobicoke Centre/Etobicoke-Centre"," 419","Etobicoke",29,80,7,3,96,0,215,335
35027,"Etobicoke Centre/Etobicoke-Centre"," 420","Etobicoke",16,92,3,1,125,0,237,345
35027,"Etobicoke Centre/Etobicoke-Centre"," 421","Etobicoke",22,37,4,3,60,1,127,219
35027,"Etobicoke Centre/Etobicoke-Centre"," 422","Etobicoke",16,36,5,1,51,1,110,199
35027,"Etobicoke Centre/Etobicoke-Centre"," 423","Etobicoke",19,76,10,2,142,2,251,412
35027,"Etobicoke Centre/Etobicoke-Centre"," 424","Etobicoke",38,89,2,0,152,1,282,393
35027,"Etobicoke Centre/Etobicoke-Centre"," 425","Etobicoke",31,89,7,0,141,1,269,416
35027,"Etobicoke Centre/Etobicoke-Centre"," 426","Etobicoke",17,87,2,2,110,1,219,325
35027,"Etobicoke Centre/Etobicoke-Centre"," 427","Etobicoke",20,56,1,2,141,1,221,349
35027,"Etobicoke Centre/Etobicoke-Centre"," 500A","Mobile poll/Bureau itinérant",10,49,1,2,62,0,124,98
35027,"Etobicoke Centre/Etobicoke-Centre"," 500B","Etobicoke",11,39,2,1,79,4,136,199
35027,"Etobicoke Centre/Etobicoke-Centre"," 501","Mobile poll/Bureau itinérant",17,33,4,2,62,4,122,303
35027,"Etobicoke Centre/Etobicoke-Centre"," 502","Mobile poll/Bureau itinérant",7,15,3,3,51,3,82,252
35027,"Etobicoke Centre/Etobicoke-Centre"," 600","Etobicoke",59,203,9,2,391,9,673,
35027,"Etobicoke Centre/Etobicoke-Centre"," 601","Etobicoke",59,260,10,0,449,2,780,
35027,"Etobicoke Centre/Etobicoke-Centre"," 602","Etobicoke",49,591,9,10,816,5,1480,
35027,"Etobicoke Centre/Etobicoke-Centre"," 603","Etobicoke",63,320,4,6,436,2,831,
35027,"Etobicoke Centre/Etobicoke-Centre"," 604","Etobicoke",47,317,10,5,408,1,788,
35027,"Etobicoke Centre/Etobicoke-Centre"," 605","Etobicoke",68,525,21,9,664,6,1293,
35027,"Etobicoke Centre/Etobicoke-Centre"," 606","Etobicoke",31,436,13,2,439,3,924,
35027,"Etobicoke Centre/Etobicoke-Centre"," 607","Etobicoke",46,263,8,4,379,2,702,
35027,"Etobicoke Centre/Etobicoke-Centre"," 608","Etobicoke",63,361,11,4,493,1,933,
35027,"Etobicoke Centre/Etobicoke-Centre"," 609","Etobicoke",50,257,14,3,523,3,850,
35027,"Etobicoke Centre/Etobicoke-Centre"," 610","Etobicoke",65,278,4,3,394,4,748,
35027,"Etobicoke Centre/Etobicoke-Centre"," 611","Etobicoke",45,267,11,3,326,4,656,
35027,"Etobicoke Centre/Etobicoke-Centre"," 612","Etobicoke",76,344,9,4,504,3,940,
35027,"Etobicoke Centre/Etobicoke-Centre"," 613","Etobicoke",70,372,17,5,527,2,993,
35027,"Etobicoke Centre/Etobicoke-Centre",,"Group 1/Groupe 1",20,25,1,1,79,5,131,127
35027,"Etobicoke Centre/Etobicoke-Centre",,"Group 2/Groupe 2",140,418,28,4,750,17,1357,
