Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Louis Browne,Wojciech K Dolata,Trent Fraser,Tamela Friesen,Erin Weir,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47007,"Regina--Lewvan/Regina--Lewvan"," 82","Regina",61,3,86,6,91,2,249,396
47007,"Regina--Lewvan/Regina--Lewvan"," 83","Regina",63,4,72,7,106,0,252,486
47007,"Regina--Lewvan/Regina--Lewvan"," 84","Regina",57,5,65,4,83,2,216,441
47007,"Regina--Lewvan/Regina--Lewvan"," 85","Regina",66,1,49,7,99,0,222,455
47007,"Regina--Lewvan/Regina--Lewvan"," 86A","Regina",57,0,49,4,87,0,197,317
47007,"Regina--Lewvan/Regina--Lewvan"," 86B","Regina",49,1,50,8,59,0,167,294
47007,"Regina--Lewvan/Regina--Lewvan"," 87","Regina",66,4,77,3,90,0,240,410
47007,"Regina--Lewvan/Regina--Lewvan"," 88","Regina",73,0,91,3,95,0,262,404
47007,"Regina--Lewvan/Regina--Lewvan"," 89","Regina",41,0,52,4,94,0,191,393
47007,"Regina--Lewvan/Regina--Lewvan"," 90","Regina",62,1,39,6,85,2,195,394
47007,"Regina--Lewvan/Regina--Lewvan"," 91","Regina",52,1,58,6,66,0,183,380
47007,"Regina--Lewvan/Regina--Lewvan"," 92","Regina",66,0,49,3,73,0,191,384
47007,"Regina--Lewvan/Regina--Lewvan"," 93","Regina",60,0,67,7,85,0,219,457
47007,"Regina--Lewvan/Regina--Lewvan"," 94","Grand Coulee",47,2,60,7,98,1,215,347
47007,"Regina--Lewvan/Regina--Lewvan"," 95","Regina",37,1,43,6,83,0,170,296
47007,"Regina--Lewvan/Regina--Lewvan"," 96","Regina",55,8,35,9,55,10,172,494
47007,"Regina--Lewvan/Regina--Lewvan"," 97","Regina",50,2,43,6,81,0,182,300
47007,"Regina--Lewvan/Regina--Lewvan"," 98","Regina",67,3,31,9,136,1,247,394
47007,"Regina--Lewvan/Regina--Lewvan"," 99","Regina",51,3,38,10,179,1,282,428
47007,"Regina--Lewvan/Regina--Lewvan"," 100","Regina",75,0,69,5,111,1,261,365
47007,"Regina--Lewvan/Regina--Lewvan"," 101","Regina",56,5,54,8,104,1,228,377
47007,"Regina--Lewvan/Regina--Lewvan"," 102","Regina",85,2,65,7,122,2,283,451
47007,"Regina--Lewvan/Regina--Lewvan"," 103A","Regina",118,1,111,1,87,1,319,549
47007,"Regina--Lewvan/Regina--Lewvan"," 103B","Regina",84,0,118,4,69,0,275,488
47007,"Regina--Lewvan/Regina--Lewvan"," 104","Regina",98,1,125,11,102,1,338,613
47007,"Regina--Lewvan/Regina--Lewvan"," 105","Regina",76,4,54,6,114,0,254,436
47007,"Regina--Lewvan/Regina--Lewvan"," 106","Regina",52,1,45,3,132,0,233,374
47007,"Regina--Lewvan/Regina--Lewvan"," 107","Regina",61,1,29,4,128,0,223,350
47007,"Regina--Lewvan/Regina--Lewvan"," 108","Regina",55,2,27,4,148,0,236,380
47007,"Regina--Lewvan/Regina--Lewvan"," 109","Regina",68,1,38,13,121,0,241,373
47007,"Regina--Lewvan/Regina--Lewvan"," 110","Regina",62,3,42,6,111,0,224,365
47007,"Regina--Lewvan/Regina--Lewvan"," 111","Regina",45,2,26,7,153,0,233,384
47007,"Regina--Lewvan/Regina--Lewvan"," 112","Regina",59,2,31,11,138,1,242,419
47007,"Regina--Lewvan/Regina--Lewvan"," 113","Regina",58,0,32,8,198,0,296,434
47007,"Regina--Lewvan/Regina--Lewvan"," 114","Regina",84,1,54,4,141,1,285,443
47007,"Regina--Lewvan/Regina--Lewvan"," 115","Regina",63,0,70,4,96,0,233,384
47007,"Regina--Lewvan/Regina--Lewvan"," 116","Regina",78,0,55,5,100,0,238,354
47007,"Regina--Lewvan/Regina--Lewvan"," 117","Regina",64,2,54,11,97,0,228,348
47007,"Regina--Lewvan/Regina--Lewvan"," 118","Regina",62,0,50,12,105,0,229,365
47007,"Regina--Lewvan/Regina--Lewvan"," 119","Regina",91,3,86,4,107,2,293,449
47007,"Regina--Lewvan/Regina--Lewvan"," 120","Regina",78,1,70,8,117,0,274,437
47007,"Regina--Lewvan/Regina--Lewvan"," 121","Regina",74,1,85,6,126,0,292,447
47007,"Regina--Lewvan/Regina--Lewvan"," 122","Regina",106,0,100,2,116,1,325,482
47007,"Regina--Lewvan/Regina--Lewvan"," 123","Regina",81,3,68,5,76,0,233,376
47007,"Regina--Lewvan/Regina--Lewvan"," 124","Regina",91,1,76,3,80,1,252,378
47007,"Regina--Lewvan/Regina--Lewvan"," 125","Regina",64,0,85,2,89,3,243,365
47007,"Regina--Lewvan/Regina--Lewvan"," 126","Regina",73,3,92,2,72,1,243,357
47007,"Regina--Lewvan/Regina--Lewvan"," 127","Regina",41,0,18,3,72,0,134,316
47007,"Regina--Lewvan/Regina--Lewvan"," 128","Regina",77,3,83,5,58,0,226,387
47007,"Regina--Lewvan/Regina--Lewvan"," 129","Regina",53,0,35,2,58,1,149,345
47007,"Regina--Lewvan/Regina--Lewvan"," 130","Regina",48,1,39,2,70,2,162,354
47007,"Regina--Lewvan/Regina--Lewvan"," 131","Regina",92,4,95,3,75,0,269,388
47007,"Regina--Lewvan/Regina--Lewvan"," 132","Regina",76,1,97,5,75,0,254,363
47007,"Regina--Lewvan/Regina--Lewvan"," 133","Regina",63,1,70,0,77,1,212,357
47007,"Regina--Lewvan/Regina--Lewvan"," 134","Regina",81,1,84,4,59,1,230,358
47007,"Regina--Lewvan/Regina--Lewvan"," 135","Regina",62,0,80,4,69,1,216,351
47007,"Regina--Lewvan/Regina--Lewvan"," 136A","Regina",73,0,96,6,55,0,230,354
47007,"Regina--Lewvan/Regina--Lewvan"," 136B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,64
47007,"Regina--Lewvan/Regina--Lewvan"," 137","Regina",63,0,86,3,69,0,221,338
47007,"Regina--Lewvan/Regina--Lewvan"," 138","Regina",67,3,66,4,46,0,186,355
47007,"Regina--Lewvan/Regina--Lewvan"," 139","Regina",59,0,60,2,71,0,192,344
47007,"Regina--Lewvan/Regina--Lewvan"," 140","Regina",61,1,43,4,87,2,198,382
47007,"Regina--Lewvan/Regina--Lewvan"," 141","Regina",91,0,113,2,51,0,257,384
47007,"Regina--Lewvan/Regina--Lewvan"," 142A","Regina",90,2,111,1,74,1,279,482
47007,"Regina--Lewvan/Regina--Lewvan"," 142B","Regina",85,2,93,10,79,2,271,493
47007,"Regina--Lewvan/Regina--Lewvan"," 142C","Regina",110,3,100,3,87,2,305,493
47007,"Regina--Lewvan/Regina--Lewvan"," 143A","Regina",74,2,62,2,48,3,191,369
47007,"Regina--Lewvan/Regina--Lewvan"," 143B","Regina",67,1,72,3,42,0,185,335
47007,"Regina--Lewvan/Regina--Lewvan"," 144","Regina",59,0,76,0,53,0,188,351
47007,"Regina--Lewvan/Regina--Lewvan"," 145","Regina",48,0,121,5,56,0,230,361
47007,"Regina--Lewvan/Regina--Lewvan"," 146","Regina",49,0,96,5,50,1,201,355
47007,"Regina--Lewvan/Regina--Lewvan"," 147","Regina",76,4,64,1,52,3,200,362
47007,"Regina--Lewvan/Regina--Lewvan"," 148","Regina",61,4,90,3,67,0,225,379
47007,"Regina--Lewvan/Regina--Lewvan"," 149","Regina",71,1,90,2,53,0,217,352
47007,"Regina--Lewvan/Regina--Lewvan"," 150","Regina",79,2,74,11,84,0,250,393
47007,"Regina--Lewvan/Regina--Lewvan"," 500","Mobile poll/Bureau itinérant",49,1,66,3,40,1,160,164
47007,"Regina--Lewvan/Regina--Lewvan"," 501","Mobile poll/Bureau itinérant",40,1,55,6,49,6,157,293
47007,"Regina--Lewvan/Regina--Lewvan"," 502","Mobile poll/Bureau itinérant",20,1,21,4,18,4,68,170
47007,"Regina--Lewvan/Regina--Lewvan"," 503","Mobile poll/Bureau itinérant",26,2,28,6,30,9,101,277
47007,"Regina--Lewvan/Regina--Lewvan"," 600","Regina",191,9,433,9,193,3,838,
47007,"Regina--Lewvan/Regina--Lewvan"," 601","Regina",240,3,420,12,277,0,952,
47007,"Regina--Lewvan/Regina--Lewvan"," 602","Regina",187,2,360,8,226,2,785,
47007,"Regina--Lewvan/Regina--Lewvan"," 603","Regina",190,4,422,5,278,1,900,
47007,"Regina--Lewvan/Regina--Lewvan"," 604","Regina",174,3,319,9,304,2,811,
47007,"Regina--Lewvan/Regina--Lewvan"," 605","Regina",155,6,180,18,251,2,612,
47007,"Regina--Lewvan/Regina--Lewvan"," 606","Regina",151,2,187,7,410,0,757,
47007,"Regina--Lewvan/Regina--Lewvan"," 607","Regina",161,2,177,13,429,2,784,
47007,"Regina--Lewvan/Regina--Lewvan"," 608","Regina",234,1,377,8,270,3,893,
47007,"Regina--Lewvan/Regina--Lewvan"," 609","Regina",227,3,310,9,320,5,874,
47007,"Regina--Lewvan/Regina--Lewvan",,"Group 1/Groupe 1",57,0,25,3,45,6,136,114
47007,"Regina--Lewvan/Regina--Lewvan",,"Group 2/Groupe 2",404,9,371,34,755,32,1605,
