Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Andrew Cash,Julie Dzerowicz,Miguel Figueroa,Chai Kalevar,Carlos Oliveira,Dan Stein,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35018,"Davenport/Davenport"," 47","Toronto",102,150,5,2,32,6,0,297,572
35018,"Davenport/Davenport"," 48","Toronto",66,122,2,0,45,7,2,244,448
35018,"Davenport/Davenport"," 49","Toronto",113,136,4,0,42,8,1,304,549
35018,"Davenport/Davenport"," 50","Toronto",73,133,1,4,30,6,0,247,475
35018,"Davenport/Davenport"," 51","Toronto",100,133,1,1,29,8,1,273,533
35018,"Davenport/Davenport"," 52","Toronto",83,107,1,1,20,9,2,223,522
35018,"Davenport/Davenport"," 53","Toronto",63,121,1,1,49,5,1,241,535
35018,"Davenport/Davenport"," 54A","Toronto",85,120,2,0,21,5,0,233,467
35018,"Davenport/Davenport"," 54B","Toronto",80,120,1,0,14,3,0,218,451
35018,"Davenport/Davenport"," 55","Toronto",38,151,1,1,35,8,2,236,400
35018,"Davenport/Davenport"," 56","Toronto",39,135,1,1,22,2,2,202,414
35018,"Davenport/Davenport"," 57","Toronto",47,67,1,0,14,8,0,137,298
35018,"Davenport/Davenport"," 58","Toronto",33,92,0,1,15,2,0,143,365
35018,"Davenport/Davenport"," 59","Toronto",16,98,0,0,19,0,0,133,314
35018,"Davenport/Davenport"," 60","York",58,88,0,1,34,4,2,187,482
35018,"Davenport/Davenport"," 61","Toronto",44,118,0,2,27,5,2,198,401
35018,"Davenport/Davenport"," 62","Toronto",36,88,1,1,45,8,3,182,374
35018,"Davenport/Davenport"," 63","Toronto",61,102,4,3,47,6,4,227,430
35018,"Davenport/Davenport"," 64","Toronto",58,93,0,0,31,4,1,187,405
35018,"Davenport/Davenport"," 65","Toronto",51,126,1,1,34,5,0,218,447
35018,"Davenport/Davenport"," 66","Toronto",70,129,0,0,34,2,1,236,440
35018,"Davenport/Davenport"," 67","Toronto",34,78,0,0,24,3,1,140,312
35018,"Davenport/Davenport"," 68","Toronto",24,82,0,0,38,2,1,147,372
35018,"Davenport/Davenport"," 69","Toronto",53,106,3,0,27,6,2,197,386
35018,"Davenport/Davenport"," 70","Toronto",55,122,1,0,49,4,3,234,402
35018,"Davenport/Davenport"," 71","Toronto",66,119,3,0,32,7,0,227,408
35018,"Davenport/Davenport"," 72","Toronto",82,93,2,0,35,6,1,219,454
35018,"Davenport/Davenport"," 73","Toronto",22,64,1,0,16,1,0,104,269
35018,"Davenport/Davenport"," 74","Toronto",104,129,2,1,29,8,1,274,502
35018,"Davenport/Davenport"," 75","Toronto",95,127,1,0,35,13,3,274,531
35018,"Davenport/Davenport"," 76","Toronto",97,120,6,1,32,3,0,259,472
35018,"Davenport/Davenport"," 77","Toronto",77,117,1,0,26,3,3,227,452
35018,"Davenport/Davenport"," 78","Toronto",113,96,0,0,13,7,1,230,441
35018,"Davenport/Davenport"," 79","Toronto",120,102,0,1,18,5,1,247,482
35018,"Davenport/Davenport"," 80","Toronto",49,79,3,2,17,5,1,156,322
35018,"Davenport/Davenport"," 81","Toronto",66,86,0,0,19,3,0,174,364
35018,"Davenport/Davenport"," 82","Toronto",87,97,1,1,25,3,2,216,430
35018,"Davenport/Davenport"," 83","Toronto",123,144,1,0,17,19,5,309,487
35018,"Davenport/Davenport"," 84A","Toronto",62,58,0,0,17,7,0,144,362
35018,"Davenport/Davenport"," 84B","Toronto",69,67,0,0,15,2,1,154,392
35018,"Davenport/Davenport"," 84C","Toronto",54,59,0,1,14,3,1,132,373
35018,"Davenport/Davenport"," 85","Toronto",46,66,0,0,21,3,1,137,447
35018,"Davenport/Davenport"," 86","Toronto",51,73,3,0,20,2,2,151,342
35018,"Davenport/Davenport"," 87","Toronto",45,78,0,2,27,4,1,157,371
35018,"Davenport/Davenport"," 88","Toronto",73,94,0,2,14,5,0,188,373
35018,"Davenport/Davenport"," 89","Toronto",84,108,0,0,19,5,4,220,450
35018,"Davenport/Davenport"," 90","Toronto",61,79,2,1,15,3,0,161,359
35018,"Davenport/Davenport"," 91","Toronto",111,100,3,0,14,5,1,234,455
35018,"Davenport/Davenport"," 92","Toronto",117,87,1,0,16,2,1,224,436
35018,"Davenport/Davenport"," 93","Toronto",104,90,0,1,21,9,1,226,410
35018,"Davenport/Davenport"," 94","Toronto",97,103,3,0,30,5,4,242,527
35018,"Davenport/Davenport"," 95","Toronto",114,111,5,0,25,5,3,263,515
35018,"Davenport/Davenport"," 96","Toronto",108,106,1,1,20,3,4,243,454
35018,"Davenport/Davenport"," 97","Toronto",111,101,2,1,19,10,0,244,433
35018,"Davenport/Davenport"," 98","Toronto",155,104,0,0,28,6,0,293,457
35018,"Davenport/Davenport"," 99","Toronto",144,114,1,0,26,3,2,290,515
35018,"Davenport/Davenport"," 100","Toronto",100,110,0,1,24,2,4,241,472
35018,"Davenport/Davenport"," 101","Toronto",163,95,2,0,18,15,3,296,558
35018,"Davenport/Davenport"," 102","Toronto",105,106,2,2,20,8,1,244,454
35018,"Davenport/Davenport"," 103","Toronto",122,104,2,0,30,10,5,273,473
35018,"Davenport/Davenport"," 104","Toronto",73,121,0,2,30,12,2,240,316
35018,"Davenport/Davenport"," 105","Toronto",88,98,0,1,32,9,0,228,391
35018,"Davenport/Davenport"," 106","Toronto",109,103,1,0,27,7,2,249,447
35018,"Davenport/Davenport"," 107","Toronto",134,140,2,0,15,2,1,294,521
35018,"Davenport/Davenport"," 108","Toronto",72,79,4,2,15,15,1,188,362
35018,"Davenport/Davenport"," 109","Toronto",68,76,0,0,13,7,1,165,384
35018,"Davenport/Davenport"," 110","Toronto",69,79,4,1,16,7,0,176,390
35018,"Davenport/Davenport"," 111","Toronto",67,84,2,0,37,4,3,197,423
35018,"Davenport/Davenport"," 112","Toronto",98,111,0,0,13,6,5,233,488
35018,"Davenport/Davenport"," 113","Toronto",73,109,1,0,20,2,1,206,427
35018,"Davenport/Davenport"," 114","Toronto",82,105,1,1,17,3,0,209,420
35018,"Davenport/Davenport"," 115A","Toronto",83,70,0,0,15,6,1,175,328
35018,"Davenport/Davenport"," 115B","Toronto",74,84,1,1,14,12,0,186,323
35018,"Davenport/Davenport"," 116","Toronto",100,90,1,1,35,7,4,238,434
35018,"Davenport/Davenport"," 117","Toronto",87,85,2,1,16,9,1,201,328
35018,"Davenport/Davenport"," 118","Toronto",111,97,2,0,27,8,1,246,508
35018,"Davenport/Davenport"," 119","Toronto",81,101,0,2,10,11,1,206,433
35018,"Davenport/Davenport"," 120","Toronto",65,76,1,0,9,1,1,153,382
35018,"Davenport/Davenport"," 121","Toronto",63,63,2,0,26,8,0,162,331
35018,"Davenport/Davenport"," 121-1","Toronto",46,121,3,1,30,3,6,210,304
35018,"Davenport/Davenport"," 122A","Toronto",Merged with No./Fusionné avec le n°104,,,,,,,,88
35018,"Davenport/Davenport"," 122B","Toronto",93,77,2,0,25,7,1,205,398
35018,"Davenport/Davenport"," 123","Toronto",80,102,1,2,16,2,1,204,407
35018,"Davenport/Davenport"," 124","Toronto",71,87,1,0,10,3,0,172,316
35018,"Davenport/Davenport"," 125","Toronto",86,95,0,0,13,10,0,204,335
35018,"Davenport/Davenport"," 126","Toronto",100,97,1,2,12,13,2,227,405
35018,"Davenport/Davenport"," 127","Toronto",106,79,0,0,27,3,0,215,428
35018,"Davenport/Davenport"," 128","Toronto",105,97,1,0,21,9,1,234,429
35018,"Davenport/Davenport"," 129","Toronto",122,90,1,1,14,11,1,240,418
35018,"Davenport/Davenport"," 130","Toronto",122,118,3,1,19,6,4,273,443
35018,"Davenport/Davenport"," 131","Toronto",137,89,2,0,7,9,0,244,436
35018,"Davenport/Davenport"," 132","Toronto",127,95,1,0,21,11,0,255,433
35018,"Davenport/Davenport"," 133","Toronto",99,79,1,2,17,5,1,204,396
35018,"Davenport/Davenport"," 134","Toronto",75,75,1,0,12,1,0,164,303
35018,"Davenport/Davenport"," 135","Toronto",157,86,4,0,23,10,2,282,543
35018,"Davenport/Davenport"," 136","Toronto",131,78,0,0,13,5,0,227,446
35018,"Davenport/Davenport"," 137","Toronto",92,97,1,1,17,12,1,221,459
35018,"Davenport/Davenport"," 138","Toronto",84,93,0,0,13,6,2,198,393
35018,"Davenport/Davenport"," 139","Toronto",139,89,0,0,13,8,2,251,428
35018,"Davenport/Davenport"," 140","Toronto",104,76,1,0,23,8,1,213,389
35018,"Davenport/Davenport"," 141","Toronto",86,102,3,0,17,7,1,216,392
35018,"Davenport/Davenport"," 142","Toronto",98,97,0,0,15,2,0,212,381
35018,"Davenport/Davenport"," 143","Toronto",97,90,1,0,12,8,0,208,385
35018,"Davenport/Davenport"," 144","Toronto",91,77,1,0,18,4,0,191,398
35018,"Davenport/Davenport"," 145","Toronto",79,71,1,0,23,4,0,178,343
35018,"Davenport/Davenport"," 146","Toronto",101,114,1,0,12,6,0,234,413
35018,"Davenport/Davenport"," 147","Toronto",91,77,0,0,15,3,2,188,410
35018,"Davenport/Davenport"," 148","Toronto",91,74,0,0,22,3,1,191,421
35018,"Davenport/Davenport"," 149","Toronto",103,113,0,1,17,8,0,242,513
35018,"Davenport/Davenport"," 150","Toronto",67,75,0,0,27,4,0,173,359
35018,"Davenport/Davenport"," 151","Toronto",64,76,3,0,18,4,2,167,366
35018,"Davenport/Davenport"," 152","Toronto",105,67,0,0,31,13,0,216,428
35018,"Davenport/Davenport"," 153","Toronto",86,91,2,0,20,7,1,207,389
35018,"Davenport/Davenport"," 154","Toronto",94,78,0,0,24,21,0,217,368
35018,"Davenport/Davenport"," 155","Toronto",90,57,0,0,16,9,1,173,348
35018,"Davenport/Davenport"," 156","Toronto",50,73,2,0,18,5,0,148,369
35018,"Davenport/Davenport"," 157","Toronto",119,112,2,0,15,14,0,262,496
35018,"Davenport/Davenport"," 158","Toronto",98,135,3,1,21,10,3,271,488
35018,"Davenport/Davenport"," 159","Toronto",94,95,2,1,18,8,0,218,418
35018,"Davenport/Davenport"," 160","Toronto",118,163,0,1,30,8,2,322,585
35018,"Davenport/Davenport"," 161","Toronto",96,86,0,0,12,6,1,201,427
35018,"Davenport/Davenport"," 162","Toronto",115,130,3,0,28,8,0,284,478
35018,"Davenport/Davenport"," 163","Toronto",126,205,0,1,31,15,1,379,508
35018,"Davenport/Davenport"," 164A","Toronto",Merged with No./Fusionné avec le n°165B,,,,,,,,85
35018,"Davenport/Davenport"," 164B","Toronto",86,106,0,1,26,10,1,230,216
35018,"Davenport/Davenport"," 164C","Toronto",109,198,2,0,27,16,0,352,497
35018,"Davenport/Davenport"," 164D","Toronto",Merged with No./Fusionné avec le n°164B,,,,,,,,17
35018,"Davenport/Davenport"," 164-1","Toronto",105,188,0,0,36,8,0,337,462
35018,"Davenport/Davenport"," 165A","Toronto",106,162,1,0,27,6,1,303,434
35018,"Davenport/Davenport"," 165B","Toronto",67,39,0,0,8,4,0,118,127
35018,"Davenport/Davenport"," 165C","Toronto",Merged with No./Fusionné avec le n°164B,,,,,,,,193
35018,"Davenport/Davenport"," 400","Toronto",Void/Supprimé,,,,,,,,
35018,"Davenport/Davenport"," 401","Toronto",Void/Supprimé,,,,,,,,
35018,"Davenport/Davenport"," 402","Toronto",56,84,0,0,12,6,0,158,310
35018,"Davenport/Davenport"," 403","Toronto",65,104,1,0,16,7,0,193,385
35018,"Davenport/Davenport"," 404","Toronto",53,87,2,0,19,2,1,164,339
35018,"Davenport/Davenport"," 405","Toronto",45,51,0,0,6,5,0,107,270
35018,"Davenport/Davenport"," 406","Toronto",24,15,0,0,8,0,4,51,70
35018,"Davenport/Davenport"," 407","Toronto",5,29,0,0,10,1,2,47,76
35018,"Davenport/Davenport"," 408","Toronto",12,74,0,0,19,0,8,113,133
35018,"Davenport/Davenport"," 600","Toronto",165,258,2,0,96,14,5,540,
35018,"Davenport/Davenport"," 601","Toronto",323,294,2,0,75,21,4,719,
35018,"Davenport/Davenport"," 602","Toronto",353,413,7,1,98,28,3,903,
35018,"Davenport/Davenport"," 603","Toronto",231,222,5,2,44,17,1,522,
35018,"Davenport/Davenport"," 604","Toronto",420,251,1,3,69,27,1,772,
35018,"Davenport/Davenport"," 605","Toronto",579,303,7,2,58,30,2,981,
35018,"Davenport/Davenport"," 606","Toronto",520,351,0,0,102,37,4,1014,
35018,"Davenport/Davenport"," 607","Toronto",566,239,4,1,43,37,1,891,
35018,"Davenport/Davenport"," 608","Toronto",490,209,0,0,33,47,1,780,
35018,"Davenport/Davenport"," 609","Toronto",678,336,5,3,45,41,1,1109,
35018,"Davenport/Davenport"," 610","Toronto",485,257,3,2,54,25,2,828,
35018,"Davenport/Davenport",,"Group 1/Groupe 1",63,52,2,1,10,5,10,143,154
35018,"Davenport/Davenport",,"Group 2/Groupe 2",1054,419,12,5,79,72,19,1660,
