Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Leslie Bory,Dave Bylsma,Wayne Ettinger,Diane Finley,John Harris,Joan Mouland,Dustin Wakeford,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 62","Haldimand County",1,0,2,84,34,131,0,1,253,432
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 63A","Haldimand County",0,1,9,70,24,89,0,0,193,319
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 63B","Haldimand County",1,1,3,71,24,58,0,1,159,286
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 64","Norfolk County",0,3,14,132,49,75,2,1,276,441
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 65","Norfolk County",0,3,8,150,30,87,0,3,281,442
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 66","Norfolk County",1,2,13,120,54,76,0,5,271,466
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 67","Norfolk County",1,5,5,149,35,105,0,3,303,524
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 68","Norfolk County",0,1,4,104,44,87,2,3,245,448
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 69","Norfolk County",2,5,5,73,26,87,1,2,201,371
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 70","Norfolk County",0,2,13,60,51,100,2,1,229,448
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 71","Norfolk County",0,4,13,139,57,98,2,1,314,549
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 72","Norfolk County",0,1,6,104,27,73,1,0,212,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 73","Norfolk County",1,3,3,99,32,92,1,2,233,433
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 74","Norfolk County",2,0,11,94,46,75,0,0,228,458
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 75","Norfolk County",0,4,6,86,36,98,1,2,233,419
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 76","Norfolk County",2,3,10,128,40,116,0,4,303,547
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 77","Norfolk County",1,5,18,117,30,80,1,0,252,406
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 78","Norfolk County",1,23,5,144,47,64,1,1,286,530
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 79","Norfolk County",1,8,10,125,38,97,0,2,281,462
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 80","Norfolk County",1,5,5,69,30,63,0,3,176,413
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 81","Norfolk County",1,1,6,94,32,62,2,0,198,425
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 82","Norfolk County",0,0,4,98,26,96,0,4,228,477
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 83","Norfolk County",0,4,5,82,30,76,1,3,201,446
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 84","Norfolk County",0,2,5,94,23,107,3,3,237,558
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 85","Norfolk County",0,5,9,75,43,116,3,2,253,564
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 86","Norfolk County",1,0,3,75,20,79,2,1,181,369
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 87","Norfolk County",0,9,4,111,22,88,2,1,237,480
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 88","Norfolk County",0,2,1,105,42,100,1,1,252,477
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 89","Norfolk County",0,3,10,115,27,104,1,0,260,434
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 90","Norfolk County",1,6,5,118,36,102,2,1,271,437
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 91A","Haldimand County",2,4,0,129,45,77,1,5,263,473
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 91B","Haldimand County",2,3,0,47,3,13,0,3,71,81
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 92","Haldimand County",1,14,10,115,45,82,1,0,268,433
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 93","Haldimand County",0,15,4,125,14,72,0,1,231,405
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 93-1","Haldimand County",0,1,2,36,18,30,0,1,88,187
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 94","Haldimand County",2,2,2,97,27,47,0,0,177,273
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 95","Haldimand County",0,0,6,105,30,80,1,0,222,366
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 96","Haldimand County",1,1,1,70,33,63,1,2,172,290
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 97","Haldimand County",1,7,14,114,44,96,0,1,277,494
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 97-1","Haldimand County",1,5,6,77,28,54,1,0,172,350
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 98","Haldimand County",3,3,14,129,34,76,2,2,263,400
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 99","Haldimand County",2,7,17,131,46,86,0,1,290,480
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 100","Haldimand County",Void/Supprimé,,,,,,,,,
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 101","Haldimand County",1,11,7,74,43,77,1,3,217,415
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 101-1","Haldimand County",0,7,0,69,10,26,0,0,112,200
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 102","Haldimand County",0,1,16,78,29,62,1,0,187,358
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 103","Haldimand County",2,2,13,70,60,81,0,0,228,436
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 104","Haldimand County",0,2,9,86,37,75,2,5,216,413
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 105","Haldimand County",0,1,5,72,39,80,2,0,199,390
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 106","Norfolk County",0,2,2,94,18,89,1,2,208,385
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 107","Norfolk County",0,2,5,74,21,61,0,2,165,384
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 108","Norfolk County",1,3,7,54,25,102,0,1,193,393
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 109","Norfolk County",1,2,5,77,16,99,2,2,204,375
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 109-1","Norfolk County",1,4,2,45,8,23,3,0,86,167
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 110","Norfolk County",0,1,5,127,41,141,1,2,318,557
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 111","Norfolk County",1,1,7,81,26,106,2,0,224,449
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 112","Norfolk County",1,1,3,52,23,75,0,2,157,333
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 113","Norfolk County",0,1,11,44,37,83,0,1,177,308
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 114","Norfolk County",0,5,11,130,35,140,1,2,324,588
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 115","Norfolk County",0,0,8,89,19,107,1,2,226,402
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 116","Norfolk County",0,2,6,74,35,79,1,2,199,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 117","Norfolk County",0,5,6,59,33,74,1,1,179,380
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 118","Norfolk County",1,2,7,66,38,86,1,2,203,391
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 119","Norfolk County",1,3,7,71,33,93,1,2,211,400
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 120","Norfolk County",1,2,9,68,30,94,1,5,210,375
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 121","Norfolk County",0,1,10,73,33,89,2,2,210,455
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 122","Norfolk County",0,3,8,97,29,69,4,0,210,450
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 123","Norfolk County",4,7,0,78,38,99,3,2,231,506
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 124","Norfolk County",0,3,14,88,30,110,3,4,252,453
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 125","Norfolk County",0,4,14,69,52,127,1,2,269,520
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 126","Norfolk County",0,3,5,110,48,92,2,2,262,533
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 127","Norfolk County",0,1,12,100,39,68,2,1,223,459
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 128","Norfolk County",0,2,11,112,24,76,3,0,228,457
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 129","Norfolk County",0,0,3,90,29,69,0,0,191,373
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 130","Norfolk County",2,3,7,66,29,90,3,0,200,429
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 131","Norfolk County",1,4,9,65,31,88,5,1,204,372
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 132","Norfolk County",0,3,5,108,20,89,2,0,227,417
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 133","Norfolk County",0,1,10,91,44,108,2,0,256,506
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 134","Norfolk County",0,2,3,85,35,101,1,0,227,455
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 135","Norfolk County",2,2,6,53,35,65,5,0,168,395
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 136","Norfolk County",0,1,3,52,22,70,2,1,151,364
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 137","Norfolk County",2,3,9,84,22,119,1,1,241,467
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 138","Norfolk County",1,1,11,46,22,62,3,2,148,430
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 139","Norfolk County",0,4,10,48,36,77,0,0,175,408
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 140","Norfolk County",2,2,12,57,23,65,2,1,164,401
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 141","Norfolk County",1,2,8,33,29,83,5,1,162,391
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 142","Norfolk County",0,5,8,84,21,90,1,1,210,392
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 143","Norfolk County",0,0,7,103,25,117,0,1,253,415
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 144","Norfolk County",0,0,12,103,18,119,0,2,254,456
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 145","Norfolk County",0,1,7,59,26,93,3,0,189,437
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 146","Norfolk County",0,2,8,88,22,72,1,0,193,351
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 147","Norfolk County",1,2,3,68,21,93,0,3,191,365
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 148","Norfolk County",0,0,11,88,28,112,1,0,240,466
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 149","Norfolk County",1,0,3,46,18,74,4,0,146,362
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 150","Norfolk County",0,1,5,61,17,68,4,1,157,371
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 151","Norfolk County",0,3,5,69,24,83,1,1,186,357
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 152A","Norfolk County",1,2,2,64,11,77,0,2,159,311
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 152B","Norfolk County",0,0,4,66,11,63,1,0,145,296
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 153","Norfolk County",0,2,3,54,29,85,0,0,173,395
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 154","Norfolk County",1,2,7,60,41,68,1,0,180,437
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 155","Norfolk County",0,2,7,57,39,58,0,1,164,421
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 156","Norfolk County",0,2,6,75,34,73,1,1,192,407
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 157","Norfolk County",0,0,4,98,20,100,1,2,225,495
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 158","Norfolk County",0,1,12,79,19,61,2,5,179,425
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 159","Norfolk County",0,1,7,105,22,62,0,1,198,452
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 160","Norfolk County",1,2,10,64,38,71,2,3,191,352
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 161","Norfolk County",0,1,2,85,27,75,0,0,190,392
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 162","Norfolk County",0,1,3,55,31,73,2,1,166,382
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 163","Norfolk County",1,2,5,76,30,70,3,0,187,421
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 164","Norfolk County",0,2,6,75,29,71,0,0,183,395
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 165","Norfolk County",0,1,5,50,8,35,1,2,102,213
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 165-1","Norfolk County",2,1,4,70,23,29,0,0,129,268
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 166","Norfolk County",0,9,8,105,27,63,0,0,212,429
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 167","Norfolk County",1,1,11,126,35,54,0,1,229,444
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 168","Norfolk County",0,3,2,87,17,50,0,0,159,359
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 169","Norfolk County",2,5,15,150,28,91,1,5,297,587
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 170","Norfolk County",0,7,14,124,29,83,0,0,257,504
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 171","Norfolk County",1,1,6,108,21,69,1,2,209,403
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 172","Norfolk County",1,4,16,94,29,46,3,4,197,392
35033,"Haldimand--Norfolk/Haldimand--Norfolk"," 173","Norfolk County",0,3,1,82,12,45,2,0,145,271
