Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arnold Chan,Bin Chang,Jude Coutinho,Laura Patrick,Debra Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 40","Scarborough",109,68,2,15,5,0,199,384
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 41","Scarborough",108,65,4,23,4,1,205,500
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 42","Scarborough",89,52,4,11,5,0,161,326
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 43","Scarborough",67,73,0,17,1,0,158,350
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 44","Scarborough",140,69,3,23,5,0,240,466
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 45","Scarborough",83,59,5,10,1,2,160,341
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 46","Scarborough",81,50,1,8,2,0,142,430
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 47","Scarborough",70,61,0,18,1,2,152,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 48","Scarborough",69,24,3,12,1,1,110,291
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 49","Scarborough",122,21,2,16,2,2,165,368
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 50","Scarborough",129,58,4,34,2,0,227,463
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 51","Scarborough",84,45,3,9,1,0,142,375
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 52","Scarborough",101,51,3,12,2,7,176,394
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 53A","Scarborough",39,39,0,7,0,0,85,260
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 53B","Scarborough",Merged with No./Fusionné avec le n°419,,,,,,,122
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 54","Scarborough",116,47,0,18,4,1,186,408
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 55","Scarborough",84,80,1,6,3,2,176,421
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 56","Scarborough",93,50,2,10,2,5,162,345
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 57","Scarborough",117,56,1,16,0,0,190,341
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 58","Scarborough",149,23,1,21,2,1,197,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 59","Scarborough",115,47,2,16,0,0,180,385
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 60","Scarborough",140,46,2,27,3,0,218,496
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 61","Scarborough",108,110,3,33,5,0,259,501
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 62","Scarborough",84,77,4,15,2,1,183,458
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 63","Scarborough",59,70,0,13,1,0,143,320
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 64","Scarborough",104,102,1,10,3,2,222,412
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 65","Scarborough",88,86,1,11,0,0,186,404
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 66","Scarborough",68,49,3,14,1,0,135,321
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 67","Scarborough",91,50,1,20,1,1,164,443
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 68","Scarborough",108,112,2,27,4,2,255,478
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 69","Scarborough",85,37,0,12,1,1,136,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 70","Scarborough",102,65,1,8,1,0,177,386
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 71","Scarborough",93,84,3,9,1,0,190,400
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 72","Scarborough",94,66,1,9,3,0,173,357
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 73","Scarborough",72,70,0,10,2,1,155,341
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 74","Scarborough",79,54,0,15,1,0,149,377
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 75","Scarborough",105,87,0,17,4,0,213,429
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 76","Scarborough",97,81,0,8,5,0,191,412
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 77","Scarborough",92,127,3,6,4,0,232,443
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 78","Scarborough",99,69,2,3,3,0,176,461
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 79","Scarborough",62,66,0,7,3,0,138,346
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 80","Scarborough",69,55,1,12,0,0,137,405
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 81","Scarborough",85,66,0,21,2,0,174,464
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 82","Scarborough",75,51,1,14,4,3,148,452
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 83","Scarborough",50,63,1,8,0,0,122,269
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 84","Scarborough",69,62,0,15,1,1,148,301
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 85","Scarborough",78,61,1,8,5,0,153,509
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 86A","Scarborough",62,39,0,9,2,0,112,434
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 86B","Scarborough",Merged with No./Fusionné avec le n°87,,,,,,,104
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 87","Scarborough",83,65,1,13,1,2,165,352
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 88","Scarborough",Merged with No./Fusionné avec le n°448,,,,,,,97
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 89","Scarborough",88,39,0,19,2,1,149,371
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 90","Scarborough",93,77,1,10,1,1,183,399
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 91","Scarborough",130,72,1,7,4,0,214,452
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 92","Scarborough",98,71,2,23,3,1,198,457
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 93","Scarborough",96,76,1,23,5,3,204,357
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 94","Scarborough",130,83,2,22,2,3,242,448
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 95A","Scarborough",69,38,1,19,1,0,128,301
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 95B","Scarborough",76,41,1,15,0,2,135,310
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 96","Scarborough",78,38,0,11,1,3,131,323
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 97A","Scarborough",74,82,0,4,1,0,161,267
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 97B","Scarborough",52,128,0,10,0,3,193,360
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 98","Scarborough",107,61,3,17,2,2,192,432
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 99","Scarborough",85,76,2,13,4,0,180,467
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 100","Scarborough",86,64,1,9,0,0,160,406
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 101","Scarborough",115,55,1,27,3,0,201,447
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 102","Scarborough",115,33,0,19,0,5,172,449
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 103","Scarborough",77,46,0,17,1,0,141,389
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 104","Scarborough",178,75,2,18,4,1,278,455
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 105","Scarborough",148,126,4,28,1,2,309,501
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 106","Scarborough",174,94,0,31,10,2,311,531
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 107","Scarborough",133,77,2,9,3,1,225,448
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 108","Scarborough",85,65,1,8,2,1,162,427
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 109","Scarborough",135,74,3,17,1,1,231,466
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 110","Scarborough",69,51,1,7,2,0,130,291
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 111","Scarborough",90,58,3,7,7,2,167,363
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 112","Scarborough",78,75,4,14,9,0,180,378
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 113","Scarborough",91,69,0,19,0,1,180,499
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 114","Scarborough",115,21,3,13,2,0,154,479
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 115","Scarborough",70,44,3,16,2,1,136,396
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 116","Scarborough",79,41,3,14,0,0,137,397
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 117","Scarborough",114,67,2,17,1,1,202,479
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 118","Scarborough",98,96,1,23,5,1,224,377
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 119","Scarborough",127,83,1,30,5,0,246,459
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 120","Scarborough",123,82,2,33,4,1,245,457
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 121","Scarborough",120,84,0,21,7,1,233,441
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 122","Scarborough",95,65,6,19,2,2,189,413
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 123","Scarborough",97,81,1,12,4,0,195,482
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 124","Scarborough",94,64,1,22,7,1,189,355
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 125","Scarborough",90,54,0,16,2,0,162,352
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 126","Scarborough",119,53,0,19,3,1,195,374
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 127","Scarborough",85,66,0,10,1,4,166,347
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 128","Scarborough",123,55,1,18,1,2,200,465
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 129","Scarborough",85,49,0,12,0,0,146,286
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 130","Scarborough",108,69,0,20,2,5,204,427
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 131","Scarborough",108,56,2,25,4,2,197,315
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 400","Scarborough",93,69,0,19,3,0,184,369
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 401","Scarborough",64,53,0,19,3,0,139,346
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 402","Scarborough",70,124,2,3,3,5,207,376
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 403","Scarborough",84,66,1,9,2,2,164,418
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 404","Scarborough",57,74,0,10,2,1,144,359
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 405","Scarborough",72,32,0,10,2,2,118,351
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 406","Scarborough",82,139,6,13,1,3,244,484
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 407","Scarborough",96,120,2,2,2,4,226,496
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 408","Scarborough",92,126,2,10,10,0,240,515
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 409A","Scarborough",51,87,2,4,1,1,146,272
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 409B","Scarborough",53,92,1,5,3,2,156,303
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 410","Scarborough",72,113,2,12,3,5,207,350
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 411","Scarborough",83,48,1,8,2,0,142,285
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 412","Scarborough",76,57,3,4,3,2,145,339
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 413","Scarborough",140,59,4,18,5,0,226,486
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 414","Scarborough",141,59,3,25,5,1,234,468
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 415","Scarborough",138,140,4,15,2,1,300,440
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 416","Scarborough",152,145,4,12,5,1,319,470
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 417","Scarborough",64,28,4,11,1,0,108,295
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 418","Scarborough",99,34,0,17,1,0,151,310
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 419","Scarborough",81,130,4,12,3,3,233,281
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 420","Scarborough",53,21,1,9,1,0,85,252
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 421","Scarborough",49,22,1,14,2,0,88,225
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 422","Scarborough",53,21,0,5,1,1,81,215
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 423","Scarborough",48,23,0,13,1,0,85,217
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 424","Scarborough",53,19,0,8,1,0,81,206
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 425","Scarborough",92,41,3,13,2,0,151,366
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 426","Scarborough",91,48,4,19,4,1,167,293
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 427","Scarborough",98,49,3,20,0,0,170,280
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 428","Scarborough",85,62,1,13,0,1,162,305
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 429","Scarborough",85,57,0,22,2,1,167,370
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 430","Scarborough",53,61,1,11,0,0,126,335
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 431","Scarborough",Merged with No./Fusionné avec le n°84,,,,,,,170
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 432","Scarborough",66,17,1,23,4,2,113,241
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 433","Scarborough",48,19,0,12,4,0,83,244
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 434","Scarborough",129,127,0,9,0,2,267,529
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 435","Scarborough",136,64,1,16,5,0,222,410
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 436","Scarborough",124,58,0,18,0,1,201,371
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 437","Scarborough",57,24,1,12,1,0,95,221
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 438","Scarborough",94,105,4,7,3,1,214,338
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 439","Scarborough",53,133,0,2,2,1,191,242
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 440","Scarborough",21,64,0,8,3,1,97,145
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 441","Scarborough",80,120,3,4,0,3,210,301
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 442","Scarborough",78,36,1,15,1,0,131,389
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 443","Scarborough",61,100,3,5,3,5,177,275
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 444","Scarborough",71,115,1,2,2,2,193,358
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 445","Scarborough",83,115,3,9,1,0,211,404
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 446","Scarborough",73,140,2,15,3,0,233,397
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 447","Scarborough",61,34,1,14,1,0,111,239
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 448","Scarborough",88,47,0,14,2,0,151,235
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 500","Mobile poll/Bureau itinérant",67,84,5,6,0,0,162,306
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 501","Mobile poll/Bureau itinérant",46,72,0,3,1,2,124,381
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 600","Scarborough",308,232,7,27,9,2,585,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 601","Scarborough",495,322,2,47,15,5,886,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 602","Scarborough",335,269,4,37,13,3,661,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 603","Scarborough",371,228,2,73,17,6,697,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 604","Scarborough",327,244,2,42,10,5,630,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 605","Scarborough",530,283,14,101,16,2,946,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 606","Scarborough",579,439,10,85,22,3,1138,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 607","Scarborough",505,307,3,61,13,9,898,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 608","Scarborough",332,281,4,53,7,1,678,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 609","Scarborough",411,351,2,88,13,3,868,
35093,"Scarborough--Agincourt/Scarborough--Agincourt"," 610","Scarborough",497,253,8,95,10,3,866,
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,"Group 1/Groupe 1",48,6,1,6,0,0,61,64
35093,"Scarborough--Agincourt/Scarborough--Agincourt",,"Group 2/Groupe 2",482,293,8,95,8,13,899,
