Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Peter Braid,Bardish Chagger,Diane Freeman,Emma Hawley-Yan,Richard Walsh,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35112,"Waterloo/Waterloo"," 157","Waterloo",28,52,33,0,8,1,122,276
35112,"Waterloo/Waterloo"," 158","Waterloo",92,105,46,0,12,2,257,420
35112,"Waterloo/Waterloo"," 159","Waterloo",35,74,25,1,5,0,140,330
35112,"Waterloo/Waterloo"," 160","Waterloo",26,108,30,0,7,1,172,346
35112,"Waterloo/Waterloo"," 161","Waterloo",67,149,56,0,5,1,278,493
35112,"Waterloo/Waterloo"," 162","Waterloo",82,104,44,0,6,3,239,451
35112,"Waterloo/Waterloo"," 163","Waterloo",71,132,17,0,7,0,227,474
35112,"Waterloo/Waterloo"," 164","Waterloo",73,97,20,0,1,1,192,360
35112,"Waterloo/Waterloo"," 165","Waterloo",35,99,32,0,1,1,168,386
35112,"Waterloo/Waterloo"," 166","Waterloo",58,76,30,0,10,1,175,324
35112,"Waterloo/Waterloo"," 167","Waterloo",44,65,25,0,3,0,137,273
35112,"Waterloo/Waterloo"," 168","Waterloo",63,139,56,0,10,0,268,427
35112,"Waterloo/Waterloo"," 169","Waterloo",77,107,41,1,4,1,231,395
35112,"Waterloo/Waterloo"," 170","Waterloo",59,101,24,0,4,1,189,280
35112,"Waterloo/Waterloo"," 171","Waterloo",84,135,20,0,3,2,244,421
35112,"Waterloo/Waterloo"," 172","Waterloo",68,79,23,0,10,0,180,319
35112,"Waterloo/Waterloo"," 173","Waterloo",56,106,27,0,5,0,194,342
35112,"Waterloo/Waterloo"," 174","Waterloo",79,98,46,0,1,0,224,333
35112,"Waterloo/Waterloo"," 175A","Waterloo",40,82,33,0,4,0,159,249
35112,"Waterloo/Waterloo"," 175B","Waterloo",60,83,33,0,6,0,182,282
35112,"Waterloo/Waterloo"," 176","Waterloo",85,136,34,2,6,0,263,473
35112,"Waterloo/Waterloo"," 177","Waterloo",68,163,61,0,16,0,308,487
35112,"Waterloo/Waterloo"," 178","Waterloo",82,104,47,0,7,0,240,394
35112,"Waterloo/Waterloo"," 179","Waterloo",66,128,27,0,6,1,228,378
35112,"Waterloo/Waterloo"," 180","Waterloo",64,110,28,1,8,1,212,321
35112,"Waterloo/Waterloo"," 181","Waterloo",76,101,29,0,4,1,211,329
35112,"Waterloo/Waterloo"," 182","Waterloo",99,131,27,0,2,1,260,440
35112,"Waterloo/Waterloo"," 183","Waterloo",83,140,36,0,6,1,266,431
35112,"Waterloo/Waterloo"," 184","Waterloo",97,166,39,0,5,2,309,481
35112,"Waterloo/Waterloo"," 185A","Waterloo",43,53,12,0,6,0,114,240
35112,"Waterloo/Waterloo"," 185B","Waterloo",43,82,20,0,9,0,154,265
35112,"Waterloo/Waterloo"," 186","Waterloo",75,143,45,1,5,0,269,480
35112,"Waterloo/Waterloo"," 187","Waterloo",53,116,19,1,6,0,195,337
35112,"Waterloo/Waterloo"," 188","Waterloo",50,116,15,0,3,0,184,304
35112,"Waterloo/Waterloo"," 189","Waterloo",47,113,21,0,4,0,185,293
35112,"Waterloo/Waterloo"," 190","Waterloo",71,94,6,0,1,0,172,284
35112,"Waterloo/Waterloo"," 191","Waterloo",126,125,22,0,1,0,274,472
35112,"Waterloo/Waterloo"," 192","Waterloo",48,98,12,0,1,0,159,286
35112,"Waterloo/Waterloo"," 193","Waterloo",123,320,73,2,16,3,537,665
35112,"Waterloo/Waterloo"," 400","Waterloo",21,76,25,0,6,1,129,296
35112,"Waterloo/Waterloo"," 500","Mobile poll/Bureau itinérant",50,40,15,0,2,0,107,144
35112,"Waterloo/Waterloo"," 501","Mobile poll/Bureau itinérant",43,53,6,0,3,3,108,191
35112,"Waterloo/Waterloo"," 502","Mobile poll/Bureau itinérant",43,57,14,0,1,1,116,141
35112,"Waterloo/Waterloo"," 503","Mobile poll/Bureau itinérant",54,50,14,0,8,2,128,257
35112,"Waterloo/Waterloo"," 504A","Mobile poll/Bureau itinérant",50,50,11,4,4,0,119,150
35112,"Waterloo/Waterloo"," 504B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,65
35112,"Waterloo/Waterloo"," 600","Waterloo",356,399,91,0,17,0,863,
35112,"Waterloo/Waterloo"," 601","Waterloo",421,595,131,0,18,3,1168,
35112,"Waterloo/Waterloo"," 602","Waterloo",154,255,119,0,14,2,544,
35112,"Waterloo/Waterloo"," 603","Waterloo",363,361,117,2,18,4,865,
35112,"Waterloo/Waterloo"," 604","Waterloo",342,364,78,0,23,0,807,
35112,"Waterloo/Waterloo"," 605","Waterloo",206,294,99,0,18,0,617,
35112,"Waterloo/Waterloo"," 606","Kitchener",217,238,75,1,15,2,548,
35112,"Waterloo/Waterloo"," 607","Waterloo",218,359,126,0,24,1,728,
35112,"Waterloo/Waterloo"," 608","Waterloo",185,446,176,3,32,1,843,
35112,"Waterloo/Waterloo"," 609","Waterloo",221,385,58,1,19,3,687,
35112,"Waterloo/Waterloo"," 610","Waterloo",311,491,168,2,30,1,1003,
35112,"Waterloo/Waterloo"," 611","Waterloo",370,509,126,1,22,0,1028,
35112,"Waterloo/Waterloo"," 612","Waterloo",235,352,76,2,14,2,681,
35112,"Waterloo/Waterloo",,"Group 1/Groupe 1",29,99,32,0,4,6,170,197
35112,"Waterloo/Waterloo",,"Group 2/Groupe 2",461,1286,458,3,77,16,2301,
