Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Elaine Marie Hughes,Brooke Taylor Malinoski,Doug Ottenbreit,Cathay Wagantall,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47014,"Yorkton--Melville /Yorkton--Melville "," 154","Yorkton",4,44,43,63,0,154,368
47014,"Yorkton--Melville /Yorkton--Melville "," 155","Yorkton",5,38,37,91,0,171,370
47014,"Yorkton--Melville /Yorkton--Melville "," 156","Yorkton",15,58,50,110,0,233,435
47014,"Yorkton--Melville /Yorkton--Melville "," 157","Yorkton",6,50,41,78,0,175,362
47014,"Yorkton--Melville /Yorkton--Melville "," 158","Yorkton",8,48,51,61,2,170,383
47014,"Yorkton--Melville /Yorkton--Melville "," 159","Yorkton",8,35,54,71,1,169,404
47014,"Yorkton--Melville /Yorkton--Melville "," 160","Yorkton",3,45,39,66,0,153,365
47014,"Yorkton--Melville /Yorkton--Melville "," 161","Yorkton",3,32,45,92,3,175,346
47014,"Yorkton--Melville /Yorkton--Melville "," 162","Yorkton",6,59,52,156,2,275,440
47014,"Yorkton--Melville /Yorkton--Melville "," 163","Yorkton",2,68,35,189,0,294,473
47014,"Yorkton--Melville /Yorkton--Melville "," 164","Yorkton",2,44,32,170,1,249,413
47014,"Yorkton--Melville /Yorkton--Melville "," 165","Yorkton",8,38,29,84,0,159,308
47014,"Yorkton--Melville /Yorkton--Melville "," 166","Yorkton",2,45,29,162,1,239,425
47014,"Yorkton--Melville /Yorkton--Melville "," 167","Yorkton",4,50,54,108,0,216,481
47014,"Yorkton--Melville /Yorkton--Melville "," 168","Yorkton",6,51,41,101,0,199,370
47014,"Yorkton--Melville /Yorkton--Melville "," 169","Yorkton",4,42,53,69,0,168,343
47014,"Yorkton--Melville /Yorkton--Melville "," 170","Yorkton",8,54,72,96,1,231,412
47014,"Yorkton--Melville /Yorkton--Melville "," 171","Yorkton",1,53,33,112,2,201,349
47014,"Yorkton--Melville /Yorkton--Melville "," 172","Yorkton",6,52,44,68,0,170,370
47014,"Yorkton--Melville /Yorkton--Melville "," 173","Yorkton",5,60,44,118,3,230,440
47014,"Yorkton--Melville /Yorkton--Melville "," 174","Yorkton",9,40,39,107,2,197,440
47014,"Yorkton--Melville /Yorkton--Melville "," 175","Yorkton",3,45,39,115,0,202,356
47014,"Yorkton--Melville /Yorkton--Melville "," 176","Yorkton",9,55,33,129,0,226,405
47014,"Yorkton--Melville /Yorkton--Melville "," 177","Yorkton",1,56,38,129,0,224,399
47014,"Yorkton--Melville /Yorkton--Melville "," 178","Yorkton",7,66,34,97,0,204,356
47014,"Yorkton--Melville /Yorkton--Melville "," 179","Melville",2,44,47,107,2,202,386
47014,"Yorkton--Melville /Yorkton--Melville "," 180","Wadena",Void/Supprimé,,,,,,
47014,"Yorkton--Melville /Yorkton--Melville "," 181","Porcupine Plain",9,29,36,117,1,192,409
47014,"Yorkton--Melville /Yorkton--Melville "," 500","Mobile poll/Bureau itinérant",0,8,10,13,2,33,33
47014,"Yorkton--Melville /Yorkton--Melville "," 501","Mobile poll/Bureau itinérant",3,7,11,9,2,32,55
