Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Suzanna Dieleman,Ali Hamadi,Irene Mathyssen,Matthew Peloza,Khalil Ramal,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35051,"London--Fanshawe/London--Fanshawe"," 114","London",47,2,55,3,76,0,183,376
35051,"London--Fanshawe/London--Fanshawe"," 115","London",105,1,67,6,73,0,252,473
35051,"London--Fanshawe/London--Fanshawe"," 116","London",73,0,94,10,85,0,262,484
35051,"London--Fanshawe/London--Fanshawe"," 117","London",81,1,89,7,92,2,272,445
35051,"London--Fanshawe/London--Fanshawe"," 118","London",96,0,102,11,107,0,316,572
35051,"London--Fanshawe/London--Fanshawe"," 119","London",60,2,96,7,80,0,245,376
35051,"London--Fanshawe/London--Fanshawe"," 120","London",96,3,87,11,66,3,266,446
35051,"London--Fanshawe/London--Fanshawe"," 121","London",66,2,96,4,70,3,241,455
35051,"London--Fanshawe/London--Fanshawe"," 122","London",58,0,71,2,52,3,186,373
35051,"London--Fanshawe/London--Fanshawe"," 123","London",49,1,59,4,71,1,185,389
35051,"London--Fanshawe/London--Fanshawe"," 124","London",55,3,62,6,94,0,220,495
35051,"London--Fanshawe/London--Fanshawe"," 125","London",55,2,96,5,84,0,242,459
35051,"London--Fanshawe/London--Fanshawe"," 126","London",65,1,93,7,68,2,236,432
35051,"London--Fanshawe/London--Fanshawe"," 127","London",49,0,57,1,56,1,164,353
35051,"London--Fanshawe/London--Fanshawe"," 128","London",59,1,98,5,58,2,223,405
35051,"London--Fanshawe/London--Fanshawe"," 129","London",83,5,84,12,76,1,261,433
35051,"London--Fanshawe/London--Fanshawe"," 130","London",49,1,79,10,58,1,198,456
35051,"London--Fanshawe/London--Fanshawe"," 131","London",69,2,76,5,59,0,211,351
35051,"London--Fanshawe/London--Fanshawe"," 132","London",52,3,84,7,81,1,228,504
35051,"London--Fanshawe/London--Fanshawe"," 133","London",91,3,96,17,90,1,298,468
35051,"London--Fanshawe/London--Fanshawe"," 134","London",50,0,64,5,63,0,182,444
35051,"London--Fanshawe/London--Fanshawe"," 135","London",77,1,52,6,66,1,203,381
35051,"London--Fanshawe/London--Fanshawe"," 136","London",66,3,86,10,64,0,229,372
35051,"London--Fanshawe/London--Fanshawe"," 137","London",89,2,88,6,87,0,272,541
35051,"London--Fanshawe/London--Fanshawe"," 138","London",29,1,46,2,51,0,129,269
35051,"London--Fanshawe/London--Fanshawe"," 139","London",69,1,64,8,76,4,222,430
35051,"London--Fanshawe/London--Fanshawe"," 140","London",78,3,78,0,77,1,237,378
35051,"London--Fanshawe/London--Fanshawe"," 141A","London",54,0,42,2,42,0,140,226
35051,"London--Fanshawe/London--Fanshawe"," 141B","Mobile poll/Bureau itinérant",39,2,31,0,31,1,104,119
35051,"London--Fanshawe/London--Fanshawe"," 142","London",57,2,112,10,84,2,267,468
35051,"London--Fanshawe/London--Fanshawe"," 143","London",86,1,67,4,82,0,240,395
35051,"London--Fanshawe/London--Fanshawe"," 144","London",54,1,90,8,96,2,251,501
35051,"London--Fanshawe/London--Fanshawe"," 145","London",56,0,58,5,68,0,187,354
35051,"London--Fanshawe/London--Fanshawe"," 146","London",73,0,90,8,98,0,269,441
35051,"London--Fanshawe/London--Fanshawe"," 147","London",20,1,23,2,20,3,69,231
35051,"London--Fanshawe/London--Fanshawe"," 148A","London",81,0,73,9,92,1,256,504
35051,"London--Fanshawe/London--Fanshawe"," 148B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,176
35051,"London--Fanshawe/London--Fanshawe"," 149","London",76,2,77,3,99,0,257,524
35051,"London--Fanshawe/London--Fanshawe"," 150","London",79,3,86,8,64,0,240,405
35051,"London--Fanshawe/London--Fanshawe"," 151","London",55,2,59,2,57,0,175,331
35051,"London--Fanshawe/London--Fanshawe"," 152","London",43,1,75,4,101,0,224,521
35051,"London--Fanshawe/London--Fanshawe"," 153","London",41,0,74,7,93,0,215,464
35051,"London--Fanshawe/London--Fanshawe"," 154","London",29,0,53,7,52,1,142,323
35051,"London--Fanshawe/London--Fanshawe"," 155","London",72,0,63,11,101,1,248,475
35051,"London--Fanshawe/London--Fanshawe"," 156","London",88,3,59,2,67,2,221,388
35051,"London--Fanshawe/London--Fanshawe"," 157","London",109,0,70,8,88,1,276,488
35051,"London--Fanshawe/London--Fanshawe"," 158","London",53,1,53,6,84,0,197,426
35051,"London--Fanshawe/London--Fanshawe"," 159","London",51,2,79,6,87,0,225,434
35051,"London--Fanshawe/London--Fanshawe"," 160","London",75,4,85,11,66,0,241,431
35051,"London--Fanshawe/London--Fanshawe"," 161","London",82,2,80,5,87,0,256,441
35051,"London--Fanshawe/London--Fanshawe"," 162","London",53,1,47,6,58,1,166,301
35051,"London--Fanshawe/London--Fanshawe"," 163A","London",24,1,75,12,39,1,152,416
35051,"London--Fanshawe/London--Fanshawe"," 163B","London",32,0,65,6,56,1,160,338
35051,"London--Fanshawe/London--Fanshawe"," 164","London",79,3,104,10,84,0,280,514
35051,"London--Fanshawe/London--Fanshawe"," 165","London",62,0,79,8,79,1,229,441
35051,"London--Fanshawe/London--Fanshawe"," 166","London",54,3,83,11,71,1,223,431
35051,"London--Fanshawe/London--Fanshawe"," 167","London",66,2,70,8,76,0,222,432
35051,"London--Fanshawe/London--Fanshawe"," 168","London",58,1,91,7,75,3,235,435
35051,"London--Fanshawe/London--Fanshawe"," 169","London",86,0,80,8,78,1,253,446
35051,"London--Fanshawe/London--Fanshawe"," 170","London",29,1,96,7,85,3,221,486
35051,"London--Fanshawe/London--Fanshawe"," 171","London",52,3,74,7,70,4,210,477
35051,"London--Fanshawe/London--Fanshawe"," 172","London",91,1,89,6,78,3,268,430
35051,"London--Fanshawe/London--Fanshawe"," 173","London",50,0,59,3,55,1,168,290
35051,"London--Fanshawe/London--Fanshawe"," 174","London",81,3,95,12,101,3,295,479
35051,"London--Fanshawe/London--Fanshawe"," 175","London",102,1,94,9,68,0,274,455
35051,"London--Fanshawe/London--Fanshawe"," 176","London",68,2,60,14,65,1,210,374
35051,"London--Fanshawe/London--Fanshawe"," 177","London",42,3,65,5,75,2,192,400
35051,"London--Fanshawe/London--Fanshawe"," 178","London",31,1,69,5,52,2,160,329
35051,"London--Fanshawe/London--Fanshawe"," 179","London",37,3,74,12,72,1,199,408
35051,"London--Fanshawe/London--Fanshawe"," 180","London",59,1,76,5,71,1,213,365
