Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Pat Martin,Scott Miller,Robert-Falcon Ouellette,Darrell Rankin,Allie Szarkiewicz,Don Woodstock,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46011,"Winnipeg Centre/Winnipeg-Centre"," 110","Winnipeg",24,0,91,0,32,6,0,153,242
46011,"Winnipeg Centre/Winnipeg-Centre"," 111","Winnipeg",39,1,126,0,34,6,0,206,345
46011,"Winnipeg Centre/Winnipeg-Centre"," 112","Winnipeg",33,0,124,1,75,7,5,245,359
46011,"Winnipeg Centre/Winnipeg-Centre"," 113","Winnipeg",32,2,83,0,12,1,0,130,265
46011,"Winnipeg Centre/Winnipeg-Centre"," 114","Winnipeg",19,2,65,0,15,1,2,104,307
46011,"Winnipeg Centre/Winnipeg-Centre"," 115","Winnipeg",18,0,30,1,7,5,0,61,151
46011,"Winnipeg Centre/Winnipeg-Centre"," 116","Winnipeg",34,1,74,1,9,5,0,124,246
46011,"Winnipeg Centre/Winnipeg-Centre"," 117A","Winnipeg",69,0,107,1,8,17,0,202,428
46011,"Winnipeg Centre/Winnipeg-Centre"," 117B","Mobile poll/Bureau itinérant",21,0,52,2,25,9,2,111,101
46011,"Winnipeg Centre/Winnipeg-Centre"," 118","Winnipeg",40,0,92,1,9,8,0,150,331
46011,"Winnipeg Centre/Winnipeg-Centre"," 119A","Winnipeg",23,0,118,0,25,7,1,174,311
46011,"Winnipeg Centre/Winnipeg-Centre"," 119B","Winnipeg",31,1,84,0,4,9,0,129,245
46011,"Winnipeg Centre/Winnipeg-Centre"," 120","Winnipeg",62,2,120,0,13,7,0,204,387
46011,"Winnipeg Centre/Winnipeg-Centre"," 121","Winnipeg",91,0,133,2,14,8,1,249,440
46011,"Winnipeg Centre/Winnipeg-Centre"," 122","Winnipeg",92,0,174,1,17,14,1,299,473
46011,"Winnipeg Centre/Winnipeg-Centre"," 123","Winnipeg",92,0,142,0,22,10,1,267,417
46011,"Winnipeg Centre/Winnipeg-Centre"," 124","Winnipeg",88,1,128,6,17,15,0,255,437
46011,"Winnipeg Centre/Winnipeg-Centre"," 125","Winnipeg",60,0,131,3,35,9,1,239,370
46011,"Winnipeg Centre/Winnipeg-Centre"," 126","Winnipeg",54,0,131,1,12,8,2,208,348
46011,"Winnipeg Centre/Winnipeg-Centre"," 127","Winnipeg",75,0,141,1,25,7,1,250,403
46011,"Winnipeg Centre/Winnipeg-Centre"," 128","Winnipeg",79,0,180,1,23,8,0,291,427
46011,"Winnipeg Centre/Winnipeg-Centre"," 129","Winnipeg",18,0,58,0,35,13,0,124,244
46011,"Winnipeg Centre/Winnipeg-Centre"," 130","Winnipeg",45,0,82,0,25,7,1,160,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 131","Winnipeg",21,0,117,1,33,10,2,184,423
46011,"Winnipeg Centre/Winnipeg-Centre"," 132","Winnipeg",35,2,119,1,50,9,1,217,471
46011,"Winnipeg Centre/Winnipeg-Centre"," 133","Winnipeg",40,2,144,0,63,11,1,261,460
46011,"Winnipeg Centre/Winnipeg-Centre"," 134","Winnipeg",49,1,166,0,50,13,0,279,417
46011,"Winnipeg Centre/Winnipeg-Centre"," 135","Winnipeg",41,1,138,1,46,14,2,243,425
46011,"Winnipeg Centre/Winnipeg-Centre"," 136","Winnipeg",27,0,132,0,68,9,0,236,291
46011,"Winnipeg Centre/Winnipeg-Centre"," 400","Winnipeg",24,1,83,1,16,7,0,132,170
46011,"Winnipeg Centre/Winnipeg-Centre"," 401","Winnipeg",51,3,101,1,39,7,1,203,276
46011,"Winnipeg Centre/Winnipeg-Centre"," 402","Winnipeg",32,2,80,0,15,3,1,133,225
46011,"Winnipeg Centre/Winnipeg-Centre"," 403","Winnipeg",18,3,62,0,10,4,0,97,182
46011,"Winnipeg Centre/Winnipeg-Centre"," 404","Winnipeg",35,1,54,0,3,4,0,97,201
46011,"Winnipeg Centre/Winnipeg-Centre"," 405","Winnipeg",25,0,57,0,13,1,0,96,197
46011,"Winnipeg Centre/Winnipeg-Centre"," 406","Winnipeg",14,2,33,4,7,0,0,60,98
46011,"Winnipeg Centre/Winnipeg-Centre"," 407","Winnipeg",20,0,63,0,32,5,2,122,158
46011,"Winnipeg Centre/Winnipeg-Centre"," 408","Winnipeg",Void/Supprimé,,,,,,,,
46011,"Winnipeg Centre/Winnipeg-Centre"," 409","Winnipeg",25,0,36,0,20,4,2,87,165
46011,"Winnipeg Centre/Winnipeg-Centre"," 410","Winnipeg",39,3,59,2,32,4,1,140,201
46011,"Winnipeg Centre/Winnipeg-Centre"," 500","Mobile poll/Bureau itinérant",39,2,42,0,18,5,0,106,152
46011,"Winnipeg Centre/Winnipeg-Centre"," 501","Mobile poll/Bureau itinérant",30,0,45,1,16,3,1,96,178
46011,"Winnipeg Centre/Winnipeg-Centre"," 502","Mobile poll/Bureau itinérant",29,1,37,0,16,8,3,94,129
46011,"Winnipeg Centre/Winnipeg-Centre"," 503","Mobile poll/Bureau itinérant",19,2,46,0,28,8,1,104,135
46011,"Winnipeg Centre/Winnipeg-Centre"," 504","Mobile poll/Bureau itinérant",28,6,69,1,21,8,5,138,259
46011,"Winnipeg Centre/Winnipeg-Centre"," 600","Winnipeg",130,2,198,2,80,13,0,425,
46011,"Winnipeg Centre/Winnipeg-Centre"," 601","Winnipeg",128,5,343,1,135,29,1,642,
46011,"Winnipeg Centre/Winnipeg-Centre"," 602","Winnipeg",264,2,321,3,88,23,4,705,
46011,"Winnipeg Centre/Winnipeg-Centre"," 603","Winnipeg",226,5,330,4,55,34,15,669,
46011,"Winnipeg Centre/Winnipeg-Centre"," 604","Winnipeg",124,2,207,2,33,14,5,387,
46011,"Winnipeg Centre/Winnipeg-Centre"," 605","Winnipeg",117,2,238,0,47,18,2,424,
46011,"Winnipeg Centre/Winnipeg-Centre"," 606","Winnipeg",176,4,289,1,61,13,4,548,
46011,"Winnipeg Centre/Winnipeg-Centre"," 607","Winnipeg",279,1,346,5,46,42,5,724,
46011,"Winnipeg Centre/Winnipeg-Centre"," 608","Winnipeg",445,1,457,3,35,45,1,987,
46011,"Winnipeg Centre/Winnipeg-Centre",,"Group 1/Groupe 1",53,4,320,1,17,9,15,419,423
46011,"Winnipeg Centre/Winnipeg-Centre",,"Group 2/Groupe 2",351,3,433,1,107,53,11,959,
