Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katerina Androutsos,Roxanne James,Lindsay Thompson,Alex Wilson,Salma Zahid,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35094,"Scarborough Centre/Scarborough-Centre"," 52","Scarborough",4,26,3,25,107,3,168,344
35094,"Scarborough Centre/Scarborough-Centre"," 53","Scarborough",8,58,7,31,108,3,215,495
35094,"Scarborough Centre/Scarborough-Centre"," 54","Scarborough",12,80,4,45,143,3,287,526
35094,"Scarborough Centre/Scarborough-Centre"," 55","Scarborough",11,67,2,16,96,0,192,389
35094,"Scarborough Centre/Scarborough-Centre"," 56","Scarborough",9,46,3,27,66,0,151,427
35094,"Scarborough Centre/Scarborough-Centre"," 57","Scarborough",7,58,1,18,54,3,141,450
35094,"Scarborough Centre/Scarborough-Centre"," 58","Scarborough",17,74,8,15,142,2,258,536
35094,"Scarborough Centre/Scarborough-Centre"," 59","Scarborough",7,43,8,11,93,0,162,335
35094,"Scarborough Centre/Scarborough-Centre"," 60","Scarborough",5,61,7,28,127,0,228,519
35094,"Scarborough Centre/Scarborough-Centre"," 61","Scarborough",6,102,6,27,102,1,244,423
35094,"Scarborough Centre/Scarborough-Centre"," 62","Scarborough",7,76,5,21,138,0,247,454
35094,"Scarborough Centre/Scarborough-Centre"," 63","Scarborough",3,109,7,26,91,1,237,442
35094,"Scarborough Centre/Scarborough-Centre"," 64","Scarborough",6,80,5,42,135,7,275,532
35094,"Scarborough Centre/Scarborough-Centre"," 65","Scarborough",2,28,3,13,131,2,179,495
35094,"Scarborough Centre/Scarborough-Centre"," 66","Scarborough",4,33,2,25,86,1,151,404
35094,"Scarborough Centre/Scarborough-Centre"," 67","Scarborough",1,30,5,10,122,1,169,615
35094,"Scarborough Centre/Scarborough-Centre"," 68","Scarborough",8,38,3,25,88,0,162,385
35094,"Scarborough Centre/Scarborough-Centre"," 69","Scarborough",5,30,3,25,70,1,134,352
35094,"Scarborough Centre/Scarborough-Centre"," 70","Scarborough",7,37,2,17,62,3,128,285
35094,"Scarborough Centre/Scarborough-Centre"," 71","Scarborough",3,37,0,14,49,2,105,289
35094,"Scarborough Centre/Scarborough-Centre"," 72","Scarborough",11,38,3,18,68,3,141,311
35094,"Scarborough Centre/Scarborough-Centre"," 73","Scarborough",6,76,3,24,136,2,247,440
35094,"Scarborough Centre/Scarborough-Centre"," 74","Scarborough",9,75,3,23,174,4,288,515
35094,"Scarborough Centre/Scarborough-Centre"," 75","Scarborough",7,96,6,24,120,2,255,493
35094,"Scarborough Centre/Scarborough-Centre"," 76","Scarborough",7,63,10,48,129,5,262,544
35094,"Scarborough Centre/Scarborough-Centre"," 77","Scarborough",6,92,2,30,94,10,234,483
35094,"Scarborough Centre/Scarborough-Centre"," 78","Scarborough",3,62,6,36,88,2,197,421
35094,"Scarborough Centre/Scarborough-Centre"," 79","Scarborough",5,60,5,34,85,0,189,414
35094,"Scarborough Centre/Scarborough-Centre"," 80","Scarborough",3,83,5,26,98,1,216,449
35094,"Scarborough Centre/Scarborough-Centre"," 81","Scarborough",5,91,8,17,118,3,242,454
35094,"Scarborough Centre/Scarborough-Centre"," 82","Scarborough",7,105,6,30,109,2,259,443
35094,"Scarborough Centre/Scarborough-Centre"," 83","Scarborough",7,87,5,22,110,1,232,394
35094,"Scarborough Centre/Scarborough-Centre"," 84","Scarborough",2,62,11,18,110,0,203,446
35094,"Scarborough Centre/Scarborough-Centre"," 85","Scarborough",5,62,3,42,125,2,239,435
35094,"Scarborough Centre/Scarborough-Centre"," 86","Scarborough",8,57,4,15,92,3,179,292
35094,"Scarborough Centre/Scarborough-Centre"," 87","Scarborough",5,78,7,28,69,1,188,334
35094,"Scarborough Centre/Scarborough-Centre"," 88","Scarborough",3,82,10,28,105,0,228,392
35094,"Scarborough Centre/Scarborough-Centre"," 89","Scarborough",5,80,5,18,94,0,202,368
35094,"Scarborough Centre/Scarborough-Centre"," 90","Scarborough",7,79,4,33,87,1,211,356
35094,"Scarborough Centre/Scarborough-Centre"," 91","Scarborough",5,93,3,9,106,4,220,399
35094,"Scarborough Centre/Scarborough-Centre"," 92","Scarborough",5,68,5,26,103,1,208,426
35094,"Scarborough Centre/Scarborough-Centre"," 93","Scarborough",7,52,4,12,72,5,152,395
35094,"Scarborough Centre/Scarborough-Centre"," 94","Scarborough",5,63,4,14,91,2,179,341
35094,"Scarborough Centre/Scarborough-Centre"," 95","Scarborough",5,46,3,16,78,0,148,400
35094,"Scarborough Centre/Scarborough-Centre"," 96","Scarborough",2,68,1,18,100,3,192,407
35094,"Scarborough Centre/Scarborough-Centre"," 97","Scarborough",6,81,7,24,106,2,226,487
35094,"Scarborough Centre/Scarborough-Centre"," 98","Scarborough",10,88,2,31,98,2,231,452
35094,"Scarborough Centre/Scarborough-Centre"," 99","Scarborough",9,96,6,23,129,2,265,462
35094,"Scarborough Centre/Scarborough-Centre"," 100","Scarborough",9,47,4,28,125,2,215,430
35094,"Scarborough Centre/Scarborough-Centre"," 101","Scarborough",0,85,4,17,108,5,219,391
35094,"Scarborough Centre/Scarborough-Centre"," 102","Scarborough",7,110,2,23,121,3,266,455
35094,"Scarborough Centre/Scarborough-Centre"," 103","Scarborough",13,84,13,32,130,0,272,459
35094,"Scarborough Centre/Scarborough-Centre"," 104","Scarborough",6,25,4,11,73,1,120,307
35094,"Scarborough Centre/Scarborough-Centre"," 105","Scarborough",6,80,2,21,110,1,220,410
35094,"Scarborough Centre/Scarborough-Centre"," 106","Scarborough",7,97,5,29,126,4,268,503
35094,"Scarborough Centre/Scarborough-Centre"," 107","Scarborough",6,45,2,18,91,2,164,389
35094,"Scarborough Centre/Scarborough-Centre"," 108A","Scarborough",1,40,4,15,74,0,134,345
35094,"Scarborough Centre/Scarborough-Centre"," 108B","Scarborough",3,12,6,7,37,0,65,199
35094,"Scarborough Centre/Scarborough-Centre"," 109","Scarborough",9,85,7,37,127,1,266,488
35094,"Scarborough Centre/Scarborough-Centre"," 110","Scarborough",9,79,4,23,100,4,219,434
35094,"Scarborough Centre/Scarborough-Centre"," 111","Scarborough",4,61,4,16,104,2,191,366
35094,"Scarborough Centre/Scarborough-Centre"," 112","Scarborough",7,53,3,24,87,2,176,348
35094,"Scarborough Centre/Scarborough-Centre"," 113","Scarborough",6,68,3,28,84,1,190,384
35094,"Scarborough Centre/Scarborough-Centre"," 114","Scarborough",7,65,3,18,106,1,200,428
35094,"Scarborough Centre/Scarborough-Centre"," 115","Scarborough",6,51,7,17,107,1,189,372
35094,"Scarborough Centre/Scarborough-Centre"," 116","Scarborough",3,48,2,23,72,2,150,342
35094,"Scarborough Centre/Scarborough-Centre"," 117","Scarborough",10,58,7,25,115,6,221,401
35094,"Scarborough Centre/Scarborough-Centre"," 118","Scarborough",9,56,3,32,118,3,221,578
35094,"Scarborough Centre/Scarborough-Centre"," 119","Scarborough",7,75,3,29,100,4,218,398
35094,"Scarborough Centre/Scarborough-Centre"," 120","Scarborough",5,73,7,22,108,2,217,395
35094,"Scarborough Centre/Scarborough-Centre"," 121","Scarborough",6,78,4,22,103,2,215,453
35094,"Scarborough Centre/Scarborough-Centre"," 122","Scarborough",9,70,1,19,88,1,188,354
35094,"Scarborough Centre/Scarborough-Centre"," 123","Scarborough",2,69,4,21,97,1,194,341
35094,"Scarborough Centre/Scarborough-Centre"," 124","Scarborough",6,67,2,29,96,3,203,359
35094,"Scarborough Centre/Scarborough-Centre"," 125","Scarborough",9,49,0,18,103,5,184,383
35094,"Scarborough Centre/Scarborough-Centre"," 126","Scarborough",11,49,5,31,85,7,188,481
35094,"Scarborough Centre/Scarborough-Centre"," 127","Scarborough",3,41,3,37,83,2,169,361
35094,"Scarborough Centre/Scarborough-Centre"," 128","Scarborough",11,46,6,21,102,3,189,410
35094,"Scarborough Centre/Scarborough-Centre"," 129","Scarborough",9,52,5,29,127,0,222,414
35094,"Scarborough Centre/Scarborough-Centre"," 130","Scarborough",3,53,5,23,95,0,179,372
35094,"Scarborough Centre/Scarborough-Centre"," 131","Scarborough",6,60,5,42,102,1,216,449
35094,"Scarborough Centre/Scarborough-Centre"," 132","Scarborough",7,46,1,36,88,1,179,379
35094,"Scarborough Centre/Scarborough-Centre"," 133","Scarborough",8,58,6,39,104,1,216,470
35094,"Scarborough Centre/Scarborough-Centre"," 134","Scarborough",7,60,9,17,79,5,177,380
35094,"Scarborough Centre/Scarborough-Centre"," 135","Scarborough",9,89,13,49,124,6,290,528
35094,"Scarborough Centre/Scarborough-Centre"," 136","Scarborough",8,60,6,28,116,4,222,474
35094,"Scarborough Centre/Scarborough-Centre"," 137","Scarborough",6,64,4,31,89,1,195,396
35094,"Scarborough Centre/Scarborough-Centre"," 138","Scarborough",9,44,4,16,69,0,142,363
35094,"Scarborough Centre/Scarborough-Centre"," 139","Scarborough",4,50,2,19,77,1,153,375
35094,"Scarborough Centre/Scarborough-Centre"," 140","Scarborough",11,65,8,20,79,2,185,389
35094,"Scarborough Centre/Scarborough-Centre"," 141","Scarborough",5,66,5,19,85,2,182,383
35094,"Scarborough Centre/Scarborough-Centre"," 142","Scarborough",4,54,3,31,112,3,207,381
35094,"Scarborough Centre/Scarborough-Centre"," 143","Scarborough",22,89,2,16,101,0,230,419
35094,"Scarborough Centre/Scarborough-Centre"," 144","Scarborough",4,43,2,7,67,0,123,366
35094,"Scarborough Centre/Scarborough-Centre"," 145","Scarborough",11,48,5,12,85,1,162,413
35094,"Scarborough Centre/Scarborough-Centre"," 146","Scarborough",16,81,8,35,145,1,286,386
35094,"Scarborough Centre/Scarborough-Centre"," 147","Scarborough",3,28,4,26,119,0,180,452
35094,"Scarborough Centre/Scarborough-Centre"," 148","Scarborough",9,62,8,22,119,2,222,444
35094,"Scarborough Centre/Scarborough-Centre"," 149","Scarborough",4,59,6,39,168,5,281,586
35094,"Scarborough Centre/Scarborough-Centre"," 400","Scarborough",8,32,3,14,62,0,119,281
35094,"Scarborough Centre/Scarborough-Centre"," 401A","Scarborough",11,42,3,15,77,1,149,287
35094,"Scarborough Centre/Scarborough-Centre"," 401B","Scarborough",11,44,2,18,82,1,158,320
35094,"Scarborough Centre/Scarborough-Centre"," 402","Scarborough",5,75,2,24,99,3,208,424
35094,"Scarborough Centre/Scarborough-Centre"," 403","Scarborough",2,30,1,12,69,0,114,236
35094,"Scarborough Centre/Scarborough-Centre"," 404","Scarborough",12,56,4,18,84,2,176,250
35094,"Scarborough Centre/Scarborough-Centre"," 405","Scarborough",2,23,4,7,51,2,89,193
35094,"Scarborough Centre/Scarborough-Centre"," 406","Scarborough",12,55,3,20,123,2,215,333
35094,"Scarborough Centre/Scarborough-Centre"," 407","Scarborough",12,58,3,15,84,3,175,271
35094,"Scarborough Centre/Scarborough-Centre"," 408","Scarborough",4,16,1,6,29,2,58,93
35094,"Scarborough Centre/Scarborough-Centre"," 409","Scarborough",5,74,3,14,118,1,215,406
35094,"Scarborough Centre/Scarborough-Centre"," 410","Scarborough",3,78,0,18,76,1,176,374
35094,"Scarborough Centre/Scarborough-Centre"," 411","Scarborough",1,14,1,5,31,0,52,166
35094,"Scarborough Centre/Scarborough-Centre"," 412","Scarborough",3,14,2,9,50,2,80,256
35094,"Scarborough Centre/Scarborough-Centre"," 413","Scarborough",0,13,1,9,39,1,63,192
35094,"Scarborough Centre/Scarborough-Centre"," 414","Scarborough",1,15,0,14,112,0,142,476
35094,"Scarborough Centre/Scarborough-Centre"," 415","Scarborough",8,50,8,33,101,0,200,340
35094,"Scarborough Centre/Scarborough-Centre"," 416","Scarborough",4,64,4,9,40,2,123,180
35094,"Scarborough Centre/Scarborough-Centre"," 417","Scarborough",4,27,2,6,47,0,86,225
35094,"Scarborough Centre/Scarborough-Centre"," 418","Scarborough",12,66,5,46,192,4,325,565
35094,"Scarborough Centre/Scarborough-Centre"," 419","Scarborough",5,20,4,18,88,0,135,288
35094,"Scarborough Centre/Scarborough-Centre"," 420","Scarborough",2,22,4,14,48,1,91,323
35094,"Scarborough Centre/Scarborough-Centre"," 421","Scarborough",7,42,1,9,59,1,119,202
35094,"Scarborough Centre/Scarborough-Centre"," 422","Scarborough",6,11,4,7,21,2,51,84
35094,"Scarborough Centre/Scarborough-Centre"," 423","Scarborough",9,86,5,38,150,1,289,447
35094,"Scarborough Centre/Scarborough-Centre"," 424","Scarborough",8,91,6,27,141,5,278,424
35094,"Scarborough Centre/Scarborough-Centre"," 425","Scarborough",4,31,6,4,9,1,55,95
35094,"Scarborough Centre/Scarborough-Centre"," 500","Mobile poll/Bureau itinérant",6,19,3,8,42,1,79,178
35094,"Scarborough Centre/Scarborough-Centre"," 600","Scarborough",21,297,12,64,336,2,732,
35094,"Scarborough Centre/Scarborough-Centre"," 601","Scarborough",21,369,24,115,939,5,1473,
35094,"Scarborough Centre/Scarborough-Centre"," 602","Scarborough",9,151,4,48,168,2,382,
35094,"Scarborough Centre/Scarborough-Centre"," 603","Scarborough",22,359,16,118,451,5,971,
35094,"Scarborough Centre/Scarborough-Centre"," 604","Scarborough",19,285,14,85,304,8,715,
35094,"Scarborough Centre/Scarborough-Centre"," 605","Scarborough",18,350,19,81,401,9,878,
35094,"Scarborough Centre/Scarborough-Centre"," 606","Scarborough",13,290,16,79,365,0,763,
35094,"Scarborough Centre/Scarborough-Centre"," 607","Scarborough",22,314,26,130,363,9,864,
35094,"Scarborough Centre/Scarborough-Centre"," 608","Scarborough",22,324,15,95,411,9,876,
35094,"Scarborough Centre/Scarborough-Centre"," 609","Scarborough",16,369,14,100,421,11,931,
35094,"Scarborough Centre/Scarborough-Centre"," 610","Scarborough",15,270,9,82,380,6,762,
35094,"Scarborough Centre/Scarborough-Centre",,"Group 1/Groupe 1",5,18,2,6,52,5,88,79
35094,"Scarborough Centre/Scarborough-Centre",,"Group 2/Groupe 2",17,200,15,121,365,9,727,
