Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Levy Abad,Kevin Lamoureux,John Redekopp,Harpreet Turka,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
46012,"Winnipeg North/Winnipeg-Nord"," 28","Winnipeg",26,118,2,22,1,169,369
46012,"Winnipeg North/Winnipeg-Nord"," 29","Winnipeg",16,140,3,25,1,185,383
46012,"Winnipeg North/Winnipeg-Nord"," 30","Winnipeg",14,91,1,25,2,133,306
46012,"Winnipeg North/Winnipeg-Nord"," 31","Winnipeg",12,124,5,36,1,178,360
46012,"Winnipeg North/Winnipeg-Nord"," 32","Winnipeg",12,95,3,25,0,135,310
46012,"Winnipeg North/Winnipeg-Nord"," 33","Winnipeg",21,110,7,41,3,182,410
46012,"Winnipeg North/Winnipeg-Nord"," 34","Winnipeg",15,79,2,19,0,115,348
46012,"Winnipeg North/Winnipeg-Nord"," 35","Winnipeg",18,137,1,25,1,182,354
46012,"Winnipeg North/Winnipeg-Nord"," 36","Winnipeg",22,133,6,29,2,192,440
46012,"Winnipeg North/Winnipeg-Nord"," 37","Winnipeg",19,88,4,18,1,130,238
46012,"Winnipeg North/Winnipeg-Nord"," 38","Winnipeg",9,111,1,47,0,168,360
46012,"Winnipeg North/Winnipeg-Nord"," 39","Winnipeg",14,103,1,30,0,148,293
46012,"Winnipeg North/Winnipeg-Nord"," 40","Winnipeg",20,109,2,33,0,164,325
46012,"Winnipeg North/Winnipeg-Nord"," 41","Winnipeg",5,92,1,46,2,146,234
46012,"Winnipeg North/Winnipeg-Nord"," 42","Winnipeg",24,140,6,39,3,212,397
46012,"Winnipeg North/Winnipeg-Nord"," 43","Winnipeg",18,142,5,45,0,210,368
46012,"Winnipeg North/Winnipeg-Nord"," 44","Winnipeg",13,106,2,73,1,195,383
46012,"Winnipeg North/Winnipeg-Nord"," 45","Winnipeg",23,160,7,67,1,258,591
46012,"Winnipeg North/Winnipeg-Nord"," 46","Winnipeg",6,26,3,12,0,47,111
46012,"Winnipeg North/Winnipeg-Nord"," 47","Winnipeg",15,97,2,24,0,138,360
46012,"Winnipeg North/Winnipeg-Nord"," 48","Winnipeg",27,109,7,32,0,175,361
46012,"Winnipeg North/Winnipeg-Nord"," 49","Winnipeg",20,106,1,23,0,150,379
46012,"Winnipeg North/Winnipeg-Nord"," 50","Winnipeg",27,106,2,10,0,145,388
46012,"Winnipeg North/Winnipeg-Nord"," 51","Winnipeg",24,147,5,33,2,211,415
46012,"Winnipeg North/Winnipeg-Nord"," 52","Winnipeg",12,123,0,37,1,173,341
46012,"Winnipeg North/Winnipeg-Nord"," 53","Winnipeg",38,199,5,40,4,286,551
46012,"Winnipeg North/Winnipeg-Nord"," 54","Winnipeg",30,147,6,45,3,231,453
46012,"Winnipeg North/Winnipeg-Nord"," 55","Winnipeg",31,196,1,42,0,270,487
46012,"Winnipeg North/Winnipeg-Nord"," 56","Winnipeg",40,178,2,42,1,263,444
46012,"Winnipeg North/Winnipeg-Nord"," 57","Winnipeg",34,157,5,47,3,246,437
46012,"Winnipeg North/Winnipeg-Nord"," 58","Winnipeg",32,117,7,43,1,200,435
46012,"Winnipeg North/Winnipeg-Nord"," 59","Winnipeg",22,132,9,23,2,188,343
46012,"Winnipeg North/Winnipeg-Nord"," 60","Winnipeg",25,106,6,32,1,170,346
46012,"Winnipeg North/Winnipeg-Nord"," 61","Winnipeg",26,106,5,33,1,171,380
46012,"Winnipeg North/Winnipeg-Nord"," 62","Winnipeg",26,188,0,31,3,248,487
46012,"Winnipeg North/Winnipeg-Nord"," 63","Winnipeg",21,160,7,39,1,228,410
46012,"Winnipeg North/Winnipeg-Nord"," 64","Winnipeg",20,141,3,24,2,190,398
46012,"Winnipeg North/Winnipeg-Nord"," 65","Winnipeg",49,201,2,23,3,278,578
46012,"Winnipeg North/Winnipeg-Nord"," 66","Winnipeg",53,212,10,53,1,329,568
46012,"Winnipeg North/Winnipeg-Nord"," 67","Winnipeg",33,72,2,6,2,115,249
46012,"Winnipeg North/Winnipeg-Nord"," 68","Winnipeg",26,140,5,22,2,195,415
46012,"Winnipeg North/Winnipeg-Nord"," 69","Winnipeg",10,149,7,25,0,191,387
46012,"Winnipeg North/Winnipeg-Nord"," 70","Winnipeg",16,112,1,23,1,153,409
46012,"Winnipeg North/Winnipeg-Nord"," 71","Winnipeg",24,136,0,19,0,179,432
46012,"Winnipeg North/Winnipeg-Nord"," 72","Winnipeg",18,169,2,20,3,212,418
46012,"Winnipeg North/Winnipeg-Nord"," 73","Winnipeg",23,193,5,37,2,260,436
46012,"Winnipeg North/Winnipeg-Nord"," 74","Winnipeg",11,119,0,26,0,156,345
46012,"Winnipeg North/Winnipeg-Nord"," 75","Winnipeg",14,143,4,24,0,185,349
46012,"Winnipeg North/Winnipeg-Nord"," 76","Winnipeg",17,162,4,22,2,207,357
46012,"Winnipeg North/Winnipeg-Nord"," 77","Winnipeg",11,189,0,24,1,225,397
46012,"Winnipeg North/Winnipeg-Nord"," 78","Winnipeg",10,138,4,30,2,184,379
46012,"Winnipeg North/Winnipeg-Nord"," 79","Winnipeg",12,171,1,19,1,204,398
46012,"Winnipeg North/Winnipeg-Nord"," 80","Winnipeg",15,154,4,28,1,202,403
46012,"Winnipeg North/Winnipeg-Nord"," 81","Winnipeg",17,165,6,35,0,223,392
46012,"Winnipeg North/Winnipeg-Nord"," 82","Winnipeg",19,149,4,22,2,196,447
46012,"Winnipeg North/Winnipeg-Nord"," 83","Winnipeg",13,110,1,17,0,141,367
46012,"Winnipeg North/Winnipeg-Nord"," 84","Winnipeg",19,131,5,25,2,182,426
46012,"Winnipeg North/Winnipeg-Nord"," 85","Winnipeg",21,173,7,21,3,225,447
46012,"Winnipeg North/Winnipeg-Nord"," 86","Winnipeg",20,158,1,30,1,210,397
46012,"Winnipeg North/Winnipeg-Nord"," 87","Winnipeg",25,142,2,25,3,197,428
46012,"Winnipeg North/Winnipeg-Nord"," 88","Winnipeg",21,170,5,28,2,226,440
46012,"Winnipeg North/Winnipeg-Nord"," 89","Winnipeg",21,153,2,28,0,204,388
46012,"Winnipeg North/Winnipeg-Nord"," 90","Winnipeg",44,119,4,25,2,194,454
46012,"Winnipeg North/Winnipeg-Nord"," 91","Winnipeg",38,107,8,22,1,176,379
46012,"Winnipeg North/Winnipeg-Nord"," 92","Winnipeg",26,94,4,21,3,148,374
46012,"Winnipeg North/Winnipeg-Nord"," 93","Winnipeg",26,85,3,23,0,137,395
46012,"Winnipeg North/Winnipeg-Nord"," 94","Winnipeg",30,112,8,12,0,162,479
46012,"Winnipeg North/Winnipeg-Nord"," 95","Winnipeg",21,61,3,7,1,93,344
46012,"Winnipeg North/Winnipeg-Nord"," 96","Winnipeg",21,142,4,32,5,204,389
46012,"Winnipeg North/Winnipeg-Nord"," 97","Winnipeg",24,201,6,28,5,264,474
46012,"Winnipeg North/Winnipeg-Nord"," 98","Winnipeg",19,134,7,40,0,200,368
46012,"Winnipeg North/Winnipeg-Nord"," 99","Winnipeg",24,103,5,19,5,156,392
46012,"Winnipeg North/Winnipeg-Nord"," 100","Winnipeg",31,131,2,18,1,183,430
46012,"Winnipeg North/Winnipeg-Nord"," 101","Winnipeg",40,92,6,35,0,173,449
46012,"Winnipeg North/Winnipeg-Nord"," 102","Winnipeg",28,111,9,35,1,184,434
46012,"Winnipeg North/Winnipeg-Nord"," 103","Winnipeg",30,132,11,51,1,225,442
46012,"Winnipeg North/Winnipeg-Nord"," 104","Winnipeg",40,112,10,23,1,186,411
46012,"Winnipeg North/Winnipeg-Nord"," 105","Winnipeg",49,116,14,34,3,216,465
46012,"Winnipeg North/Winnipeg-Nord"," 106","Winnipeg",25,110,1,17,0,153,374
46012,"Winnipeg North/Winnipeg-Nord"," 107","Winnipeg",25,130,10,28,0,193,460
46012,"Winnipeg North/Winnipeg-Nord"," 108","Winnipeg",15,68,4,17,0,104,199
46012,"Winnipeg North/Winnipeg-Nord"," 109","Winnipeg",25,82,9,25,1,142,313
46012,"Winnipeg North/Winnipeg-Nord"," 110","Winnipeg",34,111,9,31,1,186,474
46012,"Winnipeg North/Winnipeg-Nord"," 111","Winnipeg",25,101,7,18,6,157,427
46012,"Winnipeg North/Winnipeg-Nord"," 112","Winnipeg",39,115,4,11,0,169,413
46012,"Winnipeg North/Winnipeg-Nord"," 113","Winnipeg",40,114,9,14,2,179,418
46012,"Winnipeg North/Winnipeg-Nord"," 114","Winnipeg",37,130,5,12,1,185,475
46012,"Winnipeg North/Winnipeg-Nord"," 115","Winnipeg",29,125,8,8,3,173,440
46012,"Winnipeg North/Winnipeg-Nord"," 116","Winnipeg",34,82,4,13,2,135,383
46012,"Winnipeg North/Winnipeg-Nord"," 117","Winnipeg",20,61,3,15,3,102,315
46012,"Winnipeg North/Winnipeg-Nord"," 118","Winnipeg",41,98,9,33,1,182,369
46012,"Winnipeg North/Winnipeg-Nord"," 119","Winnipeg",38,104,11,31,1,185,361
46012,"Winnipeg North/Winnipeg-Nord"," 120","Winnipeg",40,99,2,29,2,172,378
46012,"Winnipeg North/Winnipeg-Nord"," 121","Winnipeg",27,55,4,20,1,107,366
46012,"Winnipeg North/Winnipeg-Nord"," 122","Winnipeg",16,71,11,15,0,113,359
46012,"Winnipeg North/Winnipeg-Nord"," 123","Winnipeg",40,107,14,45,1,207,435
46012,"Winnipeg North/Winnipeg-Nord"," 124","Winnipeg",55,126,10,39,4,234,424
46012,"Winnipeg North/Winnipeg-Nord"," 125","Winnipeg",65,124,12,44,0,245,443
46012,"Winnipeg North/Winnipeg-Nord"," 126","Winnipeg",45,119,11,26,0,201,368
46012,"Winnipeg North/Winnipeg-Nord"," 127","Winnipeg",46,104,13,61,2,226,334
46012,"Winnipeg North/Winnipeg-Nord"," 128","Winnipeg",31,59,5,18,0,113,399
46012,"Winnipeg North/Winnipeg-Nord"," 129","Winnipeg",44,82,2,13,0,141,377
46012,"Winnipeg North/Winnipeg-Nord"," 130","Winnipeg",28,71,8,10,2,119,399
46012,"Winnipeg North/Winnipeg-Nord"," 131","Winnipeg",23,61,0,11,1,96,345
46012,"Winnipeg North/Winnipeg-Nord"," 132A","Winnipeg",43,91,5,11,0,150,413
46012,"Winnipeg North/Winnipeg-Nord"," 132B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505A,,,,,,16
46012,"Winnipeg North/Winnipeg-Nord"," 133","Winnipeg",25,72,4,9,0,110,380
46012,"Winnipeg North/Winnipeg-Nord"," 134","Winnipeg",55,83,8,7,2,155,297
46012,"Winnipeg North/Winnipeg-Nord"," 135","Winnipeg",20,48,2,13,0,83,272
46012,"Winnipeg North/Winnipeg-Nord"," 136","Winnipeg",31,59,4,12,2,108,361
46012,"Winnipeg North/Winnipeg-Nord"," 137","Winnipeg",31,104,9,36,0,180,507
46012,"Winnipeg North/Winnipeg-Nord"," 138","Winnipeg",39,67,13,11,0,130,345
46012,"Winnipeg North/Winnipeg-Nord"," 139","Winnipeg",16,34,7,5,1,63,178
46012,"Winnipeg North/Winnipeg-Nord"," 140","Winnipeg",45,64,5,19,0,133,386
46012,"Winnipeg North/Winnipeg-Nord"," 141","Winnipeg",39,116,14,19,0,188,440
46012,"Winnipeg North/Winnipeg-Nord"," 400","Winnipeg",7,17,1,14,0,39,181
46012,"Winnipeg North/Winnipeg-Nord"," 401","Winnipeg",17,67,3,22,1,110,142
46012,"Winnipeg North/Winnipeg-Nord"," 500A","Mobile poll/Bureau itinérant",7,37,3,24,1,72,129
46012,"Winnipeg North/Winnipeg-Nord"," 500B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°501A,,,,,,28
46012,"Winnipeg North/Winnipeg-Nord"," 501A","Mobile poll/Bureau itinérant",7,18,2,2,0,29,40
46012,"Winnipeg North/Winnipeg-Nord"," 501B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°502,,,,,,52
46012,"Winnipeg North/Winnipeg-Nord"," 502","Mobile poll/Bureau itinérant",18,49,1,25,2,95,165
46012,"Winnipeg North/Winnipeg-Nord"," 503","Mobile poll/Bureau itinérant",14,50,2,38,0,104,145
46012,"Winnipeg North/Winnipeg-Nord"," 504","Mobile poll/Bureau itinérant",21,68,4,32,1,126,178
46012,"Winnipeg North/Winnipeg-Nord"," 505A","Mobile poll/Bureau itinérant",14,32,1,2,2,51,35
46012,"Winnipeg North/Winnipeg-Nord"," 505B","Winnipeg",Merged with No./Fusionné avec le n°134,,,,,,5
46012,"Winnipeg North/Winnipeg-Nord"," 506","Mobile poll/Bureau itinérant",27,46,1,7,1,82,206
46012,"Winnipeg North/Winnipeg-Nord"," 600","Winnipeg",54,572,11,88,1,726,
46012,"Winnipeg North/Winnipeg-Nord"," 601","Winnipeg",63,732,7,155,16,973,
46012,"Winnipeg North/Winnipeg-Nord"," 602","Winnipeg",76,448,9,130,1,664,
46012,"Winnipeg North/Winnipeg-Nord"," 603","Winnipeg",90,642,11,117,6,866,
46012,"Winnipeg North/Winnipeg-Nord"," 604","Winnipeg",102,402,13,110,4,631,
46012,"Winnipeg North/Winnipeg-Nord"," 605","Winnipeg",66,281,12,91,2,452,
46012,"Winnipeg North/Winnipeg-Nord"," 606","Winnipeg",91,215,5,53,1,365,
46012,"Winnipeg North/Winnipeg-Nord"," 607","Winnipeg",101,277,25,65,1,469,
46012,"Winnipeg North/Winnipeg-Nord"," 608","Winnipeg",94,184,20,32,0,330,
46012,"Winnipeg North/Winnipeg-Nord",,"Group 1/Groupe 1",18,369,9,19,24,439,447
46012,"Winnipeg North/Winnipeg-Nord",,"Group 2/Groupe 2",148,598,21,135,17,919,
