Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stella Ambler,Ariana Burgener,Eric Guerbilsky,Sven Spengemann,Dagmar Sullivan,Paul Woodworth,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 74","Mississauga",145,5,12,95,0,1,0,258,487
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 75","Mississauga",105,5,7,89,0,2,0,208,367
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 76","Mississauga",126,3,3,58,1,1,1,193,388
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 77","Mississauga",160,7,10,92,0,3,1,273,387
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 78","Mississauga",118,4,12,97,0,2,0,233,404
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 79","Mississauga",112,4,6,88,1,0,0,211,446
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 80","Mississauga",113,5,13,112,0,0,2,245,422
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 81","Mississauga",83,2,7,71,0,2,0,165,337
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 82","Mississauga",97,1,8,70,0,0,0,176,385
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 83A","Mississauga",41,1,13,70,0,0,0,125,283
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 83B","Mississauga",53,1,7,42,0,2,0,105,264
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 84","Mississauga",84,2,10,82,0,1,0,179,336
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 85","Mississauga",99,0,6,73,1,0,0,179,309
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 86","Mississauga",88,3,13,71,0,0,1,176,350
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 87","Mississauga",66,5,17,107,0,1,0,196,489
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 88","Mississauga",106,4,18,107,0,0,0,235,419
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 89","Mississauga",98,0,15,94,1,0,0,208,377
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 90","Mississauga",84,3,12,76,0,1,2,178,359
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 91","Mississauga",102,7,11,89,1,2,2,214,491
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore"," 92","Mississauga",99,6,12,113,0,1,1,232,493
