Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gene Balfour,Lorne Cherry,Nancy Coldham,Margaret Leigh Fairbairn,Peter Kent,Josh Rachlis,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35104,"Thornhill/Thornhill"," 34","Vaughan",0,5,30,0,113,0,0,148,287
35104,"Thornhill/Thornhill"," 35","Vaughan",0,0,32,0,117,1,1,151,344
35104,"Thornhill/Thornhill"," 36","Markham",3,10,56,0,51,4,0,124,331
35104,"Thornhill/Thornhill"," 37","Markham",1,13,111,1,77,6,0,209,405
35104,"Thornhill/Thornhill"," 38","Markham",2,4,57,1,84,0,0,148,335
35104,"Thornhill/Thornhill"," 39","Vaughan",2,9,78,0,111,4,0,204,433
35104,"Thornhill/Thornhill"," 40","Markham",5,16,139,6,111,3,1,281,522
35104,"Thornhill/Thornhill"," 41","Markham",3,9,124,6,121,12,3,278,532
35104,"Thornhill/Thornhill"," 42","Markham",3,21,140,8,132,3,2,309,504
35104,"Thornhill/Thornhill"," 43","Markham",2,13,111,0,116,7,0,249,469
35104,"Thornhill/Thornhill"," 44","Markham",2,13,126,3,101,10,8,263,512
35104,"Thornhill/Thornhill"," 45","Markham",1,12,78,1,50,5,0,147,307
35104,"Thornhill/Thornhill"," 46","Markham",5,26,108,0,91,6,0,236,500
35104,"Thornhill/Thornhill"," 47","Markham",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 48","Markham",2,10,109,3,69,5,1,199,372
35104,"Thornhill/Thornhill"," 49","Markham",3,2,66,0,53,7,2,133,304
35104,"Thornhill/Thornhill"," 50","Markham",0,2,66,0,59,0,2,129,278
35104,"Thornhill/Thornhill"," 51","Markham",1,4,70,2,54,2,1,134,293
35104,"Thornhill/Thornhill"," 52","Markham",4,19,98,2,78,3,0,204,424
35104,"Thornhill/Thornhill"," 53","Markham",4,17,115,2,85,4,0,227,493
35104,"Thornhill/Thornhill"," 54","Markham",4,7,95,1,100,8,1,216,410
35104,"Thornhill/Thornhill"," 55","Markham",2,5,101,2,110,4,0,224,435
35104,"Thornhill/Thornhill"," 56","Markham",3,28,103,0,125,6,2,267,544
35104,"Thornhill/Thornhill"," 57","Markham",3,11,92,1,77,7,3,194,389
35104,"Thornhill/Thornhill"," 58","Markham",5,20,114,0,65,3,5,212,377
35104,"Thornhill/Thornhill"," 59","Markham",2,5,81,1,46,1,0,136,296
35104,"Thornhill/Thornhill"," 60","Markham",1,5,101,2,69,1,2,181,379
35104,"Thornhill/Thornhill"," 61","Markham",1,13,87,1,86,1,2,191,361
35104,"Thornhill/Thornhill"," 62","Markham",2,25,126,0,140,9,1,303,545
35104,"Thornhill/Thornhill"," 63","Markham",5,26,204,0,113,10,0,358,765
35104,"Thornhill/Thornhill"," 64","Markham",6,6,129,0,89,2,4,236,400
35104,"Thornhill/Thornhill"," 65","Markham",7,6,126,0,64,4,1,208,439
35104,"Thornhill/Thornhill"," 66","Markham",2,12,102,0,59,4,0,179,391
35104,"Thornhill/Thornhill"," 67","Vaughan",2,8,62,0,91,3,1,167,374
35104,"Thornhill/Thornhill"," 68","Vaughan",4,9,53,0,152,1,0,219,529
35104,"Thornhill/Thornhill"," 69","Vaughan",0,10,74,1,140,0,1,226,475
35104,"Thornhill/Thornhill"," 70","Vaughan",3,17,76,0,69,1,3,169,428
35104,"Thornhill/Thornhill"," 71","Vaughan",2,11,97,0,70,3,3,186,401
35104,"Thornhill/Thornhill"," 72","Vaughan",1,8,82,0,88,1,3,183,454
35104,"Thornhill/Thornhill"," 73","Vaughan",1,4,13,0,155,0,2,175,548
35104,"Thornhill/Thornhill"," 74","Vaughan",3,4,35,0,121,1,1,165,354
35104,"Thornhill/Thornhill"," 75","Vaughan",1,3,43,0,93,4,0,144,290
35104,"Thornhill/Thornhill"," 76","Vaughan",7,10,91,1,135,3,6,253,596
35104,"Thornhill/Thornhill"," 77","Markham",4,15,83,1,67,2,1,173,331
35104,"Thornhill/Thornhill"," 78","Markham",5,31,113,1,83,8,6,247,468
35104,"Thornhill/Thornhill"," 79","Markham",6,10,82,1,52,1,0,152,343
35104,"Thornhill/Thornhill"," 80","Vaughan",0,2,18,1,95,0,0,116,273
35104,"Thornhill/Thornhill"," 81","Vaughan",3,4,42,0,70,1,3,123,292
35104,"Thornhill/Thornhill"," 82","Vaughan",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 83","Vaughan",1,5,28,1,122,1,0,158,445
35104,"Thornhill/Thornhill"," 84","Vaughan",4,8,23,0,106,4,0,145,467
35104,"Thornhill/Thornhill"," 85","Vaughan",0,12,36,0,107,3,0,158,417
35104,"Thornhill/Thornhill"," 86","Vaughan",0,1,7,0,111,0,0,119,333
35104,"Thornhill/Thornhill"," 87","Vaughan",0,2,40,0,100,1,2,145,393
35104,"Thornhill/Thornhill"," 88","Vaughan",3,9,59,0,87,3,2,163,417
35104,"Thornhill/Thornhill"," 89","Vaughan",2,7,26,0,81,1,0,117,361
35104,"Thornhill/Thornhill"," 90","Vaughan",1,10,16,0,164,4,0,195,467
35104,"Thornhill/Thornhill"," 91","Vaughan",1,5,32,1,85,1,1,126,385
35104,"Thornhill/Thornhill"," 92","Vaughan",2,11,67,0,108,3,2,193,392
35104,"Thornhill/Thornhill"," 93","Vaughan",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 94","Vaughan",2,8,79,1,184,5,0,279,508
35104,"Thornhill/Thornhill"," 95","Vaughan",3,14,57,0,74,1,0,149,354
35104,"Thornhill/Thornhill"," 96","Vaughan",0,16,54,1,174,1,3,249,463
35104,"Thornhill/Thornhill"," 97","Vaughan",4,15,109,1,122,4,2,257,487
35104,"Thornhill/Thornhill"," 98","Vaughan",1,17,89,0,114,2,0,223,459
35104,"Thornhill/Thornhill"," 99","Vaughan",0,0,19,0,123,1,0,143,299
35104,"Thornhill/Thornhill"," 100","Vaughan",1,5,38,1,217,1,0,263,486
35104,"Thornhill/Thornhill"," 101","Vaughan",2,8,38,0,187,0,0,235,457
35104,"Thornhill/Thornhill"," 102","Vaughan",1,7,39,0,162,1,3,213,434
35104,"Thornhill/Thornhill"," 103","Vaughan",2,10,67,1,134,2,0,216,450
35104,"Thornhill/Thornhill"," 104","Vaughan",1,3,32,0,136,0,1,173,352
35104,"Thornhill/Thornhill"," 105","Vaughan",3,9,59,2,119,2,1,195,369
35104,"Thornhill/Thornhill"," 106","Vaughan",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 107","Vaughan",0,0,14,0,38,2,0,54,114
35104,"Thornhill/Thornhill"," 108","Vaughan",0,6,52,1,117,0,0,176,344
35104,"Thornhill/Thornhill"," 109","Vaughan",3,11,83,0,126,0,1,224,417
35104,"Thornhill/Thornhill"," 110","Vaughan",2,9,48,0,202,1,0,262,487
35104,"Thornhill/Thornhill"," 111","Vaughan",0,7,53,1,136,2,2,201,381
35104,"Thornhill/Thornhill"," 112","Vaughan",3,15,67,0,106,0,1,192,336
35104,"Thornhill/Thornhill"," 113","Vaughan",2,13,30,0,153,1,0,199,391
35104,"Thornhill/Thornhill"," 114","Vaughan",2,8,23,1,184,1,0,219,497
35104,"Thornhill/Thornhill"," 115","Vaughan",2,10,37,1,202,1,0,253,507
35104,"Thornhill/Thornhill"," 116","Vaughan",2,3,58,1,106,1,5,176,369
35104,"Thornhill/Thornhill"," 117","Vaughan",2,10,39,0,157,2,2,212,430
35104,"Thornhill/Thornhill"," 118","Vaughan",6,18,84,0,121,4,1,234,484
35104,"Thornhill/Thornhill"," 119","Vaughan",2,7,45,1,86,0,2,143,316
35104,"Thornhill/Thornhill"," 120","Vaughan",2,18,111,2,97,3,2,235,524
35104,"Thornhill/Thornhill"," 121","Vaughan",4,25,102,0,100,6,1,238,445
35104,"Thornhill/Thornhill"," 122","Vaughan",4,9,133,4,93,5,1,249,474
35104,"Thornhill/Thornhill"," 123","Vaughan",7,28,112,1,129,2,1,280,511
35104,"Thornhill/Thornhill"," 124","Vaughan",0,13,56,1,139,2,2,213,503
35104,"Thornhill/Thornhill"," 125","Vaughan",3,11,75,0,126,4,0,219,453
35104,"Thornhill/Thornhill"," 126","Vaughan",4,18,95,2,126,2,0,247,494
35104,"Thornhill/Thornhill"," 127","Vaughan",6,6,89,0,92,4,1,198,476
35104,"Thornhill/Thornhill"," 128","Vaughan",0,6,46,0,133,1,1,187,352
35104,"Thornhill/Thornhill"," 129","Vaughan",4,7,32,0,117,6,0,166,384
35104,"Thornhill/Thornhill"," 130","Vaughan",3,6,40,1,143,0,1,194,335
35104,"Thornhill/Thornhill"," 131","Vaughan",0,7,56,0,121,4,0,188,370
35104,"Thornhill/Thornhill"," 132","Vaughan",3,28,65,0,164,2,1,263,483
35104,"Thornhill/Thornhill"," 133","Vaughan",0,16,93,0,163,2,0,274,523
35104,"Thornhill/Thornhill"," 134","Vaughan",0,5,53,0,175,4,1,238,509
35104,"Thornhill/Thornhill"," 135","Vaughan",1,4,35,0,140,2,1,183,455
35104,"Thornhill/Thornhill"," 136","Vaughan",0,8,24,0,101,3,0,136,432
35104,"Thornhill/Thornhill"," 137","Vaughan",0,12,19,1,132,1,1,166,419
35104,"Thornhill/Thornhill"," 138","Vaughan",2,7,33,0,163,2,0,207,480
35104,"Thornhill/Thornhill"," 139","Vaughan",1,8,53,0,78,0,0,140,338
35104,"Thornhill/Thornhill"," 140","Vaughan",2,19,102,0,78,4,3,208,612
35104,"Thornhill/Thornhill"," 141","Vaughan",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 142","Vaughan",4,7,64,0,97,0,0,172,424
35104,"Thornhill/Thornhill"," 143","Vaughan",Void/Supprimé,,,,,,,,
35104,"Thornhill/Thornhill"," 144","Vaughan",1,13,102,0,95,4,0,215,458
35104,"Thornhill/Thornhill"," 145","Vaughan",1,10,83,0,98,1,2,195,391
35104,"Thornhill/Thornhill"," 146","Vaughan",3,25,108,1,143,2,1,283,511
35104,"Thornhill/Thornhill"," 147","Vaughan",3,11,93,0,67,1,0,175,387
35104,"Thornhill/Thornhill"," 148","Vaughan",3,7,65,1,79,2,1,158,289
35104,"Thornhill/Thornhill"," 149","Vaughan",3,16,105,1,122,2,3,252,525
35104,"Thornhill/Thornhill"," 150","Vaughan",2,8,97,0,89,4,1,201,449
35104,"Thornhill/Thornhill"," 151","Vaughan",5,21,125,0,58,6,3,218,499
35104,"Thornhill/Thornhill"," 152","Vaughan",3,11,97,0,74,1,0,186,471
35104,"Thornhill/Thornhill"," 153","Vaughan",7,9,87,1,40,1,2,147,302
35104,"Thornhill/Thornhill"," 154","Vaughan",4,15,132,1,81,5,0,238,469
35104,"Thornhill/Thornhill"," 155","Vaughan",3,13,108,2,73,0,3,202,378
35104,"Thornhill/Thornhill"," 156","Vaughan",5,15,108,1,65,4,3,201,368
35104,"Thornhill/Thornhill"," 157","Vaughan",6,10,103,3,64,4,5,195,439
35104,"Thornhill/Thornhill"," 158","Vaughan",2,8,68,0,51,1,2,132,311
35104,"Thornhill/Thornhill"," 159","Vaughan",6,18,71,2,143,3,0,243,481
35104,"Thornhill/Thornhill"," 160","Vaughan",1,14,55,1,102,2,2,177,395
35104,"Thornhill/Thornhill"," 161","Vaughan",2,7,87,0,108,4,3,211,388
35104,"Thornhill/Thornhill"," 162","Vaughan",4,13,125,1,122,0,2,267,484
35104,"Thornhill/Thornhill"," 163","Vaughan",3,15,92,1,109,2,0,222,414
35104,"Thornhill/Thornhill"," 164","Vaughan",2,13,109,1,84,2,3,214,472
35104,"Thornhill/Thornhill"," 165","Vaughan",5,14,98,1,74,5,2,199,447
35104,"Thornhill/Thornhill"," 166","Vaughan",3,23,98,1,102,2,4,233,446
35104,"Thornhill/Thornhill"," 167","Vaughan",1,15,98,0,76,1,0,191,442
35104,"Thornhill/Thornhill"," 168","Vaughan",2,16,66,1,51,2,1,139,351
35104,"Thornhill/Thornhill"," 169","Vaughan",4,17,94,1,75,2,1,194,334
35104,"Thornhill/Thornhill"," 170","Vaughan",1,18,158,0,98,5,0,280,534
35104,"Thornhill/Thornhill"," 171","Vaughan",8,18,130,0,98,2,3,259,455
35104,"Thornhill/Thornhill"," 172","Vaughan",4,15,125,0,88,4,1,237,508
35104,"Thornhill/Thornhill"," 173","Vaughan",4,22,129,1,74,6,2,238,517
35104,"Thornhill/Thornhill"," 174","Vaughan",3,17,87,1,75,1,1,185,345
35104,"Thornhill/Thornhill"," 400","Vaughan",4,11,85,0,107,2,0,209,329
35104,"Thornhill/Thornhill"," 401","Vaughan",3,9,48,0,60,1,2,123,347
35104,"Thornhill/Thornhill"," 402","Vaughan",3,4,42,0,155,2,2,208,348
35104,"Thornhill/Thornhill"," 403","Vaughan",0,11,60,0,175,2,0,248,388
35104,"Thornhill/Thornhill"," 404","Vaughan",1,10,33,0,150,1,2,197,290
35104,"Thornhill/Thornhill"," 405","Vaughan",3,8,69,0,65,0,0,145,237
35104,"Thornhill/Thornhill"," 406","Vaughan",2,10,36,0,79,0,0,127,190
35104,"Thornhill/Thornhill"," 407","Vaughan",4,7,49,0,164,2,3,229,333
35104,"Thornhill/Thornhill"," 408","Vaughan",0,11,41,1,179,2,2,236,326
35104,"Thornhill/Thornhill"," 409","Vaughan",2,12,44,0,64,4,2,128,231
35104,"Thornhill/Thornhill"," 410","Vaughan",4,16,45,0,36,4,1,106,198
35104,"Thornhill/Thornhill"," 411","Vaughan",2,12,68,2,65,2,3,154,221
35104,"Thornhill/Thornhill"," 412","Vaughan",4,16,57,1,115,1,0,194,325
35104,"Thornhill/Thornhill"," 413","North York",1,7,42,1,110,1,0,162,252
35104,"Thornhill/Thornhill"," 414","North York",0,3,26,0,65,2,0,96,156
35104,"Thornhill/Thornhill"," 415","Vaughan",3,9,43,1,142,2,1,201,309
35104,"Thornhill/Thornhill"," 416","Vaughan",1,7,34,5,178,1,2,228,315
35104,"Thornhill/Thornhill"," 417","Vaughan",2,13,40,0,142,2,0,199,287
35104,"Thornhill/Thornhill"," 418","Vaughan",1,5,42,1,133,4,1,187,309
35104,"Thornhill/Thornhill"," 419","Vaughan",1,7,6,0,112,1,2,129,192
35104,"Thornhill/Thornhill"," 420","Vaughan",6,10,53,1,106,1,2,179,200
35104,"Thornhill/Thornhill"," 421","North York",1,8,56,0,91,7,0,163,275
35104,"Thornhill/Thornhill"," 422","North York",0,5,42,0,71,3,1,122,222
35104,"Thornhill/Thornhill"," 423","North York",0,6,34,0,63,2,2,107,176
35104,"Thornhill/Thornhill"," 424","North York",0,5,21,0,55,0,2,83,158
35104,"Thornhill/Thornhill"," 425","North York",2,2,5,0,26,0,0,35,66
35104,"Thornhill/Thornhill"," 426","North York",2,11,73,0,18,1,1,106,231
35104,"Thornhill/Thornhill"," 427","North York",2,5,55,0,29,1,2,94,225
35104,"Thornhill/Thornhill"," 428","North York",2,6,44,1,92,4,1,150,275
35104,"Thornhill/Thornhill"," 429","North York",4,10,52,0,98,2,1,167,254
35104,"Thornhill/Thornhill"," 430","North York",1,3,38,1,97,0,2,142,283
35104,"Thornhill/Thornhill"," 431","North York",0,5,28,0,171,0,2,206,350
35104,"Thornhill/Thornhill"," 432","North York",1,1,20,1,136,1,4,164,254
35104,"Thornhill/Thornhill"," 433","North York",3,6,8,0,104,0,0,121,220
35104,"Thornhill/Thornhill"," 434","North York",5,14,105,1,90,5,0,220,287
35104,"Thornhill/Thornhill"," 435","North York",2,8,40,0,63,2,5,120,169
35104,"Thornhill/Thornhill"," 436","North York",1,6,34,0,63,2,1,107,179
35104,"Thornhill/Thornhill"," 437","North York",2,8,44,2,89,1,0,146,222
35104,"Thornhill/Thornhill"," 438","North York",2,8,54,0,83,3,1,151,240
35104,"Thornhill/Thornhill"," 439","North York",1,9,49,2,50,2,4,117,156
35104,"Thornhill/Thornhill"," 500","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°1B,,,,,,,,85
35104,"Thornhill/Thornhill"," 501","Mobile poll/Bureau itinérant",4,7,71,2,96,4,1,185,243
35104,"Thornhill/Thornhill"," 600","Markham",3,64,520,8,428,10,3,1036,
35104,"Thornhill/Thornhill"," 601","Markham",10,37,344,0,319,12,3,725,
35104,"Thornhill/Thornhill"," 602","Vaughan",4,60,254,2,989,7,5,1321,
35104,"Thornhill/Thornhill"," 603","Vaughan",4,48,298,4,1203,13,3,1573,
35104,"Thornhill/Thornhill"," 604","Vaughan",2,21,188,1,447,5,3,667,
35104,"Thornhill/Thornhill"," 605","Vaughan",5,34,228,0,687,6,2,962,
35104,"Thornhill/Thornhill"," 606","Vaughan",8,66,312,1,587,11,5,990,
35104,"Thornhill/Thornhill"," 607","Vaughan",13,59,504,5,379,8,8,976,
35104,"Thornhill/Thornhill"," 608","Vaughan",11,32,330,0,906,5,2,1286,
35104,"Thornhill/Thornhill"," 609","Vaughan",6,40,331,1,699,8,2,1087,
35104,"Thornhill/Thornhill"," 610","Vaughan",9,45,307,0,885,12,2,1260,
35104,"Thornhill/Thornhill"," 611","Vaughan",8,59,326,0,535,13,4,945,
35104,"Thornhill/Thornhill",,"Group 1/Groupe 1",1,11,35,0,22,5,3,77,85
35104,"Thornhill/Thornhill",,"Group 2/Groupe 2",14,96,399,7,1170,14,23,1723,
