Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Douglas Chiasson,Monika Dutt,Mark Eyking,Wayne James Hiscock,Adrianna MacKinnon,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
12010,"Sydney--Victoria/Sydney--Victoria"," 52","Sydney Mines",20,35,182,1,7,0,245,431
12010,"Sydney--Victoria/Sydney--Victoria"," 53","Sydney Mines",24,20,131,0,5,0,180,413
12010,"Sydney--Victoria/Sydney--Victoria"," 54","Florence",16,12,92,1,6,1,128,277
12010,"Sydney--Victoria/Sydney--Victoria"," 55","Florence",10,12,108,1,3,0,134,305
12010,"Sydney--Victoria/Sydney--Victoria"," 56","Florence",12,12,117,2,4,0,147,327
12010,"Sydney--Victoria/Sydney--Victoria"," 57","Florence",17,14,79,0,6,0,116,295
12010,"Sydney--Victoria/Sydney--Victoria"," 58","Bras d'Or",13,17,102,2,3,1,138,264
12010,"Sydney--Victoria/Sydney--Victoria"," 59","Bras d'Or",13,24,134,1,3,2,177,349
12010,"Sydney--Victoria/Sydney--Victoria"," 60","Cape Breton",24,22,116,0,1,2,165,296
12010,"Sydney--Victoria/Sydney--Victoria"," 61","Gannon Road",25,26,101,1,3,2,158,321
12010,"Sydney--Victoria/Sydney--Victoria"," 62","North Sydney",15,27,128,1,7,0,178,345
12010,"Sydney--Victoria/Sydney--Victoria"," 63","Georges River",43,20,138,1,3,1,206,321
12010,"Sydney--Victoria/Sydney--Victoria"," 64","Scotch Lake",33,10,154,0,4,1,202,294
12010,"Sydney--Victoria/Sydney--Victoria"," 65","Millville Boularderie",24,12,146,2,5,2,191,392
12010,"Sydney--Victoria/Sydney--Victoria"," 66","Hillside Boularderie",22,20,136,0,4,0,182,351
12010,"Sydney--Victoria/Sydney--Victoria"," 67","Hillside Boularderie",22,11,115,1,8,0,157,394
12010,"Sydney--Victoria/Sydney--Victoria"," 68","Big Bras d'Or",43,26,141,0,4,1,215,416
12010,"Sydney--Victoria/Sydney--Victoria"," 69","Boularderie",39,29,119,1,4,2,194,312
12010,"Sydney--Victoria/Sydney--Victoria"," 70","South Haven",33,29,125,1,7,0,195,341
12010,"Sydney--Victoria/Sydney--Victoria"," 71","Baddeck",29,10,147,1,4,1,192,411
12010,"Sydney--Victoria/Sydney--Victoria"," 72","Middle River",31,31,164,0,9,4,239,361
12010,"Sydney--Victoria/Sydney--Victoria"," 73","Wagmatcook 1",6,16,154,1,2,0,179,359
12010,"Sydney--Victoria/Sydney--Victoria"," 74","Little Narrows",14,11,88,0,4,0,117,154
12010,"Sydney--Victoria/Sydney--Victoria"," 75","Iona",30,9,139,0,4,3,185,262
12010,"Sydney--Victoria/Sydney--Victoria"," 76","Baddeck",46,20,127,0,11,0,204,376
12010,"Sydney--Victoria/Sydney--Victoria"," 77","Baddeck",23,10,127,0,6,1,167,418
12010,"Sydney--Victoria/Sydney--Victoria"," 78","Grand Narrows",24,32,113,1,5,1,176,249
12010,"Sydney--Victoria/Sydney--Victoria"," 79","Boisdale",17,10,70,1,4,0,102,204
12010,"Sydney--Victoria/Sydney--Victoria"," 80","North Sydney",8,16,95,0,3,0,122,354
12010,"Sydney--Victoria/Sydney--Victoria"," 81","North Sydney",23,15,128,0,1,1,168,338
12010,"Sydney--Victoria/Sydney--Victoria"," 82","North Sydney",24,4,114,0,2,0,144,277
12010,"Sydney--Victoria/Sydney--Victoria"," 83","Upper North Sydney",20,17,152,4,0,0,193,380
12010,"Sydney--Victoria/Sydney--Victoria"," 84","Leitches Creek",19,21,124,1,7,0,172,304
12010,"Sydney--Victoria/Sydney--Victoria"," 85","North Sydney",22,17,101,0,4,2,146,303
12010,"Sydney--Victoria/Sydney--Victoria"," 86","North Sydney",18,9,115,0,1,1,144,257
12010,"Sydney--Victoria/Sydney--Victoria"," 87","North Sydney",16,10,115,2,3,1,147,303
12010,"Sydney--Victoria/Sydney--Victoria"," 88","North Sydney",17,9,135,1,6,2,170,330
12010,"Sydney--Victoria/Sydney--Victoria"," 89","North Sydney",26,17,123,0,3,1,170,354
12010,"Sydney--Victoria/Sydney--Victoria"," 90","North Sydney",24,13,125,1,3,0,166,380
12010,"Sydney--Victoria/Sydney--Victoria"," 91","North Sydney",10,11,115,3,1,2,142,351
12010,"Sydney--Victoria/Sydney--Victoria"," 92","North Sydney",3,12,74,1,2,3,95,274
12010,"Sydney--Victoria/Sydney--Victoria"," 93","North Sydney",10,1,95,0,0,1,107,284
12010,"Sydney--Victoria/Sydney--Victoria"," 94","North Sydney",27,21,132,3,2,1,186,418
12010,"Sydney--Victoria/Sydney--Victoria"," 95","North Sydney",20,24,142,1,6,4,197,400
12010,"Sydney--Victoria/Sydney--Victoria"," 96","Westmount",18,21,131,2,0,2,174,278
12010,"Sydney--Victoria/Sydney--Victoria"," 97","Cape Breton",28,21,157,0,10,0,216,405
12010,"Sydney--Victoria/Sydney--Victoria"," 98","Sydney",11,30,123,2,2,1,169,350
12010,"Sydney--Victoria/Sydney--Victoria"," 99","Sydney",9,30,108,1,1,0,149,334
12010,"Sydney--Victoria/Sydney--Victoria"," 100","Sydney",5,43,112,1,3,0,164,333
12010,"Sydney--Victoria/Sydney--Victoria"," 101","Sydney",6,43,87,3,3,2,144,312
12010,"Sydney--Victoria/Sydney--Victoria"," 102","Sydney",9,22,118,3,2,0,154,324
12010,"Sydney--Victoria/Sydney--Victoria"," 103","Sydney",4,31,108,1,0,0,144,284
12010,"Sydney--Victoria/Sydney--Victoria"," 104","Sydney",8,29,95,1,2,2,137,324
12010,"Sydney--Victoria/Sydney--Victoria"," 105","Sydney",4,18,60,0,1,0,83,232
12010,"Sydney--Victoria/Sydney--Victoria"," 106","Sydney",5,22,74,2,2,2,107,273
12010,"Sydney--Victoria/Sydney--Victoria"," 107","Sydney",5,21,67,1,0,0,94,217
12010,"Sydney--Victoria/Sydney--Victoria"," 108","Sydney",5,32,91,1,3,1,133,299
12010,"Sydney--Victoria/Sydney--Victoria"," 109","Sydney",2,24,79,0,3,0,108,263
12010,"Sydney--Victoria/Sydney--Victoria"," 110","Sydney",17,15,124,5,7,1,169,381
12010,"Sydney--Victoria/Sydney--Victoria"," 111","Sydney",18,27,110,1,7,1,164,368
12010,"Sydney--Victoria/Sydney--Victoria"," 112","Sydney",11,37,154,0,2,1,205,413
12010,"Sydney--Victoria/Sydney--Victoria"," 113","Sydney",14,22,115,0,2,1,154,311
12010,"Sydney--Victoria/Sydney--Victoria"," 114","Sydney",23,32,124,0,11,1,191,389
12010,"Sydney--Victoria/Sydney--Victoria"," 115","Sydney",10,14,109,2,3,2,140,342
12010,"Sydney--Victoria/Sydney--Victoria"," 116","Sydney",10,26,117,1,2,3,159,334
12010,"Sydney--Victoria/Sydney--Victoria"," 117","Sydney",13,21,112,0,2,0,148,327
12010,"Sydney--Victoria/Sydney--Victoria"," 118","Sydney",13,20,150,1,3,1,188,403
12010,"Sydney--Victoria/Sydney--Victoria"," 119","Sydney",5,31,113,1,2,3,155,335
12010,"Sydney--Victoria/Sydney--Victoria"," 120","Sydney",16,33,143,2,3,0,197,384
12010,"Sydney--Victoria/Sydney--Victoria"," 121","Sydney",18,21,153,1,3,0,196,355
12010,"Sydney--Victoria/Sydney--Victoria"," 122","Sydney",9,23,117,1,2,0,152,347
12010,"Sydney--Victoria/Sydney--Victoria"," 123","Sydney",18,23,117,0,7,1,166,357
12010,"Sydney--Victoria/Sydney--Victoria"," 124","Sydney",18,35,144,1,5,0,203,372
12010,"Sydney--Victoria/Sydney--Victoria"," 125","Sydney",18,18,131,1,4,0,172,393
12010,"Sydney--Victoria/Sydney--Victoria"," 126","Sydney",12,37,139,0,3,1,192,362
12010,"Sydney--Victoria/Sydney--Victoria"," 127","Sydney",18,34,105,1,5,0,163,384
12010,"Sydney--Victoria/Sydney--Victoria"," 128","Sydney",15,13,98,0,0,0,126,322
12010,"Sydney--Victoria/Sydney--Victoria"," 129","Sydney",21,19,115,0,3,0,158,342
12010,"Sydney--Victoria/Sydney--Victoria"," 130","Sydney",6,20,96,0,4,1,127,301
12010,"Sydney--Victoria/Sydney--Victoria"," 131","Sydney",14,21,143,0,4,0,182,347
12010,"Sydney--Victoria/Sydney--Victoria"," 132","Sydney",14,21,149,0,10,0,194,363
12010,"Sydney--Victoria/Sydney--Victoria"," 133","Sydney",19,16,156,2,5,1,199,377
12010,"Sydney--Victoria/Sydney--Victoria"," 134","Sydney",19,18,107,3,5,0,152,307
12010,"Sydney--Victoria/Sydney--Victoria"," 135","Sydney",7,11,63,1,4,0,86,243
12010,"Sydney--Victoria/Sydney--Victoria"," 136","Sydney",7,27,98,1,3,0,136,302
12010,"Sydney--Victoria/Sydney--Victoria"," 137","Sydney",9,51,115,4,14,1,194,445
12010,"Sydney--Victoria/Sydney--Victoria"," 138","Sydney",18,24,118,2,3,1,166,355
12010,"Sydney--Victoria/Sydney--Victoria"," 139","Sydney",19,36,147,2,6,2,212,403
12010,"Sydney--Victoria/Sydney--Victoria"," 140","Sydney",13,34,131,2,2,2,184,384
12010,"Sydney--Victoria/Sydney--Victoria"," 141","Sydney",9,25,78,1,3,1,117,341
12010,"Sydney--Victoria/Sydney--Victoria"," 142","Westmount",16,16,149,1,1,4,187,360
12010,"Sydney--Victoria/Sydney--Victoria"," 143","Westmount",17,35,167,2,7,0,228,400
12010,"Sydney--Victoria/Sydney--Victoria"," 144","Westmount",20,19,144,1,6,0,190,368
12010,"Sydney--Victoria/Sydney--Victoria"," 145","Westmount",26,34,174,1,6,1,242,430
12010,"Sydney--Victoria/Sydney--Victoria"," 146","Westmount",21,15,122,0,8,0,166,315
12010,"Sydney--Victoria/Sydney--Victoria"," 147","Sydney",12,12,89,1,1,0,115,283
12010,"Sydney--Victoria/Sydney--Victoria"," 148","Sydney",8,26,98,1,4,1,138,295
12010,"Sydney--Victoria/Sydney--Victoria"," 149","Sydney",7,19,86,1,6,0,119,262
12010,"Sydney--Victoria/Sydney--Victoria"," 150","Sydney",11,6,70,0,7,2,96,296
12010,"Sydney--Victoria/Sydney--Victoria"," 151","Sydney",2,17,138,2,17,0,176,351
12010,"Sydney--Victoria/Sydney--Victoria"," 152","Sydney",6,24,197,0,19,1,247,468
12010,"Sydney--Victoria/Sydney--Victoria"," 153","Sydney",13,15,108,1,3,0,140,296
12010,"Sydney--Victoria/Sydney--Victoria"," 154","Sydney",15,11,97,0,2,0,125,295
12010,"Sydney--Victoria/Sydney--Victoria"," 155","Sydney",17,11,103,0,4,0,135,285
12010,"Sydney--Victoria/Sydney--Victoria"," 156","Sydney",22,19,128,0,2,0,171,365
12010,"Sydney--Victoria/Sydney--Victoria"," 157","Sydney",27,23,111,1,4,0,166,379
12010,"Sydney--Victoria/Sydney--Victoria"," 158","Sydney",11,18,104,0,0,1,134,318
12010,"Sydney--Victoria/Sydney--Victoria"," 159","Sydney",15,11,108,0,6,0,140,294
12010,"Sydney--Victoria/Sydney--Victoria"," 160","Sydney",11,13,95,0,3,0,122,250
12010,"Sydney--Victoria/Sydney--Victoria"," 161","Coxheath",33,27,139,0,5,3,207,363
12010,"Sydney--Victoria/Sydney--Victoria"," 162","Coxheath",23,20,142,1,5,0,191,345
12010,"Sydney--Victoria/Sydney--Victoria"," 163","Coxheath",23,22,139,2,6,0,192,343
12010,"Sydney--Victoria/Sydney--Victoria"," 164","Coxheath",21,36,165,6,6,0,234,407
12010,"Sydney--Victoria/Sydney--Victoria"," 165","Balls Creek",24,18,166,9,7,0,224,386
12010,"Sydney--Victoria/Sydney--Victoria"," 166","Frenchvale",17,26,188,3,12,3,249,372
12010,"Sydney--Victoria/Sydney--Victoria"," 167","Coxheath",16,10,87,0,1,0,114,219
12010,"Sydney--Victoria/Sydney--Victoria"," 168","Blacketts Lake",25,25,120,0,6,1,177,333
12010,"Sydney--Victoria/Sydney--Victoria"," 169","Blacketts Lake",17,10,84,2,0,0,113,253
12010,"Sydney--Victoria/Sydney--Victoria"," 170","Northside East Bay",42,20,219,2,4,2,289,423
12010,"Sydney--Victoria/Sydney--Victoria"," 171","Eskasoni 3",0,13,55,0,2,0,70,131
12010,"Sydney--Victoria/Sydney--Victoria"," 172","Eskasoni 3",1,29,227,1,6,1,265,553
12010,"Sydney--Victoria/Sydney--Victoria"," 173","Eskasoni 3",2,18,279,2,4,2,307,635
12010,"Sydney--Victoria/Sydney--Victoria"," 174","Eskasoni 3",1,20,202,1,3,0,227,478
12010,"Sydney--Victoria/Sydney--Victoria"," 175","Eskasoni 3",1,23,116,0,3,1,144,278
12010,"Sydney--Victoria/Sydney--Victoria"," 400","Sydney",16,12,69,6,0,1,104,140
12010,"Sydney--Victoria/Sydney--Victoria"," 401","Sydney",15,5,53,1,1,1,76,114
12010,"Sydney--Victoria/Sydney--Victoria"," 402","Sydney",13,5,46,0,2,1,67,274
12010,"Sydney--Victoria/Sydney--Victoria"," 500","Mobile poll/Bureau itinérant",12,1,20,0,2,1,36,38
12010,"Sydney--Victoria/Sydney--Victoria"," 501","Mobile poll/Bureau itinérant",9,8,32,2,4,3,58,58
12010,"Sydney--Victoria/Sydney--Victoria"," 502","Mobile poll/Bureau itinérant",19,8,92,3,7,3,132,179
12010,"Sydney--Victoria/Sydney--Victoria"," 503","Mobile poll/Bureau itinérant",12,20,66,4,3,0,105,168
12010,"Sydney--Victoria/Sydney--Victoria"," 600","Cape North",20,18,106,1,2,0,147,
12010,"Sydney--Victoria/Sydney--Victoria"," 601","Pleasant Bay",3,0,14,0,1,0,18,
12010,"Sydney--Victoria/Sydney--Victoria"," 602","Ingonish",27,11,179,1,1,1,220,
12010,"Sydney--Victoria/Sydney--Victoria"," 603","Englishtown",18,15,75,0,1,1,110,
12010,"Sydney--Victoria/Sydney--Victoria"," 604","Millville Boularderie",25,31,97,0,9,0,162,
12010,"Sydney--Victoria/Sydney--Victoria"," 605","Cape Breton",116,119,595,4,22,6,862,
12010,"Sydney--Victoria/Sydney--Victoria"," 606","Sydney Mines",84,79,424,2,22,4,615,
12010,"Sydney--Victoria/Sydney--Victoria"," 607","Cape Breton",85,206,774,4,12,3,1084,
12010,"Sydney--Victoria/Sydney--Victoria"," 608","Cape Breton",26,68,305,3,7,2,411,
12010,"Sydney--Victoria/Sydney--Victoria"," 609","Cape Breton",67,190,664,5,18,4,948,
12010,"Sydney--Victoria/Sydney--Victoria"," 610","Cape Breton",115,227,954,8,25,2,1331,
12010,"Sydney--Victoria/Sydney--Victoria"," 611","Cape Breton",154,137,892,5,38,5,1231,
12010,"Sydney--Victoria/Sydney--Victoria"," 612","Cape Breton",119,100,678,4,20,1,922,
12010,"Sydney--Victoria/Sydney--Victoria"," 613","Cape Breton",189,109,698,6,20,7,1029,
12010,"Sydney--Victoria/Sydney--Victoria"," 614","Cape Breton",65,39,221,0,8,0,333,
12010,"Sydney--Victoria/Sydney--Victoria"," 615","Boisdale",12,24,93,0,3,1,133,
12010,"Sydney--Victoria/Sydney--Victoria"," 616","Eskasoni 3",1,57,268,0,18,1,345,
12010,"Sydney--Victoria/Sydney--Victoria"," 617","Iona",3,3,23,0,1,0,30,
12010,"Sydney--Victoria/Sydney--Victoria"," 618","Baddeck",54,26,220,0,7,2,309,
12010,"Sydney--Victoria/Sydney--Victoria"," 619","Wagmatcook 1",7,9,107,0,1,1,125,
12010,"Sydney--Victoria/Sydney--Victoria",,"Group 1/Groupe 1",58,12,137,1,4,6,218,99
12010,"Sydney--Victoria/Sydney--Victoria",,"Group 2/Groupe 2",161,177,888,7,30,37,1300,
