Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Matt Badura,Jason Devine,Judson Hansell,Deepak Obhrai,Abdou Souraya,Cam Stewart,Max Veress,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 125","Calgary",5,0,5,85,15,79,0,0,189,382
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 126","Calgary",1,0,4,94,12,71,2,0,184,405
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 127","Calgary",3,1,8,114,19,73,0,1,219,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 128","Calgary",5,0,0,90,8,31,0,2,136,314
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 129","Rocky View No. 44",6,0,3,65,17,47,0,1,139,347
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 130","Calgary",1,3,5,121,22,57,0,1,210,454
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 131","Calgary",5,2,6,116,26,72,0,1,228,487
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 132","Calgary",5,2,8,124,18,37,0,2,196,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 133","Calgary",1,2,9,66,21,50,3,2,154,365
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 134","Calgary",3,2,5,54,7,39,0,2,112,371
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 135","Calgary",2,1,0,79,20,71,2,2,177,404
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 136","Calgary",3,0,7,100,19,71,0,0,200,433
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 137","Calgary",1,0,5,83,19,46,1,1,156,370
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 138","Calgary",1,0,7,78,20,50,0,0,156,387
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 139","Calgary",0,4,4,115,16,43,0,2,184,410
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 140","Calgary",0,3,3,91,23,65,0,3,188,467
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 141","Calgary",1,1,9,102,16,47,0,2,178,374
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 142","Calgary",4,2,7,103,17,44,0,1,178,357
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 143","Calgary",1,3,12,149,14,63,0,1,243,452
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 144","Calgary",6,3,5,88,7,49,0,1,159,345
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 145","Calgary",4,2,7,116,16,47,0,2,194,339
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 146","Calgary",1,0,1,58,27,68,0,1,156,423
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 147","Calgary",3,3,5,74,21,52,0,1,159,408
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 148","Calgary",2,0,6,86,27,52,1,2,176,447
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 149","Calgary",1,0,9,73,17,36,2,0,138,371
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 150","Calgary",5,1,8,100,16,68,0,2,200,461
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 151","Calgary",0,0,8,71,18,54,0,2,153,458
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 152","Calgary",4,2,7,78,21,55,0,4,171,443
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 153","Calgary",0,0,0,65,21,31,0,1,118,432
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 154","Calgary",1,0,6,51,11,52,0,2,123,421
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 155","Calgary",1,0,9,75,12,52,1,4,154,448
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 156","Calgary",2,0,7,34,25,49,1,1,119,434
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 157","Calgary",4,2,2,83,26,64,0,0,181,448
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 158","Calgary",3,0,15,56,12,39,0,0,125,401
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 159","Calgary",1,1,8,132,20,42,0,1,205,425
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 160","Calgary",5,2,2,107,20,47,2,0,185,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 161","Calgary",1,2,15,97,19,46,0,1,181,469
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 162","Calgary",1,1,3,74,18,47,1,2,147,383
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 163","Calgary",0,2,11,108,18,62,1,1,203,406
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 164","Calgary",0,1,4,87,17,46,0,1,156,431
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 165","Calgary",0,0,5,73,7,35,1,0,121,337
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 166","Calgary",2,1,3,105,9,51,0,2,173,339
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 167","Calgary",1,0,9,70,22,61,0,1,164,478
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 168","Calgary",0,0,9,112,23,54,1,1,200,460
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 169","Calgary",0,0,9,112,23,54,1,1,200,451
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 170","Calgary",0,0,5,31,7,16,0,0,59,206
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 171A","Calgary",3,1,6,58,5,30,1,1,105,282
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 171B","Calgary",1,1,4,62,5,26,0,0,99,281
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 172","Calgary",3,1,5,45,7,23,0,0,84,268
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 173","Calgary",4,0,8,115,14,32,3,0,176,417
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 174A","Calgary",0,1,2,32,9,27,0,0,71,251
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 174B","Calgary",1,3,2,46,11,33,1,4,101,278
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 175","Calgary",5,0,2,94,12,63,1,0,177,404
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 176","Calgary",6,3,5,97,8,57,0,1,177,439
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 177","Calgary",5,3,2,118,12,62,0,2,204,487
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 178","Calgary",4,1,2,114,14,50,1,2,188,399
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 179","Calgary",2,0,5,80,14,70,0,0,171,455
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 180","Calgary",8,0,5,67,12,43,1,2,138,361
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 181","Calgary",8,1,2,149,12,67,0,0,239,480
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 500","Mobile poll/Bureau itinérant",1,1,0,49,4,23,2,1,81,86
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 501","Mobile poll/Bureau itinérant",2,2,6,62,9,37,0,1,119,181
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 502A","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°500,,,,,,,,,48
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 502B","Calgary",2,3,0,32,3,14,0,1,55,204
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 600","Calgary",4,2,8,315,61,469,1,6,866,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 601","Calgary",5,2,8,201,48,111,1,3,379,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 602","Calgary",1,5,14,56,143,159,0,0,378,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 603","Calgary",1,0,4,173,53,144,3,0,378,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 604","Calgary",3,2,3,241,58,228,0,3,538,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 605","Calgary",5,1,13,216,40,114,1,6,396,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 606","Calgary",2,2,9,187,54,102,0,3,359,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 607","Calgary",13,5,9,233,49,129,2,1,441,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 608","Calgary",2,4,13,343,89,215,3,7,676,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 609","Calgary",4,3,12,266,70,156,2,3,516,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 610","Calgary",245,120,64,6,1,13,1,3,453,
48006,"Calgary Forest Lawn/Calgary Forest Lawn"," 611","Calgary",4,2,13,323,57,158,2,6,565,
48006,"Calgary Forest Lawn/Calgary Forest Lawn",,"Group 1/Groupe 1",8,3,4,30,15,75,4,13,152,127
48006,"Calgary Forest Lawn/Calgary Forest Lawn",,"Group 2/Groupe 2",11,6,19,302,131,255,6,15,745,
