Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Della Anaquod,Greg Chatterson,Nial Kuyek,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 72","Regina",68,7,60,74,1,210,388
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 73","Regina",52,5,72,84,1,214,402
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 74","Regina",49,4,63,86,1,203,422
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 75","Regina",62,2,75,137,1,277,446
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 76A","Regina",48,4,75,74,0,201,416
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 76B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°505B,,,,,,69
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 77","Regina",54,8,82,83,2,229,412
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 78","Regina",45,3,68,88,0,204,348
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 79","Regina",58,4,72,107,1,242,364
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 80","Regina",64,6,92,89,0,251,436
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 81","Regina",45,7,67,93,1,213,421
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 82","Regina",49,6,72,119,0,246,364
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 83","Regina",55,3,68,82,1,209,373
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 84","Regina",58,5,49,70,1,183,341
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 85","Regina",36,5,58,43,0,142,330
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 86","Regina",58,7,72,94,0,231,390
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 87","Regina",56,7,67,65,0,195,364
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 88","Regina",74,7,78,72,0,231,476
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 89","Regina",81,7,80,35,3,206,414
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 90","Regina",55,5,95,115,0,270,437
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 91","Regina",58,10,85,70,0,223,412
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 92","Regina",66,6,68,94,0,234,383
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 93","Regina",63,7,74,108,2,254,405
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 94","Regina",68,8,87,97,1,261,447
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 95","Regina",71,8,87,85,1,252,398
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 96","Regina",50,2,74,65,1,192,400
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 97","Regina",62,1,83,73,0,219,440
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 98","Regina",47,3,69,66,2,187,412
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 99","Regina",48,5,52,52,3,160,384
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 100","Regina",55,12,69,54,0,190,409
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 101","Regina",70,5,96,56,1,228,406
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 102","Regina",54,7,72,48,0,181,387
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 103","Regina",66,4,82,66,0,218,423
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 104","Regina",77,13,97,48,2,237,442
47008,"Regina--Qu'Appelle /Regina--Qu'Appelle "," 105","Regina",78,6,87,65,2,238,415
