Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Dominique Breau,Serge Cormier,Riba Girouard-Riordon,Jason Godin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13001,"Acadie--Bathurst/Acadie--Bathurst"," 144","Robertville",3,103,17,61,1,185,408
13001,"Acadie--Bathurst/Acadie--Bathurst"," 145","Robertville",3,70,16,57,2,148,306
13001,"Acadie--Bathurst/Acadie--Bathurst"," 146","Sainte-Louise",6,95,7,60,0,168,301
13001,"Acadie--Bathurst/Acadie--Bathurst"," 147","Sainte-Louise",5,88,4,55,1,153,262
13001,"Acadie--Bathurst/Acadie--Bathurst"," 148","Nicholas Denys",1,81,8,75,0,165,311
13001,"Acadie--Bathurst/Acadie--Bathurst"," 149","North Tetagouche",3,73,13,39,3,131,257
13001,"Acadie--Bathurst/Acadie--Bathurst"," 150","North Tetagouche",1,81,14,47,0,143,241
13001,"Acadie--Bathurst/Acadie--Bathurst"," 151","North Tetagouche",3,75,19,39,0,136,250
13001,"Acadie--Bathurst/Acadie--Bathurst"," 152","Bathurst",3,116,35,35,1,190,372
13001,"Acadie--Bathurst/Acadie--Bathurst"," 153","Bathurst",1,134,33,35,1,204,413
13001,"Acadie--Bathurst/Acadie--Bathurst"," 154","Bathurst",5,131,26,44,0,206,403
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155A","Bathurst",3,46,18,18,0,85,237
13001,"Acadie--Bathurst/Acadie--Bathurst"," 155B","Bathurst",5,55,25,23,3,111,223
13001,"Acadie--Bathurst/Acadie--Bathurst"," 156","Bathurst",3,78,25,40,2,148,340
13001,"Acadie--Bathurst/Acadie--Bathurst"," 157","Bathurst",6,81,15,33,0,135,315
13001,"Acadie--Bathurst/Acadie--Bathurst"," 158","Bathurst",2,87,26,42,1,158,426
13001,"Acadie--Bathurst/Acadie--Bathurst"," 159","Bathurst",4,124,35,38,2,203,402
13001,"Acadie--Bathurst/Acadie--Bathurst"," 160","Bathurst",4,129,20,54,0,207,426
13001,"Acadie--Bathurst/Acadie--Bathurst"," 161","Bathurst",2,135,26,55,0,218,451
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162A","Bathurst",3,108,23,49,0,183,405
13001,"Acadie--Bathurst/Acadie--Bathurst"," 162B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°514,,,,,,5
13001,"Acadie--Bathurst/Acadie--Bathurst"," 163","Bathurst",5,115,35,45,0,200,370
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164A","Bathurst",0,57,14,29,0,100,243
13001,"Acadie--Bathurst/Acadie--Bathurst"," 164B","Bathurst",1,51,16,25,0,93,235
13001,"Acadie--Bathurst/Acadie--Bathurst"," 165","Bathurst",2,93,14,52,1,162,398
13001,"Acadie--Bathurst/Acadie--Bathurst"," 166","Bathurst",1,79,11,45,0,136,431
13001,"Acadie--Bathurst/Acadie--Bathurst"," 167","Bathurst",2,116,14,50,0,182,401
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168A","Bathurst",0,71,24,24,0,119,232
13001,"Acadie--Bathurst/Acadie--Bathurst"," 168B","Bathurst",0,57,16,22,0,95,211
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169A","Bathurst",4,147,32,48,0,231,409
13001,"Acadie--Bathurst/Acadie--Bathurst"," 169B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°512,,,,,,92
13001,"Acadie--Bathurst/Acadie--Bathurst"," 170","Bathurst",7,99,15,41,1,163,413
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171A","Bathurst",2,96,27,48,0,173,421
13001,"Acadie--Bathurst/Acadie--Bathurst"," 171B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°517A,,,,,,30
13001,"Acadie--Bathurst/Acadie--Bathurst"," 172","Bathurst",6,81,22,37,0,146,336
13001,"Acadie--Bathurst/Acadie--Bathurst"," 173","Bathurst",3,95,17,42,0,157,348
13001,"Acadie--Bathurst/Acadie--Bathurst"," 174","Bathurst",3,102,29,65,1,200,426
13001,"Acadie--Bathurst/Acadie--Bathurst"," 175","South Tetagouche",4,119,29,53,3,208,373
13001,"Acadie--Bathurst/Acadie--Bathurst"," 176","Ste. Anne",1,90,10,63,0,164,269
13001,"Acadie--Bathurst/Acadie--Bathurst"," 177","Ste. Anne",1,111,25,58,1,196,367
13001,"Acadie--Bathurst/Acadie--Bathurst"," 178","South Tetagouche",6,71,27,43,0,147,293
13001,"Acadie--Bathurst/Acadie--Bathurst"," 179","South Tetagouche",8,92,12,40,5,157,313
13001,"Acadie--Bathurst/Acadie--Bathurst"," 180","Middle River",8,82,46,55,2,193,304
13001,"Acadie--Bathurst/Acadie--Bathurst"," 181","Middle River",1,90,18,26,1,136,258
13001,"Acadie--Bathurst/Acadie--Bathurst"," 182","Middle River",3,64,20,42,2,131,301
13001,"Acadie--Bathurst/Acadie--Bathurst"," 183","Bathurst",6,66,18,58,0,148,278
13001,"Acadie--Bathurst/Acadie--Bathurst"," 184","Papineau",4,147,17,62,0,230,416
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185A","Allardville",1,114,9,104,3,231,437
13001,"Acadie--Bathurst/Acadie--Bathurst"," 185B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°517A,,,,,,16
13001,"Acadie--Bathurst/Acadie--Bathurst"," 186","Allardville East",4,83,9,95,0,191,392
13001,"Acadie--Bathurst/Acadie--Bathurst"," 187","Jeanne-Mance",3,99,8,79,2,191,398
13001,"Acadie--Bathurst/Acadie--Bathurst"," 188","Saint-Sauveur",2,60,6,101,0,169,236
13001,"Acadie--Bathurst/Acadie--Bathurst"," 189","Saint-Sauveur",0,52,3,123,0,178,246
13001,"Acadie--Bathurst/Acadie--Bathurst"," 190","Bertrand",2,131,9,125,3,270,415
13001,"Acadie--Bathurst/Acadie--Bathurst"," 191","Bertrand",4,82,13,103,0,202,270
13001,"Acadie--Bathurst/Acadie--Bathurst"," 192","Bertrand",6,78,6,118,0,208,310
13001,"Acadie--Bathurst/Acadie--Bathurst"," 500","Mobile poll/Bureau itinérant",4,39,8,20,1,72,88
13001,"Acadie--Bathurst/Acadie--Bathurst"," 501","Mobile poll/Bureau itinérant",3,36,15,14,4,72,84
13001,"Acadie--Bathurst/Acadie--Bathurst"," 502","Mobile poll/Bureau itinérant",0,33,9,17,0,59,51
13001,"Acadie--Bathurst/Acadie--Bathurst"," 503","Mobile poll/Bureau itinérant",2,86,16,32,5,141,109
13001,"Acadie--Bathurst/Acadie--Bathurst"," 504","Mobile poll/Bureau itinérant",2,20,9,9,0,40,49
13001,"Acadie--Bathurst/Acadie--Bathurst"," 505","Mobile poll/Bureau itinérant",3,35,10,14,1,63,99
13001,"Acadie--Bathurst/Acadie--Bathurst"," 506","Mobile poll/Bureau itinérant",6,40,10,15,0,71,88
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507A","Mobile poll/Bureau itinérant",7,53,1,13,2,76,54
13001,"Acadie--Bathurst/Acadie--Bathurst"," 507B","Tracadie-Sheila",Merged with No./Fusionné avec le n°75,,,,,,22
13001,"Acadie--Bathurst/Acadie--Bathurst"," 508","Mobile poll/Bureau itinérant",3,21,4,22,0,50,51
13001,"Acadie--Bathurst/Acadie--Bathurst"," 509","Mobile poll/Bureau itinérant",8,48,9,12,2,79,69
13001,"Acadie--Bathurst/Acadie--Bathurst"," 510","Mobile poll/Bureau itinérant",2,33,4,11,0,50,56
13001,"Acadie--Bathurst/Acadie--Bathurst"," 511","Mobile poll/Bureau itinérant",2,51,10,13,3,79,109
13001,"Acadie--Bathurst/Acadie--Bathurst"," 512","Mobile poll/Bureau itinérant",3,78,20,42,2,145,104
13001,"Acadie--Bathurst/Acadie--Bathurst"," 513","Mobile poll/Bureau itinérant",3,48,18,13,2,84,112
13001,"Acadie--Bathurst/Acadie--Bathurst"," 514","Mobile poll/Bureau itinérant",5,36,3,32,1,77,85
13001,"Acadie--Bathurst/Acadie--Bathurst"," 515","Mobile poll/Bureau itinérant",8,53,15,29,2,107,143
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516A","Mobile poll/Bureau itinérant",6,56,12,20,2,96,109
13001,"Acadie--Bathurst/Acadie--Bathurst"," 516B","Beresford",Merged with No./Fusionné avec le n°111B,,,,,,12
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517A","Mobile poll/Bureau itinérant",2,16,9,19,1,47,20
13001,"Acadie--Bathurst/Acadie--Bathurst"," 517B","Bathurst",Merged with No./Fusionné avec le n°159,,,,,,5
13001,"Acadie--Bathurst/Acadie--Bathurst"," 518","Mobile poll/Bureau itinérant",3,27,1,9,0,40,57
13001,"Acadie--Bathurst/Acadie--Bathurst"," 600","Belledune",8,168,56,107,4,343,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 601","Petit-Rocher",10,402,43,254,6,715,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 602","Beresford",13,451,73,286,4,827,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 603","Robertville",5,279,35,238,4,561,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 604","Nipisiguit",14,192,54,144,0,404,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 605","Bathurst",13,435,135,219,4,806,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 606","Bathurst",27,536,196,304,4,1067,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 607","Bathurst",0,45,29,24,1,99,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 608","Grande Anse",6,176,36,264,1,483,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 609","Paquetville",16,319,39,390,5,769,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 610","Caraquet",16,486,39,435,4,980,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 611","Caraquet",5,264,23,255,1,548,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 612","Lamèque",15,220,27,237,2,501,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 613","Lamèque",13,231,41,299,8,592,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 614","Shippagan",9,335,65,393,5,807,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 615","St. Isidore",19,275,22,281,4,601,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 616","Tracadie-Sheila",21,382,46,363,9,821,
13001,"Acadie--Bathurst/Acadie--Bathurst"," 617","Tracadie-Sheila",22,354,38,278,5,697,
