Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Richard Bragdon,TJ Harvey,Robert Kitchen,Terry Wishart,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 28","Gillespie Settlement",30,135,24,4,2,195,394
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 29","North Tilley",47,68,16,5,2,138,262
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 30","South Tilley",55,47,8,3,1,114,234
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 31","Sisson Ridge",44,45,5,9,0,103,329
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 32","McLaughlin",57,70,9,6,1,143,380
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 33","Burntland Brook",73,57,8,2,0,140,262
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 34","Plaster Rock",66,48,15,9,2,140,308
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 35","Plaster Rock",31,54,13,2,0,100,273
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 36","Plaster Rock",69,58,11,1,2,141,325
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 37","Bloomfield Ridge",44,113,10,12,2,181,228
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 38","Divide",28,60,5,3,0,96,145
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 39","Johnville",33,75,2,2,1,113,254
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 40","Arthurette",33,29,8,2,0,72,235
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 41","Arthurette",43,69,11,3,1,127,228
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 42","Rowena",37,149,20,16,1,223,448
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 43","Tobique 20",3,176,23,4,1,207,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 44","Upper California",36,56,25,8,0,125,293
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 45","Aroostook",35,60,9,7,0,111,226
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 46","Aroostook",52,71,18,3,2,146,274
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 47","Perth-Andover",46,58,10,7,3,124,316
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 48","Andover",34,56,16,2,1,109,277
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 49","Perth-Andover",37,85,11,5,0,138,310
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 50","Currie",50,86,14,5,0,155,364
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 51","Perth-Andover",17,39,6,7,0,69,208
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 52","Perth-Andover",28,63,2,1,0,94,223
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 53","Perth-Andover",32,30,13,5,0,80,185
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 54","Perth",43,77,27,17,0,164,356
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 55","Bairdsville",67,69,30,11,0,177,369
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 56","Upper Kent",62,44,7,2,0,115,234
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 57","Upper Kent",52,64,7,3,0,126,224
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 58","Holmesville",65,81,11,8,1,166,344
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 59","Upper Kent",59,52,11,4,0,126,279
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 60","Bath",56,82,12,5,1,156,359
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 61","Gordonsville",63,102,14,10,1,190,382
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 62","Bristol",76,82,9,9,3,179,314
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 63","Bristol",49,69,17,10,5,150,256
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 64","Glassville",71,94,10,18,0,193,327
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 65","Windsor",83,51,8,12,0,154,307
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 66","Lansdowne",112,67,17,7,0,203,318
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 67","Napadogan",74,90,20,23,0,207,401
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 68","Taymouth",56,68,22,13,0,159,295
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 69","McGivney",53,67,17,10,2,149,270
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 70","St. Marys",53,96,22,12,0,183,273
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 71","Durham Bridge",34,88,21,6,0,149,252
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 72","St. Marys",60,81,33,14,0,188,406
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 73","St. Marys",38,73,17,9,1,138,260
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 74","Nashwaak Village",97,143,35,19,1,295,479
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 75","Stanley",63,102,30,19,0,214,457
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 76","Stanley",51,43,13,9,0,116,289
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 77","Fredericksburg",81,70,30,28,3,212,408
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 78","Royal Road",65,111,30,24,1,231,376
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 79","Royal Road",68,104,32,15,0,219,335
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 80","McLeod Hill",68,115,21,17,0,221,355
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 81","McLeod Hill",67,91,25,15,1,199,324
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 82","Burtts Corner",54,50,17,11,1,133,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 83","Birdton",52,52,15,13,2,134,264
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 84","MacLean Settlement",69,72,10,15,0,166,319
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 85","Upper Stoneridge",69,40,15,1,1,126,337
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 86","Upper Keswick",48,47,28,8,4,135,323
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 87","Howland Ridge--Central Hainesville",48,62,15,4,0,129,265
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 88","Brewers Mills",68,67,17,7,0,159,346
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 89","Carlisle",104,101,15,7,2,229,418
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 90","Brighton",69,56,11,8,0,144,300
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 91","Riverbank",62,53,9,5,1,130,275
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 92","Stickney",93,80,13,8,0,194,312
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 93","Florenceville",37,71,14,5,0,127,293
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 94","Wicklow",87,94,14,8,0,203,397
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 95","Upper Knoxford",78,85,5,10,0,178,382
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 96","Royalton",91,74,9,5,0,179,342
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 97","Royalton",92,85,11,6,1,195,365
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 98","Wakem Corner",26,43,11,3,2,85,257
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 99","Simonds",118,88,14,10,0,230,356
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 100","Lakeville",74,107,15,13,1,210,383
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 101","Good Corner",88,73,12,2,0,175,332
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 102","Lindsay",61,59,4,4,1,129,245
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 103","Lindsay",55,43,16,3,0,117,236
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 104","Jacksontown",91,48,11,9,0,159,293
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 105","Jacksonville",101,67,15,9,1,193,402
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 106","Victoria Corner",129,64,12,12,1,218,401
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 107","Waterville",89,90,10,9,0,198,350
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108A","Hartland",69,66,11,9,2,157,395
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 108B","Mobile poll/Bureau itinérant",Merged with No./Fusionné avec le n°503,,,,,,22
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 109","Hartland",70,51,13,3,0,137,315
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 110","Somerville",91,38,5,6,1,141,307
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 111","Lower Brighton",56,54,17,15,0,142,333
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 112","Nortondale",172,129,39,17,2,359,603
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 113","Northampton",80,65,18,12,0,175,341
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 114","Northampton",89,40,16,13,1,159,281
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 115","Woodstock",68,80,8,7,0,163,395
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 116","Woodstock",79,100,15,8,0,202,445
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 117","Woodstock",78,89,14,14,1,196,403
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 118","Woodstock",56,101,15,9,0,181,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 119","Woodstock",56,62,10,9,0,137,295
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 120","Woodstock",44,69,16,19,0,148,370
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 121","Woodstock",43,52,10,10,1,116,339
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 122","Northampton",71,43,14,11,0,139,348
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 123","Northampton",136,67,32,10,1,246,429
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 124","Woodstock",50,70,19,13,0,152,402
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 125","Lower Woodstock",35,67,11,9,0,122,343
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 126","Woodstock",48,72,20,5,0,145,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 127","Lower Woodstock",81,64,26,8,0,179,394
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128A","Woodstock",39,126,34,14,0,213,205
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 128B","Woodstock","Results combined with No./Résultats combinés au n°128A",,,,,,231
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 129","Bedell Settlement",69,55,14,5,0,143,276
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 130","Bedell Settlement",53,56,13,2,0,124,257
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 131","Richmond",51,55,16,9,1,132,244
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 132","Richmond",86,59,28,14,2,189,343
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 133","Woodstock",82,61,28,17,0,188,371
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 134","Woodstock",130,60,28,6,0,224,419
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 135","Meductic",156,61,19,8,0,244,390
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 136","Pinder",87,59,19,8,2,175,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 137","Temperance Vale",67,42,12,7,0,128,317
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 138","Springfield",71,57,18,16,1,163,262
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 139","Bright",51,38,27,10,0,126,260
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 140","Bright",79,122,16,28,1,246,415
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 141","Tripp Settlement",87,106,37,24,1,255,391
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 142","McKeens Corner",74,74,11,7,0,166,264
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 143","Douglas",101,127,41,19,2,290,399
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 144","Douglas",91,99,32,14,1,237,382
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 145","Douglas",98,116,30,40,1,285,405
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 146","Keswick",64,71,21,12,1,169,241
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 147","Bear Island",85,84,21,9,0,199,313
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 148","Bear Island",46,34,19,3,0,102,222
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 149","Scotch Settlement",70,80,30,7,2,189,326
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 150","Nackawic",70,44,34,4,2,154,306
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 151","Nackawic",48,60,20,7,1,136,242
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 152","Rossville",80,66,41,14,0,201,378
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 153","Canterbury",81,66,14,2,1,164,268
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 154","Canterbury",101,65,17,5,1,189,289
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 155","Fosterville",70,40,15,10,1,136,197
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 156","Florenceville",80,102,20,10,1,213,368
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 157","Fredericton",65,94,22,15,1,197,475
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 158","Fredericton",94,151,41,14,0,300,534
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 159","Fredericton",76,94,21,10,1,202,387
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 160","Fredericton",62,98,22,14,0,196,396
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 161","Fredericton",43,86,23,15,1,168,389
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 162","Penniac",85,101,37,15,2,240,355
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 500","Mobile poll/Bureau itinérant",6,43,5,2,2,58,80
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 501","Mobile poll/Bureau itinérant",12,24,10,2,1,49,79
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 502","Mobile poll/Bureau itinérant",31,23,2,3,3,62,118
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 503","Mobile poll/Bureau itinérant",37,11,4,3,1,56,47
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 504","Mobile poll/Bureau itinérant",11,10,3,3,2,29,55
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 505","Mobile poll/Bureau itinérant",19,8,2,1,0,30,70
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 506","Mobile poll/Bureau itinérant",30,15,2,1,1,49,80
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 600","Drummond",128,462,145,22,18,775,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 601","Plaster Rock",330,297,68,27,4,726,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 602","Grand Falls--Grand-Sault",181,660,181,26,21,1069,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 603","Perth-Andover",257,311,60,27,3,658,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 604","Florenceville",242,263,49,19,3,576,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 605","Bath",260,352,47,20,4,683,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 606","Stanley",191,186,72,47,2,498,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 607","Hartland",283,185,29,8,0,505,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 608","Jacksonville",335,201,38,24,1,599,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 609","Woodstock",161,152,21,16,0,350,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 610","Woodstock",264,184,48,22,2,520,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 611","Nackawic",281,167,76,23,1,548,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 612","Upper Keswick",324,243,62,36,1,666,
13010,"Tobique--Mactaquac/Tobique--Mactaquac"," 613","Fredericton",327,393,97,63,4,884,
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,"Group 1/Groupe 1",44,57,10,10,5,126,60
13010,"Tobique--Mactaquac/Tobique--Mactaquac",,"Group 2/Groupe 2",804,1041,281,93,21,2240,
